sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:09:01_464 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3539075460,-0.003380,-0.459752,0.157338,-0.873995,-0.322580,-0.005472,0.059801
2,3539108794,-0.005381,-0.463941,0.154288,-0.872312,-0.331940,0.209630,0.078746
3,3539142128,-0.008116,-0.466923,0.151088,-0.871260,-0.374312,0.309272,0.092098
4,3539175462,-0.011995,-0.468169,0.148583,-0.870977,-0.076827,0.303915,0.153013
5,3539208796,-0.015607,-0.468287,0.145771,-0.871332,0.247147,0.201214,0.370539
6,3539242130,-0.018588,-0.467506,0.143283,-0.872105,0.269190,0.197720,0.158907
7,3539275464,-0.020553,-0.467303,0.141680,-0.872431,0.429232,0.100521,0.023162
8,3539308798,-0.020766,-0.468217,0.139482,-0.872291,0.064950,-0.333043,-0.141951
9,3539342132,-0.020636,-0.469645,0.137059,-0.871910,0.090520,-0.242985,0.049600
10,3539375466,-0.019728,-0.470759,0.131839,-0.872135,-0.070532,-0.754858,0.101391
11,3539408800,-0.019979,-0.470656,0.127107,-0.872887,-0.576955,0.084316,-0.095521
12,3539442134,-0.021209,-0.469890,0.125247,-0.873540,-0.203860,-0.217574,0.217903
13,3539475468,-0.021724,-0.469503,0.123102,-0.874040,-0.168612,-0.123734,0.326896
14,3539508802,-0.022605,-0.469556,0.121421,-0.874224,0.041679,-0.272022,0.220159
15,3539542136,-0.023155,-0.470224,0.118869,-0.874201,-0.197069,-0.768125,0.182419
16,3539575470,-0.023497,-0.471180,0.115346,-0.874150,-0.204803,-0.374038,0.090243
17,3539608804,-0.024015,-0.472321,0.111386,-0.874033,-0.093677,-0.444963,0.243428
18,3539642138,-0.025196,-0.473647,0.106912,-0.873841,0.159096,-0.274130,0.145524
19,3539675472,-0.025885,-0.474845,0.101364,-0.873832,-0.348107,-0.146536,0.217349
20,3539708806,-0.026648,-0.476949,0.095864,-0.873284,-0.217038,-0.045594,0.158700
21,3539742140,-0.027592,-0.479188,0.090664,-0.872584,-0.211894,-0.077074,-0.003035
22,3539775474,-0.029383,-0.481246,0.085740,-0.871890,-0.477649,-0.764679,-0.064593
23,3539808808,-0.031872,-0.482633,0.081790,-0.871415,0.104101,-0.252035,0.074859
24,3539842142,-0.033292,-0.482317,0.079503,-0.871749,0.595265,0.459204,0.123100
25,3539875476,-0.033322,-0.481400,0.078806,-0.872318,0.193121,0.400802,-0.044613
26,3539908810,-0.033489,-0.480652,0.080216,-0.872595,-0.211433,0.014368,-0.133584
27,3539942144,-0.034399,-0.480140,0.082185,-0.872659,0.074895,-0.062149,0.230753
28,3539975478,-0.035104,-0.480194,0.083906,-0.872437,-0.095269,0.047121,0.032267
29,3540008812,-0.035536,-0.481026,0.084243,-0.871929,0.044762,-0.025136,0.040888
30,3540042146,-0.036247,-0.481882,0.083167,-0.871530,0.062998,-0.578405,0.118687
31,3540075480,-0.037491,-0.481709,0.080757,-0.871799,0.365640,-0.929833,0.592916
32,3540108814,-0.041701,-0.480947,0.081846,-0.871927,-1.062900,-0.930473,-0.259080
33,3540142148,-0.046368,-0.479722,0.081710,-0.872379,0.165090,-0.121161,0.184550
34,3540175482,-0.047192,-0.479593,0.076849,-0.872847,0.176001,-0.223885,0.201106
35,3540208816,-0.046134,-0.480314,0.070867,-0.873014,0.111228,-0.149297,0.392302
36,3540242150,-0.043786,-0.481966,0.064476,-0.872719,-0.160845,0.174189,-0.052446
37,3540275484,-0.041133,-0.483954,0.058386,-0.872177,0.047509,0.066029,0.222766
38,3540308818,-0.038735,-0.485481,0.053394,-0.871757,-0.044015,0.391057,0.004090
39,3540342152,-0.036316,-0.486802,0.049007,-0.871383,-0.166988,0.204116,0.009788
40,3540375486,-0.034064,-0.487403,0.045514,-0.871327,-0.169285,0.442399,-0.053257
41,3540408820,-0.032292,-0.487472,0.043073,-0.871480,-0.102626,0.603786,0.095543
42,3540442154,-0.032109,-0.486992,0.042116,-0.871802,-0.588041,0.400567,-0.229364
43,3540475488,-0.035793,-0.485535,0.044622,-0.872346,-0.587842,0.578593,-0.126074
44,3540508822,-0.040067,-0.483427,0.048563,-0.873120,-0.096087,0.200517,0.324561
45,3540542156,-0.042118,-0.481542,0.050677,-0.873945,0.079381,-0.100956,0.405447
46,3540575490,-0.042640,-0.479353,0.051833,-0.875054,0.240276,-0.284213,0.309857
47,3540608824,-0.041472,-0.477196,0.050944,-0.876341,-0.064270,-0.127674,0.042003
48,3540642158,-0.040499,-0.474348,0.050125,-0.877979,0.166462,-0.150796,0.170451
49,3540675492,-0.040451,-0.470901,0.050191,-0.879831,0.258548,-0.215746,0.362704
50,3540708826,-0.040363,-0.466374,0.051123,-0.882189,0.274124,0.006516,0.120354
51,3540742160,-0.040226,-0.460435,0.054703,-0.885095,0.774837,-0.095771,-0.205770
52,3540775494,-0.038753,-0.454065,0.059200,-0.888157,1.109059,0.313775,0.245927
53,3540808828,-0.035930,-0.447100,0.064800,-0.891412,0.830672,0.591150,-0.018959
54,3540842162,-0.033509,-0.441109,0.072645,-0.893884,0.655615,0.379905,-0.519736
