sep=,
DeviceTag:,R_Wrist_n
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:32:06_819 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2024606621,-0.287644,-0.341596,0.554663,-0.702088,-0.027270,0.066653,0.051958
2,2024639955,-0.287443,-0.341848,0.554575,-0.702117,0.051971,0.003096,0.111771
3,2024673289,-0.287153,-0.342279,0.554359,-0.702196,0.054524,-0.016504,0.180023
4,2024706623,-0.286965,-0.342240,0.554660,-0.702054,0.071749,-0.080291,0.204429
5,2024739957,-0.286990,-0.341394,0.555340,-0.701918,0.266668,-0.148474,0.449014
6,2024773291,-0.286010,-0.340188,0.554280,-0.703739,0.494035,-0.140131,1.085177
7,2024806625,-0.284234,-0.335757,0.553996,-0.706803,0.418271,-0.334230,1.484490
8,2024839959,-0.280844,-0.328723,0.551472,-0.713408,-0.079459,-0.851509,1.760233
9,2024873293,-0.275781,-0.318944,0.545634,-0.724229,-0.478033,-0.721525,1.090146
10,2024906627,-0.273223,-0.304189,0.545256,-0.731792,0.248426,-1.547924,1.561294
11,2024939961,-0.269434,-0.286263,0.545274,-0.740365,0.981686,-1.757738,2.034086
12,2024973295,-0.263344,-0.266507,0.540839,-0.753075,1.136770,-2.042484,1.690491
13,2025006629,-0.255927,-0.243855,0.533136,-0.768640,1.360069,-1.914115,1.565018
14,2025039963,-0.247293,-0.219284,0.521010,-0.786965,0.815835,-1.100126,0.804474
15,2025073297,-0.240176,-0.190659,0.511634,-0.802621,0.732153,-0.877759,0.957151
16,2025106631,-0.233043,-0.159106,0.503995,-0.816315,0.558358,-0.299587,0.402182
17,2025139965,-0.225210,-0.126089,0.496457,-0.828805,0.669242,-0.376876,0.987305
18,2025173299,-0.215600,-0.092589,0.488199,-0.840602,0.657066,0.260876,1.035791
19,2025206633,-0.203458,-0.058135,0.481662,-0.850430,0.540066,0.506204,0.663479
20,2025239967,-0.188719,-0.022568,0.478438,-0.857308,0.383298,0.432306,0.165843
21,2025273301,-0.172568,0.012449,0.476742,-0.861851,0.093165,0.703230,-0.630517
22,2025306635,-0.156943,0.045830,0.475643,-0.864313,-0.093531,0.751663,-0.868331
