sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:32:48_308 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2066107451,-0.388425,0.530150,0.519633,0.545948,0.362807,-0.312559,0.084935
2,2066140785,-0.387433,0.530312,0.518795,0.547292,0.265557,-0.209929,0.056034
3,2066174119,-0.385672,0.531172,0.517693,0.548743,0.045635,-0.129986,0.118167
4,2066207453,-0.383593,0.532309,0.516505,0.550215,0.053715,-0.006618,0.102052
5,2066240787,-0.381490,0.533681,0.514880,0.551870,0.042757,0.214786,0.133625
6,2066274121,-0.379259,0.535332,0.512690,0.553843,0.011235,0.294565,0.121741
7,2066307455,-0.376942,0.537133,0.510086,0.556082,-0.060536,0.247771,0.103927
8,2066340789,-0.375151,0.538593,0.507407,0.558326,-0.008154,0.174579,0.136864
9,2066374123,-0.374052,0.539623,0.504889,0.560349,0.127604,0.124913,0.130194
10,2066407457,-0.372864,0.540890,0.502093,0.562427,0.216893,0.061295,0.082148
11,2066440791,-0.370940,0.542870,0.498834,0.564687,0.116023,0.070800,0.060653
12,2066474125,-0.368844,0.545083,0.495471,0.566884,-0.110790,0.285926,0.161913
13,2066507459,-0.367633,0.546663,0.492410,0.568814,-0.329115,0.479198,0.132985
14,2066540793,-0.367476,0.547199,0.489969,0.570505,-0.406813,0.452877,0.074259
15,2066574127,-0.367844,0.547188,0.487556,0.572343,-0.346390,0.440874,0.043271
16,2066607461,-0.369232,0.546326,0.485483,0.574032,-0.298168,0.275703,0.041772
17,2066640795,-0.371477,0.544782,0.484116,0.575204,-0.258616,0.159349,0.015284
18,2066674129,-0.373808,0.543160,0.482900,0.576249,-0.164374,0.023618,0.046507
19,2066707463,-0.376574,0.541058,0.482232,0.576985,-0.055012,0.120065,0.016208
20,2066740797,-0.379250,0.538892,0.481754,0.577658,0.008297,0.120353,0.087182
21,2066774131,-0.381275,0.537115,0.480702,0.578855,0.193632,-0.057233,0.053109
22,2066807465,-0.382333,0.535949,0.479159,0.580514,0.068810,-0.165003,0.294347
23,2066840799,-0.382784,0.535055,0.478244,0.581795,0.188005,-0.417247,0.123827
24,2066874133,-0.382093,0.534904,0.477593,0.582923,-0.355265,-0.412089,0.117544
25,2066907467,-0.380887,0.534907,0.476596,0.584524,-0.308654,-0.314363,0.118449
26,2066940801,-0.379284,0.534674,0.475524,0.586648,-0.429451,-0.098420,0.238334
27,2066974135,-0.376746,0.535046,0.473622,0.589475,-0.686318,-0.225855,0.150827
28,2067007469,-0.374147,0.535797,0.471581,0.592079,-0.782859,-0.380318,-0.062803
29,2067040803,-0.372283,0.535988,0.469898,0.594415,-0.819025,-0.444894,0.094338
30,2067074137,-0.371935,0.534594,0.469524,0.596182,-0.561894,-0.395438,-0.014506
31,2067107471,-0.371526,0.532875,0.469537,0.597962,-0.464045,0.036189,0.132293
32,2067140805,-0.371156,0.531257,0.468374,0.600538,-0.388879,0.028155,0.097911
33,2067174139,-0.372650,0.528537,0.465835,0.603978,-0.222811,0.601031,-0.117636
34,2067207473,-0.376163,0.524889,0.461363,0.608398,-0.265568,0.862653,0.057176
35,2067240807,-0.381990,0.520540,0.454017,0.614004,-0.313972,0.738309,0.107367
36,2067274141,-0.388848,0.517498,0.444815,0.618986,-0.077114,0.710915,0.379216
37,2067307475,-0.396055,0.514620,0.437601,0.621951,0.204851,0.732007,0.750131
38,2067340809,-0.402942,0.510472,0.433080,0.624106,0.783682,0.117161,0.791159
39,2067374143,-0.407794,0.506785,0.428338,0.627224,1.326949,-0.223303,0.148093
40,2067407477,-0.410647,0.505166,0.423039,0.630259,1.270622,-0.056477,-0.243859
41,2067440811,-0.412270,0.506805,0.418167,0.631134,0.631116,-0.385029,-0.684107
42,2067474145,-0.412528,0.510969,0.414258,0.630184,0.317896,-1.029361,-0.945280
43,2067507479,-0.413124,0.515220,0.412007,0.627805,0.230154,-0.587225,-0.556432
44,2067540813,-0.414584,0.518477,0.412322,0.623942,-0.024674,0.309187,0.167649
45,2067574147,-0.415931,0.520608,0.415362,0.619237,-0.018879,1.017546,0.713922
46,2067607481,-0.417248,0.521191,0.418766,0.615557,0.258266,0.501603,0.639132
47,2067640815,-0.418020,0.519036,0.422715,0.614153,1.354148,1.074026,0.381084
48,2067674149,-0.416319,0.518588,0.424410,0.614518,0.784938,-0.353713,-0.311431
49,2067707483,-0.414539,0.520207,0.423740,0.614815,-0.256319,-0.816631,-0.208960
50,2067740817,-0.416722,0.521072,0.422925,0.613166,-0.466484,-0.115559,0.489932
51,2067774151,-0.422436,0.521005,0.421895,0.610014,0.284781,0.147162,-0.014431
52,2067807485,-0.423919,0.523030,0.417612,0.610200,0.139641,0.565041,-0.019546
53,2067840819,-0.423263,0.524185,0.413457,0.612490,-0.096012,0.305788,-0.029202
54,2067874153,-0.424392,0.522328,0.411060,0.614903,-0.383096,0.233083,-0.168148
55,2067907487,-0.424635,0.520827,0.407575,0.618319,-0.984725,0.040286,-0.230533
56,2067940821,-0.425703,0.518886,0.403573,0.621831,-1.003134,-0.601561,-0.043778
57,2067974155,-0.430939,0.514749,0.400567,0.623604,-0.212020,-0.470217,0.227325
58,2068007489,-0.436461,0.511828,0.396794,0.624580,0.098610,-0.429103,0.322686
59,2068040823,-0.439784,0.510307,0.391951,0.626548,0.066466,-0.369933,0.198426
60,2068074157,-0.441220,0.508663,0.386536,0.630229,-0.091654,-0.222180,0.083370
61,2068107491,-0.442367,0.506474,0.382013,0.633935,-0.582785,-0.383496,0.494052
62,2068140825,-0.444183,0.504477,0.378193,0.636542,-0.654458,-0.677288,0.497800
63,2068174159,-0.447599,0.502667,0.375071,0.637427,-0.414624,-0.316551,0.091588
64,2068207493,-0.452310,0.500638,0.372141,0.637416,-0.172015,-0.406567,0.115443
65,2068240827,-0.456686,0.498669,0.369182,0.637560,0.130833,-0.169845,0.177795
66,2068274161,-0.460328,0.495970,0.366547,0.638566,0.228539,0.096023,0.123741
67,2068307495,-0.463074,0.492659,0.364855,0.640111,0.267243,0.038195,0.191977
68,2068340829,-0.465350,0.488154,0.364277,0.642237,0.457551,0.352419,0.199888
