sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:25:56_764 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1654565887,0.586540,-0.302638,-0.612742,-0.434669,-0.715136,-0.110844,-0.103052
2,1654599221,0.584908,-0.308601,-0.607382,-0.440165,-0.510184,-0.119464,0.086791
3,1654632555,0.583347,-0.313625,-0.602820,-0.444930,-0.367795,-0.021694,0.466829
4,1654665889,0.581926,-0.317315,-0.599261,-0.448965,-0.361494,0.278753,0.531497
5,1654699223,0.580947,-0.321096,-0.594790,-0.453467,-0.475877,0.432491,0.449908
6,1654732557,0.581181,-0.324891,-0.588389,-0.458783,-0.359901,0.302439,0.169843
7,1654765891,0.581754,-0.327905,-0.581693,-0.464417,-0.422722,-0.054821,0.252388
8,1654799225,0.582348,-0.330197,-0.575547,-0.469676,-0.339485,-0.022378,0.150795
9,1654832559,0.583629,-0.331108,-0.570685,-0.473363,-0.469649,-0.187912,-0.114262
10,1654865893,0.584940,-0.331991,-0.567205,-0.475305,-0.724779,-0.235816,-0.124517
11,1654899227,0.586781,-0.332973,-0.564379,-0.475714,-0.687972,-0.052479,0.019361
12,1654932561,0.589023,-0.333769,-0.562084,-0.475102,-0.665991,0.199013,0.037604
13,1654965895,0.590882,-0.334244,-0.560086,-0.474818,-0.553531,0.363696,-0.236607
14,1654999229,0.592278,-0.335175,-0.558085,-0.474779,-0.304105,0.501234,0.144529
15,1655032563,0.593701,-0.336472,-0.555424,-0.475204,-0.271908,0.521016,0.368171
16,1655065897,0.594660,-0.337390,-0.553174,-0.475978,-0.324080,0.286092,0.396916
17,1655099231,0.595730,-0.337284,-0.551230,-0.476970,-0.168192,0.251262,0.202241
18,1655132565,0.597202,-0.336137,-0.549917,-0.477454,-0.298102,0.224217,-0.024888
19,1655165899,0.599282,-0.334042,-0.549274,-0.477059,-0.585386,0.204189,-0.217227
20,1655199233,0.601876,-0.330842,-0.549309,-0.475982,-0.532643,-0.029736,-0.333974
21,1655232567,0.603733,-0.327959,-0.549724,-0.475145,-0.820756,0.243188,0.122139
22,1655265901,0.605741,-0.325637,-0.549801,-0.474094,-0.641589,0.210193,-0.176374
23,1655299235,0.608422,-0.323544,-0.550587,-0.471174,-0.678987,-0.302713,-0.315133
24,1655332569,0.612298,-0.320653,-0.551209,-0.467388,-0.815205,-0.406023,-0.413331
25,1655365903,0.615495,-0.318732,-0.553394,-0.461887,-0.888834,0.316086,-0.873808
26,1655399237,0.616847,-0.319333,-0.557796,-0.454312,-0.630776,0.383049,-1.282639
27,1655432571,0.615926,-0.321365,-0.565233,-0.444839,-0.601109,0.627786,-1.177116
28,1655465905,0.611113,-0.327079,-0.572728,-0.437666,-0.622622,0.423988,1.015332
29,1655499239,0.607385,-0.326869,-0.581056,-0.432000,-0.075912,-0.336761,5.996878
30,1655532573,0.607584,-0.325635,-0.586654,-0.425031,2.184705,1.890245,-0.518632
31,1655565907,0.603534,-0.329841,-0.589960,-0.422975,0.593784,1.267367,-1.952915
32,1655599241,0.598475,-0.335130,-0.592098,-0.423019,-0.231040,0.421624,-0.150093
33,1655632575,0.595226,-0.339982,-0.591423,-0.424673,-0.449049,0.019933,0.867174
34,1655665909,0.594428,-0.343851,-0.587960,-0.427475,-0.821951,0.273578,-0.288822
35,1655699243,0.592875,-0.347928,-0.586162,-0.428800,-0.482887,-0.091800,-0.590714
36,1655732577,0.590357,-0.353361,-0.585409,-0.428860,-0.429609,0.144457,-0.039976
37,1655765911,0.587722,-0.359209,-0.585536,-0.427444,-0.138607,-0.108053,0.238934
