sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:47:59_633 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2277150222,-0.056873,0.753943,0.067119,0.651022,0.381477,0.099191,0.189440
2,2277183556,-0.056455,0.752624,0.067099,0.652585,0.555461,0.112342,0.324720
3,2277216890,-0.055877,0.750519,0.067810,0.654981,0.720930,0.160868,0.330265
4,2277250224,-0.054826,0.747314,0.068605,0.658641,0.868956,0.355318,0.260764
5,2277283558,-0.053989,0.741919,0.070193,0.664616,0.969255,0.402163,0.449336
6,2277316892,-0.053404,0.733944,0.073221,0.673136,0.601779,-0.037200,0.133867
7,2277350226,-0.053383,0.722984,0.078292,0.684335,0.398306,0.002755,0.217613
8,2277383560,-0.049310,0.712806,0.079093,0.695140,-0.317974,0.334756,-0.055160
9,2277416894,-0.038708,0.703176,0.073425,0.706154,0.322304,-0.342461,0.264579
10,2277450228,-0.026742,0.692361,0.064602,0.718155,0.007457,0.655954,-0.039750
11,2277483562,-0.020120,0.680933,0.058209,0.729752,-0.453444,1.291965,-0.149014
12,2277516896,-0.020635,0.668455,0.059296,0.741098,0.114985,2.526741,0.140404
13,2277550230,-0.025578,0.655457,0.066959,0.751823,0.289925,1.674646,-0.299799
14,2277583564,-0.036456,0.639628,0.080554,0.763582,-1.027360,0.014965,-0.810804
15,2277616898,-0.046375,0.624579,0.096085,0.773639,-1.349236,-2.834097,-0.065862
16,2277650232,-0.047904,0.611410,0.100861,0.783396,-0.957344,-2.911507,0.330329
17,2277683566,-0.044793,0.597828,0.097125,0.794457,-0.920606,-0.563857,0.066541
18,2277716900,-0.041611,0.586171,0.094293,0.803604,-1.362188,-0.192608,0.366347
19,2277750234,-0.037154,0.576740,0.089893,0.811116,-0.407479,0.404227,0.719672
20,2277783568,-0.034063,0.566257,0.086825,0.818935,-0.077557,1.582746,-0.301237
21,2277816902,-0.033243,0.555717,0.088319,0.825998,-0.247775,0.366202,-0.004850
22,2277850236,-0.032700,0.547105,0.088855,0.831691,-0.261708,-0.141153,0.482339
23,2277883570,-0.031791,0.538921,0.087015,0.837247,0.511328,0.329913,0.089415
24,2277916904,-0.032055,0.530303,0.086837,0.842740,0.910517,0.226392,-0.204453
