sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:42:37_442 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1954977112,0.261212,0.645393,-0.361684,0.620018,0.417662,-2.819299,0.699306
2,1955010446,0.275134,0.635910,-0.364439,0.622178,0.770939,-3.054540,0.205312
3,1955043780,0.287777,0.627091,-0.365964,0.624511,-0.148052,-2.398469,0.296051
4,1955077114,0.298575,0.619283,-0.364286,0.628202,-0.804649,-1.948806,0.811855
5,1955110448,0.310391,0.611166,-0.361372,0.632096,-1.352459,-1.571354,1.147573
6,1955143782,0.324078,0.602932,-0.357471,0.635344,-1.894007,-0.099213,0.541958
7,1955177116,0.341455,0.592638,-0.356061,0.636719,-1.953061,0.189941,0.255888
8,1955210450,0.363538,0.580985,-0.357937,0.634175,-2.007491,0.312781,0.443279
9,1955243784,0.389408,0.568255,-0.362839,0.627532,-1.444745,0.724098,-0.010063
10,1955277118,0.416585,0.553519,-0.370531,0.618693,-0.534737,1.178367,0.007401
11,1955310452,0.442060,0.538835,-0.376913,0.610063,0.050117,1.059165,0.360615
12,1955343786,0.463434,0.527072,-0.378601,0.603396,0.342719,1.199103,0.228936
13,1955377120,0.484323,0.516091,-0.378116,0.596750,-0.038488,1.138244,0.792677
14,1955410454,0.503512,0.504677,-0.378455,0.590381,0.839448,1.057013,-0.652051
15,1955443788,0.518552,0.494330,-0.380099,0.585036,1.202445,0.402849,-1.318917
16,1955477122,0.528101,0.488753,-0.381696,0.580121,1.247906,0.445965,-1.233162
17,1955510456,0.537057,0.484277,-0.384384,0.573843,1.134642,0.638570,-1.086991
18,1955543790,0.545044,0.479963,-0.386635,0.568399,0.746971,0.631020,-0.614183
