sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:42:37_447 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1954977112,0.644204,0.343545,-0.420355,0.538777,0.183183,-0.005884,0.036480
2,1955010446,0.643853,0.341585,-0.422563,0.538715,-0.172476,0.035014,0.011240
3,1955043780,0.643327,0.339231,-0.425153,0.538793,0.051708,-0.121836,-0.054946
4,1955077114,0.642216,0.337270,-0.426879,0.539984,-0.313161,-0.407064,0.271969
5,1955110448,0.641646,0.334678,-0.428544,0.540955,-0.565819,-0.496631,0.236866
6,1955143782,0.642388,0.331154,-0.430112,0.540997,-0.159890,-0.451028,0.153131
7,1955177116,0.644181,0.328180,-0.430219,0.540593,-0.180809,-0.439280,0.034772
8,1955210450,0.647540,0.325303,-0.429027,0.539264,0.148185,-0.461151,0.239876
9,1955243784,0.651290,0.324963,-0.425017,0.538127,0.424461,-0.114141,-0.283219
10,1955277118,0.654728,0.324683,-0.421129,0.537180,-0.664468,-0.744561,0.343295
11,1955310452,0.657916,0.322825,-0.418441,0.536506,-0.365305,-0.572585,0.029154
12,1955343786,0.659776,0.320521,-0.416841,0.536847,-0.807673,-0.735033,0.232960
13,1955377120,0.661298,0.317266,-0.416148,0.537447,-0.497483,-0.888064,0.285438
14,1955410454,0.663113,0.313994,-0.415531,0.537608,-0.506815,-0.747087,0.188870
15,1955443788,0.665590,0.311458,-0.414179,0.537066,-0.188410,-0.430486,0.026323
16,1955477122,0.668176,0.310248,-0.411733,0.536436,-0.439193,-0.843857,-0.199737
17,1955510456,0.671649,0.307314,-0.409752,0.535303,-0.680133,-1.441188,0.477449
18,1955543790,0.675884,0.304296,-0.406515,0.534163,-0.516703,-0.775295,-0.116678
19,1955577124,0.679746,0.300047,-0.404252,0.533383,-0.154243,-1.089757,0.096655
20,1955610458,0.684125,0.295268,-0.401167,0.532779,-1.077007,-1.228341,0.669836
21,1955643792,0.690868,0.291764,-0.395522,0.530225,0.396110,-0.539447,-0.189931
22,1955677126,0.696021,0.295018,-0.386371,0.528429,-0.046336,-0.105714,0.218253
23,1955710460,0.700840,0.297984,-0.378005,0.526442,-0.701385,-0.254961,-0.144972
24,1955743794,0.705229,0.297251,-0.374676,0.523366,-0.624855,-0.473554,0.422384
25,1955777128,0.708278,0.296354,-0.373056,0.520909,0.463236,1.037425,-0.348213
26,1955810462,0.712087,0.295958,-0.371782,0.516836,-0.021724,-0.338277,0.371291
27,1955843796,0.716292,0.296486,-0.370878,0.511343,-0.643132,0.318809,0.330612
28,1955877130,0.719782,0.296894,-0.369855,0.506927,-1.017606,0.603862,1.025950
29,1955910464,0.722327,0.297979,-0.369650,0.502803,0.956673,0.717303,-0.431362
30,1955943798,0.723848,0.300863,-0.369376,0.499086,-0.595489,1.269974,-0.325504
31,1955977132,0.725740,0.304088,-0.369638,0.494167,-0.670701,0.898207,-0.538071
32,1956010466,0.727886,0.304825,-0.372527,0.488352,0.705089,-0.486201,0.110285
33,1956043800,0.730802,0.304457,-0.375557,0.481863,0.827145,0.968570,-0.583362
34,1956077134,0.733941,0.304151,-0.378358,0.475045,0.185736,0.886976,0.238210
35,1956110468,0.737354,0.304865,-0.378918,0.468815,0.185087,0.188712,-0.016963
36,1956143802,0.741228,0.304809,-0.378950,0.462675,-0.925264,0.881147,0.629134
37,1956177136,0.745866,0.300099,-0.381213,0.456401,-0.564037,0.464906,-0.274036
38,1956210470,0.749044,0.293633,-0.385628,0.451668,-1.045078,0.159031,0.411446
39,1956243804,0.752118,0.285250,-0.392745,0.445760,-0.885798,-0.439324,0.523263
40,1956277138,0.753937,0.277276,-0.401995,0.439428,-0.352345,-0.299002,-0.173826
41,1956310472,0.755209,0.269423,-0.411084,0.433683,-0.015154,-0.764160,-0.020366
42,1956343806,0.756155,0.263221,-0.417984,0.429224,0.961718,-0.196067,-0.390988
43,1956377140,0.756590,0.261636,-0.421570,0.425908,0.067386,0.031214,0.262723
44,1956410474,0.757342,0.265734,-0.419860,0.423717,-0.486338,-0.588531,0.634553
45,1956443808,0.757702,0.274040,-0.413546,0.423992,0.121049,-0.910395,-0.197641
46,1956477142,0.757747,0.282237,-0.406806,0.425054,-0.725477,0.027410,-0.298512
47,1956510476,0.757642,0.285949,-0.403999,0.425437,-0.474461,0.311213,-0.272791
48,1956543810,0.758041,0.283933,-0.405915,0.424251,-0.605133,-0.401680,0.135761
49,1956577144,0.758195,0.279287,-0.408591,0.424490,0.315237,-1.419837,-0.070475
50,1956610478,0.757282,0.276888,-0.409993,0.426337,-0.531484,-0.022001,-0.002342
51,1956643812,0.756660,0.275097,-0.410418,0.428188,-1.407498,0.631144,0.168987
52,1956677146,0.757645,0.272976,-0.409149,0.429017,-0.496987,-0.722861,0.650347
53,1956710480,0.756563,0.273821,-0.407330,0.432107,-1.113542,0.642701,0.292133
54,1956743814,0.754240,0.273030,-0.406864,0.437079,0.411438,-0.471994,-0.193600
55,1956777148,0.750815,0.273654,-0.408528,0.441016,-0.124389,0.837227,-0.851949
56,1956810482,0.746747,0.273454,-0.412895,0.443971,1.213887,-0.260266,0.453358
57,1956843816,0.740766,0.276180,-0.416974,0.448468,0.276671,0.483975,0.245046
58,1956877150,0.735089,0.276912,-0.421276,0.453311,-1.610984,0.525333,0.497762
59,1956910484,0.729787,0.272360,-0.429262,0.457127,-0.515126,1.605511,-0.988841
60,1956943818,0.724414,0.265816,-0.437865,0.461347,0.649126,-0.045658,0.316910
61,1956977152,0.718222,0.262109,-0.444986,0.466309,0.607224,0.387330,-0.333723
62,1957010486,0.713972,0.256879,-0.451763,0.469220,0.814719,-0.508333,-0.212246
63,1957043820,0.710677,0.251172,-0.457645,0.471606,0.161230,0.656119,-0.361591
64,1957077154,0.708325,0.245896,-0.460741,0.474899,0.490492,-0.485369,0.696676
65,1957110488,0.704743,0.244576,-0.461777,0.479877,0.211734,0.403707,0.020348
66,1957143822,0.701415,0.242864,-0.462531,0.484871,0.392695,-0.641773,0.201777
67,1957177156,0.699224,0.240645,-0.463110,0.488574,-0.744847,0.211500,0.273001
68,1957210490,0.698035,0.237959,-0.463538,0.491178,0.207383,-0.063049,0.353045
69,1957243824,0.697461,0.238828,-0.460516,0.494403,0.546558,0.091559,-0.278248
70,1957277158,0.698545,0.241799,-0.454514,0.496976,-0.799795,-0.214355,0.527327
71,1957310492,0.700295,0.246210,-0.445510,0.500488,0.687315,-0.578188,0.106627
72,1957343826,0.702271,0.253316,-0.434337,0.503982,-0.600199,-0.182400,0.097975
73,1957377160,0.704223,0.262739,-0.420978,0.507756,0.777124,-0.178494,-0.237719
74,1957410494,0.706444,0.271940,-0.407156,0.511088,0.227489,-0.814492,0.132026
75,1957443828,0.707543,0.278418,-0.396949,0.514099,-0.837756,-0.596998,0.228850
76,1957477162,0.708474,0.282516,-0.389902,0.515971,-0.660361,-0.126621,0.733991
77,1957510496,0.709570,0.286691,-0.382924,0.517385,-0.081286,-0.663992,0.078449
78,1957543830,0.710313,0.290385,-0.377803,0.518070,0.057819,-0.425221,0.083829
79,1957577164,0.711027,0.293219,-0.374026,0.518235,-0.205133,0.178465,0.389126
80,1957610498,0.712878,0.295911,-0.369675,0.517284,0.171642,0.442555,0.020336
81,1957643832,0.714301,0.301584,-0.363508,0.516415,0.616860,0.433419,-0.561571
82,1957677166,0.715070,0.308360,-0.356726,0.516077,0.452316,0.957595,0.457646
83,1957710500,0.712904,0.318093,-0.350937,0.517134,0.606559,0.706429,-0.311410
84,1957743834,0.710279,0.326316,-0.348832,0.517048,-1.302998,0.144426,0.901067
85,1957777168,0.709552,0.331311,-0.349619,0.514331,-0.957067,0.376151,0.458152
86,1957810502,0.709258,0.334456,-0.353150,0.510273,0.204615,0.658774,0.012467
87,1957843836,0.708649,0.338431,-0.355111,0.507127,0.953109,0.945251,0.135862
88,1957877170,0.707353,0.344423,-0.355717,0.504470,0.322484,1.370440,-0.912251
89,1957910504,0.707218,0.349627,-0.353969,0.502305,-0.183864,-0.035268,0.405161
90,1957943838,0.706664,0.355496,-0.352018,0.500332,-0.423000,0.755582,0.205600
91,1957977172,0.706062,0.359749,-0.350312,0.499338,-0.049525,-0.081605,0.266657
92,1958010506,0.704962,0.364044,-0.348486,0.499057,0.491440,0.205213,-0.585075
93,1958043840,0.704843,0.365402,-0.348916,0.497931,0.349004,0.305628,-0.213076
94,1958077174,0.704897,0.366493,-0.348177,0.497569,0.246859,-0.274266,-0.145469
95,1958110508,0.705218,0.366503,-0.347557,0.497542,-0.176172,0.201940,0.180491
96,1958143842,0.705810,0.367241,-0.345693,0.497457,-1.181787,0.023571,0.699806
97,1958177176,0.706820,0.366997,-0.343759,0.497542,0.397780,0.244870,-0.330797
98,1958210510,0.707178,0.365709,-0.343232,0.498345,-0.101279,-0.425727,0.072265
99,1958243844,0.707882,0.363343,-0.342771,0.499392,-0.879060,-0.124569,0.795227
100,1958277178,0.709312,0.360510,-0.343109,0.499185,-0.559984,0.721349,0.110005
101,1958310512,0.709658,0.357611,-0.343023,0.500835,-0.305629,-0.750852,0.813012
102,1958343846,0.709371,0.353996,-0.343643,0.503378,0.009021,0.223910,-0.226106
103,1958377180,0.709537,0.349674,-0.344392,0.505647,-0.037793,0.122244,0.110321
104,1958410514,0.709833,0.345743,-0.343797,0.508334,-0.395534,0.206878,-0.195010
105,1958443848,0.709676,0.340932,-0.344691,0.511189,-0.196224,0.134990,0.086283
106,1958477182,0.708443,0.336312,-0.346625,0.514640,0.248098,-0.344197,0.422714
107,1958510516,0.706332,0.333040,-0.349516,0.517705,-0.588359,0.485076,0.344411
108,1958543850,0.703152,0.329435,-0.353799,0.521417,0.852552,0.391089,0.190743
109,1958577184,0.698808,0.326370,-0.359250,0.525442,-0.205746,0.707128,-0.039879
110,1958610518,0.694923,0.322974,-0.363860,0.529506,0.021124,0.546950,-0.237020
111,1958643852,0.691867,0.318632,-0.367744,0.533441,1.113722,0.594506,-0.471503
112,1958677186,0.689565,0.315026,-0.371349,0.536059,0.278664,1.031029,0.044577
113,1958710520,0.687511,0.312332,-0.374676,0.537955,0.165395,0.142531,0.458510
114,1958743854,0.686085,0.308967,-0.378592,0.538976,0.184860,-0.077585,0.413097
115,1958777188,0.684083,0.307883,-0.381269,0.540252,-0.898048,0.839300,-0.276450
116,1958810522,0.683038,0.304596,-0.384092,0.541438,0.736880,-0.612361,0.067611
117,1958843856,0.682793,0.301805,-0.385680,0.542180,-0.178189,-0.172135,0.157433
118,1958877190,0.683420,0.299984,-0.385931,0.542221,-0.642688,0.155421,0.191249
119,1958910524,0.683941,0.300291,-0.383770,0.542927,-0.510606,-0.539020,0.083840
120,1958943858,0.684522,0.299914,-0.381454,0.544034,-0.100031,-0.881257,0.428296
121,1958977192,0.685303,0.298750,-0.378360,0.545850,0.595739,-0.850398,-0.088159
122,1959010526,0.687071,0.297488,-0.374785,0.546783,0.364819,-0.417942,0.029421
123,1959043860,0.689048,0.297497,-0.370391,0.547282,-0.013533,0.027602,-0.430330
124,1959077194,0.690367,0.297975,-0.365448,0.548682,-1.554986,-0.672208,1.073685
