sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:45:29_809 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2127347226,-0.168934,0.574028,0.315788,0.736364,-0.119022,0.068728,-0.048806
2,2127380560,-0.169747,0.574585,0.315131,0.736024,-0.147557,0.111767,-0.060329
3,2127413894,-0.170945,0.574927,0.315003,0.735534,-0.041400,0.071946,0.087389
4,2127447228,-0.172134,0.575204,0.314698,0.735171,-0.015229,0.035348,0.083245
5,2127480562,-0.173444,0.575364,0.314686,0.734742,-0.082309,0.014247,0.139195
6,2127513896,-0.174667,0.575397,0.314857,0.734353,-0.002932,-0.023953,0.143008
7,2127547230,-0.175459,0.575499,0.314877,0.734076,-0.041249,-0.017751,0.050661
8,2127580564,-0.175990,0.575631,0.314907,0.733833,-0.051759,-0.027233,0.043106
9,2127613898,-0.176431,0.575802,0.314905,0.733594,-0.046381,-0.019002,0.011313
10,2127647232,-0.176960,0.576007,0.314749,0.733373,-0.000070,0.001858,-0.033912
11,2127680566,-0.177567,0.576210,0.314579,0.733139,0.025011,0.011183,-0.002650
12,2127713900,-0.178254,0.576277,0.314604,0.732909,0.047173,-0.036360,0.113893
13,2127747234,-0.178815,0.576224,0.314689,0.732777,0.073625,-0.004390,0.129367
14,2127780568,-0.179238,0.576046,0.314773,0.732778,0.077674,0.074509,0.079985
15,2127813902,-0.179674,0.575719,0.315045,0.732811,0.048122,0.083758,0.113999
16,2127847236,-0.180110,0.575366,0.315192,0.732918,0.032066,0.081091,0.092444
17,2127880570,-0.180575,0.575028,0.315269,0.733036,-0.021854,0.088449,0.013261
18,2127913904,-0.181200,0.574723,0.315535,0.733006,-0.069088,0.030241,0.029058
19,2127947238,-0.181782,0.574600,0.315630,0.732917,-0.083439,0.008910,0.033916
20,2127980572,-0.182298,0.574648,0.315707,0.732719,-0.079741,-0.012583,0.007048
21,2128013906,-0.182718,0.574805,0.315782,0.732459,-0.042182,-0.005926,-0.012221
22,2128047240,-0.183125,0.575068,0.315803,0.732141,-0.038579,0.023947,0.026171
23,2128080574,-0.183541,0.575385,0.315752,0.731810,0.019193,0.026535,0.042645
24,2128113908,-0.183911,0.575645,0.315704,0.731533,0.057784,0.056579,0.070819
25,2128147242,-0.184301,0.575724,0.315836,0.731316,0.099529,0.077140,0.100642
26,2128180576,-0.184800,0.575509,0.316299,0.731160,0.035395,0.036446,0.095469
27,2128213910,-0.185291,0.575239,0.316831,0.731017,0.091816,0.006599,0.110265
28,2128247244,-0.185277,0.575119,0.316808,0.731125,0.009640,-0.031584,0.011007
29,2128280578,-0.185222,0.575002,0.316902,0.731190,-0.043517,-0.012171,0.065217
30,2128313912,-0.185183,0.574962,0.316825,0.731265,-0.010143,-0.042829,0.038052
31,2128347246,-0.185089,0.574986,0.316708,0.731321,-0.085708,-0.012124,0.016443
32,2128380580,-0.185080,0.574966,0.316905,0.731253,-0.084218,0.005729,0.072047
33,2128413914,-0.185116,0.574985,0.317170,0.731114,-0.087857,0.006831,0.018649
34,2128447248,-0.185311,0.575143,0.317429,0.730828,-0.074101,0.024322,0.040905
35,2128480582,-0.185418,0.575573,0.317152,0.730583,0.032424,0.047925,0.098166
36,2128513916,-0.185530,0.576074,0.316506,0.730440,0.039488,0.045504,0.148121
37,2128547250,-0.185695,0.576347,0.315966,0.730415,0.121479,0.054094,0.164216
38,2128580584,-0.185799,0.576244,0.315818,0.730535,0.008444,0.044042,0.074653
39,2128613918,-0.186175,0.575824,0.316408,0.730515,-0.087507,-0.027526,0.066242
40,2128647252,-0.186481,0.575526,0.316838,0.730485,-0.079304,-0.035626,0.034275
41,2128680586,-0.186756,0.575425,0.316979,0.730433,-0.127976,0.023209,-0.047744
42,2128713920,-0.187336,0.575259,0.317555,0.730165,-0.108699,0.049175,0.029332
43,2128747254,-0.188070,0.575010,0.318406,0.729803,-0.088139,0.054918,0.009413
44,2128780588,-0.188932,0.574786,0.319374,0.729333,-0.057115,0.054736,0.034153
45,2128813922,-0.189850,0.574677,0.320124,0.728851,0.005426,0.026222,0.107521
46,2128847256,-0.190813,0.574597,0.320745,0.728390,0.020954,-0.018696,0.119998
47,2128880590,-0.191614,0.574468,0.321353,0.728013,0.066120,0.008299,0.084814
48,2128913924,-0.192234,0.574213,0.322133,0.727706,0.051756,-0.001195,0.068894
49,2128947258,-0.192840,0.573887,0.322904,0.727461,0.068158,-0.042320,0.085210
50,2128980592,-0.193407,0.573631,0.323411,0.727287,0.052949,-0.019057,0.081334
51,2129013926,-0.193732,0.573446,0.323736,0.727202,0.042040,-0.068348,0.094880
52,2129047260,-0.193713,0.573324,0.323900,0.727230,0.012705,-0.030327,0.065330
53,2129080594,-0.193463,0.573277,0.323969,0.727304,0.003576,-0.018411,0.143850
54,2129113928,-0.193056,0.573261,0.323825,0.727488,-0.015196,0.031316,0.083342
55,2129147262,-0.192731,0.573164,0.323839,0.727644,-0.045956,0.091322,0.074191
56,2129180596,-0.192586,0.573004,0.323964,0.727754,-0.066915,0.060663,0.065647
57,2129213930,-0.192510,0.572948,0.323927,0.727834,-0.054256,0.041835,0.060644
58,2129247264,-0.192439,0.572974,0.323764,0.727905,-0.045791,0.018479,0.040766
59,2129280598,-0.192400,0.572988,0.323754,0.727909,-0.069450,-0.010145,0.064281
60,2129313932,-0.192329,0.573058,0.323801,0.727851,-0.026653,-0.039033,0.061848
61,2129347266,-0.192035,0.573269,0.323545,0.727877,-0.031723,-0.027810,0.059312
62,2129380600,-0.191760,0.573436,0.323414,0.727876,-0.052430,0.014059,0.073705
63,2129413934,-0.191425,0.573591,0.323319,0.727884,-0.007258,0.013999,0.073779
64,2129447268,-0.190969,0.573826,0.322948,0.727984,-0.030180,0.040587,0.075469
65,2129480602,-0.190631,0.574001,0.322727,0.728032,-0.096660,0.036035,0.035771
66,2129513936,-0.190434,0.574216,0.322579,0.727980,-0.038332,0.042050,0.106948
67,2129547270,-0.190098,0.574546,0.322106,0.728016,-0.075342,0.030701,0.037147
68,2129580604,-0.189979,0.574848,0.321976,0.727867,-0.008862,0.049773,0.030972
69,2129613938,-0.189725,0.575603,0.321709,0.727454,-0.105221,0.049211,0.045370
70,2129647272,-0.189801,0.575951,0.321777,0.727128,0.027717,0.124412,0.121760
71,2129680606,-0.189851,0.575969,0.321873,0.727059,-0.018613,0.083279,0.074360
72,2129713940,-0.189599,0.576060,0.321609,0.727169,-0.053818,-0.047296,0.115376
