sep=,
DeviceTag:,L_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_17:51:48_862 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2269259916,-0.118227,-0.386024,-0.161887,-0.900446,0.656074,0.147902,-0.915770
2,2269293250,-0.120909,-0.385290,-0.158667,-0.900977,0.294262,-0.059602,-1.027111
3,2269326584,-0.125914,-0.383951,-0.156844,-0.901182,0.093703,0.225837,-1.116566
4,2269359918,-0.133250,-0.382072,-0.155480,-0.901163,0.272481,0.180725,-0.893043
5,2269393252,-0.140825,-0.379956,-0.152926,-0.901342,-0.538122,0.988655,-0.160273
6,2269426586,-0.146316,-0.377410,-0.148111,-0.902341,-1.185222,0.881346,0.188943
7,2269459920,-0.148790,-0.375929,-0.149330,-0.902354,-0.620296,1.864480,-0.597337
8,2269493254,-0.149777,-0.376324,-0.159934,-0.900206,-0.005211,0.609497,-0.270857
9,2269526588,-0.152711,-0.375879,-0.165446,-0.898902,0.711230,-0.006595,0.373830
10,2269559922,-0.155981,-0.373314,-0.163668,-0.899734,0.613538,-0.154029,0.405250
11,2269593256,-0.156348,-0.369978,-0.161167,-0.901499,-0.052756,-0.063643,0.465545
12,2269626590,-0.154421,-0.366149,-0.161599,-0.903315,0.091149,-0.406320,0.532402
13,2269659924,-0.153022,-0.361053,-0.161039,-0.905701,-0.000759,-0.189708,1.043974
14,2269693258,-0.152196,-0.354302,-0.158526,-0.908944,-0.406979,-0.139979,0.400101
15,2269726592,-0.151927,-0.348449,-0.155577,-0.911756,-0.624385,-0.386735,0.624923
16,2269759926,-0.151963,-0.342899,-0.151234,-0.914581,-0.236891,-0.034282,0.843288
17,2269793260,-0.151563,-0.336628,-0.146513,-0.917740,-0.369339,-0.125143,0.405515
18,2269826594,-0.150380,-0.330987,-0.143018,-0.920534,-0.857520,-0.018101,0.605140
19,2269859928,-0.148267,-0.325991,-0.141106,-0.922951,-0.520843,0.075043,0.384390
20,2269893262,-0.146437,-0.321944,-0.142247,-0.924487,-0.109668,-0.348973,0.039242
21,2269926596,-0.147044,-0.317908,-0.140472,-0.926058,-0.099085,-0.618228,-0.165030
22,2269959930,-0.149895,-0.313728,-0.135391,-0.927781,0.059714,-0.383063,-0.590969
23,2269993264,-0.153969,-0.309787,-0.129311,-0.929305,0.186462,-0.389894,-0.878568
24,2270026598,-0.158450,-0.305251,-0.122722,-0.930944,-0.100898,-0.185613,-0.767102
25,2270059932,-0.159616,-0.302052,-0.119117,-0.932256,-1.379685,0.987297,-1.157753
26,2270093266,-0.154488,-0.304892,-0.122677,-0.931733,-1.483473,0.674493,-0.751039
27,2270126600,-0.146970,-0.312339,-0.128284,-0.929726,-0.785785,-0.030953,0.433327
28,2270159934,-0.141216,-0.322017,-0.130292,-0.927033,-0.424943,-0.235064,0.597169
29,2270193268,-0.138551,-0.331119,-0.124736,-0.924990,0.327282,-0.564487,1.327733
30,2270226602,-0.138727,-0.337311,-0.115812,-0.923886,0.913342,-0.334417,1.137730
31,2270259936,-0.140613,-0.339913,-0.111127,-0.923223,0.854307,-0.308299,-0.000908
32,2270293270,-0.144863,-0.339371,-0.110325,-0.922861,0.896290,-0.855377,-0.842226
33,2270326604,-0.152756,-0.335096,-0.108650,-0.923349,1.068881,-0.933636,-1.628074
34,2270359938,-0.163772,-0.327363,-0.105417,-0.924609,0.680969,-0.724027,-1.914508
35,2270393272,-0.175999,-0.317058,-0.102540,-0.926276,-0.191631,-0.268719,-2.331136
36,2270426606,-0.187695,-0.306553,-0.103515,-0.927407,-0.697705,-0.037048,-2.469398
37,2270459940,-0.198404,-0.297922,-0.107953,-0.927484,-0.862674,-0.116588,-1.998738
38,2270493274,-0.208288,-0.290404,-0.110485,-0.927404,-0.862292,0.290496,-1.384243
39,2270526608,-0.216383,-0.284437,-0.110094,-0.927446,-0.312365,0.727262,-1.287379
40,2270559942,-0.220527,-0.279486,-0.103408,-0.928744,-0.432202,0.466498,-1.377566
41,2270593276,-0.222200,-0.277776,-0.086085,-0.930623,0.089451,1.375139,-0.673051
42,2270626610,-0.220906,-0.281093,-0.075206,-0.930878,0.501159,1.377675,0.170194
43,2270659944,-0.219501,-0.285842,-0.070987,-0.930095,-0.188047,0.641744,1.555147
44,2270693278,-0.218687,-0.289229,-0.069938,-0.929319,0.070274,0.248504,1.372582
45,2270726612,-0.218929,-0.291235,-0.073436,-0.928365,0.275948,-0.003089,1.296593
46,2270759946,-0.219687,-0.291970,-0.078283,-0.927559,0.419166,-0.189938,1.113510
47,2270793280,-0.219123,-0.293195,-0.085352,-0.926682,0.517779,-0.206840,0.265520
48,2270826614,-0.217620,-0.295644,-0.092254,-0.925596,-0.110010,-0.603259,0.338007
49,2270859948,-0.216983,-0.297468,-0.094603,-0.924924,-0.373030,-0.187122,0.472833
50,2270893282,-0.217755,-0.298679,-0.094402,-0.924373,-0.705237,0.140645,0.266899
51,2270926616,-0.219050,-0.299840,-0.092780,-0.923855,-0.743291,0.312613,0.295599
52,2270959950,-0.220404,-0.300986,-0.091749,-0.923263,-0.166647,0.321270,0.356482
53,2270993284,-0.221917,-0.302244,-0.090850,-0.922578,-0.176596,0.064110,-0.022685
54,2271026618,-0.222562,-0.303444,-0.089235,-0.922186,0.375861,-0.214453,0.188210
55,2271059952,-0.221538,-0.304756,-0.087569,-0.922160,0.213199,-0.890985,0.147757
56,2271093286,-0.219495,-0.307008,-0.087745,-0.921885,-0.318610,-0.870578,0.804414
57,2271126620,-0.218923,-0.309289,-0.088468,-0.921189,-0.461479,-0.788228,1.541768
58,2271159954,-0.224152,-0.309352,-0.084666,-0.920267,-0.599904,-0.420226,2.211567
59,2271193288,-0.233945,-0.306736,-0.075646,-0.919491,-0.475401,0.895742,1.618590
60,2271226622,-0.243520,-0.304490,-0.069787,-0.918214,-0.056965,1.039462,0.918621
61,2271259956,-0.250983,-0.303794,-0.067510,-0.916604,0.470290,0.403446,0.419540
62,2271293290,-0.256732,-0.303472,-0.065225,-0.915282,0.757321,-0.285063,-0.191985
63,2271326624,-0.261212,-0.303001,-0.063186,-0.914313,0.649757,-0.441416,-0.144509
64,2271359958,-0.264823,-0.302894,-0.065611,-0.913139,0.280891,-0.600643,-0.365968
65,2271393292,-0.268207,-0.303435,-0.072398,-0.911457,-0.314407,-0.755855,-0.093685
66,2271426626,-0.270906,-0.305182,-0.082920,-0.909176,-0.533717,-0.254638,-0.380777
67,2271459960,-0.274163,-0.309291,-0.091901,-0.905942,-0.905721,-0.495337,0.454713
68,2271493294,-0.279219,-0.312226,-0.090682,-0.903510,0.025153,0.546621,0.767158
69,2271526628,-0.284948,-0.313623,-0.085394,-0.901752,-0.075813,0.670294,-0.061519
70,2271559962,-0.290370,-0.313902,-0.078657,-0.900537,0.445103,1.023106,-0.474701
71,2271593296,-0.293389,-0.314626,-0.075258,-0.899595,0.733353,1.017610,-0.639524
72,2271626630,-0.293496,-0.315312,-0.074612,-0.899374,0.299304,0.644933,-0.343796
73,2271659964,-0.291172,-0.314966,-0.074336,-0.900273,0.025467,0.789107,-0.407363
