sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_17:44:53_804 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1854184948,-0.558409,0.384834,0.633348,0.372770,0.067322,0.031797,0.172776
2,1854218282,-0.558508,0.384702,0.633357,0.372744,0.064263,0.028440,0.173485
3,1854251616,-0.558578,0.384573,0.633418,0.372667,0.071999,-0.025713,0.171124
4,1854284950,-0.558647,0.384475,0.633481,0.372559,0.051182,-0.014882,0.181005
5,1854318284,-0.558720,0.384354,0.633557,0.372445,0.047570,-0.009709,0.167383
6,1854351618,-0.558749,0.384284,0.633614,0.372376,0.050958,0.018460,0.181407
7,1854384952,-0.558647,0.384374,0.633625,0.372417,0.080634,0.034069,0.182106
8,1854418286,-0.558642,0.384327,0.633702,0.372342,0.065876,0.040448,0.180132
9,1854451620,-0.558734,0.384187,0.633792,0.372196,0.036793,0.030110,0.187779
10,1854484954,-0.558735,0.384149,0.633841,0.372150,0.060754,-0.024091,0.180671
11,1854518288,-0.558790,0.384051,0.633900,0.372067,0.071339,-0.036765,0.174219
12,1854551622,-0.558797,0.383999,0.633976,0.371983,0.075208,-0.045497,0.182333
13,1854584956,-0.558746,0.384009,0.634052,0.371919,0.056624,-0.043948,0.185836
14,1854618290,-0.558768,0.383952,0.634134,0.371804,0.066221,-0.011092,0.172517
15,1854651624,-0.558874,0.383800,0.634219,0.371655,0.043661,0.021959,0.183076
16,1854684958,-0.558928,0.383673,0.634342,0.371497,0.044701,0.002383,0.163747
17,1854718292,-0.558958,0.383575,0.634450,0.371367,0.057976,-0.004928,0.188148
18,1854751626,-0.558999,0.383466,0.634537,0.371270,0.067190,0.001700,0.172129
19,1854784960,-0.559048,0.383368,0.634606,0.371180,0.072051,0.003578,0.186434
20,1854818294,-0.559070,0.383273,0.634732,0.371028,0.067926,-0.008412,0.177973
21,1854851628,-0.559087,0.383222,0.634809,0.370924,0.061918,0.006610,0.178033
22,1854884962,-0.559110,0.383186,0.634857,0.370845,0.068324,-0.011619,0.186303
23,1854918296,-0.559088,0.383204,0.634890,0.370803,0.067931,-0.013478,0.180406
24,1854951630,-0.559108,0.383163,0.634974,0.370671,0.075638,-0.034947,0.177137
25,1854984964,-0.559099,0.383202,0.634997,0.370606,0.038140,0.019436,0.184491
26,1855018298,-0.559035,0.383303,0.634994,0.370603,0.052018,0.033222,0.176770
27,1855051632,-0.559059,0.383266,0.635072,0.370471,0.051680,0.017762,0.194843
28,1855084966,-0.559077,0.383265,0.635118,0.370367,0.042521,-0.009021,0.197586
29,1855118300,-0.559119,0.383243,0.635137,0.370293,0.065291,-0.010515,0.171141
30,1855151634,-0.559195,0.383180,0.635187,0.370157,0.078905,-0.021400,0.160729
31,1855184968,-0.559166,0.383224,0.635247,0.370053,0.086728,-0.026983,0.180558
32,1855218302,-0.559152,0.383251,0.635290,0.369971,0.063165,0.015849,0.191336
33,1855251636,-0.559204,0.383219,0.635304,0.369903,0.038194,0.040391,0.181872
34,1855284970,-0.559209,0.383215,0.635355,0.369811,0.057710,0.012942,0.170375
35,1855318304,-0.559245,0.383141,0.635490,0.369601,0.048657,-0.018792,0.189289
36,1855351638,-0.559257,0.383113,0.635547,0.369516,0.047835,0.000574,0.191431
37,1855384972,-0.559243,0.383132,0.635550,0.369510,0.060758,0.010703,0.168996
38,1855418306,-0.559211,0.383141,0.635633,0.369408,0.050753,-0.035641,0.175629
39,1855451640,-0.559228,0.383097,0.635743,0.369239,0.064504,-0.037589,0.203422
40,1855484974,-0.559257,0.383051,0.635806,0.369134,0.045986,0.008134,0.173989
41,1855518308,-0.559218,0.383067,0.635880,0.369048,0.056144,0.015289,0.191567
42,1855551642,-0.559166,0.383085,0.635974,0.368945,0.069606,-0.010281,0.171146
43,1855584976,-0.559147,0.383067,0.636073,0.368824,0.052363,-0.010950,0.171346
44,1855618310,-0.559031,0.383169,0.636115,0.368821,0.061030,0.030320,0.174519
45,1855651644,-0.558931,0.383229,0.636201,0.368763,0.043711,-0.000323,0.175867
46,1855684978,-0.558928,0.383173,0.636349,0.368568,0.054739,-0.008745,0.200041
47,1855718312,-0.558877,0.383168,0.636441,0.368493,0.068852,-0.002811,0.173261
