sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_13:45:24_113 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3393103510,-0.787986,0.461912,-0.357741,0.194262,-0.377399,-1.158298,-2.838986
2,3393136844,-0.796973,0.451675,-0.358504,0.179725,0.059267,-0.523583,-2.111399
3,3393170178,-0.804347,0.444336,-0.357632,0.166410,0.202133,-0.102346,-1.074086
4,3393203512,-0.809220,0.439785,-0.357736,0.154205,-0.645087,-0.438359,-1.159154
5,3393236846,-0.812175,0.436604,-0.359258,0.143817,0.329785,-0.765309,0.247726
6,3393270180,-0.816269,0.429305,-0.361012,0.138111,0.506019,-0.108008,-0.087579
7,3393303514,-0.820269,0.420990,-0.363207,0.134197,0.259020,0.129974,0.252041
8,3393336848,-0.824876,0.410679,-0.364230,0.135130,0.736758,0.585069,0.125161
9,3393370182,-0.828890,0.401065,-0.364831,0.137800,-0.483366,0.629709,-1.109584
10,3393403516,-0.829916,0.397602,-0.366095,0.138304,-0.057451,-0.448039,-1.311005
11,3393436850,-0.829555,0.398162,-0.366015,0.139069,0.277355,-1.058437,-1.282570
12,3393470184,-0.830916,0.400283,-0.360768,0.138562,-0.735312,-2.279910,-3.050179
13,3393503518,-0.831805,0.410199,-0.349838,0.132108,-0.253152,-3.512295,-4.096016
14,3393536852,-0.833372,0.426178,-0.329827,0.122798,-0.100025,-5.088864,-5.338826
15,3393570186,-0.836905,0.446154,-0.298491,0.106962,0.447788,-3.637887,-4.782280
16,3393603520,-0.837759,0.471298,-0.261338,0.087988,0.025872,-1.799593,-3.647510
17,3393636854,-0.832720,0.501520,-0.224010,0.069829,1.386394,1.028877,-0.173748
18,3393670188,-0.822355,0.532521,-0.192605,0.055304,1.195473,3.283410,2.271959
19,3393703522,-0.811274,0.556794,-0.171997,0.047260,0.993530,5.373672,5.382412
20,3393736856,-0.804120,0.568833,-0.166369,0.046303,1.472206,6.206014,6.160303
21,3393770190,-0.802343,0.567581,-0.176773,0.053394,0.838183,5.477009,4.351177
22,3393803524,-0.800732,0.561004,-0.198979,0.067173,0.958484,3.792427,2.202089
23,3393836858,-0.798570,0.550506,-0.227318,0.086940,-0.048575,1.977922,0.272654
24,3393870192,-0.791382,0.544318,-0.256144,0.108738,-0.426336,-0.835400,-1.549369
25,3393903526,-0.781431,0.543489,-0.279646,0.125643,-0.638688,-2.794401,-0.769916
26,3393936860,-0.778158,0.538195,-0.292224,0.139368,-1.534224,-4.188591,-2.195791
27,3393970194,-0.775883,0.539312,-0.293445,0.145052,-1.248401,-4.896102,-2.409824
