sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_13:45:59_708 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3428704222,0.553415,-0.355542,-0.617511,-0.431302,-1.424308,-1.476007,-1.403818
2,3428737556,0.555185,-0.357919,-0.614381,-0.431533,-0.221287,-1.617568,-1.294300
3,3428770890,0.555555,-0.357760,-0.615247,-0.429952,0.452136,-0.792726,-0.792135
4,3428804224,0.555241,-0.355607,-0.618628,-0.427284,1.113438,-0.386553,-0.184841
5,3428837558,0.555369,-0.352288,-0.620524,-0.427118,1.693306,1.682127,1.015956
6,3428870892,0.559254,-0.348199,-0.619676,-0.426632,1.385743,1.268218,0.762655
7,3428904226,0.563731,-0.346243,-0.612743,-0.432307,1.351699,0.542914,-0.486252
8,3428937560,0.567650,-0.346187,-0.603466,-0.440202,0.003110,0.883047,-0.863442
9,3428970894,0.572876,-0.345077,-0.594203,-0.446854,-0.639296,0.495062,-0.986430
10,3429004228,0.579044,-0.340093,-0.586899,-0.452344,0.025602,0.082009,-0.020325
11,3429037562,0.585697,-0.333538,-0.579260,-0.458465,-0.356772,0.460037,0.429408
12,3429070896,0.592001,-0.328093,-0.570905,-0.464734,-1.268796,-0.719692,-0.027446
13,3429104230,0.599107,-0.321801,-0.563199,-0.469407,0.123698,-0.790694,0.528188
14,3429137564,0.606856,-0.314887,-0.554248,-0.474765,-0.157667,-0.682101,0.382279
15,3429170898,0.613075,-0.308393,-0.545012,-0.481680,-0.259568,-0.824950,-0.768031
16,3429204232,0.618412,-0.302563,-0.535048,-0.489660,0.713660,-0.159322,0.055443
17,3429237566,0.623716,-0.294876,-0.525758,-0.497620,-0.370549,-0.215837,0.029517
18,3429270900,0.628157,-0.287237,-0.516557,-0.506067,-0.642872,0.174220,-0.236787
19,3429304234,0.632222,-0.278904,-0.508364,-0.513901,-0.280672,0.502804,-0.365502
20,3429337568,0.636281,-0.271488,-0.499820,-0.521193,-0.618252,0.462117,-0.310261
21,3429370902,0.641124,-0.264235,-0.491547,-0.526823,-0.449241,0.078197,-0.251982
22,3429404236,0.646302,-0.255105,-0.484631,-0.531383,0.091321,0.454333,-0.308478
23,3429437570,0.650572,-0.245939,-0.477573,-0.536856,1.335014,-0.496053,-0.544990
24,3429470904,0.653701,-0.237576,-0.470441,-0.543082,0.811462,-0.333489,-0.283723
25,3429504238,0.656007,-0.227884,-0.462425,-0.551278,-0.435918,-0.126892,-0.156962
26,3429537572,0.658674,-0.216040,-0.454937,-0.559042,0.205166,0.098781,-0.263814
27,3429570906,0.660938,-0.203630,-0.448427,-0.566242,-0.037705,-0.139620,-0.143662
28,3429604240,0.663457,-0.189383,-0.440849,-0.574135,-0.406353,-0.414916,0.796552
29,3429637574,0.665524,-0.176439,-0.432728,-0.581992,-1.081029,-0.289225,0.140718
30,3429670908,0.667611,-0.163095,-0.423518,-0.590212,-0.961292,0.425322,0.101458
31,3429704242,0.669410,-0.147969,-0.416005,-0.597459,-0.701013,-0.130036,0.282147
32,3429737576,0.671232,-0.134086,-0.407286,-0.604655,-0.395566,-0.743852,-0.126775
33,3429770910,0.672836,-0.121500,-0.399176,-0.610909,0.208782,-0.128362,-0.353396
34,3429804244,0.673218,-0.107157,-0.391646,-0.618004,-0.663973,0.277149,0.521927
35,3429837578,0.673049,-0.092336,-0.385718,-0.624277,-0.134993,-0.231333,-0.595052
36,3429870912,0.672787,-0.079523,-0.379018,-0.630396,-1.059073,0.423295,-0.444974
37,3429904246,0.674035,-0.065274,-0.371238,-0.635310,-0.759303,0.667913,0.239660
38,3429937580,0.675999,-0.050866,-0.364113,-0.638655,-0.559768,0.533138,0.332627
39,3429970914,0.678303,-0.036924,-0.355672,-0.641919,-0.379039,0.255027,0.337078
40,3430004248,0.680045,-0.022947,-0.348564,-0.644621,0.486694,-0.114940,0.193441
41,3430037582,0.679677,-0.009054,-0.343777,-0.647916,-0.126553,-0.026276,-0.357947
42,3430070916,0.677790,0.007111,-0.341258,-0.651240,1.036543,-0.370876,0.261133
43,3430104250,0.674511,0.020871,-0.337208,-0.656438,-0.202072,-0.127056,0.758307
44,3430137584,0.670542,0.036227,-0.333795,-0.661561,-0.675888,0.136128,0.307647
45,3430170918,0.667254,0.050276,-0.330322,-0.665697,0.382673,0.103261,-0.128224
46,3430204252,0.665831,0.061615,-0.322141,-0.670163,-0.345485,0.371790,1.406433
47,3430237586,0.664892,0.072428,-0.313551,-0.674077,0.593553,0.786734,0.347563
48,3430270920,0.662999,0.081484,-0.309286,-0.676872,0.089111,1.424073,-0.740450
49,3430304254,0.661198,0.090573,-0.307119,-0.678463,-0.330348,0.738813,0.742102
50,3430337588,0.659887,0.099088,-0.305908,-0.679096,0.856050,0.250793,0.654348
51,3430370922,0.658574,0.105124,-0.306438,-0.679224,0.256893,0.573334,0.541246
52,3430404256,0.658935,0.108941,-0.306841,-0.678090,-0.550758,0.082527,0.421596
53,3430437590,0.661359,0.111207,-0.305935,-0.675768,-0.375822,-0.495561,0.575540
54,3430470924,0.667088,0.109536,-0.301754,-0.672281,-0.265414,-0.368804,0.423552
55,3430504258,0.672346,0.107742,-0.300922,-0.667690,-0.532004,0.207734,0.109073
56,3430537592,0.674769,0.109215,-0.303108,-0.664007,0.605994,-1.086400,0.798536
57,3430570926,0.676405,0.109471,-0.303209,-0.662252,1.029219,-0.156790,-0.097260
58,3430604260,0.676308,0.108171,-0.303270,-0.662536,0.941513,-0.141680,-0.229285
59,3430637594,0.675871,0.105484,-0.302465,-0.663783,-0.017094,-0.003537,-0.433783
60,3430670928,0.675591,0.102867,-0.301371,-0.664975,-0.697950,0.767855,-0.359060
61,3430704262,0.674324,0.102950,-0.302748,-0.665623,-0.287974,0.063365,0.484174
62,3430737596,0.673587,0.103104,-0.302621,-0.666402,-0.137249,0.214193,0.117147
63,3430770930,0.672367,0.103950,-0.304242,-0.666765,-0.206150,0.535813,-0.223274
64,3430804264,0.670603,0.105465,-0.306702,-0.667176,-0.158140,0.161983,-0.005341
65,3430837598,0.670001,0.105320,-0.307563,-0.667407,-0.131322,0.306646,0.137903
66,3430870932,0.670005,0.104856,-0.309085,-0.666772,-0.285557,0.536465,0.100559
67,3430904266,0.670481,0.104179,-0.310009,-0.665971,-0.490766,0.370866,0.137332
68,3430937600,0.673565,0.102656,-0.307613,-0.664204,-0.666634,0.268312,0.531826
69,3430970934,0.680216,0.096290,-0.300087,-0.661818,0.450674,-0.300960,0.725632
70,3431004268,0.688247,0.088728,-0.293332,-0.657587,-0.576420,1.028447,0.563542
71,3431037602,0.696055,0.082814,-0.290079,-0.651555,-0.007283,-0.094687,2.849678
72,3431070936,0.703812,0.074955,-0.288466,-0.644855,-0.186158,-0.580300,2.451423
73,3431104270,0.711360,0.067016,-0.290423,-0.636515,-0.990773,-0.169298,1.635009
74,3431137604,0.717513,0.060017,-0.297543,-0.626946,-0.053578,-0.592644,1.951135
75,3431170938,0.723127,0.051515,-0.306006,-0.617102,0.420711,-0.716531,1.565301
76,3431204272,0.727949,0.042222,-0.314463,-0.607817,0.188275,-0.352029,0.616259
77,3431237606,0.731465,0.033963,-0.323489,-0.599317,0.180408,0.047910,-0.419584
78,3431270940,0.732891,0.027075,-0.333411,-0.592448,0.646050,-0.075793,-0.529878
79,3431304274,0.733102,0.017637,-0.342699,-0.587221,0.378769,0.110015,-1.519067
80,3431337608,0.732652,0.005171,-0.351436,-0.582844,0.431331,-0.208312,-0.937912
81,3431370942,0.731448,-0.009169,-0.359497,-0.579381,0.230374,-0.024150,-0.914653
82,3431404276,0.729147,-0.023810,-0.368096,-0.576458,0.230843,0.378339,-0.557501
83,3431437610,0.725906,-0.036781,-0.377481,-0.573791,0.776333,0.338461,-0.342533
84,3431470944,0.722044,-0.050277,-0.386240,-0.571808,0.244076,0.826450,-0.062161
85,3431504278,0.717571,-0.062989,-0.395088,-0.570133,0.153803,0.598944,-0.245541
86,3431537612,0.712661,-0.074168,-0.404431,-0.568392,-0.022263,0.419497,-0.095344
87,3431570946,0.707649,-0.085694,-0.413005,-0.566867,0.217713,-0.243708,0.027638
88,3431604280,0.702957,-0.098626,-0.419704,-0.565679,-0.458237,-0.445290,-0.050923
89,3431637614,0.698811,-0.111807,-0.425066,-0.564361,-0.531809,-0.071596,-0.083875
90,3431670948,0.693931,-0.124024,-0.431771,-0.562737,0.096190,-0.052580,-0.158753
91,3431704282,0.688744,-0.135169,-0.438379,-0.561432,0.395488,-0.062131,-0.049954
92,3431737616,0.682588,-0.147487,-0.445603,-0.560161,-0.282529,0.348105,0.163390
93,3431770950,0.677334,-0.158884,-0.452391,-0.557976,-0.915359,0.207194,0.177321
94,3431804284,0.673936,-0.167289,-0.460085,-0.553324,-0.190802,-0.436227,1.080384
95,3431837618,0.671528,-0.173284,-0.468012,-0.547731,-0.912316,-0.042792,1.128222
96,3431870952,0.669987,-0.177755,-0.475063,-0.542085,-0.291421,-0.263842,-0.885453
97,3431904286,0.668224,-0.184583,-0.481997,-0.535822,0.550528,0.033765,-1.674183
98,3431937620,0.666270,-0.194067,-0.489117,-0.528401,0.388684,-0.294104,-1.096828
99,3431970954,0.663545,-0.204514,-0.496571,-0.520884,0.240287,-0.337006,-0.133889
100,3432004288,0.660323,-0.214613,-0.504725,-0.513019,0.001425,-0.191110,0.470087
101,3432037622,0.657017,-0.223035,-0.513271,-0.505131,0.120046,0.310911,0.988168
102,3432070956,0.654238,-0.229526,-0.521292,-0.497560,-0.382311,-0.410405,1.479943
103,3432104290,0.651984,-0.234711,-0.528313,-0.490647,-0.459531,-1.163196,0.069262
104,3432137624,0.648830,-0.242006,-0.535864,-0.483036,-0.640851,-1.063170,-1.165201
105,3432170958,0.645503,-0.250786,-0.544834,-0.472873,-1.488534,-0.148812,-1.030195
106,3432204292,0.642706,-0.259201,-0.555290,-0.459803,-1.569992,-0.956944,-0.381921
107,3432237626,0.641229,-0.264340,-0.568346,-0.442666,-1.109279,-0.338649,-0.453056
108,3432270960,0.639605,-0.267265,-0.583902,-0.422557,-0.488582,-0.177948,-0.289330
109,3432304294,0.638585,-0.266029,-0.600613,-0.400902,0.468179,-0.577590,-0.236806
110,3432337628,0.636169,-0.267019,-0.615531,-0.380963,0.831590,0.500970,-0.952968
111,3432370962,0.630775,-0.271212,-0.628597,-0.365312,0.658637,0.643776,0.189095
112,3432404296,0.627669,-0.276562,-0.636505,-0.352743,1.663321,-0.413018,-0.638263
113,3432437630,0.620926,-0.290423,-0.641194,-0.344959,0.751789,0.571898,0.127424
114,3432470964,0.614204,-0.301500,-0.645778,-0.338885,0.424615,-0.008126,-0.182977
115,3432504298,0.608961,-0.309926,-0.649558,-0.333477,1.885010,-0.250238,-1.468521
116,3432537632,0.602255,-0.320759,-0.651571,-0.331479,1.086780,0.489954,-1.631236
117,3432570966,0.594849,-0.331898,-0.654323,-0.328452,-1.121742,1.303145,-0.712801
118,3432604300,0.591893,-0.336498,-0.657037,-0.323658,-0.330407,-0.146471,0.220909
119,3432637634,0.591056,-0.339880,-0.656264,-0.323223,0.828444,-0.487196,-0.074742
120,3432670968,0.590153,-0.344701,-0.654576,-0.323189,-1.028922,0.401719,-0.837228
121,3432704302,0.589126,-0.349385,-0.656017,-0.317052,-2.142769,0.227226,1.649076
122,3432737636,0.594856,-0.345224,-0.658723,-0.305075,0.622725,-0.066884,3.340399
123,3432770970,0.603993,-0.330082,-0.662226,-0.296168,4.438775,-0.076811,0.851337
124,3432804304,0.606606,-0.325302,-0.662406,-0.295715,-0.561867,0.836097,-0.652078
125,3432837638,0.610695,-0.320539,-0.663888,-0.289103,-2.805319,-0.822733,-0.129898
126,3432870972,0.619297,-0.308349,-0.665623,-0.279927,-0.777676,-0.197819,0.128829
127,3432904306,0.624146,-0.299000,-0.668388,-0.272616,0.959939,0.102302,0.142187
128,3432937640,0.626722,-0.295239,-0.669621,-0.267734,0.973509,0.260895,0.254816
129,3432970974,0.629207,-0.292778,-0.669178,-0.265711,0.045542,0.156104,0.386401
130,3433004308,0.632084,-0.289940,-0.667729,-0.265638,-0.223469,-0.522068,-0.400537
131,3433037642,0.633524,-0.288818,-0.666604,-0.266255,0.505815,-0.090088,0.036993
132,3433070976,0.634118,-0.289635,-0.663788,-0.270946,0.413351,-0.017619,0.500503
133,3433104310,0.633925,-0.292456,-0.659078,-0.279724,-0.563583,0.035854,0.532263
134,3433137644,0.634696,-0.295586,-0.652905,-0.289008,0.304773,-0.136519,-0.066843
135,3433170978,0.633169,-0.302833,-0.645817,-0.300551,0.703976,-0.191570,0.018128
136,3433204312,0.627728,-0.315446,-0.637672,-0.315985,0.093005,0.584483,-0.028441
137,3433237646,0.620832,-0.328609,-0.629604,-0.331969,-0.809747,0.729781,0.170817
138,3433270980,0.615838,-0.337415,-0.622238,-0.346027,-0.840290,0.691225,0.126068
