sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:18:16_258 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1070242322,0.645623,0.268863,-0.676055,0.232112,0.304609,-0.654077,0.096962
2,1070275656,0.644191,0.267249,-0.677278,0.234376,-0.336520,-0.033348,0.068896
3,1070308990,0.641288,0.267587,-0.678872,0.237321,0.627591,0.117703,0.215951
4,1070342324,0.637307,0.268345,-0.680834,0.241530,-0.072695,0.086429,0.322646
5,1070375658,0.633261,0.267196,-0.683792,0.245068,-0.286916,-0.181927,0.256833
6,1070408992,0.629954,0.264324,-0.686900,0.247992,-0.167634,-0.211977,0.141429
7,1070442326,0.626863,0.262219,-0.688960,0.252309,-0.117250,-0.265626,-0.098369
8,1070475660,0.622432,0.262483,-0.690638,0.258344,0.116446,-0.098772,0.050235
9,1070508994,0.617265,0.263225,-0.692842,0.264024,0.314195,0.153135,0.246294
10,1070542328,0.611744,0.264275,-0.695574,0.268600,0.379048,0.361217,-0.025498
11,1070575662,0.605927,0.266041,-0.698910,0.271368,-0.001827,0.230692,-0.196608
12,1070608996,0.600065,0.266236,-0.703001,0.273629,-0.578153,-0.147955,0.186468
13,1070642330,0.595025,0.265068,-0.706780,0.276022,-0.311354,-0.052981,0.367686
14,1070675664,0.591052,0.264353,-0.709103,0.279267,-0.351670,0.521912,0.190312
15,1070708998,0.587729,0.264601,-0.710360,0.282826,-0.342959,0.652966,0.283858
16,1070742332,0.585219,0.264194,-0.711107,0.286511,-0.157640,0.472564,0.187779
17,1070775666,0.583254,0.262504,-0.712231,0.289268,0.074908,0.102656,0.060121
18,1070809000,0.581358,0.260526,-0.713713,0.291215,0.150016,-0.061734,0.042268
19,1070842334,0.578856,0.259144,-0.715303,0.293520,0.125838,-0.174241,0.074216
20,1070875668,0.576232,0.258208,-0.716470,0.296645,0.099669,-0.006047,-0.030647
21,1070909002,0.573630,0.257028,-0.717949,0.299126,-0.024433,0.052316,0.097700
22,1070942336,0.571757,0.255132,-0.719318,0.301040,0.166643,0.294786,0.115552
23,1070975670,0.570175,0.252604,-0.720938,0.302296,0.031786,0.143880,-0.034000
24,1071009004,0.568486,0.249953,-0.722909,0.302972,-0.186728,-0.147543,0.282107
25,1071042338,0.567144,0.247858,-0.723829,0.305006,0.059567,-0.188613,0.014189
26,1071075672,0.565892,0.246108,-0.724421,0.307332,0.027921,-0.162601,0.143796
27,1071109006,0.564761,0.244634,-0.724615,0.310120,0.227569,0.221183,-0.007024
28,1071142340,0.563808,0.242561,-0.725308,0.311857,0.064570,0.090326,0.003845
29,1071175674,0.563059,0.239746,-0.726360,0.312938,-0.097748,0.144512,0.130495
30,1071209008,0.562747,0.236518,-0.727298,0.313774,-0.248157,0.194244,0.085958
31,1071242342,0.562789,0.233051,-0.728190,0.314223,-0.402930,0.095400,0.199449
32,1071275676,0.562953,0.229604,-0.728906,0.314809,-0.242350,-0.012307,0.106557
33,1071309010,0.563311,0.226046,-0.729548,0.315254,-0.066880,-0.109689,0.084171
34,1071342344,0.563828,0.222272,-0.730301,0.315270,-0.263903,-0.075552,0.133068
35,1071375678,0.564230,0.218635,-0.731179,0.315059,-0.457531,-0.364921,0.103653
36,1071409012,0.564773,0.215641,-0.731572,0.315237,-0.175913,-0.111087,0.136122
37,1071442346,0.565624,0.212409,-0.732009,0.314891,-0.095815,-0.010175,0.057563
38,1071475680,0.566542,0.208713,-0.732868,0.313712,-0.261527,-0.099119,0.118346
39,1071509014,0.567532,0.205002,-0.733741,0.312326,-0.473014,-0.083045,0.190109
40,1071542348,0.568493,0.201770,-0.734304,0.311357,-0.431517,-0.057458,0.118923
41,1071575682,0.569071,0.199405,-0.734768,0.310733,-0.347801,-0.152546,0.106357
42,1071609016,0.569266,0.198105,-0.735003,0.310651,-0.493861,-0.133542,0.145092
43,1071642350,0.569308,0.197687,-0.734846,0.311209,-0.284749,-0.010706,0.048980
44,1071675684,0.568886,0.197972,-0.734753,0.312020,-0.501498,-0.044262,0.185875
45,1071709018,0.568148,0.199412,-0.734324,0.313453,-0.542356,-0.103238,0.137226
46,1071742352,0.567251,0.201806,-0.733444,0.315599,-0.364092,-0.047592,0.149312
47,1071775686,0.566361,0.204368,-0.732574,0.317563,-0.163174,-0.120629,0.097049
48,1071809020,0.565586,0.206775,-0.731781,0.319209,-0.029517,-0.235950,0.104271
49,1071842354,0.565069,0.208747,-0.731043,0.320531,0.123069,-0.119320,0.076356
50,1071875688,0.565082,0.209590,-0.730649,0.320854,0.345194,0.079619,0.113478
51,1071909022,0.565784,0.208323,-0.731046,0.319537,0.334858,0.144640,0.118804
52,1071942356,0.567036,0.205417,-0.732096,0.316781,0.241657,0.215092,0.107939
53,1071975690,0.568677,0.201977,-0.733157,0.313582,0.062365,0.143908,0.197689
54,1072009024,0.570505,0.198500,-0.734066,0.310342,-0.078257,0.005831,0.115362
55,1072042358,0.572155,0.195934,-0.734672,0.307485,-0.139187,-0.010248,0.060808
56,1072075692,0.573317,0.194689,-0.734909,0.305540,-0.356854,0.125213,0.039583
57,1072109026,0.573716,0.195018,-0.734885,0.304638,-0.552468,-0.065839,0.133778
58,1072142360,0.573076,0.197774,-0.734257,0.305579,-0.705543,-0.012552,0.064677
59,1072175694,0.571299,0.203208,-0.732991,0.308367,-0.740410,-0.034951,0.134552
60,1072209028,0.568679,0.211256,-0.730722,0.313147,-0.601581,-0.046795,0.145809
61,1072242362,0.565291,0.220469,-0.728183,0.318796,-0.514219,-0.238986,0.019577
62,1072275696,0.561156,0.230653,-0.725370,0.325244,-0.461498,-0.229885,0.066949
63,1072309030,0.556650,0.241675,-0.722024,0.332351,-0.251981,-0.086793,0.110423
64,1072342364,0.551968,0.252775,-0.718550,0.339358,-0.127056,-0.094109,0.105702
65,1072375698,0.547394,0.263255,-0.715150,0.345919,0.025303,-0.051005,0.174809
66,1072409032,0.543228,0.272723,-0.712104,0.351389,0.050360,-0.076410,0.078978
67,1072442366,0.539552,0.281159,-0.709401,0.355845,0.223308,-0.261122,0.054064
