sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:15:09_687 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,883671924,0.706039,0.259585,-0.597076,0.278686,-0.106413,-0.138151,-0.018962
2,883705258,0.705560,0.260232,-0.597136,0.279165,-0.174382,-0.042282,0.174535
3,883738592,0.704799,0.261388,-0.597119,0.280043,-0.146718,0.048812,0.164243
4,883771926,0.704176,0.262353,-0.597112,0.280722,-0.142256,0.186387,0.153916
5,883805260,0.703675,0.263092,-0.597135,0.281237,-0.152196,0.163850,0.094489
6,883838594,0.703275,0.264016,-0.596871,0.281933,-0.102316,0.110427,0.190685
7,883871928,0.703259,0.264695,-0.596332,0.282476,-0.107792,0.076607,0.223066
8,883905262,0.703475,0.265229,-0.595558,0.283071,-0.092941,0.075042,0.147729
9,883938596,0.703697,0.265828,-0.594683,0.283795,-0.010110,0.061221,0.155367
10,883971930,0.703917,0.266337,-0.593890,0.284433,0.035464,-0.039641,0.093248
11,884005264,0.703681,0.267321,-0.593258,0.285410,-0.041128,-0.147475,-0.017203
12,884038598,0.702673,0.269339,-0.592714,0.287121,-0.055473,-0.151796,-0.011303
13,884071932,0.701434,0.271716,-0.592187,0.288992,0.018555,-0.023977,0.083673
14,884105266,0.700666,0.273438,-0.591628,0.290373,0.133094,0.022124,0.247879
15,884138600,0.700614,0.274102,-0.590986,0.291179,0.213026,0.040996,0.224145
16,884171934,0.701158,0.273705,-0.590421,0.291388,0.224883,-0.068173,0.097814
17,884205268,0.702040,0.272684,-0.589987,0.291102,0.109017,-0.185731,0.052821
18,884238602,0.703054,0.271526,-0.589579,0.290561,0.071420,-0.252332,0.074730
19,884271936,0.704010,0.270578,-0.589130,0.290042,0.081398,-0.276402,0.086795
20,884305270,0.704752,0.269897,-0.588700,0.289747,0.088077,-0.292741,0.082562
21,884338604,0.705178,0.269581,-0.588363,0.289691,0.094824,-0.242979,0.048147
22,884371938,0.705295,0.269441,-0.588279,0.289707,0.020320,-0.253236,0.005395
23,884405272,0.705214,0.269301,-0.588460,0.289667,-0.031955,-0.201307,0.044598
