sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:15:09_676 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,883705258,0.736703,-0.484413,-0.200433,0.427132,-0.303064,0.115355,0.134507
2,883738592,0.738739,-0.482499,-0.200642,0.425683,-0.178747,-0.011727,0.079274
3,883771926,0.741067,-0.480039,-0.200524,0.424473,0.491323,0.242738,0.390487
4,883805260,0.743640,-0.476830,-0.199581,0.424033,0.220786,-0.113876,0.181591
5,883838594,0.744954,-0.475040,-0.199118,0.423953,0.437495,-0.128525,0.149553
6,883871928,0.745948,-0.473272,-0.198123,0.424648,0.223232,-0.313006,0.457961
7,883905262,0.747781,-0.469776,-0.196252,0.426172,0.133402,-0.351414,0.156405
8,883938596,0.749502,-0.466227,-0.194439,0.427873,0.232274,-0.042108,0.142885
9,883971930,0.752203,-0.460507,-0.192282,0.430297,1.089846,-0.219982,0.057958
10,884005264,0.754488,-0.454236,-0.191259,0.433406,0.852309,0.090289,-0.831508
11,884038598,0.755092,-0.450483,-0.192338,0.435788,0.326248,0.326295,-0.854483
12,884071932,0.755849,-0.447632,-0.194421,0.436487,0.191315,-0.062557,-0.272406
13,884105266,0.758524,-0.442766,-0.195681,0.436248,0.338681,-0.087643,-0.098393
14,884138600,0.762144,-0.436509,-0.195642,0.436261,0.676592,-0.003616,-0.030195
15,884171934,0.763517,-0.432334,-0.197024,0.437394,0.284148,-0.111520,0.074947
16,884205268,0.763468,-0.429759,-0.199620,0.438838,0.097769,0.035210,-0.011741
17,884238602,0.763489,-0.427410,-0.202203,0.439913,-0.457684,-0.361588,0.303341
18,884271936,0.764162,-0.424921,-0.203799,0.440419,-0.025871,0.370996,0.367547
19,884305270,0.764468,-0.424712,-0.204506,0.439761,-0.188789,0.288199,0.331059
20,884338604,0.765330,-0.424246,-0.204490,0.438717,0.384735,0.589262,0.297549
21,884371938,0.765680,-0.423999,-0.204536,0.438322,0.348230,0.401700,-0.270044
22,884405272,0.765086,-0.424900,-0.205773,0.437909,0.160812,0.443908,-0.235018
23,884438606,0.762464,-0.429070,-0.208480,0.437136,0.369044,0.400734,-0.262371
24,884471940,0.758475,-0.435470,-0.211222,0.436429,0.736085,0.514588,0.113447
25,884505274,0.753780,-0.442934,-0.214080,0.435659,0.391599,0.451171,0.094014
26,884538608,0.747941,-0.450288,-0.218054,0.436212,1.618139,0.522848,0.155899
27,884571942,0.740753,-0.456454,-0.222733,0.439692,2.091338,1.527610,-0.219891
28,884605276,0.732253,-0.461109,-0.227386,0.446635,1.834955,1.558674,0.198155
29,884638610,0.723949,-0.463670,-0.233733,0.454181,2.107808,0.438871,-0.746770
30,884671944,0.716599,-0.463046,-0.240336,0.462943,0.864485,0.846218,0.058144
31,884705278,0.711816,-0.460818,-0.244792,0.470156,-0.989590,-0.315482,-0.220760
32,884738612,0.707584,-0.464063,-0.249071,0.471102,-2.853776,-0.368071,0.613370
33,884771946,0.705091,-0.471610,-0.248710,0.467523,-3.487502,-0.964381,1.900370
34,884805280,0.705735,-0.480523,-0.240670,0.461646,-3.530257,-0.824405,2.425522
35,884838614,0.710679,-0.487959,-0.225193,0.454008,-2.495219,-0.526844,1.749563
36,884871948,0.718877,-0.493244,-0.205088,0.444825,-1.521115,0.327158,0.727667
37,884905282,0.728632,-0.497811,-0.183970,0.432941,-0.911834,1.016808,0.292862
38,884938616,0.739276,-0.500255,-0.165215,0.419432,0.238933,0.479023,-0.596910
39,884971950,0.749655,-0.500503,-0.151954,0.405496,0.829324,0.211930,-1.888871
40,885005284,0.759530,-0.498003,-0.144643,0.392669,2.390534,0.139354,-1.153080
41,885038618,0.767262,-0.493857,-0.142922,0.383395,3.328176,-0.242602,-1.516976
42,885071952,0.770536,-0.491412,-0.146912,0.378430,3.403053,0.203209,-1.131233
43,885105286,0.770656,-0.489060,-0.155046,0.377985,3.179031,-0.018088,-0.513836
44,885138620,0.770281,-0.484765,-0.164761,0.380167,1.852899,0.621265,-0.073764
45,885171954,0.769631,-0.481210,-0.173705,0.382015,0.626167,1.195891,0.496736
46,885205288,0.769030,-0.479787,-0.180898,0.381676,-0.447918,1.170840,0.376322
47,885238622,0.769341,-0.480598,-0.186231,0.377442,-1.442368,1.379187,0.883370
48,885271956,0.773329,-0.481424,-0.185569,0.368458,-1.815993,2.084816,1.625533
49,885305290,0.782107,-0.481960,-0.175097,0.354073,-1.373173,2.420825,1.785583
50,885338624,0.794871,-0.482035,-0.155323,0.334217,-0.632495,2.221770,1.670546
51,885371958,0.811985,-0.478810,-0.127888,0.308333,-0.020048,1.934458,0.798496
52,885405292,0.831133,-0.472611,-0.096094,0.276814,0.404377,1.417409,-0.002114
53,885438626,0.851591,-0.462360,-0.062769,0.238912,0.548077,1.107214,-0.783096
54,885471960,0.873812,-0.445080,-0.030114,0.193526,0.473127,0.351708,-1.752943
55,885505294,0.894397,-0.424280,-0.002700,0.141551,0.530218,-0.397778,-2.363991
56,885538628,0.910046,-0.405219,0.015814,0.085828,-0.461996,-0.424649,-3.128985
57,885571962,0.922603,-0.384290,0.020976,0.026249,-2.397120,-2.284697,-4.499949
58,885605296,0.934359,-0.354001,0.011202,-0.039189,-1.901881,0.327635,-2.819421
59,885638630,0.942594,-0.318263,-0.008711,-0.100760,-1.673908,-1.104079,-0.902638
60,885671964,0.939825,-0.304536,-0.033553,-0.151208,0.418663,-3.990583,1.810450
61,885705298,0.931160,-0.310162,-0.052291,-0.184414,-0.327896,-5.904508,2.924217
62,885738632,0.924327,-0.316898,-0.064948,-0.202437,-1.057292,-4.111694,2.846725
63,885771966,0.919351,-0.324953,-0.073072,-0.209434,-0.740074,-2.078418,1.279729
64,885805300,0.913682,-0.339335,-0.077461,-0.209857,-0.757752,-1.535928,1.010170
65,885838634,0.909677,-0.350362,-0.080967,-0.207802,-0.512656,-0.789311,1.671723
66,885871968,0.907896,-0.356964,-0.083456,-0.203321,-0.280895,-0.368477,1.763939
67,885905302,0.906361,-0.364828,-0.082693,-0.196405,-0.458028,-0.322281,1.898300
68,885938636,0.905608,-0.372159,-0.080708,-0.186712,-0.655262,-0.989066,1.475280
69,885971970,0.906827,-0.375829,-0.077410,-0.174439,-0.065414,-0.642423,1.452195
70,886005304,0.908636,-0.378639,-0.071634,-0.160890,-0.278316,-0.669468,0.813995
71,886038638,0.910895,-0.380269,-0.065252,-0.146328,-0.210154,-0.694589,0.444840
72,886071972,0.913117,-0.381669,-0.059192,-0.130556,-0.270451,-0.133364,0.066689
73,886105306,0.914585,-0.384008,-0.053984,-0.114721,-0.533500,-0.273635,-0.511480
74,886138640,0.916145,-0.384851,-0.051096,-0.099801,-0.476884,-0.396509,-0.621759
75,886171974,0.917056,-0.386427,-0.050315,-0.084585,-0.250804,-0.705839,-0.530152
76,886205308,0.915856,-0.392545,-0.050934,-0.067275,-0.631103,-1.445584,-0.236474
77,886238642,0.913824,-0.399852,-0.053712,-0.046501,-0.688661,-2.384104,-0.245583
78,886271976,0.907758,-0.414933,-0.058528,-0.019592,-0.848230,-3.179616,0.034820
79,886305310,0.896831,-0.437255,-0.065519,0.014623,-1.243563,-3.189461,0.826185
80,886338644,0.881139,-0.463353,-0.075444,0.056658,-1.491027,-2.568780,0.395247
81,886371978,0.860191,-0.490854,-0.088422,0.106390,-1.811514,-2.967064,1.137159
82,886405312,0.836698,-0.513240,-0.103847,0.160439,-2.224278,-1.840411,1.003330
83,886438646,0.815790,-0.524507,-0.117305,0.213594,-2.203802,-2.086447,1.683852
84,886471980,0.800489,-0.522208,-0.127592,0.265026,-1.438177,-2.879118,0.963155
85,886505314,0.785350,-0.516483,-0.136721,0.312701,-1.306951,-1.132571,0.225224
86,886538648,0.767380,-0.516169,-0.145435,0.351496,-0.918755,-0.228854,-1.030330
87,886571982,0.748822,-0.522628,-0.156131,0.376500,0.417768,-0.190904,-1.842530
88,886605316,0.737100,-0.526979,-0.169260,0.387727,2.451798,0.850000,-1.698130
89,886638650,0.736951,-0.522236,-0.181561,0.388860,3.490731,2.763301,-1.566871
90,886671984,0.741755,-0.513136,-0.194747,0.385446,4.770194,2.960473,-1.902680
91,886705318,0.743988,-0.506294,-0.210300,0.382003,4.844321,4.253694,-0.550963
92,886738652,0.738105,-0.507781,-0.224540,0.383333,6.490790,3.918661,1.153080
93,886771986,0.727566,-0.512454,-0.232124,0.392632,5.617533,3.933474,1.362913
94,886805320,0.714925,-0.518007,-0.233380,0.407540,3.295178,3.157585,0.562479
95,886838654,0.700348,-0.525031,-0.234722,0.422805,1.217868,2.140261,0.499111
96,886871988,0.688694,-0.528296,-0.236361,0.436739,-1.206877,1.279601,-0.314184
97,886905322,0.679446,-0.531099,-0.238788,0.446397,-2.546266,0.241346,-0.088713
98,886938656,0.674855,-0.533719,-0.239946,0.449605,-3.645108,-0.082626,0.652045
99,886971990,0.676518,-0.536132,-0.234606,0.447045,-4.407677,0.012194,1.379443
100,887005324,0.685182,-0.537972,-0.220154,0.438916,-3.701202,-0.048467,0.972979
101,887038658,0.697627,-0.539375,-0.202346,0.425970,-1.340820,-0.016583,-0.298197
102,887071992,0.710246,-0.540396,-0.187443,0.410356,-0.706132,0.114949,-1.095641
103,887105326,0.722261,-0.539918,-0.178618,0.393608,0.878608,0.331897,-1.785959
104,887138660,0.728521,-0.542541,-0.179518,0.377734,2.697437,0.593449,-1.444481
105,887171994,0.728356,-0.547316,-0.188212,0.366774,3.802977,0.760217,-0.122495
106,887205328,0.725574,-0.548841,-0.199389,0.364092,4.294599,1.151641,0.873564
107,887238662,0.721165,-0.547650,-0.210308,0.368477,2.256199,1.911411,0.534624
108,887271996,0.714018,-0.548839,-0.221070,0.374279,1.477250,1.872934,0.819660
109,887305330,0.709897,-0.547439,-0.227930,0.380009,0.641178,2.395815,1.662122
110,887338664,0.714511,-0.539138,-0.225715,0.384526,-0.248365,3.310882,1.452941
111,887371998,0.724809,-0.530417,-0.213788,0.384197,-0.296051,3.699003,0.727141
112,887405332,0.738461,-0.525158,-0.194731,0.375458,-0.459277,2.487078,0.110008
113,887438666,0.756564,-0.519253,-0.171826,0.358422,-0.361191,2.248799,-0.123982
114,887472000,0.780935,-0.508066,-0.144862,0.333209,0.057503,1.562773,-1.057052
115,887505334,0.807072,-0.494872,-0.118506,0.299494,0.178165,0.210255,-1.888309
116,887538668,0.836449,-0.474653,-0.094527,0.257150,0.210177,-0.623427,-1.504941
117,887572002,0.868750,-0.443341,-0.073523,0.208136,0.202947,-1.139038,-2.483459
118,887605336,0.898287,-0.407121,-0.058934,0.154477,-0.919958,-1.335039,-3.631549
119,887638670,0.920349,-0.374501,-0.055244,0.098277,-0.904954,-1.855955,-3.188602
120,887672004,0.930373,-0.358963,-0.063138,0.039616,-0.388753,-2.036247,-1.856311
121,887705338,0.933549,-0.349937,-0.075744,-0.017216,-0.160961,-2.039790,0.937442
122,887738672,0.931796,-0.345259,-0.090489,-0.066084,-0.024851,-3.684057,1.649836
123,887772006,0.925757,-0.346932,-0.104317,-0.108319,-0.363147,-3.406239,1.643268
124,887805340,0.918666,-0.349324,-0.116970,-0.142642,-0.367328,-2.848388,1.659417
125,887838674,0.910979,-0.354608,-0.126025,-0.168794,-0.188994,-2.391538,2.954534
126,887872008,0.904826,-0.359828,-0.130113,-0.186783,-0.408936,-2.192818,2.598415
127,887905342,0.900757,-0.365257,-0.129172,-0.196320,-0.160745,-1.515525,3.078030
128,887938676,0.898417,-0.371768,-0.122457,-0.199107,-0.216354,-1.510704,2.832871
129,887972010,0.897824,-0.377656,-0.111705,-0.197010,-0.486632,-1.255962,1.505374
130,888005344,0.898436,-0.381909,-0.098971,-0.192784,-0.236366,-0.929630,1.326137
131,888038678,0.899195,-0.386651,-0.085181,-0.186272,-0.413065,-1.078884,0.366586
132,888072012,0.900592,-0.390296,-0.072946,-0.176877,-0.661695,-0.239272,0.016245
133,888105346,0.902711,-0.391483,-0.062906,-0.167033,-0.413306,-0.046558,-0.356400
134,888138680,0.903844,-0.394297,-0.053546,-0.157261,-0.631413,-0.064845,-0.612794
135,888172014,0.904718,-0.396768,-0.046923,-0.147858,-0.977803,-0.313709,-0.843284
136,888205348,0.905288,-0.399384,-0.042811,-0.138263,-0.761654,-0.700921,-0.364443
137,888238682,0.904756,-0.404761,-0.039109,-0.126722,-1.001467,-1.279602,0.023934
138,888272016,0.903760,-0.411530,-0.036711,-0.111876,-1.434480,-1.246093,0.072697
139,888305350,0.901629,-0.421040,-0.035475,-0.092392,-1.456757,-1.648527,0.325627
140,888338684,0.899163,-0.430825,-0.035682,-0.068010,-2.064304,-2.243083,0.234495
141,888372018,0.897723,-0.437118,-0.039512,-0.038256,-2.369736,-2.319777,-0.579978
142,888405352,0.894535,-0.444527,-0.046906,-0.002445,-2.225939,-2.555869,-0.213995
143,888438686,0.888048,-0.454597,-0.057026,0.038276,-1.796806,-2.524698,0.059342
144,888472020,0.879241,-0.464177,-0.068636,0.082269,-1.467719,-1.991775,0.111558
145,888505354,0.867610,-0.473481,-0.081312,0.128301,-0.860944,-1.534371,0.186606
146,888538688,0.853097,-0.482533,-0.094990,0.174265,-0.092717,-1.461231,0.327142
147,888572022,0.837692,-0.488297,-0.109312,0.218843,0.571040,-1.188690,0.642273
148,888605356,0.822971,-0.489329,-0.122480,0.261301,0.944082,-0.389883,0.704951
149,888638690,0.807812,-0.488762,-0.134656,0.300703,1.212414,-0.236671,0.322167
150,888672024,0.791893,-0.488295,-0.146130,0.336338,1.492472,-0.204797,0.109128
151,888705358,0.776304,-0.486760,-0.156775,0.368568,1.548801,-0.110198,-0.273243
152,888738692,0.759704,-0.486572,-0.167996,0.397338,1.676855,0.255856,0.120315
153,888772026,0.744826,-0.484121,-0.178121,0.423246,1.758889,0.246358,0.105862
154,888805360,0.730635,-0.480128,-0.188090,0.447522,1.536992,0.355800,-0.126401
155,888838694,0.714414,-0.478468,-0.199218,0.470104,1.409441,0.947521,0.015718
156,888872028,0.698222,-0.477100,-0.209985,0.490684,1.135245,0.720771,-0.211322
157,888905362,0.682251,-0.476179,-0.220593,0.509048,0.914317,0.968042,-0.331440
158,888938696,0.667152,-0.476472,-0.231204,0.523861,0.259421,1.065396,-0.335398
159,888972030,0.656395,-0.474959,-0.239474,0.534991,-0.183046,1.064425,-0.267032
160,889005364,0.650507,-0.471360,-0.245580,0.542544,-0.283574,1.035540,-0.601432
161,889038698,0.645758,-0.469365,-0.252887,0.546576,0.210602,1.389209,-0.006824
162,889072032,0.642053,-0.468644,-0.258943,0.548719,0.066538,1.803635,0.363524
163,889105366,0.640968,-0.466772,-0.262386,0.549947,-0.127716,1.297896,-0.347177
164,889138700,0.641152,-0.465099,-0.266052,0.549388,0.415475,1.590366,-0.595872
165,889172034,0.642534,-0.462801,-0.270129,0.547722,0.795394,1.473663,-0.997325
166,889205368,0.641535,-0.462670,-0.276148,0.546000,1.662126,2.490937,0.221005
167,889238702,0.638417,-0.464463,-0.281307,0.545497,1.416600,2.388164,0.356453
168,889272036,0.632523,-0.467832,-0.286595,0.546731,1.057364,1.799348,0.386538
169,889305370,0.625249,-0.471691,-0.291389,0.549242,0.864396,1.579378,0.960138
170,889338704,0.618676,-0.474201,-0.294044,0.553096,0.371322,1.069187,0.327050
171,889372038,0.611530,-0.478484,-0.296127,0.556235,-0.199255,0.336839,0.650983
172,889405372,0.607785,-0.481939,-0.295155,0.557870,-1.835932,0.230760,0.944506
173,889438706,0.609973,-0.483033,-0.290371,0.557046,-2.258919,-1.017850,0.199451
174,889472040,0.616475,-0.484140,-0.283425,0.552486,-2.759698,-1.634552,0.127900
175,889505374,0.628079,-0.483953,-0.273293,0.544628,-2.047508,-0.851117,0.315153
176,889538708,0.641921,-0.484131,-0.262928,0.533317,-1.429071,-0.223813,-0.674539
177,889572042,0.656359,-0.484984,-0.254853,0.518688,-0.636500,0.290173,-0.791617
178,889605376,0.671961,-0.482673,-0.247938,0.504009,1.064169,0.827948,-0.227494
179,889638710,0.685595,-0.478902,-0.243490,0.491252,1.509583,0.871074,-0.678747
180,889672044,0.693477,-0.478132,-0.243723,0.480710,2.343064,1.068701,-0.080468
181,889705378,0.697056,-0.478070,-0.245707,0.474546,2.561681,1.281280,0.140411
182,889738712,0.696551,-0.478404,-0.249958,0.472726,1.949178,0.929692,-0.238628
183,889772046,0.692404,-0.479631,-0.257444,0.473557,1.137621,1.058780,0.174061
184,889805380,0.687501,-0.479857,-0.264458,0.476597,1.309674,1.476335,0.288504
185,889838714,0.681962,-0.480783,-0.270450,0.480245,0.468220,1.732086,0.252261
186,889872048,0.676598,-0.482940,-0.275835,0.482600,-0.117634,1.921301,0.510260
187,889905382,0.672611,-0.486302,-0.278949,0.483007,-0.444521,2.110238,0.340354
188,889938716,0.672323,-0.489854,-0.276810,0.481045,-0.950486,2.601463,0.702422
189,889972050,0.677006,-0.493088,-0.269642,0.475209,-0.947605,2.793020,0.404642
190,890005384,0.686674,-0.495868,-0.257888,0.464855,-0.952076,2.631856,0.394054
191,890038718,0.701466,-0.497352,-0.242049,0.449447,-0.812445,2.626884,0.261950
192,890072052,0.721816,-0.496728,-0.222107,0.427685,-0.199240,2.128934,-0.206060
193,890105386,0.745848,-0.494422,-0.199983,0.399084,0.049907,1.368288,-0.773719
194,890138720,0.773094,-0.488501,-0.176759,0.363939,-0.038709,1.333389,-0.821892
195,890172054,0.805148,-0.474013,-0.151975,0.322421,0.897126,0.215855,-0.449250
196,890205388,0.839213,-0.450570,-0.127354,0.276574,1.340022,-0.485665,-0.232751
197,890238722,0.870447,-0.423258,-0.105239,0.228262,0.282389,-0.650251,-0.973185
198,890272056,0.894388,-0.400033,-0.090375,0.178547,-0.750520,-0.884378,-2.102582
199,890305390,0.911642,-0.381627,-0.085163,0.126575,-1.353913,-1.700746,-2.367198
200,890338724,0.925173,-0.361885,-0.088480,0.072583,-1.000696,-0.953457,-1.506074
201,890372058,0.937124,-0.335148,-0.095535,0.018739,-0.746718,-2.199897,-0.204600
202,890405392,0.943371,-0.311408,-0.109969,-0.031419,-0.374686,-1.389613,-0.453143
203,890438726,0.938987,-0.309766,-0.127948,-0.077346,0.269945,-1.488124,-0.558012
204,890472060,0.929054,-0.318437,-0.145481,-0.119559,0.043996,-2.557458,0.710459
205,890505394,0.917993,-0.326154,-0.162771,-0.156274,0.654468,-2.287171,1.176048
206,890538728,0.904795,-0.339261,-0.178077,-0.185851,0.801679,-2.652065,1.960759
207,890572062,0.893723,-0.349678,-0.190804,-0.206354,0.340626,-2.998698,2.535638
208,890605396,0.887604,-0.354245,-0.200570,-0.215511,0.450827,-2.345133,2.187351
209,890638730,0.883814,-0.360890,-0.203883,-0.216946,0.564063,-1.998179,1.565885
210,890672064,0.879845,-0.372762,-0.201715,-0.215026,0.300894,-1.266653,1.557113
211,890705398,0.876077,-0.386137,-0.196506,-0.211604,0.124677,-0.795130,1.155349
212,890738732,0.873150,-0.398476,-0.189882,-0.206822,0.039220,-1.497710,1.186300
213,890772066,0.871815,-0.408606,-0.182263,-0.199409,-0.417488,-1.269368,1.177556
214,890805400,0.871172,-0.418171,-0.174560,-0.189010,-0.846160,-0.702237,1.013629
215,890838734,0.869930,-0.428927,-0.166598,-0.177463,-0.676588,-0.425047,0.877005
216,890872068,0.869009,-0.438870,-0.158378,-0.164730,-1.545492,-0.749545,0.148633
217,890905402,0.869224,-0.445835,-0.152536,-0.149726,-1.561363,-0.338194,0.629802
218,890938736,0.870149,-0.450946,-0.147365,-0.133328,-1.400899,-0.116210,0.381575
219,890972070,0.870941,-0.455856,-0.142112,-0.116043,-1.889191,-0.682372,-0.026783
220,891005404,0.872600,-0.458426,-0.137736,-0.097199,-1.625108,-0.847558,0.079475
221,891038738,0.875080,-0.458908,-0.133178,-0.076840,-0.938679,-1.251764,0.425605
222,891072072,0.876424,-0.461139,-0.127409,-0.054796,-1.077983,-1.335048,-0.501944
223,891105406,0.876859,-0.463883,-0.122348,-0.031063,-0.542133,-1.994322,-0.117671
224,891138740,0.876477,-0.466418,-0.119272,-0.004576,-0.702046,-1.720392,-0.568181
225,891172074,0.874617,-0.469282,-0.118914,0.026115,-0.182736,-2.147385,0.534658
226,891205408,0.870648,-0.472880,-0.121441,0.060097,-0.358858,-1.930837,-0.445643
227,891238742,0.864363,-0.476842,-0.126822,0.097040,-0.297087,-2.104084,-0.350880
228,891272076,0.855448,-0.480905,-0.135143,0.136673,-0.145112,-1.927119,0.022302
229,891305410,0.844218,-0.484030,-0.145571,0.178393,0.209467,-1.637484,0.237568
230,891338744,0.830568,-0.486517,-0.156297,0.221432,0.740548,-1.568865,0.459989
231,891372078,0.812774,-0.491429,-0.167250,0.264437,0.938564,-1.047126,0.639612
232,891405412,0.794173,-0.493767,-0.177147,0.306766,1.195739,-0.955355,0.896677
233,891438746,0.775890,-0.492064,-0.185494,0.348517,0.991409,-0.684019,0.065864
234,891472080,0.753714,-0.493383,-0.195058,0.387872,0.980148,-0.207721,0.197768
235,891505414,0.730392,-0.495160,-0.204651,0.423634,0.900825,0.063348,0.455175
236,891538748,0.709302,-0.494322,-0.212575,0.455358,0.453169,0.385322,0.017833
237,891572082,0.690270,-0.492926,-0.220002,0.481824,0.710032,0.837423,0.204461
238,891605416,0.676690,-0.487460,-0.224307,0.504146,1.118125,1.516625,-0.026858
239,891638750,0.666918,-0.480327,-0.226799,0.522563,0.153977,1.588176,-0.813506
240,891672084,0.659377,-0.474281,-0.229627,0.536241,0.208922,1.759603,-1.001370
241,891705418,0.652852,-0.470423,-0.233966,0.545665,0.585333,1.572381,-0.651644
242,891738752,0.647674,-0.468080,-0.239394,0.551466,0.029402,1.196044,-0.825040
243,891772086,0.643295,-0.468289,-0.245698,0.553636,0.777918,0.986434,-0.227652
244,891805420,0.641643,-0.467398,-0.251064,0.553899,0.380202,0.838180,-0.247433
245,891838754,0.641805,-0.464450,-0.255991,0.553936,-0.237308,0.697627,-0.627893
246,891872088,0.640804,-0.463305,-0.263774,0.552400,0.058847,0.478760,-0.813038
247,891905422,0.642334,-0.460499,-0.270048,0.549932,0.371964,0.978070,0.062531
248,891938756,0.646722,-0.455445,-0.273203,0.547433,0.602462,1.638300,-0.004766
249,891972090,0.648675,-0.453984,-0.276534,0.544658,1.109086,2.171440,0.056829
250,892005424,0.647420,-0.456075,-0.278867,0.543213,1.480617,2.372626,0.296363
251,892038758,0.642970,-0.460197,-0.281819,0.543499,1.184119,2.302529,0.306733
252,892072092,0.635301,-0.466104,-0.286580,0.544991,1.075961,1.942411,0.299750
253,892105426,0.625393,-0.471834,-0.292736,0.548239,0.941419,1.559084,0.057030
254,892138760,0.616064,-0.476696,-0.297906,0.551799,0.091729,1.053439,0.560726
255,892172094,0.610521,-0.479837,-0.299573,0.554329,-0.749407,0.072583,0.383146
256,892205428,0.608148,-0.482791,-0.298702,0.554842,-1.280323,-0.934983,0.992505
257,892238762,0.611491,-0.484747,-0.293090,0.552449,-3.385218,-1.131743,0.840527
258,892272096,0.619445,-0.486143,-0.283078,0.547561,-2.847772,-0.509761,0.617322
259,892305430,0.630532,-0.486091,-0.271739,0.540654,-1.251973,-0.103780,0.176306
260,892338764,0.642998,-0.484741,-0.261055,0.532385,-0.767451,0.463090,-0.124920
261,892372098,0.654605,-0.483089,-0.252288,0.523901,0.008119,0.616019,-0.532363
262,892405432,0.663600,-0.482180,-0.247389,0.515693,0.972011,0.857665,-0.785254
263,892438766,0.670411,-0.480667,-0.244967,0.509415,1.877379,1.408513,-0.443774
264,892472100,0.674573,-0.478900,-0.243552,0.506252,1.864716,2.011972,-0.360577
265,892505434,0.674081,-0.480138,-0.244513,0.505271,1.563904,2.001755,-0.133513
266,892538768,0.672065,-0.481463,-0.245320,0.506304,1.204964,1.964069,0.276187
267,892572102,0.671754,-0.479990,-0.242645,0.509395,1.207362,2.828899,0.229580
268,892605436,0.672811,-0.477742,-0.237104,0.512711,1.095139,2.462449,-0.268739
269,892638770,0.672784,-0.479277,-0.233315,0.513052,0.719844,2.181872,-0.844171
270,892672104,0.671005,-0.486368,-0.233152,0.508766,0.021766,1.923112,-0.993955
271,892705438,0.672174,-0.494071,-0.232649,0.499953,-0.204112,1.764010,-0.142793
272,892738772,0.679347,-0.500568,-0.228594,0.485457,-0.715740,1.773020,-0.351413
273,892772106,0.691600,-0.507827,-0.220870,0.463704,-0.799346,1.156453,-0.472407
274,892805440,0.708506,-0.514885,-0.209674,0.434686,-0.613278,0.805903,0.259039
275,892838774,0.729415,-0.520038,-0.194469,0.399624,-0.375106,0.451399,0.121016
276,892872108,0.752092,-0.523028,-0.177123,0.359764,-0.800621,0.038778,-0.600147
277,892905442,0.777427,-0.520176,-0.159466,0.315591,-0.330304,-0.315750,-0.426429
278,892938776,0.803846,-0.510679,-0.143835,0.268987,0.014284,-1.295152,-0.700616
279,892972110,0.828721,-0.496931,-0.132427,0.220790,-0.929694,-1.022227,-1.619411
280,893005444,0.851540,-0.479072,-0.126782,0.171170,-0.780829,-1.704946,-1.465839
281,893038778,0.871271,-0.458444,-0.126322,0.121504,0.014648,-2.330000,-0.412123
282,893072112,0.886866,-0.436940,-0.130708,0.073964,-0.753205,-0.733992,-0.546562
