sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_13:26:25_686 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2254680742,-0.768458,-0.625403,0.134340,0.017238,1.011524,-0.384215,-0.484247
2,2254714076,-0.768682,-0.625106,0.133285,0.024625,0.683882,-0.945972,-0.562147
3,2254747410,-0.766177,-0.628230,0.131867,0.030190,-0.174236,-1.146646,-0.393893
4,2254780744,-0.760887,-0.634834,0.130090,0.033367,-0.545267,-0.422683,0.661083
5,2254814078,-0.755310,-0.641648,0.128316,0.036477,-0.977423,-0.471003,0.679552
6,2254847412,-0.749045,-0.649181,0.126021,0.040182,-1.446104,-0.773873,1.120867
7,2254880746,-0.743811,-0.655633,0.122040,0.044678,-1.903878,-0.549381,1.180091
8,2254914080,-0.740406,-0.660076,0.116323,0.050684,-2.540339,-0.516993,1.671681
9,2254947414,-0.742892,-0.658161,0.107859,0.057465,-1.896436,-0.393708,1.380477
10,2254980748,-0.746792,-0.655172,0.094582,0.064077,-1.393717,0.117109,1.684689
11,2255014082,-0.750099,-0.652899,0.077839,0.070828,-0.810457,-0.097059,0.332898
12,2255047416,-0.750443,-0.654065,0.059510,0.074106,0.434897,-0.533164,-2.100377
13,2255080750,-0.748195,-0.657830,0.043787,0.074471,1.184527,1.290441,-3.129953
14,2255114084,-0.753010,-0.653017,0.034665,0.073098,2.258259,1.597775,-3.678649
15,2255147418,-0.757144,-0.648024,0.036382,0.073989,2.992595,3.208168,-6.086975
16,2255180752,-0.753779,-0.650250,0.052611,0.078900,4.831826,2.345300,-5.840883
17,2255214086,-0.748983,-0.652196,0.078292,0.086808,5.091441,1.905389,-3.571462
18,2255247420,-0.749876,-0.645478,0.107745,0.097138,3.793372,-0.633614,-4.095240
19,2255280754,-0.746724,-0.641398,0.139725,0.107183,0.869457,-1.218120,-1.171559
20,2255314088,-0.745147,-0.634595,0.170632,0.113710,-1.760024,-1.091887,0.675829
21,2255347422,-0.747326,-0.625388,0.192023,0.116279,-2.704534,-1.487240,2.038448
22,2255380756,-0.751962,-0.617340,0.196166,0.122326,-4.001678,0.237343,6.763560
23,2255414090,-0.748338,-0.623905,0.185577,0.127651,-4.928861,-3.679398,5.246903
24,2255447424,-0.749740,-0.628410,0.158137,0.134104,-3.559693,-2.857378,2.848739
25,2255480758,-0.759590,-0.623558,0.124327,0.136899,-2.027694,-1.276435,0.222958
26,2255514092,-0.769786,-0.616258,0.097719,0.134561,-2.067021,-0.777302,-6.968194
27,2255547426,-0.772908,-0.616196,0.082208,0.127114,-0.296907,0.155086,-1.435665
28,2255580760,-0.781741,-0.608383,0.074297,0.115028,2.188209,0.989735,-3.130484
29,2255614094,-0.780027,-0.612018,0.075277,0.106422,5.113888,3.445209,-1.221680
