sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_13:26:46_280 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2275281154,-0.710688,-0.024627,0.702574,0.026921,-2.284862,-3.078690,1.656731
2,2275314488,-0.705521,-0.033850,0.707668,0.017870,-0.601802,4.327441,0.639654
3,2275347822,-0.701448,-0.041428,0.711409,0.013076,-0.184842,1.381608,-0.563743
4,2275381156,-0.699020,-0.041519,0.713763,0.014424,0.242149,0.366151,0.365904
5,2275414490,-0.698591,-0.038002,0.714274,0.018908,-0.095266,0.800149,0.575910
6,2275447824,-0.699634,-0.033189,0.713295,0.025289,-0.200612,0.606225,-0.056389
7,2275481158,-0.699956,-0.031751,0.712925,0.028458,0.349222,-0.882572,-0.028646
8,2275514492,-0.699994,-0.031127,0.712801,0.031191,-0.138679,-0.342146,0.477307
9,2275547826,-0.701580,-0.031202,0.711070,0.034783,-0.790437,0.730838,0.294212
10,2275581160,-0.704005,-0.033441,0.708477,0.036591,-0.403067,-0.883820,-0.363376
11,2275614494,-0.706983,-0.035965,0.705297,0.038171,-0.375169,0.242814,0.402159
12,2275647828,-0.709980,-0.038532,0.702015,0.040465,-0.683178,0.542218,0.059395
13,2275681162,-0.714887,-0.044155,0.696617,0.041597,-0.413202,-0.929965,-0.167042
14,2275714496,-0.721021,-0.053126,0.689607,0.042053,0.666554,-1.442986,0.216836
15,2275747830,-0.728375,-0.062138,0.681052,0.042371,-0.403262,-0.851414,0.153373
16,2275781164,-0.735727,-0.071884,0.672224,0.040889,0.337696,-0.401845,0.320425
17,2275814498,-0.743365,-0.079718,0.662927,0.040008,1.218711,0.730755,-0.012296
18,2275847832,-0.750654,-0.083446,0.654075,0.041970,0.728862,0.431260,-0.233215
19,2275881166,-0.756098,-0.085150,0.647442,0.043636,0.106846,1.603987,-0.117157
20,2275914500,-0.762544,-0.083608,0.639808,0.046923,0.305104,2.108492,-0.352335
21,2275947834,-0.769787,-0.081690,0.630866,0.052740,0.785416,0.227021,-0.898367
22,2275981168,-0.776666,-0.078017,0.622111,0.060826,0.194858,0.327839,0.137410
23,2276014502,-0.783484,-0.072331,0.613273,0.069549,-0.026499,-0.015888,-0.038198
24,2276047836,-0.789539,-0.067511,0.605040,0.077568,-0.124703,-0.738968,0.193570
25,2276081170,-0.796539,-0.062312,0.595336,0.085066,-0.320798,-0.422729,0.465397
26,2276114504,-0.803969,-0.059693,0.584674,0.090803,-0.782796,-0.895221,-0.666129
27,2276147838,-0.810921,-0.059591,0.574255,0.095427,-0.081902,-0.412252,0.113806
28,2276181172,-0.818872,-0.057572,0.562177,0.100547,0.574784,-0.374895,0.005150
29,2276214506,-0.826282,-0.055417,0.550372,0.106284,-0.501136,-0.854692,0.110930
30,2276247840,-0.834575,-0.054712,0.537095,0.109728,-0.764776,-1.018302,0.257915
31,2276281174,-0.842829,-0.056965,0.524085,0.108390,-0.417983,-0.698712,-0.178276
32,2276314508,-0.850185,-0.060939,0.512056,0.106251,0.315355,-0.171010,0.458534
33,2276347842,-0.857483,-0.063482,0.499664,0.105111,0.406908,0.123185,-0.130594
34,2276381176,-0.864118,-0.065561,0.487834,0.105065,1.026937,0.498338,-0.155608
