sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:12:12_522 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,706535048,0.602337,0.325197,-0.675528,0.274111,-0.004641,0.446471,0.132973
2,706568382,0.601698,0.325960,-0.675113,0.275624,0.073792,0.414933,0.116466
3,706601716,0.601541,0.324649,-0.676006,0.275328,-0.013914,0.340765,0.141313
4,706635050,0.602290,0.321891,-0.677266,0.273827,-0.151837,0.345206,0.272352
5,706668384,0.604095,0.318547,-0.677975,0.272000,-0.264665,-0.383904,-0.036428
6,706701718,0.604899,0.316892,-0.677989,0.272113,-0.159113,-0.153618,0.014356
7,706735052,0.604472,0.316944,-0.677785,0.273503,0.167291,0.153205,0.208646
8,706768386,0.604081,0.316432,-0.678197,0.273940,0.417313,-0.000967,0.065043
9,706801720,0.603462,0.315307,-0.679401,0.273618,0.302182,-0.000273,0.087765
10,706835054,0.604003,0.312302,-0.681226,0.271322,-0.124364,0.054229,0.252497
11,706868388,0.605785,0.308643,-0.682240,0.268979,-0.236533,-0.054719,0.095764
12,706901722,0.605797,0.306578,-0.683675,0.267669,0.007916,-0.030729,-0.033299
13,706935056,0.605079,0.304802,-0.685629,0.266319,-0.106230,0.134337,0.062778
14,706968390,0.604069,0.302987,-0.687802,0.265077,-0.202935,0.169616,0.120599
15,707001724,0.603480,0.300359,-0.690080,0.263483,-0.230439,0.151494,0.146153
16,707035058,0.603531,0.297062,-0.692244,0.261419,0.139319,0.245146,-0.016876
17,707068392,0.602935,0.293628,-0.695111,0.259055,0.082949,0.049632,0.069135
18,707101726,0.601982,0.290133,-0.698366,0.256443,-0.058623,-0.024469,0.109784
19,707135060,0.600699,0.287332,-0.701480,0.254094,-0.161390,-0.234500,0.179719
20,707168394,0.600105,0.285068,-0.703284,0.253060,-0.059509,-0.224722,0.193243
21,707201728,0.599141,0.283461,-0.705080,0.252150,0.107161,-0.129404,-0.007895
22,707235062,0.598054,0.281900,-0.707006,0.251083,0.136076,-0.040957,0.177193
23,707268396,0.597748,0.280206,-0.708194,0.250360,0.244662,-0.022268,0.238866
24,707301730,0.598110,0.278927,-0.708331,0.250536,0.245458,-0.165015,0.236032
25,707335064,0.597472,0.277685,-0.709488,0.250165,0.215266,-0.045946,-0.107872
26,707368398,0.597196,0.275657,-0.710843,0.249219,0.262525,-0.067057,0.170306
27,707401732,0.596941,0.274050,-0.711871,0.248668,0.132508,-0.137544,0.058846
