sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:12:12_513 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,706501714,0.783325,0.577896,-0.228714,-0.011457,-0.458968,0.064293,0.301756
2,706535048,0.783970,0.577363,-0.227786,-0.012655,-0.734690,0.135570,0.398328
3,706568382,0.785712,0.575470,-0.226454,-0.014609,-0.748392,0.081321,0.355252
4,706601716,0.787020,0.574366,-0.224544,-0.016919,-0.707699,0.163380,-0.036738
5,706635050,0.787691,0.573966,-0.222997,-0.019524,-0.728567,0.552235,0.134496
6,706668384,0.788296,0.573523,-0.221694,-0.022729,-0.715088,0.444160,0.099407
7,706701718,0.788108,0.574118,-0.220371,-0.026730,-0.994511,0.532766,0.410893
8,706735052,0.788483,0.574020,-0.218643,-0.031540,-1.224707,0.423804,0.766356
9,706768386,0.789937,0.572512,-0.216492,-0.036925,-1.201144,0.696896,0.485867
10,706801720,0.791521,0.570564,-0.214759,-0.042820,-1.146800,0.679138,0.177566
11,706835054,0.792793,0.568784,-0.213739,-0.047781,-1.114844,0.163246,-0.422495
12,706868388,0.792916,0.568527,-0.213421,-0.050166,-0.629765,-0.510902,-0.992751
13,706901722,0.790200,0.572193,-0.213808,-0.049694,0.310554,-0.102912,0.025502
14,706935056,0.789373,0.573045,-0.214666,-0.049313,0.905741,0.098812,-0.158394
15,706968390,0.788941,0.572841,-0.216696,-0.049719,1.095209,0.259524,-0.333601
16,707001724,0.783496,0.578972,-0.219909,-0.050688,1.098323,-0.283154,-1.021876
17,707035058,0.775030,0.588988,-0.223026,-0.051816,1.191207,0.171441,-0.403317
18,707068392,0.769353,0.595318,-0.225158,-0.054765,1.300385,0.454089,0.653977
19,707101726,0.767806,0.596185,-0.226931,-0.059519,1.134792,-0.520870,-0.655506
20,707135060,0.764324,0.599778,-0.228142,-0.063477,0.570011,-0.723930,-0.872936
21,707168394,0.758363,0.606561,-0.229513,-0.065550,0.410008,-0.130087,-0.245361
22,707201728,0.753916,0.611105,-0.231844,-0.066425,0.474026,-0.444305,-0.567823
23,707235062,0.748099,0.617211,-0.234523,-0.066336,0.314577,-0.470560,-0.565293
24,707268396,0.744562,0.620416,-0.237332,-0.066246,0.601255,0.086374,0.222006
25,707301730,0.745949,0.617528,-0.239657,-0.069185,0.862461,0.466186,0.619967
26,707335064,0.750625,0.610414,-0.240954,-0.076816,1.289321,1.318806,1.213333
27,707368398,0.763193,0.592310,-0.241431,-0.091758,1.470847,1.524382,1.859862
28,707401732,0.777531,0.569785,-0.240734,-0.113318,0.707418,0.607346,0.925727
29,707435066,0.786819,0.552023,-0.240199,-0.135996,-0.639771,-0.255480,0.348838
30,707468400,0.791849,0.539807,-0.240559,-0.154007,-2.989111,-0.372712,-1.588162
31,707501734,0.792102,0.534697,-0.243913,-0.164874,-3.792915,-0.727809,-1.411677
32,707535068,0.791777,0.531352,-0.249276,-0.169173,-3.136807,0.052996,-0.896124
33,707568402,0.792759,0.527440,-0.255033,-0.168228,-2.007504,0.619938,0.285567
34,707601736,0.791388,0.528762,-0.260671,-0.161771,-1.721109,-1.526907,-0.648664
35,707635070,0.786910,0.536165,-0.264656,-0.152516,0.813865,0.934842,1.157817
36,707668404,0.794692,0.525110,-0.265112,-0.149812,0.923183,1.044577,2.062689
37,707701738,0.803869,0.511742,-0.262854,-0.151083,-0.562460,-1.196538,-0.177793
38,707735072,0.806948,0.509655,-0.260066,-0.146478,-0.116614,-0.074802,-0.223392
39,707768406,0.816843,0.497202,-0.256565,-0.140481,0.111731,-0.586741,-1.533989
40,707801740,0.822061,0.490986,-0.256098,-0.132531,1.156370,-1.716373,-0.836398
41,707835074,0.823644,0.489889,-0.257585,-0.123586,1.944861,-1.291536,-1.108158
42,707868408,0.818132,0.499249,-0.261328,-0.114552,2.682766,0.025458,-1.022943
43,707901742,0.812640,0.507288,-0.265187,-0.109335,3.260246,0.397949,-0.825235
44,707935076,0.804238,0.518004,-0.269750,-0.110047,3.845042,1.340951,-1.437987
45,707968410,0.795397,0.526758,-0.275668,-0.117812,3.000359,1.327695,0.095742
46,708001744,0.784901,0.535719,-0.282027,-0.131908,3.225837,0.155577,0.190476
47,708035078,0.767649,0.552102,-0.288770,-0.150046,2.649604,2.064614,0.952724
48,708068412,0.755436,0.558468,-0.295558,-0.173430,1.965560,2.269657,0.123629
49,708101746,0.742834,0.561989,-0.305494,-0.197592,-0.310531,2.783032,-0.707812
