sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:09:32_362 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,546365178,-0.568395,-0.355723,0.668689,-0.321365,0.358793,0.249848,0.024377
2,546398512,-0.568289,-0.356458,0.667173,-0.323877,0.376866,0.135559,0.026885
3,546431846,-0.568263,-0.357316,0.665338,-0.326741,0.150505,-0.167217,0.133700
4,546465180,-0.568280,-0.358527,0.663384,-0.329347,0.107822,0.096430,0.112182
5,546498514,-0.568679,-0.359965,0.660735,-0.332400,-0.011442,0.182911,0.072520
6,546531848,-0.568924,-0.361359,0.657909,-0.336054,-0.456140,-0.008055,0.115921
7,546565182,-0.570326,-0.362215,0.654228,-0.339919,-0.527536,0.284920,0.444577
8,546598516,-0.573082,-0.362411,0.649101,-0.344870,-0.835919,0.103355,0.232397
9,546631850,-0.576032,-0.363066,0.642532,-0.351503,-0.635092,0.440459,0.335808
10,546665184,-0.579279,-0.364032,0.635402,-0.358068,-0.712433,0.805693,0.387332
11,546698518,-0.586040,-0.361686,0.628462,-0.361674,-1.445338,0.491656,0.854326
12,546731852,-0.595116,-0.355143,0.623357,-0.362172,-1.029280,-0.428917,-0.862474
13,546765186,-0.601154,-0.349470,0.621105,-0.361586,-0.625922,-0.742504,0.444871
14,546798520,-0.607585,-0.341107,0.622369,-0.356615,-1.172233,-0.712713,0.740102
15,546831854,-0.613430,-0.330680,0.624614,-0.352481,-1.503185,-0.636464,-0.009971
16,546865188,-0.618449,-0.324193,0.621586,-0.355081,0.853804,-0.271174,-0.449436
17,546898522,-0.618945,-0.321989,0.622481,-0.354655,3.057172,-0.419254,-0.906740
18,546931856,-0.619486,-0.319692,0.624275,-0.352628,2.081306,0.409377,-0.795753
19,546965190,-0.619356,-0.317270,0.628578,-0.347361,1.426744,1.356446,-1.113798
20,546998524,-0.622109,-0.308639,0.635881,-0.336763,0.382018,-0.102558,-0.089465
21,547031858,-0.624974,-0.298315,0.644429,-0.324283,0.556546,-0.305887,0.182395
22,547065192,-0.626927,-0.288376,0.655182,-0.307522,0.223117,0.317669,1.324212
23,547098526,-0.629404,-0.276807,0.666082,-0.289128,-1.157477,-1.720216,0.730764
24,547131860,-0.629381,-0.269253,0.674239,-0.277156,-0.926313,-1.817136,-0.043437
25,547165194,-0.627093,-0.265239,0.681352,-0.268689,-0.157608,-0.601722,0.285136
26,547198528,-0.627209,-0.260547,0.686589,-0.259524,-0.467730,0.802838,0.246170
27,547231862,-0.629620,-0.255041,0.690220,-0.249322,-0.270435,-0.008786,0.176229
28,547265196,-0.629012,-0.252425,0.694615,-0.241179,0.077051,-0.491287,-0.079156
29,547298530,-0.628461,-0.250812,0.697799,-0.235029,0.156011,-0.240943,0.245083
30,547331864,-0.626882,-0.251349,0.700673,-0.230070,0.080726,-0.444211,0.160922
31,547365198,-0.623634,-0.254604,0.703423,-0.226902,0.578101,-0.369993,-0.124410
32,547398532,-0.618795,-0.259437,0.706530,-0.225018,0.387341,-0.635319,0.224274
33,547431866,-0.613691,-0.264305,0.709786,-0.223073,-0.147616,-0.177233,0.360401
34,547465200,-0.610141,-0.269185,0.711348,-0.221998,-0.341494,0.095114,0.273072
35,547498534,-0.606724,-0.275559,0.711647,-0.222586,-0.192159,-0.475626,0.038089
36,547531868,-0.603411,-0.282215,0.711462,-0.223840,-0.149213,-0.418886,0.135324
37,547565202,-0.601347,-0.290868,0.708463,-0.227792,-0.181424,-0.152728,-0.093720
