sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:09:32_351 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,546365178,-0.761186,-0.630048,0.141784,-0.059467,-0.037213,0.000072,-0.036305
2,546398512,-0.760484,-0.631172,0.139310,-0.062307,-0.130029,0.037199,0.020742
3,546431846,-0.760186,-0.631712,0.137147,-0.065192,-0.197698,0.149974,-0.035849
4,546465180,-0.760111,-0.631884,0.135303,-0.068193,-0.102441,0.064928,-0.086763
5,546498514,-0.759527,-0.632582,0.133689,-0.071329,-0.154324,0.174706,-0.086608
6,546531848,-0.758953,-0.633161,0.132550,-0.074365,-0.287002,0.127571,0.130604
7,546565182,-0.758961,-0.632947,0.131820,-0.077343,-0.419778,0.134488,0.040689
8,546598516,-0.758883,-0.632800,0.131383,-0.080008,-0.559834,0.121592,0.105891
9,546631850,-0.758411,-0.633134,0.131117,-0.082249,-0.929734,0.226616,0.149631
10,546665184,-0.758394,-0.632948,0.131411,-0.083356,-1.505178,0.407978,0.348213
11,546698518,-0.758655,-0.632710,0.131738,-0.082275,-1.857742,0.513467,0.783296
12,546731852,-0.759153,-0.632598,0.131501,-0.078843,-2.203140,0.153869,0.804336
13,546765186,-0.759303,-0.633516,0.129399,-0.073312,-3.013734,0.634828,0.967262
14,546798520,-0.760626,-0.633460,0.126634,-0.064359,-3.374414,0.833699,0.811545
15,546831854,-0.762532,-0.632515,0.125921,-0.051146,-3.355737,0.730464,1.198123
16,546865188,-0.767230,-0.627698,0.127100,-0.034659,-2.324833,0.139471,0.433174
17,546898522,-0.771709,-0.622317,0.129975,-0.017169,-2.101654,0.946048,0.066985
18,546931856,-0.776358,-0.615258,0.136849,0.000924,-1.854688,1.096284,0.141517
19,546965190,-0.781613,-0.605848,0.147275,0.018498,-1.327657,0.476212,-1.069248
20,546998524,-0.784465,-0.597976,0.160871,0.034083,-0.609941,0.733236,-1.207572
21,547031858,-0.786793,-0.589623,0.176439,0.046618,0.055994,1.017286,-0.134871
22,547065192,-0.797293,-0.569402,0.192608,0.054863,0.854718,0.205197,-0.730670
23,547098526,-0.817798,-0.533823,0.207082,0.057959,1.209343,-0.792688,-1.801902
24,547131860,-0.824732,-0.517426,0.222023,0.052863,2.583318,-3.788272,-2.567301
25,547165194,-0.821242,-0.519228,0.232821,0.041957,3.287430,-1.473480,1.190724
26,547198528,-0.827211,-0.507527,0.238719,0.033965,3.910316,-0.290818,-0.164399
27,547231862,-0.832746,-0.496203,0.243627,0.031054,4.617457,-2.621292,-1.215392
28,547265196,-0.830254,-0.499134,0.245739,0.034039,4.213910,0.979748,3.853150
29,547298530,-0.830379,-0.497517,0.246379,0.047397,4.475612,-1.575859,-1.407537
30,547331864,-0.829846,-0.495617,0.247348,0.067386,3.287015,-0.754009,0.643963
31,547365198,-0.833644,-0.485454,0.246572,0.092606,2.615406,-2.599264,0.160660
32,547398532,-0.834054,-0.481629,0.242100,0.117379,2.497261,-3.431865,-0.102906
33,547431866,-0.827451,-0.490870,0.235899,0.136840,1.826364,-1.830802,-0.976079
34,547465200,-0.821335,-0.498747,0.231518,0.151862,0.588766,-2.213832,-1.017454
35,547498534,-0.816940,-0.505184,0.225538,0.162890,1.011705,-2.417815,-0.240570
36,547531868,-0.818182,-0.504849,0.216242,0.170142,0.070720,-0.927668,-0.443745
