sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_13:32:45_481 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2634488338,0.662343,-0.447679,-0.413602,-0.435684,-1.836628,2.163307,1.454102
2,2634521672,0.669897,-0.446312,-0.404247,-0.434316,-2.635286,2.781135,1.634513
3,2634555006,0.683203,-0.442068,-0.390827,-0.430193,-2.659402,3.626232,2.048263
4,2634588340,0.702557,-0.431530,-0.373685,-0.424920,-2.622206,3.858318,2.789179
5,2634621674,0.726281,-0.416235,-0.350004,-0.420432,-1.994135,3.466744,3.573617
6,2634655008,0.750917,-0.399782,-0.316783,-0.419463,-0.727393,2.590925,4.044085
7,2634688342,0.772070,-0.390212,-0.269724,-0.422958,-0.413165,0.697039,4.224955
8,2634721676,0.788810,-0.388613,-0.209363,-0.427700,-0.127558,-0.989397,3.776089
9,2634755010,0.802398,-0.390231,-0.141345,-0.428837,0.046875,-2.647335,3.022271
10,2634788344,0.814071,-0.390177,-0.071192,-0.424245,0.803100,-3.693655,1.457982
11,2634821678,0.824594,-0.385337,-0.005186,-0.414169,1.222474,-4.347705,-0.959808
12,2634855012,0.833115,-0.376438,0.050551,-0.402070,1.652612,-3.669234,-4.480812
13,2634888346,0.838435,-0.368369,0.089351,-0.391598,0.875074,-2.610550,-7.272506
14,2634921680,0.843034,-0.358166,0.110092,-0.385866,1.740126,-1.542060,-7.614487
15,2634955014,0.844799,-0.350754,0.118692,-0.386264,1.190891,-1.492220,-7.056381
16,2634988348,0.842642,-0.353506,0.116097,-0.389244,0.362288,-0.203038,-7.410635
17,2635021682,0.837818,-0.368314,0.103077,-0.389594,0.285322,-1.375435,-3.592189
18,2635055016,0.836810,-0.376035,0.082448,-0.389296,0.855605,-1.215459,1.478704
19,2635088350,0.842341,-0.368326,0.061685,-0.388580,-0.294389,0.143356,3.905804
20,2635121684,0.849204,-0.358287,0.051271,-0.384520,0.223172,1.188417,3.766281
21,2635155018,0.854216,-0.352844,0.055318,-0.377834,-0.013564,1.930173,2.956004
22,2635188352,0.858848,-0.347020,0.068037,-0.370581,0.658537,1.461085,0.324375
23,2635221686,0.861140,-0.343038,0.083595,-0.365754,0.648348,0.402749,-4.100304
24,2635255020,0.860508,-0.344652,0.095073,-0.362911,0.028018,0.042197,-7.481303
25,2635288354,0.858409,-0.348969,0.096785,-0.363302,1.266715,-1.075045,-7.690609
26,2635321688,0.856045,-0.353916,0.087009,-0.366554,1.173670,-1.747409,-7.589249
27,2635355022,0.851490,-0.366492,0.067420,-0.368924,-0.121897,-1.293472,-5.696862
28,2635388356,0.847995,-0.377930,0.038892,-0.369545,0.783746,-2.295072,0.864284
29,2635421690,0.848067,-0.378899,0.010012,-0.370296,0.907243,0.179422,3.333282
30,2635455024,0.849498,-0.378315,-0.008612,-0.367640,-0.091663,1.758890,5.544570
31,2635488358,0.853645,-0.373901,-0.013098,-0.362379,-0.121024,2.361468,6.107518
32,2635521692,0.858681,-0.367718,-0.004588,-0.356975,-0.015764,2.456841,3.543359
33,2635555026,0.862069,-0.364358,0.014266,-0.351963,0.453715,1.070244,0.757409
34,2635588360,0.863079,-0.363140,0.036542,-0.349129,0.359945,-0.652205,-2.909720
35,2635621694,0.860885,-0.365074,0.055001,-0.350106,0.275289,-2.231356,-6.306364
36,2635655028,0.855972,-0.371776,0.064998,-0.353373,0.547456,-3.087147,-6.243069
37,2635688362,0.848406,-0.385384,0.064657,-0.357082,0.284070,-2.824101,-6.473794
38,2635721696,0.839653,-0.403953,0.049391,-0.359676,-0.730544,-2.559640,-3.239126
39,2635755030,0.834350,-0.415273,0.020538,-0.361924,0.763274,-1.425347,1.743380
40,2635788364,0.831628,-0.418841,-0.010233,-0.364504,-0.657461,0.833296,3.648875
41,2635821698,0.830320,-0.421414,-0.034204,-0.363058,-0.987479,1.999808,6.449416
42,2635855032,0.832052,-0.419513,-0.046710,-0.359885,-1.366117,3.217062,8.043682
43,2635888366,0.836035,-0.414914,-0.045811,-0.356084,-1.144997,3.143169,6.453900
44,2635921700,0.840486,-0.410477,-0.032132,-0.352224,-0.787110,1.611933,4.202250
45,2635955034,0.843050,-0.407929,-0.011931,-0.350313,-0.242583,-0.649919,1.471198
46,2635988368,0.841322,-0.411039,0.009539,-0.350907,0.205664,-2.208361,-2.279396
47,2636021702,0.836174,-0.418528,0.028156,-0.353349,1.563457,-2.639838,-3.573730
48,2636055036,0.828928,-0.427761,0.038150,-0.358393,1.305394,-2.502412,-5.484704
49,2636088370,0.817971,-0.441812,0.037547,-0.366494,1.508946,-3.570557,-4.523649
50,2636121704,0.804967,-0.458168,0.026002,-0.376079,1.311178,-2.418587,-3.816494
51,2636155038,0.790340,-0.474858,0.004922,-0.387105,1.951040,-1.013098,-1.070970
52,2636188372,0.775984,-0.486618,-0.023653,-0.400617,1.452930,-0.160052,1.067523
53,2636221706,0.761097,-0.497799,-0.051927,-0.412593,0.400315,0.757030,3.281151
54,2636255040,0.746986,-0.509136,-0.071995,-0.421439,-0.484241,2.355570,6.477388
55,2636288374,0.736639,-0.516842,-0.082737,-0.428245,-1.655316,3.104317,7.440945
56,2636321708,0.731370,-0.521159,-0.083893,-0.431803,-2.062770,3.208826,7.350489
57,2636355042,0.731370,-0.522025,-0.076518,-0.432127,-1.635770,2.593088,5.339421
58,2636388376,0.734309,-0.519369,-0.064406,-0.432318,-0.499733,-0.327988,1.974937
59,2636421710,0.734486,-0.518048,-0.051809,-0.435287,0.460272,-3.393264,-2.738081
60,2636455044,0.726556,-0.525609,-0.043192,-0.440440,0.928847,-4.098590,-5.608080
61,2636488378,0.713029,-0.537877,-0.046795,-0.447315,1.434633,-3.147570,-4.858605
62,2636521712,0.698944,-0.546785,-0.066420,-0.456172,1.660752,-1.962198,-1.546474
63,2636555046,0.685408,-0.551808,-0.094194,-0.465674,0.164716,-0.389455,1.044830
64,2636588380,0.674311,-0.553398,-0.122070,-0.473452,-0.550031,1.493153,2.060923
65,2636621714,0.665765,-0.552497,-0.146687,-0.479570,-0.599034,2.891171,3.208475
66,2636655048,0.664284,-0.543718,-0.169684,-0.484052,-1.514807,4.307893,4.893831
67,2636688382,0.666826,-0.533617,-0.184922,-0.486213,0.053218,3.656214,3.448034
68,2636721716,0.665864,-0.533610,-0.182235,-0.488546,-0.956038,2.087101,3.797216
69,2636755050,0.671112,-0.530482,-0.171221,-0.488756,-0.995672,1.710461,3.180393
70,2636788384,0.680465,-0.525140,-0.155062,-0.486984,0.489116,0.580558,0.980945
71,2636821718,0.687452,-0.522496,-0.135433,-0.485867,0.725086,-1.335111,-0.953079
72,2636855052,0.693802,-0.517469,-0.120098,-0.486254,0.058120,-2.517271,-2.088258
73,2636888386,0.698392,-0.511364,-0.115104,-0.487349,0.743920,-3.373648,-4.475042
74,2636921720,0.696772,-0.511723,-0.117373,-0.488747,0.419944,-2.948061,-3.116491
75,2636955054,0.693264,-0.513401,-0.127837,-0.489351,0.000658,-1.581721,-0.985414
76,2636988388,0.691082,-0.513299,-0.143866,-0.488093,0.170449,0.178161,0.442978
77,2637021722,0.691593,-0.510620,-0.161587,-0.484621,-0.653419,1.247182,2.173182
78,2637055056,0.696419,-0.504344,-0.174510,-0.479777,-0.641025,2.697489,4.401432
79,2637088390,0.702904,-0.498426,-0.175657,-0.476070,-0.089198,3.710340,4.563315
80,2637121724,0.707210,-0.498664,-0.162652,-0.474062,-0.023237,3.156797,4.087430
81,2637155058,0.711376,-0.500529,-0.140915,-0.472821,0.262912,1.257514,3.202922
82,2637188392,0.715691,-0.499457,-0.119062,-0.473451,0.380932,-1.345338,0.963941
83,2637221726,0.718978,-0.495175,-0.102799,-0.476766,0.211108,-3.006402,-1.591806
84,2637255060,0.718082,-0.493170,-0.094765,-0.481833,0.489014,-3.544143,-4.055355
85,2637288394,0.714127,-0.493610,-0.095795,-0.487028,-0.139510,-3.321559,-2.780936
