sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_13:33:04_426 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2653422050,0.511227,-0.200006,-0.799953,-0.242363,-0.752977,0.351732,0.390403
2,2653455384,0.513261,-0.196406,-0.799290,-0.243191,-0.387382,0.645587,0.228961
3,2653488718,0.515114,-0.193935,-0.797940,-0.245677,-0.940761,1.144065,0.430672
4,2653522052,0.519489,-0.190251,-0.794536,-0.250333,-1.180681,0.571529,0.320979
5,2653555386,0.529809,-0.181025,-0.788784,-0.253714,0.039975,1.119120,0.345835
6,2653588720,0.544753,-0.169792,-0.779512,-0.258447,0.630590,3.296877,0.536181
7,2653622054,0.562986,-0.155109,-0.767054,-0.265773,2.239777,3.681602,0.446929
8,2653655388,0.576329,-0.152105,-0.751129,-0.283783,4.051244,1.232559,-0.800031
9,2653688722,0.584225,-0.159448,-0.734878,-0.305338,-1.579782,-2.436849,-0.423259
10,2653722056,0.599438,-0.154272,-0.718113,-0.318133,-4.478295,0.014473,-0.531724
11,2653755390,0.618211,-0.141062,-0.702120,-0.323980,-1.649257,-1.216212,-2.376261
12,2653788724,0.635355,-0.134440,-0.683273,-0.333779,0.620397,-2.421516,-2.658398
13,2653822058,0.653929,-0.130916,-0.663062,-0.340010,-0.282701,-1.743824,-4.821297
14,2653855392,0.663216,-0.134285,-0.653480,-0.339256,0.528844,-4.861205,-3.317447
15,2653888726,0.670793,-0.140962,-0.644605,-0.338631,-1.024208,1.809883,0.094870
16,2653922060,0.679547,-0.144541,-0.635514,-0.336844,2.277949,0.888915,3.963509
17,2653955394,0.690291,-0.142692,-0.623033,-0.339097,1.764104,2.425414,3.974052
18,2653988728,0.702955,-0.139048,-0.604911,-0.347307,2.391973,0.793016,3.139163
19,2654022062,0.714354,-0.138824,-0.584975,-0.358119,0.003325,-1.925557,-0.233540
