sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:22:59_723 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1353714658,-0.447825,-0.509716,0.600211,-0.423597,-0.671147,-0.448339,0.082411
2,1353747992,-0.441129,-0.512085,0.599413,-0.428864,-0.495375,0.063267,0.355258
3,1353781326,-0.437185,-0.512634,0.599050,-0.432736,-0.644244,-0.128090,0.025768
4,1353814660,-0.433969,-0.513014,0.598763,-0.435909,-0.579112,-0.530534,-0.103493
5,1353847994,-0.431186,-0.513719,0.598382,-0.438357,-0.125067,-0.172002,-0.119367
6,1353881328,-0.427809,-0.515539,0.598121,-0.439881,0.064881,0.357209,0.244421
7,1353914662,-0.423381,-0.518214,0.597961,-0.441238,0.114970,0.603482,0.117094
8,1353947996,-0.418765,-0.520377,0.598485,-0.442385,-0.380182,0.473245,-0.127994
9,1353981330,-0.416361,-0.520954,0.600467,-0.441289,0.469528,-0.029153,-0.013202
10,1354014664,-0.415950,-0.520032,0.602723,-0.439686,0.015085,-0.979343,0.045158
11,1354047998,-0.413799,-0.520488,0.604808,-0.438311,0.410336,-1.059010,0.238459
12,1354081332,-0.411334,-0.521661,0.606044,-0.437528,-0.113287,-0.540287,-0.055174
13,1354114666,-0.409671,-0.522380,0.607458,-0.436268,-0.613054,-0.073351,0.224457
14,1354148000,-0.409519,-0.521325,0.610605,-0.433269,-0.986359,0.363029,0.366032
15,1354181334,-0.410969,-0.519542,0.614006,-0.429212,-1.170398,0.619275,0.474847
16,1354214668,-0.413769,-0.517490,0.616612,-0.425247,-1.112131,0.376616,0.469332
17,1354248002,-0.417741,-0.514726,0.619679,-0.420230,-0.929734,0.002951,0.104383
18,1354281336,-0.421881,-0.511863,0.623302,-0.414189,-0.897013,-0.312755,-0.095062
19,1354314670,-0.425254,-0.510196,0.626339,-0.408172,-0.786228,-0.265743,0.079133
20,1354348004,-0.427514,-0.510461,0.627661,-0.403423,-0.412306,0.047773,0.152487
21,1354381338,-0.429237,-0.512051,0.627839,-0.399278,-0.436919,0.196094,-0.022607
22,1354414672,-0.430706,-0.514144,0.627919,-0.394857,-0.260980,0.096523,0.135838
23,1354448006,-0.431822,-0.516570,0.627343,-0.391372,-0.370378,-0.174711,0.159285
24,1354481340,-0.433068,-0.519343,0.626109,-0.388289,-0.657933,0.142589,0.177551
25,1354514674,-0.433795,-0.522991,0.624511,-0.385143,-0.229966,0.398123,0.066841
26,1354548008,-0.435222,-0.527042,0.622203,-0.381731,-0.092393,0.425291,-0.088212
27,1354581342,-0.437102,-0.530922,0.619934,-0.377878,-0.577346,0.106382,0.206472
28,1354614676,-0.440443,-0.533535,0.617451,-0.374368,-0.723385,0.429261,0.056062
29,1354648010,-0.445765,-0.534979,0.615184,-0.369710,-0.379983,0.849311,0.308333
30,1354681344,-0.451610,-0.536625,0.612689,-0.364335,0.271715,0.973166,0.292641
31,1354714678,-0.457526,-0.538248,0.609893,-0.359213,0.131933,0.008932,0.349861
32,1354748012,-0.463231,-0.540430,0.605614,-0.355852,0.321669,-0.173930,0.244085
33,1354781346,-0.469137,-0.542432,0.601007,-0.352866,0.343580,-0.209905,0.340494
34,1354814680,-0.473711,-0.545546,0.595528,-0.351241,0.993757,-0.271492,0.940710
35,1354848014,-0.478435,-0.547307,0.590898,-0.349915,1.183650,-0.500376,0.221581
36,1354881348,-0.482020,-0.548784,0.587115,-0.349048,1.178132,-0.282362,-0.281191
37,1354914682,-0.484366,-0.550446,0.584860,-0.346963,1.293900,-0.653322,-0.233831
38,1354948016,-0.485303,-0.552077,0.583273,-0.345731,1.152179,-0.693747,-0.241263
39,1354981350,-0.486021,-0.553100,0.582030,-0.345181,1.126443,-0.419948,-0.098393
40,1355014684,-0.486639,-0.553376,0.581659,-0.344494,1.297004,-0.286865,-0.177092
41,1355048018,-0.486558,-0.553035,0.582768,-0.343281,1.145285,0.006803,0.237205
42,1355081352,-0.486597,-0.552054,0.584795,-0.341351,1.069442,-0.020731,0.004664
43,1355114686,-0.486248,-0.551147,0.587316,-0.338977,0.698781,-0.276883,-0.233829
44,1355148020,-0.484257,-0.551661,0.589429,-0.337320,0.094906,-0.476486,-0.244437
45,1355181354,-0.481092,-0.553378,0.590696,-0.336819,-0.389060,-0.505273,0.012154
46,1355214688,-0.475972,-0.557321,0.589984,-0.338836,-0.370999,-0.318225,0.098135
47,1355248022,-0.469985,-0.561981,0.588945,-0.341294,-0.451869,0.846440,0.469216
48,1355281356,-0.464488,-0.566410,0.588403,-0.342430,-0.435534,1.122931,0.563314
49,1355314690,-0.459562,-0.570504,0.587453,-0.343908,-0.190991,1.526205,0.499434
50,1355348024,-0.455703,-0.573918,0.586768,-0.344534,-0.322166,1.650093,0.605949
51,1355381358,-0.452914,-0.576860,0.585959,-0.344673,-0.440519,0.805026,0.225808
52,1355414692,-0.450042,-0.579671,0.584467,-0.346249,-0.259961,0.166748,0.001668
53,1355448026,-0.448733,-0.580989,0.583289,-0.347722,-0.032146,-0.278300,0.089042
54,1355481360,-0.448211,-0.581398,0.582686,-0.348722,0.303355,-0.292298,-0.028421
55,1355514694,-0.447192,-0.581516,0.582767,-0.349697,0.456663,-0.319383,-0.067959
56,1355548028,-0.446199,-0.581307,0.583258,-0.350493,0.527098,-0.395288,-0.116408
57,1355581362,-0.445249,-0.581107,0.583658,-0.351364,0.803103,-0.232555,0.044168
58,1355614696,-0.444400,-0.581062,0.583883,-0.352140,0.349864,-0.127153,-0.014062
59,1355648030,-0.442586,-0.581606,0.584209,-0.352984,0.001864,-0.258993,0.028570
60,1355681364,-0.440685,-0.581895,0.584337,-0.354670,0.070636,0.052817,0.104178
61,1355714698,-0.440190,-0.580698,0.585448,-0.355414,-0.073640,0.349666,0.028478
62,1355748032,-0.439547,-0.579531,0.587252,-0.355137,-0.030762,0.142554,0.006950
63,1355781366,-0.438063,-0.579006,0.588547,-0.355685,0.094632,0.013532,0.129199
64,1355814700,-0.437027,-0.578207,0.589259,-0.357078,-0.160330,0.283057,0.198154
65,1355848034,-0.436631,-0.576595,0.591198,-0.356962,-0.160757,0.427333,0.291064
66,1355881368,-0.435957,-0.574852,0.593659,-0.356513,0.025074,0.220253,0.170958
67,1355914702,-0.436126,-0.572692,0.595717,-0.356350,-0.175496,0.300003,0.025216
68,1355948036,-0.437080,-0.570077,0.597965,-0.355608,-0.243989,0.488835,0.294807
69,1355981370,-0.437612,-0.567803,0.600402,-0.354484,-0.153609,0.265810,0.290590
70,1356014704,-0.438455,-0.565831,0.601778,-0.354263,-0.350851,0.149764,0.056795
71,1356048038,-0.440549,-0.563277,0.602875,-0.353871,-0.136504,0.359929,0.245608
72,1356081372,-0.443297,-0.559783,0.605197,-0.352013,0.413428,0.203709,0.416048
73,1356114706,-0.446159,-0.556258,0.607163,-0.350596,0.404639,-0.211100,0.122619
74,1356148040,-0.449584,-0.552499,0.608657,-0.349574,0.220589,-0.076504,-0.052970
75,1356181374,-0.453277,-0.547963,0.611011,-0.347834,0.450441,0.040739,-0.081156
76,1356214708,-0.456339,-0.543106,0.614135,-0.345941,0.654240,-0.295271,-0.144320
77,1356248042,-0.458741,-0.538230,0.617333,-0.344691,0.787086,-0.567090,-0.244819
78,1356281376,-0.460339,-0.533090,0.621603,-0.342869,0.761996,-0.517117,-0.119655
79,1356314710,-0.460768,-0.528159,0.626481,-0.341040,0.725809,-0.512959,0.023216
80,1356348044,-0.460999,-0.523075,0.631199,-0.339863,0.497699,-0.096979,-0.177858
81,1356381378,-0.461179,-0.517319,0.636965,-0.337664,0.913545,0.532777,0.126897
82,1356414712,-0.461537,-0.510104,0.644469,-0.333890,0.893583,-0.165078,0.211289
83,1356448046,-0.462733,-0.502157,0.651359,-0.330898,0.333205,-0.477282,0.234176
84,1356481380,-0.465222,-0.494073,0.656690,-0.329036,-0.544162,0.228261,0.268067
85,1356514714,-0.466763,-0.486785,0.661900,-0.327272,0.221640,0.500181,0.891515
86,1356548048,-0.469112,-0.479291,0.666403,-0.325833,-0.007821,0.233537,0.220173
87,1356581382,-0.471592,-0.472959,0.669162,-0.325852,-0.640743,0.249375,-0.054277
88,1356614716,-0.473229,-0.467799,0.671110,-0.326918,-0.422975,0.099921,0.119897
89,1356648050,-0.474782,-0.462844,0.672621,-0.328609,-0.646101,0.051337,0.036045
90,1356681384,-0.475777,-0.458601,0.673575,-0.331155,-0.464114,0.281454,0.421663
91,1356714718,-0.476413,-0.454946,0.674341,-0.333714,-0.500154,0.585807,0.302368
92,1356748052,-0.477011,-0.451797,0.674758,-0.336285,-0.477203,0.551731,0.282307
93,1356781386,-0.478052,-0.448601,0.674872,-0.338848,-0.348905,0.440348,0.182952
94,1356814720,-0.479415,-0.444870,0.675180,-0.341218,-0.013791,0.274546,0.171612
95,1356848054,-0.481258,-0.440752,0.675382,-0.343560,0.090128,0.126523,0.144472
96,1356881388,-0.483174,-0.436679,0.675370,-0.346087,0.169342,0.003197,-0.066578
97,1356914722,-0.484675,-0.432613,0.675762,-0.348323,0.332921,-0.185810,-0.125454
98,1356948056,-0.485786,-0.428563,0.676350,-0.350631,0.245042,-0.435182,-0.079656
99,1356981390,-0.486162,-0.424986,0.677062,-0.353081,0.218994,-0.176413,-0.092560
100,1357014724,-0.486071,-0.421730,0.677989,-0.355324,0.027562,0.043041,0.012397
101,1357048058,-0.485931,-0.418921,0.678616,-0.357636,-0.317063,0.051550,0.021183
102,1357081392,-0.485405,-0.417409,0.678152,-0.360981,-0.414832,-0.331269,0.232689
103,1357114726,-0.483736,-0.418243,0.675919,-0.366403,-0.201637,-0.498202,0.086789
104,1357148060,-0.481206,-0.420786,0.672771,-0.372566,0.051309,-0.349895,0.107074
105,1357181394,-0.478465,-0.423470,0.669660,-0.378610,-0.100171,-0.443830,0.049435
106,1357214728,-0.475983,-0.425648,0.666717,-0.384446,-0.076583,-0.228964,-0.015279
107,1357248062,-0.473728,-0.427077,0.664496,-0.389460,-0.016650,-0.239965,0.147522
108,1357281396,-0.471673,-0.427897,0.662771,-0.393965,-0.315874,-0.352024,0.018523
109,1357314730,-0.469463,-0.428736,0.661145,-0.398401,-0.409864,-0.154068,0.087461
110,1357348064,-0.467035,-0.429655,0.659822,-0.402438,-0.465767,0.045267,0.131237
111,1357381398,-0.464719,-0.430606,0.658682,-0.405954,-0.756611,0.128496,0.081673
112,1357414732,-0.462457,-0.431955,0.657459,-0.409075,-0.671918,0.403993,0.276989
113,1357448066,-0.460618,-0.433432,0.656343,-0.411373,-0.316273,0.554695,0.215277
114,1357481400,-0.459515,-0.434513,0.655709,-0.412476,-0.209866,0.469736,0.293943
115,1357514734,-0.459691,-0.434641,0.655133,-0.413060,-0.051845,0.753531,-0.005208
