sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:22:59_714 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1353714658,-0.293274,-0.418627,0.399755,-0.760883,-1.117437,1.082244,1.680340
2,1353747992,-0.294444,-0.445553,0.376799,-0.756843,-0.811631,0.877926,1.914699
3,1353781326,-0.298864,-0.466595,0.358919,-0.751100,-0.538288,0.543626,1.542342
4,1353814660,-0.307375,-0.479283,0.351125,-0.743320,-0.326951,0.244912,0.962564
5,1353847994,-0.318958,-0.484218,0.353115,-0.734243,0.473843,0.265193,0.558640
6,1353881328,-0.330207,-0.484637,0.359435,-0.725880,1.226691,0.370006,0.520326
7,1353914662,-0.338968,-0.483684,0.364694,-0.719828,1.764559,0.387274,0.771318
8,1353947996,-0.345464,-0.482763,0.366990,-0.716182,1.672339,0.335926,0.605187
9,1353981330,-0.351676,-0.480737,0.368726,-0.713626,1.405219,0.411204,0.060228
10,1354014664,-0.358160,-0.477648,0.370654,-0.711473,1.769899,0.879596,0.086404
11,1354047998,-0.362383,-0.475557,0.369834,-0.711162,1.874430,0.896017,0.291729
12,1354081332,-0.358623,-0.478400,0.359327,-0.716527,3.526902,1.261843,1.093871
13,1354114666,-0.342548,-0.487798,0.338125,-0.728279,3.172394,1.117618,0.632958
14,1354148000,-0.313279,-0.501008,0.308766,-0.745329,3.707577,0.970063,0.819138
15,1354181334,-0.270372,-0.514269,0.273377,-0.766613,2.718225,1.244113,0.766917
16,1354214668,-0.223391,-0.521995,0.244981,-0.785879,0.946050,0.526326,0.902256
17,1354248002,-0.183863,-0.520347,0.230180,-0.801533,0.872532,0.049295,1.687809
18,1354281336,-0.154865,-0.509944,0.225629,-0.815518,1.033550,-1.420213,0.808589
19,1354314670,-0.135808,-0.492432,0.229565,-0.828475,0.953130,-1.342167,0.484957
20,1354348004,-0.123494,-0.470666,0.236408,-0.841034,0.030401,-1.332534,0.079892
21,1354381338,-0.118527,-0.447131,0.245530,-0.851907,-0.727872,-1.294717,-0.080997
22,1354414672,-0.120550,-0.424560,0.254515,-0.860491,-1.258300,-1.196399,-0.691088
23,1354448006,-0.128774,-0.404562,0.263980,-0.866063,-1.802690,-0.667014,-1.463354
24,1354481340,-0.141968,-0.387934,0.275613,-0.867983,-1.916664,0.067161,-1.428041
25,1354514674,-0.156848,-0.375962,0.285881,-0.867369,-2.036755,0.380619,-1.251305
26,1354548008,-0.168664,-0.368731,0.291951,-0.866232,-1.228212,0.673536,-0.680608
27,1354581342,-0.174952,-0.367840,0.289577,-0.866161,-0.908722,0.593144,-0.306507
28,1354614676,-0.176199,-0.372316,0.276727,-0.868195,-0.929006,0.349033,0.106258
29,1354648010,-0.177212,-0.378711,0.261258,-0.870013,-1.050804,0.027379,0.225216
30,1354681344,-0.181746,-0.383963,0.249173,-0.870320,-0.893583,-0.183631,0.365791
31,1354714678,-0.189547,-0.386267,0.238638,-0.870590,-0.633566,-0.115805,0.376057
32,1354748012,-0.201005,-0.383804,0.231593,-0.871011,-0.518450,-0.602807,0.506247
33,1354781346,-0.216645,-0.377161,0.230156,-0.870544,0.287509,-0.338735,0.644657
34,1354814680,-0.233406,-0.369569,0.228005,-0.870034,0.388907,-0.555452,0.932477
35,1354848014,-0.251134,-0.361034,0.225623,-0.869301,0.111171,-0.847247,1.096987
36,1354881348,-0.268882,-0.350020,0.223618,-0.869016,-0.395814,-1.203543,0.987985
37,1354914682,-0.289033,-0.331811,0.233075,-0.867203,0.767140,-1.907881,1.363351
38,1354948016,-0.309294,-0.306836,0.251589,-0.864232,1.989900,-2.936477,2.586759
39,1354981350,-0.324159,-0.278345,0.265150,-0.864376,2.565653,-2.733173,4.152109
40,1355014684,-0.335451,-0.248340,0.268829,-0.868064,1.862202,-1.904928,3.836218
41,1355048018,-0.347148,-0.214552,0.270099,-0.872070,1.360211,-0.389080,2.845846
42,1355081352,-0.360692,-0.175976,0.277454,-0.872902,0.774315,0.424330,1.280928
43,1355114686,-0.374319,-0.135076,0.291461,-0.869882,-0.651127,1.263163,-0.324032
44,1355148020,-0.388342,-0.096318,0.304229,-0.864501,-1.810442,1.700876,-2.081312
45,1355181354,-0.404657,-0.064047,0.308348,-0.858532,-1.869946,2.939807,-3.581755
46,1355214688,-0.422191,-0.037495,0.313818,-0.849630,-1.886939,2.968505,-4.223557
47,1355248022,-0.437377,-0.021798,0.318882,-0.840562,-0.776566,2.487174,-3.390906
48,1355281356,-0.449068,-0.019991,0.317089,-0.835103,-0.795139,2.659002,-2.281586
49,1355314690,-0.457706,-0.026059,0.309767,-0.832991,-1.352353,2.270780,-1.268474
50,1355348024,-0.464005,-0.033144,0.299461,-0.833024,-0.823406,1.778539,-0.971213
51,1355381358,-0.467397,-0.037768,0.292242,-0.833494,-1.105417,1.058794,-1.290151
52,1355414692,-0.467181,-0.039767,0.290756,-0.834042,-1.286330,0.345712,-0.609749
53,1355448026,-0.465474,-0.041533,0.290979,-0.834832,-0.839220,-0.013059,-0.161041
54,1355481360,-0.463688,-0.045785,0.287475,-0.836815,-0.484275,-0.083660,0.198594
55,1355514694,-0.462532,-0.050791,0.282372,-0.838901,-0.722085,-0.553463,0.117089
56,1355548028,-0.460694,-0.051602,0.283445,-0.839501,-0.579399,-0.486849,-0.246406
57,1355581362,-0.458112,-0.048919,0.288379,-0.839394,0.303853,0.156784,0.459922
58,1355614696,-0.454691,-0.048148,0.289849,-0.840791,0.233043,0.123441,0.380337
59,1355648030,-0.450766,-0.048676,0.289402,-0.843025,0.025920,0.419377,-0.019210
60,1355681364,-0.445512,-0.046995,0.292456,-0.844858,-0.108320,0.684740,-0.463462
61,1355714698,-0.438762,-0.043747,0.298505,-0.846448,0.038267,0.587470,-0.177899
62,1355748032,-0.431964,-0.042216,0.301944,-0.848798,-0.622711,0.881050,-0.113305
63,1355781366,-0.425729,-0.041041,0.306463,-0.850385,-0.606418,0.739934,-0.281490
64,1355814700,-0.419954,-0.039440,0.312851,-0.851006,-0.787124,0.402805,0.570413
65,1355848034,-0.412483,-0.040023,0.318298,-0.852611,-0.734083,0.373771,0.800541
66,1355881368,-0.404051,-0.044149,0.319951,-0.855821,-0.596669,0.968983,0.952824
67,1355914702,-0.395101,-0.047704,0.319956,-0.859798,-1.929246,0.140579,-0.087678
68,1355948036,-0.385900,-0.045177,0.326482,-0.861658,-1.516284,0.288927,0.604793
69,1355981370,-0.376919,-0.039013,0.337235,-0.861793,-1.178590,-0.018343,1.300039
70,1356014704,-0.368244,-0.034492,0.344612,-0.862817,-1.330834,-0.301794,0.416298
71,1356048038,-0.359504,-0.029643,0.348832,-0.864985,-2.214622,-0.856671,0.647609
72,1356081372,-0.351272,-0.021364,0.353333,-0.866782,-1.634886,-0.984841,1.387680
73,1356114706,-0.345462,-0.014197,0.355156,-0.868518,-2.191851,-0.666493,0.618894
74,1356148040,-0.342237,-0.005594,0.359023,-0.868302,-2.426623,-0.630475,-0.212038
75,1356181374,-0.341553,0.003451,0.363031,-0.866915,-2.067585,0.306030,-0.644473
76,1356214708,-0.343662,0.011449,0.365524,-0.864963,-2.185859,0.327767,-1.543215
77,1356248042,-0.348554,0.018066,0.368701,-0.861538,-2.134393,0.395201,-1.699350
78,1356281376,-0.356347,0.023267,0.372923,-0.856393,-2.029284,0.781015,-2.315836
79,1356314710,-0.366700,0.028542,0.380663,-0.848420,-1.550670,0.915236,-2.189851
80,1356348044,-0.378271,0.038667,0.399664,-0.834080,-0.900108,1.729235,-1.999466
81,1356381378,-0.388132,0.060689,0.443266,-0.805723,-0.109958,1.314484,-0.538020
82,1356414712,-0.395548,0.088883,0.494651,-0.768743,1.185739,0.626230,0.552529
83,1356448046,-0.402387,0.112346,0.530933,-0.737277,1.437784,0.450197,2.102381
84,1356481380,-0.410875,0.125831,0.544828,-0.720080,1.073718,-0.176487,1.663181
85,1356514714,-0.423007,0.129464,0.542155,-0.714406,0.538494,-0.243158,0.767143
86,1356548048,-0.437412,0.128913,0.533637,-0.712242,-0.080589,0.121985,-0.111307
87,1356581382,-0.453290,0.128557,0.524956,-0.708821,-0.370739,0.090924,-0.392074
88,1356614716,-0.471803,0.127348,0.513587,-0.705278,-0.468014,0.350652,-0.629871
89,1356648050,-0.494419,0.122169,0.497219,-0.702426,-0.342978,0.629897,-1.443575
90,1356681384,-0.521969,0.107493,0.475651,-0.699824,0.024606,0.637922,-1.546640
91,1356714718,-0.551478,0.084624,0.454540,-0.694340,0.573170,1.683663,-1.434143
92,1356748052,-0.578160,0.063597,0.445037,-0.680907,0.942214,1.535711,-1.655095
93,1356781386,-0.600064,0.048070,0.447077,-0.661619,1.585566,0.497462,0.819223
94,1356814720,-0.618330,0.028694,0.446294,-0.646275,2.113491,-0.665165,2.032298
95,1356848054,-0.632571,0.000345,0.437090,-0.639383,2.392069,-1.251289,1.194126
96,1356881388,-0.641445,-0.020766,0.434124,-0.632186,1.288911,-1.140525,0.296917
97,1356914722,-0.648035,-0.028397,0.439815,-0.621137,1.688060,-1.678046,1.294126
98,1356948056,-0.654292,-0.033314,0.443175,-0.611877,1.570374,-2.107090,1.530196
99,1356981390,-0.660672,-0.036118,0.445069,-0.603428,0.931895,-1.702926,0.662198
100,1357014724,-0.667650,-0.033193,0.449219,-0.592746,0.687542,-1.332931,0.455946
101,1357048058,-0.675228,-0.027243,0.453728,-0.580914,0.853193,-1.173230,0.302092
102,1357081392,-0.682824,-0.022091,0.457983,-0.568787,0.843028,-1.112848,0.379140
103,1357114726,-0.689969,-0.020550,0.461075,-0.557615,0.784302,-0.902482,0.452690
104,1357148060,-0.696309,-0.024139,0.461893,-0.548844,0.745242,-0.680568,0.470817
105,1357181394,-0.701649,-0.031405,0.461079,-0.542322,0.667603,-0.451222,0.415269
106,1357214728,-0.706743,-0.040067,0.459807,-0.536181,0.809762,-0.251348,0.605788
107,1357248062,-0.712221,-0.050982,0.456866,-0.530491,0.952596,-0.380164,1.034886
108,1357281396,-0.718049,-0.063271,0.451542,-0.525848,0.721381,-0.566861,1.214426
109,1357314730,-0.724064,-0.072723,0.445831,-0.521230,0.645597,-0.534285,1.201724
110,1357348064,-0.730812,-0.077130,0.440501,-0.515682,0.338940,-0.315401,0.939787
111,1357381398,-0.738773,-0.077450,0.435363,-0.508606,0.352650,-0.373699,0.679463
112,1357414732,-0.747786,-0.074304,0.431184,-0.499380,-0.002011,-0.228534,0.266687
113,1357448066,-0.758231,-0.066726,0.428097,-0.487208,0.365728,0.177902,0.000186
114,1357481400,-0.770360,-0.055680,0.425198,-0.471864,0.808001,0.173803,-0.157805
115,1357514734,-0.782390,-0.043555,0.423112,-0.454917,1.718295,0.034774,-0.090982
116,1357548068,-0.792462,-0.038018,0.417465,-0.443043,1.249715,-0.577322,0.541592
117,1357581402,-0.800569,-0.035635,0.410362,-0.435232,1.885290,-1.964809,0.265479
118,1357614736,-0.804982,-0.043216,0.403563,-0.432757,1.224570,-0.751827,0.317754
119,1357648070,-0.806418,-0.054376,0.396587,-0.435267,1.792902,-0.669476,0.462756
120,1357681404,-0.805408,-0.066950,0.389062,-0.442120,1.820180,-0.361833,-0.696990
121,1357714738,-0.802529,-0.071123,0.386401,-0.448985,1.661834,-0.279583,-0.856740
