sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-15_14:21:24_455 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1258446086,-0.542919,-0.428080,0.676283,-0.254305,-0.318507,0.037972,0.099462
2,1258479420,-0.541216,-0.429296,0.676357,-0.255683,-0.462061,0.268083,0.125855
3,1258512754,-0.540060,-0.430448,0.676123,-0.256807,-0.320666,0.471608,0.159428
4,1258546088,-0.539187,-0.431608,0.675750,-0.257674,-0.157710,0.358853,0.249807
5,1258579422,-0.538858,-0.432694,0.675038,-0.258409,-0.077237,0.051375,0.202107
6,1258612756,-0.538640,-0.433895,0.674147,-0.259175,0.327708,-0.093406,0.146988
7,1258646090,-0.538560,-0.434911,0.673417,-0.259534,0.294938,-0.203033,0.057703
8,1258679424,-0.538359,-0.435748,0.672794,-0.260162,0.292952,-0.421731,0.052420
9,1258712758,-0.538424,-0.435935,0.672423,-0.260674,0.483159,-0.230168,0.124491
10,1258746092,-0.538704,-0.436098,0.672059,-0.260760,0.462246,-0.219727,0.187643
11,1258779426,-0.538497,-0.436800,0.671636,-0.261103,0.064347,-0.483561,0.174911
12,1258812760,-0.538962,-0.436648,0.671204,-0.261506,-0.305218,-0.183882,0.054986
13,1258846094,-0.540090,-0.435433,0.671305,-0.260947,-0.381704,0.305297,0.109111
14,1258879428,-0.541157,-0.434221,0.671697,-0.259743,-0.282756,0.487921,0.230915
15,1258912762,-0.542811,-0.432834,0.671688,-0.258631,-0.625481,0.089650,0.062198
16,1258946096,-0.544550,-0.431487,0.671632,-0.257366,-0.421728,0.062214,0.058453
17,1258979430,-0.545359,-0.430852,0.671893,-0.256034,0.019228,-0.182338,0.126630
18,1259012764,-0.545775,-0.430801,0.671961,-0.255053,-0.041604,-0.330380,0.029276
19,1259046098,-0.546643,-0.430420,0.671823,-0.254198,-0.065541,-0.080880,-0.009759
20,1259079432,-0.547429,-0.429738,0.672017,-0.253146,0.258268,-0.044373,0.142345
21,1259112766,-0.547841,-0.429173,0.672543,-0.251812,0.460315,-0.154359,0.186865
22,1259146100,-0.548633,-0.428371,0.672841,-0.250656,0.145154,-0.223071,0.146428
23,1259179434,-0.549935,-0.426956,0.673073,-0.249591,0.029104,-0.045227,0.018207
24,1259212768,-0.550764,-0.425547,0.673780,-0.248258,0.163709,0.181184,0.259761
25,1259246102,-0.551478,-0.424499,0.674319,-0.247001,0.074202,0.111656,0.301826
26,1259279436,-0.552993,-0.423479,0.674027,-0.246160,-0.357662,0.234336,0.269801
27,1259312770,-0.555030,-0.422505,0.673181,-0.245564,-0.568420,0.285432,0.230193
28,1259346104,-0.556775,-0.422381,0.671638,-0.246049,-0.266263,0.009060,0.430419
29,1259379438,-0.559014,-0.423040,0.668782,-0.247618,-0.117193,-0.252330,0.173288
30,1259412772,-0.561157,-0.424189,0.665401,-0.249902,0.172759,0.247443,0.144871
31,1259446106,-0.562097,-0.424921,0.663564,-0.251426,0.848367,0.583646,0.034310
32,1259479440,-0.562844,-0.424599,0.662951,-0.251914,0.702109,0.028987,-0.201805
33,1259512774,-0.563570,-0.423972,0.662511,-0.252505,0.385715,-0.267848,-0.101666
34,1259546108,-0.564395,-0.422423,0.662699,-0.252766,-0.014443,0.093731,-0.061166
35,1259579442,-0.564649,-0.420397,0.663944,-0.252307,0.127660,0.123798,0.049640
36,1259612776,-0.564451,-0.418571,0.665349,-0.252085,0.116622,0.105438,-0.003962
37,1259646110,-0.564180,-0.416964,0.666629,-0.251972,0.034338,0.020836,0.183721
38,1259679444,-0.563517,-0.415589,0.668003,-0.252090,0.049087,0.018587,0.230803
39,1259712778,-0.562243,-0.414775,0.669390,-0.252597,-0.036651,-0.023496,0.111951
40,1259746112,-0.560557,-0.414636,0.670428,-0.253815,-0.056125,-0.093444,0.106162
41,1259779446,-0.558974,-0.414575,0.671244,-0.255246,-0.002013,0.104968,0.073275
42,1259812780,-0.556955,-0.414513,0.672549,-0.256321,0.141652,0.163596,0.212380
43,1259846114,-0.554687,-0.414810,0.673655,-0.257849,0.016620,-0.225249,0.100130
