sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:19:19_263 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4156887816,-0.459033,0.584842,0.414670,0.524707,0.010207,0.035809,0.104907
2,4156921150,-0.460154,0.583226,0.415727,0.524686,0.014445,0.032680,0.138459
3,4156954484,-0.461154,0.581849,0.416725,0.524546,-0.018991,-0.030382,0.100416
4,4156987818,-0.461993,0.580684,0.417644,0.524368,-0.000494,-0.011649,0.138520
5,4157021152,-0.462753,0.579583,0.418482,0.524247,0.063870,0.017881,0.185629
6,4157054486,-0.463325,0.578550,0.419114,0.524378,0.063897,-0.025459,0.177311
7,4157087820,-0.463835,0.577529,0.419631,0.524639,0.014695,-0.032842,0.112814
8,4157121154,-0.464397,0.576517,0.420200,0.524799,-0.040778,-0.003457,0.139972
9,4157154488,-0.465196,0.575334,0.421047,0.524711,-0.056155,-0.050416,0.102495
10,4157187822,-0.466318,0.573960,0.422425,0.524112,-0.108063,-0.079575,0.099853
11,4157221156,-0.467809,0.572406,0.424415,0.522873,-0.006341,-0.135892,0.118618
12,4157254490,-0.469072,0.571128,0.426452,0.521481,0.105179,-0.172271,0.057701
13,4157287824,-0.469880,0.570428,0.428341,0.519969,0.043233,-0.089779,0.103892
14,4157321158,-0.470588,0.569928,0.430459,0.518124,0.059584,-0.056427,0.127211
15,4157354492,-0.471070,0.569688,0.432644,0.516127,0.029046,-0.024147,0.044200
16,4157387826,-0.471530,0.569616,0.435072,0.513740,-0.018006,0.005799,0.143935
17,4157421160,-0.472192,0.569446,0.437885,0.510922,0.048432,0.033154,0.139855
18,4157454494,-0.472830,0.569311,0.440730,0.508028,0.124075,0.044411,0.146825
19,4157487828,-0.473511,0.569102,0.443432,0.505269,0.164978,0.016533,0.188116
20,4157521162,-0.474220,0.568814,0.445596,0.503021,0.145905,0.051495,0.311493
21,4157554496,-0.474779,0.568567,0.446892,0.501620,0.167776,-0.014606,0.201347
22,4157587830,-0.474891,0.568608,0.447227,0.501170,0.103619,-0.085517,0.032923
23,4157621164,-0.474998,0.568773,0.447501,0.500636,-0.040464,-0.030860,0.110527
24,4157654498,-0.475122,0.569040,0.448232,0.499560,0.044215,-0.019691,0.118013
25,4157687832,-0.474963,0.569502,0.449244,0.498274,0.120252,0.015405,0.104438
26,4157721166,-0.474814,0.570055,0.450458,0.496685,0.096566,0.131619,0.136296
27,4157754500,-0.474468,0.570894,0.451291,0.495295,0.158510,0.225478,0.150435
28,4157787834,-0.473966,0.571650,0.451744,0.494488,0.177042,0.257794,0.230834
29,4157821168,-0.473656,0.572168,0.451910,0.494035,0.079934,0.293613,0.161129
30,4157854502,-0.473690,0.572491,0.451862,0.493673,0.028549,0.274492,0.116771
31,4157887836,-0.473782,0.572624,0.451932,0.493365,0.078220,0.191355,0.147035
32,4157921170,-0.473914,0.572587,0.452186,0.493048,0.083147,-0.021866,0.160959
33,4157954504,-0.474234,0.572505,0.452406,0.492634,0.079211,-0.161323,0.163515
34,4157987838,-0.474449,0.572556,0.452121,0.492629,0.142824,-0.263551,0.169237
35,4158021172,-0.474151,0.573095,0.451088,0.493236,0.188038,-0.284661,0.172757
36,4158054506,-0.473206,0.574235,0.449280,0.494467,0.114798,-0.134889,0.137941
37,4158087840,-0.472044,0.575584,0.447104,0.495980,-0.005810,0.002937,0.148314
38,4158121174,-0.470863,0.576917,0.444678,0.497731,-0.025895,0.079235,0.162070
39,4158154508,-0.469789,0.578061,0.442271,0.499559,0.082500,0.004307,0.179172
40,4158187842,-0.468483,0.579340,0.439431,0.501805,0.170588,-0.143458,0.154670
41,4158221176,-0.466585,0.581137,0.435497,0.504916,0.240646,-0.262939,0.200132
42,4158254510,-0.464027,0.583577,0.430501,0.508728,0.139151,-0.219806,0.108367
43,4158287844,-0.460374,0.586964,0.424294,0.513344,0.002309,-0.112516,0.078351
44,4158321178,-0.456397,0.590565,0.417889,0.517999,-0.066773,0.030291,0.057278
45,4158354512,-0.452808,0.593910,0.412444,0.521676,-0.078311,0.266228,0.035533
46,4158387846,-0.449611,0.596878,0.408086,0.524474,-0.055240,0.371759,0.124208
47,4158421180,-0.446768,0.599484,0.404448,0.526743,0.023594,0.367907,0.155235
48,4158454514,-0.444591,0.601441,0.401480,0.528622,0.089910,0.304803,0.212382
49,4158487848,-0.442810,0.602803,0.398793,0.530596,0.113460,0.117720,0.188773
50,4158521182,-0.441379,0.603818,0.396085,0.532659,-0.037248,0.001073,0.175304
51,4158554516,-0.440044,0.604876,0.393279,0.534638,-0.102046,-0.276422,0.099656
52,4158587850,-0.438010,0.606382,0.389954,0.537032,-0.035057,-0.382124,0.043376
53,4158621184,-0.435760,0.608219,0.386506,0.539273,-0.187216,-0.189514,0.091958
54,4158654518,-0.434209,0.609862,0.383955,0.540490,-0.166463,0.052632,0.048526
55,4158687852,-0.432918,0.611172,0.382414,0.541139,-0.029734,0.194853,0.102120
56,4158721186,-0.432254,0.611948,0.381833,0.541202,0.065922,0.279003,0.202626
57,4158754520,-0.432491,0.612092,0.381968,0.540754,0.076222,0.349320,0.229479
58,4158787854,-0.433157,0.611673,0.382279,0.540475,0.108713,0.249380,0.203409
59,4158821188,-0.433979,0.611047,0.382570,0.540317,0.012251,0.177309,0.137198
60,4158854522,-0.434918,0.610398,0.382992,0.539997,0.023935,0.036375,0.103621
61,4158887856,-0.435755,0.609748,0.383579,0.539642,0.002194,0.025162,0.090564
62,4158921190,-0.436852,0.608899,0.384525,0.539039,-0.086617,0.147034,0.179642
63,4158954524,-0.438403,0.607715,0.385993,0.538065,-0.090582,0.171366,0.105459
64,4158987858,-0.440198,0.606306,0.387985,0.536755,-0.074690,0.173184,0.084681
65,4159021192,-0.442260,0.604693,0.390705,0.534904,-0.103483,0.237335,0.062116
66,4159054526,-0.444746,0.602733,0.394490,0.532269,-0.146176,0.306780,0.097298
67,4159087860,-0.447739,0.600374,0.399282,0.528843,-0.164794,0.303056,0.060162
68,4159121194,-0.451180,0.597620,0.404997,0.524675,-0.071889,0.261594,0.151368
69,4159154528,-0.454957,0.594489,0.411349,0.520009,-0.020475,0.207271,0.106524
70,4159187862,-0.458876,0.591170,0.418057,0.514974,0.022758,0.143566,0.141824
71,4159221196,-0.462382,0.588048,0.424347,0.510247,0.076969,-0.057842,0.183249
72,4159254530,-0.465713,0.585096,0.430271,0.505629,0.078223,-0.119083,0.112214
73,4159287864,-0.468704,0.582450,0.435930,0.501052,0.078791,-0.108065,0.108556
74,4159321198,-0.471056,0.580275,0.441054,0.496868,0.174595,-0.001156,0.145392
75,4159354532,-0.472887,0.578550,0.445597,0.493073,0.263969,0.080586,0.136723
76,4159387866,-0.474246,0.577243,0.449382,0.489855,0.198784,0.113089,0.177296
77,4159421200,-0.475427,0.576036,0.452360,0.487382,0.201328,0.058774,0.221047
78,4159454534,-0.476582,0.574870,0.454516,0.485623,0.205469,-0.077351,0.150517
79,4159487868,-0.477132,0.574273,0.455634,0.484741,0.158006,-0.195156,0.148051
80,4159521202,-0.477048,0.574355,0.455814,0.484556,0.103125,-0.279236,0.149928
81,4159554536,-0.476719,0.574706,0.455632,0.484634,0.115121,-0.287886,0.198845
82,4159587870,-0.476138,0.575218,0.454672,0.485499,0.248992,-0.395383,0.226330
83,4159621204,-0.474660,0.576545,0.451841,0.488010,0.289829,-0.407440,0.234064
84,4159654538,-0.472146,0.578864,0.447209,0.491954,0.184752,-0.361049,0.207299
