sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:15:17_654 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3915249650,0.723982,-0.685173,0.043821,-0.066884,0.635830,-1.362966,-0.178413
2,3915282984,0.717642,-0.690948,0.059488,-0.063610,0.241902,-0.682257,0.219186
3,3915316318,0.719421,-0.688671,0.067866,-0.059713,0.823317,-1.014693,-0.184536
4,3915349652,0.724922,-0.682916,0.071524,-0.054803,0.684982,-1.181702,-1.337905
5,3915382986,0.732050,-0.675834,0.071059,-0.048025,1.061228,-1.094598,-1.639216
6,3915416320,0.742086,-0.665792,0.065929,-0.041100,1.200030,-1.867894,-2.530620
7,3915449654,0.754426,-0.653306,0.054698,-0.032361,1.262893,-2.146471,-2.987567
8,3915482988,0.760492,-0.647887,0.039579,-0.018253,2.873437,-2.367216,-3.452512
9,3915516322,0.762430,-0.646681,0.022538,-0.001030,2.515038,-1.990351,-3.314508
10,3915549656,0.756639,-0.653541,0.005617,0.018859,2.566327,-1.914348,-2.246565
11,3915582990,0.744208,-0.666798,-0.009951,0.037964,1.797174,-0.726069,-0.663277
12,3915616324,0.739693,-0.670208,-0.026281,0.054682,0.152564,1.177664,1.144827
13,3915649658,0.740234,-0.667604,-0.042366,0.067592,-1.035445,1.552642,-0.830852
14,3915682992,0.734661,-0.671618,-0.059191,0.075527,-2.012558,2.433254,0.202447
15,3915716326,0.729236,-0.675731,-0.074844,0.077501,-2.050170,3.691170,1.037072
16,3915749660,0.729545,-0.674800,-0.084103,0.073080,-3.022969,4.166446,2.171441
17,3915782994,0.738889,-0.665570,-0.084479,0.062680,-2.657928,3.856487,1.349469
18,3915816328,0.742896,-0.663534,-0.075245,0.046592,-2.306590,2.570233,0.043342
19,3915849662,0.734870,-0.675170,-0.058100,0.027230,-1.821291,2.285609,0.993864
