sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:15:41_329 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3938950124,-0.011978,0.741643,-0.123781,0.659180,0.010431,-0.098450,0.149389
2,3938983458,-0.011696,0.742200,-0.124658,0.658392,0.204185,-0.079398,0.189953
3,3939016792,-0.011277,0.742188,-0.125065,0.658336,0.180779,-0.075012,0.130751
4,3939050126,-0.011183,0.741842,-0.124951,0.658749,0.066990,0.055751,0.244380
5,3939083460,-0.011729,0.741428,-0.124392,0.659311,-0.142803,0.039670,0.061975
6,3939116794,-0.012159,0.741236,-0.123597,0.659669,-0.021983,-0.020700,0.071338
7,3939150128,-0.012367,0.740578,-0.122807,0.660551,0.274488,-0.158177,0.177727
8,3939183462,-0.013534,0.738892,-0.120867,0.662770,0.718798,-0.273358,0.303858
9,3939216796,-0.015081,0.735837,-0.117819,0.666673,0.825314,-0.325079,0.426421
10,3939250130,-0.016195,0.731797,-0.114204,0.671704,0.631196,-0.284601,0.267341
11,3939283464,-0.017222,0.726207,-0.110729,0.678294,0.178212,-0.364256,0.172966
12,3939316798,-0.018955,0.718984,-0.106162,0.686622,0.219173,0.146091,-0.031910
13,3939350132,-0.021694,0.710985,-0.099446,0.695815,0.147003,0.181655,-0.396645
14,3939383466,-0.021724,0.704508,-0.094342,0.703074,-0.077687,-0.184765,-0.443958
15,3939416800,-0.019742,0.699720,-0.090866,0.708353,-0.217259,-0.106606,-0.042409
16,3939450134,-0.017997,0.695855,-0.088046,0.712550,-0.228979,0.091305,0.222137
17,3939483468,-0.017310,0.692283,-0.083710,0.716557,-0.161769,-0.061930,-0.124440
18,3939516802,-0.016446,0.687014,-0.077692,0.722304,0.086552,-0.324997,0.078134
19,3939550136,-0.014113,0.680445,-0.072003,0.729129,-0.245497,-0.031869,0.304950
20,3939583470,-0.009403,0.675061,-0.068764,0.734502,-0.097850,0.111170,0.082998
21,3939616804,-0.002842,0.669400,-0.067511,0.739835,-0.278713,0.299455,-0.330873
22,3939650138,0.003783,0.663147,-0.067164,0.745472,0.330996,0.389062,0.264373
23,3939683472,0.008394,0.658197,-0.063955,0.750090,0.057113,0.628234,0.128893
24,3939716806,0.012256,0.652104,-0.059257,0.755723,-0.259378,0.275607,-1.043669
25,3939750140,0.015415,0.645829,-0.055207,0.761339,-0.082637,0.075226,0.119320
26,3939783474,0.017685,0.641278,-0.050522,0.765451,-0.621399,-0.170388,-0.207340
27,3939816808,0.021469,0.635887,-0.048493,0.769970,0.212549,-0.432893,-0.461739
28,3939850142,0.025014,0.629074,-0.044744,0.775665,0.069329,0.059355,0.399671
29,3939883476,0.028431,0.622448,-0.038635,0.781201,-0.293730,0.239240,-0.306728
30,3939916810,0.033102,0.614859,-0.033419,0.787245,0.341874,0.175306,-0.374112
31,3939950144,0.034216,0.606589,-0.026159,0.793859,-0.440298,0.412361,0.463544
32,3939983478,0.034248,0.597424,-0.019462,0.800969,-0.428032,0.260424,0.118963
33,3940016812,0.034847,0.586986,-0.014837,0.808721,-0.343400,-0.391967,-0.366703
34,3940050146,0.034216,0.576299,-0.011729,0.816449,-0.164301,-0.125928,0.427842
35,3940083480,0.033584,0.565452,-0.006877,0.824079,-0.241214,0.083652,0.481110
36,3940116814,0.033640,0.555182,-0.001246,0.831058,0.005882,-0.165981,-0.471419
37,3940150148,0.034996,0.545861,0.003890,0.837146,0.045983,0.036828,-0.173179
38,3940183482,0.036590,0.537010,0.009847,0.842735,-0.052717,0.058922,0.246148
39,3940216816,0.037486,0.528694,0.015107,0.847860,-0.108725,0.091044,0.675062
40,3940250150,0.038494,0.521842,0.018667,0.851979,-0.231317,-0.094542,0.613102
41,3940283484,0.040523,0.515569,0.021262,0.855636,-0.037555,-0.046539,0.170902
42,3940316818,0.042686,0.510384,0.024765,0.858540,0.129539,0.356328,0.209161
43,3940350152,0.045006,0.505211,0.028654,0.861355,0.163670,-0.054799,0.140306
44,3940383486,0.047524,0.499756,0.031719,0.864290,0.276502,-0.128928,0.411539
45,3940416820,0.050291,0.494958,0.034378,0.866789,-0.037789,-0.118106,0.280487
