sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:12:44_369 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3761979918,0.381776,-0.566208,-0.297737,-0.667102,-0.378926,-1.079816,0.125059
2,3762013252,0.410660,-0.545610,-0.314145,-0.659545,0.136728,-1.277188,0.437140
3,3762046586,0.436830,-0.526030,-0.329203,-0.651241,-0.076470,-1.163901,0.426211
4,3762079920,0.459410,-0.508032,-0.342499,-0.643084,-0.195933,-0.924116,0.018740
5,3762113254,0.480108,-0.490936,-0.357341,-0.633091,-0.140892,-0.832707,-0.627466
6,3762146588,0.499623,-0.474866,-0.375674,-0.619489,0.067681,-0.701997,-0.988734
7,3762179922,0.518805,-0.458894,-0.398394,-0.601297,0.162037,-0.224118,-1.348277
8,3762213256,0.536366,-0.443505,-0.424133,-0.579434,0.375953,-0.161770,-1.319612
9,3762246590,0.551789,-0.427438,-0.453898,-0.553913,0.513984,-0.157679,-0.585721
10,3762279924,0.565215,-0.411537,-0.484677,-0.525619,1.110263,-0.792978,-0.414278
11,3762313258,0.575191,-0.399207,-0.511799,-0.497864,1.676101,-1.238698,0.187181
12,3762346592,0.584979,-0.387369,-0.534991,-0.470688,0.731328,-3.127829,1.516602
13,3762379926,0.585792,-0.385724,-0.551845,-0.451165,1.639595,-4.213002,0.192855
14,3762413260,0.586734,-0.395094,-0.554963,-0.437810,-4.172714,2.107598,3.832891
15,3762446594,0.593737,-0.399126,-0.569946,-0.404170,-3.278762,-1.593243,0.568344
16,3762479928,0.607991,-0.385402,-0.589157,-0.367047,0.786724,-0.819599,-1.814626
17,3762513262,0.621179,-0.369975,-0.603927,-0.335478,-0.624892,-0.079896,-0.069496
18,3762546596,0.632189,-0.353423,-0.621433,-0.298777,-1.636590,-1.269656,0.818621
19,3762579930,0.643424,-0.338120,-0.634006,-0.264074,-0.099257,0.509195,-0.295961
20,3762613264,0.646918,-0.330112,-0.643702,-0.241223,-0.767749,-0.155755,-0.179663
21,3762646598,0.647007,-0.323789,-0.653066,-0.223752,-0.595529,-0.601255,-0.399517
22,3762679932,0.645952,-0.318286,-0.661820,-0.208453,-0.190835,0.031729,0.268916
23,3762713266,0.644835,-0.312081,-0.669627,-0.195989,-0.442264,-0.078018,0.227470
24,3762746600,0.643762,-0.307639,-0.675665,-0.185536,-0.620928,0.447314,0.047662
25,3762779934,0.642491,-0.304822,-0.680204,-0.177846,-0.810540,0.824021,0.123878
26,3762813268,0.641287,-0.302173,-0.683787,-0.172905,-0.817942,0.874609,0.112157
27,3762846602,0.640388,-0.299977,-0.686654,-0.168644,-0.711983,1.311419,0.083410
28,3762879936,0.638911,-0.299046,-0.689214,-0.165429,-0.638606,1.176508,0.010547
29,3762913270,0.637193,-0.298491,-0.691806,-0.162204,-1.295856,0.122969,0.172869
