sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:45:29_805 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2127347226,-0.386341,0.612200,0.467310,0.507517,-0.008523,-0.036902,0.111199
2,2127380560,-0.386661,0.612132,0.467318,0.507348,-0.036897,-0.071206,0.107631
3,2127413894,-0.387007,0.612051,0.467380,0.507124,-0.084349,-0.074639,0.140030
4,2127447228,-0.387644,0.611670,0.467923,0.506597,-0.036268,-0.059515,0.120084
5,2127480562,-0.388126,0.611518,0.468339,0.506027,0.026716,-0.128143,0.127504
6,2127513896,-0.388820,0.611174,0.468958,0.505336,0.047180,-0.033425,0.119042
7,2127547230,-0.389192,0.611086,0.469146,0.504981,0.044545,0.014698,0.168747
8,2127580564,-0.389450,0.610989,0.469247,0.504805,0.031571,0.058024,0.164639
9,2127613898,-0.389794,0.610762,0.469334,0.504734,-0.008721,0.070794,0.167028
10,2127647232,-0.390024,0.610572,0.469187,0.504923,-0.010746,0.113907,0.155583
11,2127680566,-0.390440,0.610231,0.469135,0.505062,-0.013632,0.110273,0.167687
12,2127713900,-0.390903,0.609778,0.469201,0.505190,0.009532,0.060033,0.134155
13,2127747234,-0.390799,0.609758,0.468742,0.505720,0.068357,0.048088,0.124541
14,2127780568,-0.390707,0.609676,0.468389,0.506216,0.108999,0.008097,0.114269
15,2127813902,-0.390731,0.609548,0.468135,0.506587,0.022333,-0.002485,0.131974
16,2127847236,-0.390483,0.609679,0.467511,0.507197,0.009541,0.037547,0.136816
17,2127880570,-0.390920,0.609162,0.467754,0.507257,0.006008,0.044293,0.101824
18,2127913904,-0.391265,0.608717,0.468037,0.507265,0.089810,0.021719,0.122133
19,2127947238,-0.391174,0.608682,0.467860,0.507540,0.054425,0.019260,0.130164
20,2127980572,-0.391060,0.608674,0.467660,0.507822,0.066848,0.017422,0.118138
21,2128013906,-0.391242,0.608391,0.467828,0.507866,0.036425,0.067143,0.121885
22,2128047240,-0.391417,0.608138,0.467921,0.507949,0.011188,0.074395,0.137351
23,2128080574,-0.391639,0.607800,0.468110,0.508008,0.090190,0.089522,0.129879
24,2128113908,-0.391952,0.607394,0.468519,0.507875,0.124015,0.086884,0.127130
25,2128147242,-0.392070,0.607187,0.468658,0.507904,0.097352,0.031541,0.159391
26,2128180576,-0.392106,0.607048,0.468668,0.508032,0.072555,0.050715,0.115502
27,2128213910,-0.392189,0.606882,0.468838,0.508008,0.022148,-0.009394,0.129838
28,2128247244,-0.392300,0.606734,0.468949,0.507998,-0.001767,0.007250,0.143259
29,2128280578,-0.392369,0.606591,0.469022,0.508047,0.036596,0.061203,0.117665
30,2128313912,-0.392398,0.606511,0.469096,0.508052,0.084463,0.015427,0.139743
31,2128347246,-0.392592,0.606327,0.469240,0.507989,0.060772,0.034713,0.144208
32,2128380580,-0.392676,0.606164,0.469260,0.508101,0.042869,0.072511,0.148486
33,2128413914,-0.392724,0.606017,0.469273,0.508227,0.025840,-0.001726,0.118696
34,2128447248,-0.392780,0.605916,0.469289,0.508289,0.044735,-0.025517,0.124613
35,2128480582,-0.392777,0.605908,0.469298,0.508293,0.042681,-0.033839,0.116613
36,2128513916,-0.392727,0.605938,0.469316,0.508279,0.075601,0.025906,0.140464
37,2128547250,-0.392413,0.606123,0.469128,0.508474,0.124508,0.103309,0.153352
38,2128580584,-0.392307,0.606124,0.469145,0.508540,0.060724,0.057684,0.135436
39,2128613918,-0.392257,0.606120,0.469177,0.508553,0.022759,-0.004053,0.137723
40,2128647252,-0.392251,0.606067,0.469235,0.508568,0.049558,0.021662,0.148104
41,2128680586,-0.392366,0.605945,0.469399,0.508473,0.037818,0.049692,0.139059
42,2128713920,-0.392389,0.605895,0.469572,0.508354,0.054566,0.029085,0.137797
43,2128747254,-0.392688,0.605622,0.469980,0.508073,0.047401,0.067578,0.133276
44,2128780588,-0.392873,0.605409,0.470245,0.507937,0.082609,0.064211,0.121660
45,2128813922,-0.393111,0.605229,0.470603,0.507635,0.070002,-0.017950,0.110471
46,2128847256,-0.393196,0.605220,0.470839,0.507362,0.087236,-0.056782,0.147781
47,2128880590,-0.393294,0.605189,0.471016,0.507159,0.076020,0.049612,0.128116
48,2128913924,-0.393137,0.605393,0.471026,0.507028,0.076272,0.038290,0.140038
49,2128947258,-0.392993,0.605628,0.471103,0.506788,0.060578,0.024794,0.120139
50,2128980592,-0.392811,0.605896,0.471059,0.506649,0.048554,0.061357,0.147467
51,2129013926,-0.392796,0.605947,0.471107,0.506555,0.066534,0.110590,0.184787
52,2129047260,-0.392681,0.606062,0.471061,0.506549,0.058876,0.073279,0.138887
53,2129080594,-0.392553,0.606199,0.471072,0.506475,0.068765,-0.027264,0.135939
54,2129113928,-0.392673,0.606156,0.471248,0.506270,0.054722,0.024447,0.131549
55,2129147262,-0.392373,0.606443,0.470942,0.506443,0.090525,0.068770,0.148561
56,2129180596,-0.392360,0.606519,0.470933,0.506370,0.031255,0.016301,0.121170
57,2129213930,-0.392332,0.606614,0.470984,0.506230,0.034635,-0.033029,0.128417
58,2129247264,-0.392245,0.606788,0.470915,0.506155,0.020607,-0.015961,0.121292
59,2129280598,-0.392237,0.606861,0.470962,0.506029,0.066010,0.012370,0.154318
60,2129313932,-0.392049,0.607038,0.470911,0.506010,0.054650,0.027674,0.148775
61,2129347266,-0.391910,0.607210,0.470811,0.506003,-0.000828,0.035389,0.150050
62,2129380600,-0.391883,0.607262,0.470786,0.505987,0.039881,0.036766,0.134972
63,2129413934,-0.391971,0.607226,0.470981,0.505780,0.027140,-0.005523,0.134989
64,2129447268,-0.392052,0.607210,0.471125,0.505602,0.034780,-0.013481,0.145901
65,2129480602,-0.391958,0.607276,0.471102,0.505617,0.086859,0.002434,0.145350
66,2129513936,-0.391848,0.607376,0.471044,0.505635,0.041131,0.005242,0.121908
67,2129547270,-0.391779,0.607454,0.471062,0.505579,0.045851,0.014865,0.154946
68,2129580604,-0.391481,0.607692,0.470806,0.505761,0.038313,0.048273,0.135898
69,2129613938,-0.391254,0.607882,0.470694,0.505814,0.065149,0.010148,0.125949
70,2129647272,-0.391201,0.607928,0.470746,0.505751,0.063524,0.033183,0.156114
71,2129680606,-0.391158,0.607947,0.470690,0.505813,0.025177,0.046151,0.131457
72,2129713940,-0.391073,0.607987,0.470642,0.505876,0.037013,-0.008725,0.124540
73,2129747274,-0.391024,0.608024,0.470676,0.505837,0.028926,-0.009506,0.123424
74,2129780608,-0.391094,0.607998,0.470763,0.505733,0.069814,0.043277,0.133835
75,2129813942,-0.390966,0.608099,0.470749,0.505724,0.115590,0.021059,0.144042
76,2129847276,-0.390909,0.608171,0.470769,0.505664,0.072459,0.013523,0.157784
77,2129880610,-0.390666,0.608387,0.470527,0.505817,0.008318,0.006716,0.149550
78,2129913944,-0.390509,0.608525,0.470394,0.505895,0.029506,0.011698,0.135800
79,2129947278,-0.390530,0.608509,0.470447,0.505848,0.064197,0.035855,0.133643
80,2129980612,-0.390621,0.608469,0.470547,0.505734,0.120363,0.031476,0.141485
81,2130013946,-0.390559,0.608523,0.470496,0.505764,0.075135,0.013315,0.114100
82,2130047280,-0.390450,0.608667,0.470427,0.505740,0.043764,0.022327,0.130847
83,2130080614,-0.390298,0.608889,0.470300,0.505708,0.089605,0.030985,0.132727
84,2130113948,-0.390056,0.609157,0.470107,0.505751,0.079147,0.047029,0.136769
85,2130147282,-0.389711,0.609546,0.469662,0.505961,0.062224,0.042382,0.154438
86,2130180616,-0.389661,0.609667,0.469504,0.506001,0.031092,0.024765,0.133084
87,2130213950,-0.389497,0.609854,0.469267,0.506122,0.059674,-0.008006,0.138683
88,2130247284,-0.389274,0.610070,0.469033,0.506251,0.069314,0.005255,0.112726
89,2130280618,-0.389166,0.610244,0.468872,0.506272,0.025500,0.001553,0.150640
90,2130313952,-0.389033,0.610433,0.468670,0.506334,0.017670,0.038749,0.143280
91,2130347286,-0.389017,0.610480,0.468604,0.506351,0.027554,0.030963,0.127263
92,2130380620,-0.389044,0.610509,0.468558,0.506337,0.090163,0.016035,0.139177
93,2130413954,-0.389021,0.610593,0.468438,0.506365,0.063155,-0.002106,0.141802
