sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:33:05_306 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2968794085,0.319633,-0.636129,0.139853,-0.688197,0.402954,-0.177118,0.122690
2,2968827419,0.319435,-0.637508,0.132921,-0.688386,0.357551,-0.043889,0.237576
3,2968860753,0.316744,-0.639421,0.129080,-0.688588,0.260005,0.353923,0.330286
4,2968894087,0.314156,-0.641110,0.126723,-0.688640,0.078423,0.841839,0.499753
5,2968927421,0.313162,-0.641990,0.125160,-0.688559,-0.042012,0.946205,0.459733
6,2968960755,0.313673,-0.641788,0.124010,-0.688723,-0.122506,1.026335,0.448601
7,2968994089,0.315069,-0.640896,0.121856,-0.689301,-0.282210,0.938007,0.259559
8,2969027423,0.314260,-0.640637,0.121299,-0.690008,-0.469685,0.845525,0.225482
9,2969060757,0.310820,-0.641019,0.123882,-0.690752,-0.583686,0.837315,0.186124
10,2969094091,0.306822,-0.641266,0.128286,-0.691506,-0.712634,0.835145,0.159577
11,2969127425,0.303904,-0.641177,0.132669,-0.692050,-0.798403,0.729164,0.100250
12,2969160759,0.302642,-0.641172,0.136128,-0.691936,-0.769563,0.505258,0.107803
13,2969194093,0.303502,-0.641478,0.137968,-0.690910,-0.734544,0.412885,0.197483
14,2969227427,0.307242,-0.641677,0.137182,-0.689227,-0.653287,0.207261,0.166017
15,2969260761,0.312231,-0.641972,0.135426,-0.687054,-0.500044,-0.018328,0.226919
16,2969294095,0.317745,-0.642256,0.133568,-0.684620,-0.381191,-0.081524,0.253057
17,2969327429,0.323135,-0.642485,0.131818,-0.682217,-0.269005,-0.177032,0.190201
18,2969360763,0.327932,-0.642703,0.130367,-0.679999,-0.187360,-0.140328,0.176085
19,2969394097,0.332172,-0.642770,0.129244,-0.678089,-0.116386,-0.111141,0.209922
20,2969427431,0.335610,-0.642720,0.128833,-0.676520,-0.035970,-0.043245,0.337442
21,2969460765,0.339018,-0.642162,0.128796,-0.675356,0.000166,0.055414,0.306433
22,2969494099,0.341999,-0.641326,0.129597,-0.674494,0.029043,0.086776,0.244413
23,2969527433,0.344937,-0.640259,0.131414,-0.673660,-0.007463,0.273697,0.290466
24,2969560767,0.348892,-0.638589,0.133350,-0.672827,0.060958,0.215628,0.190365
25,2969594101,0.353551,-0.636530,0.135514,-0.671913,0.085336,0.250981,0.241408
26,2969627435,0.358786,-0.634188,0.137889,-0.670869,0.044024,0.304530,0.371673
27,2969660769,0.364863,-0.631273,0.140304,-0.669839,0.042493,0.202598,0.298797
28,2969694103,0.370920,-0.627952,0.143855,-0.668880,-0.024107,0.277436,0.295282
29,2969727437,0.377046,-0.624313,0.148205,-0.667911,-0.111831,0.248157,0.357354
30,2969760771,0.383711,-0.620380,0.152556,-0.666799,-0.115631,0.114950,0.252506
31,2969794105,0.390583,-0.616328,0.156939,-0.665548,-0.134764,0.042263,0.158165
32,2969827439,0.397156,-0.612333,0.161588,-0.664232,-0.199994,0.060231,0.265625
33,2969860773,0.403204,-0.608571,0.166523,-0.662826,-0.235764,-0.034490,0.213440
34,2969894107,0.409024,-0.604820,0.171458,-0.661434,-0.275953,-0.058535,0.183102
35,2969927441,0.414371,-0.601505,0.176559,-0.659784,-0.290636,-0.144219,0.095334
36,2969960775,0.419516,-0.598747,0.181503,-0.657696,-0.287402,-0.196718,0.158616
37,2969994109,0.425202,-0.596300,0.185725,-0.655085,-0.268951,-0.262265,0.152127
38,2970027443,0.431450,-0.594187,0.189063,-0.651957,-0.266245,-0.339484,0.160978
39,2970060777,0.438301,-0.592303,0.191524,-0.648374,-0.239933,-0.366352,0.084443
40,2970094111,0.445227,-0.590889,0.193508,-0.644342,-0.199713,-0.429994,0.067381
41,2970127445,0.452154,-0.590005,0.194594,-0.639987,-0.143169,-0.454992,-0.009534
42,2970160779,0.459054,-0.589543,0.194493,-0.635516,-0.104677,-0.468503,-0.029114
43,2970194113,0.465603,-0.589643,0.193526,-0.630938,-0.065031,-0.354585,-0.028165
44,2970227447,0.472310,-0.589638,0.191134,-0.626672,-0.016637,-0.244622,-0.079041
45,2970260781,0.478619,-0.589513,0.187596,-0.623062,0.025677,-0.175546,-0.353799
46,2970294115,0.483056,-0.589996,0.184196,-0.620188,-0.001030,0.021734,-0.286886
47,2970327449,0.486022,-0.590628,0.180611,-0.618321,-0.079207,0.213506,-0.296827
48,2970360783,0.487657,-0.591334,0.177141,-0.617362,-0.222967,0.344070,-0.271929
49,2970394117,0.488102,-0.592178,0.174182,-0.617044,-0.323360,0.509754,-0.156572
50,2970427451,0.487773,-0.592871,0.171718,-0.617328,-0.409909,0.640441,-0.084360
51,2970460785,0.486851,-0.593238,0.170198,-0.618125,-0.505999,0.705308,0.040376
52,2970494119,0.485262,-0.593270,0.170175,-0.619348,-0.514088,0.725656,0.091393
53,2970527453,0.482898,-0.593076,0.171794,-0.620933,-0.599199,0.756315,0.267162
54,2970560787,0.480531,-0.592393,0.174740,-0.622596,-0.677335,0.733518,0.361480
55,2970594121,0.478384,-0.591515,0.178683,-0.623964,-0.677349,0.625969,0.173642
56,2970627455,0.476104,-0.590768,0.183316,-0.625071,-0.751670,0.585801,0.076406
57,2970660789,0.473034,-0.590770,0.189218,-0.625641,-0.713878,0.472352,0.009339
58,2970694123,0.469266,-0.591656,0.196584,-0.625369,-0.690977,0.574784,0.125273
59,2970727457,0.466052,-0.592465,0.203670,-0.624739,-0.674100,0.529824,0.134316
60,2970760791,0.462149,-0.594121,0.211818,-0.623355,-0.790861,0.419771,-0.012415
61,2970794125,0.457442,-0.596967,0.221832,-0.620619,-0.703322,0.589616,0.263548
62,2970827459,0.454425,-0.599428,0.230670,-0.617232,-0.578496,0.589901,0.343068
63,2970860793,0.452339,-0.601832,0.238719,-0.613352,-0.700171,0.544940,0.502243
64,2970894127,0.450817,-0.603964,0.246886,-0.609130,-0.502574,0.591615,0.495382
65,2970927461,0.449810,-0.605864,0.255297,-0.604502,-0.423773,0.595814,0.321345
66,2970960795,0.448227,-0.608343,0.264500,-0.599209,-0.672971,0.764812,0.168341
67,2970994129,0.444811,-0.612045,0.275556,-0.592970,-0.356503,0.941003,0.272365
68,2971027463,0.441051,-0.615872,0.286641,-0.586526,-0.143501,0.830780,-0.072562
69,2971060797,0.433326,-0.623240,0.300478,-0.577506,-0.332172,0.556201,-0.469285
70,2971094131,0.422251,-0.632856,0.316108,-0.566810,-0.386087,1.043050,0.093937
71,2971127465,0.413309,-0.641557,0.328155,-0.556681,-0.048310,0.613865,0.040554
72,2971160799,0.401558,-0.652377,0.341130,-0.544780,0.062910,0.437547,0.083853
73,2971194133,0.391123,-0.661907,0.351767,-0.534006,0.565503,0.611735,0.322925
74,2971227467,0.382603,-0.670226,0.358377,-0.525335,0.446283,-0.001458,-0.666008
75,2971260801,0.370147,-0.680327,0.364537,-0.516971,0.148454,-0.088635,-0.597820
76,2971294135,0.356593,-0.690845,0.367605,-0.510333,0.879046,-0.297050,-0.735727
77,2971327469,0.342350,-0.701438,0.367631,-0.505597,0.839130,-1.031841,-0.673092
78,2971360803,0.326341,-0.711802,0.366175,-0.502748,1.317335,-0.856404,-0.290442
79,2971394137,0.311788,-0.720885,0.362002,-0.502064,1.242832,-0.955475,-0.344466
80,2971427471,0.299612,-0.728693,0.355486,-0.502860,1.300724,-1.187223,-0.697675
81,2971460805,0.289102,-0.735078,0.347617,-0.505215,1.041924,-1.175745,-0.731069
82,2971494139,0.279187,-0.740516,0.338701,-0.508893,0.823196,-1.230163,-0.347056
83,2971527473,0.270076,-0.744979,0.328685,-0.513840,0.710046,-1.043396,0.075591
84,2971560807,0.264822,-0.747904,0.316313,-0.520053,0.638245,-0.906179,0.011719
85,2971594141,0.262091,-0.749281,0.303789,-0.526876,0.464122,-0.867497,0.296379
86,2971627475,0.259951,-0.749226,0.292872,-0.534145,0.409816,-0.869413,0.209172
87,2971660809,0.256708,-0.748331,0.284392,-0.541501,0.181111,-0.895084,0.285667
88,2971694143,0.251863,-0.747374,0.278377,-0.548182,0.146473,-0.513345,0.750467
89,2971727477,0.246594,-0.745903,0.273881,-0.554805,-0.118030,-0.283589,0.616390
90,2971760811,0.240573,-0.744264,0.271175,-0.560945,-0.318323,-0.503285,0.069936
91,2971794145,0.235056,-0.742755,0.271039,-0.565332,-0.566546,-0.046700,0.711288
92,2971827479,0.231289,-0.740943,0.271656,-0.568956,-0.616822,0.026812,1.082952
93,2971860813,0.227123,-0.739362,0.274568,-0.571289,-0.502839,-0.078961,1.321860
94,2971894147,0.225294,-0.736727,0.280007,-0.572775,0.347290,0.320061,1.713446
