sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:33:05_297 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2968760751,0.445208,-0.595336,-0.584484,-0.325184,0.202035,-0.049271,0.119919
2,2968794085,0.446664,-0.593212,-0.586961,-0.322597,-0.021137,-0.338817,0.217849
3,2968827419,0.448141,-0.591232,-0.589191,-0.320108,0.064332,-0.330780,0.127365
4,2968860753,0.448773,-0.589822,-0.591465,-0.317621,0.104839,-0.151197,0.075318
5,2968894087,0.448989,-0.588837,-0.593628,-0.315099,0.096021,0.002241,0.160976
6,2968927421,0.449302,-0.587739,-0.595795,-0.312602,0.043944,-0.087847,0.332585
7,2968960755,0.449596,-0.586897,-0.597498,-0.310504,0.022266,-0.158427,0.101961
8,2968994089,0.449857,-0.586088,-0.598960,-0.308834,0.053398,-0.021443,0.123013
9,2969027423,0.450743,-0.584706,-0.600414,-0.307335,-0.020925,-0.068873,0.288729
10,2969060757,0.451601,-0.583230,-0.602224,-0.305330,0.103032,0.045861,0.179420
11,2969094091,0.451879,-0.582298,-0.603722,-0.303735,0.106122,-0.053958,0.081468
12,2969127425,0.452297,-0.581360,-0.604937,-0.302491,0.104634,-0.141250,0.196730
13,2969160759,0.452981,-0.580147,-0.606237,-0.301189,0.062156,-0.065124,0.291955
14,2969194093,0.453667,-0.578928,-0.607442,-0.300074,0.035650,-0.100780,0.203967
15,2969227427,0.454370,-0.577620,-0.608658,-0.299067,0.046621,-0.229529,0.136915
16,2969260761,0.454875,-0.576471,-0.609783,-0.298222,0.190263,-0.393960,0.053658
17,2969294095,0.454741,-0.576000,-0.610704,-0.297449,0.289125,-0.337894,0.007543
18,2969327429,0.454616,-0.575784,-0.611273,-0.296889,0.090683,-0.402684,0.288316
19,2969360763,0.454761,-0.575386,-0.611846,-0.296259,-0.111548,-0.008219,0.227392
20,2969394097,0.455029,-0.574682,-0.613066,-0.294689,0.088442,0.161516,0.113806
21,2969427431,0.455181,-0.574094,-0.614110,-0.293422,0.180782,0.123496,0.179579
22,2969460765,0.455155,-0.573648,-0.614793,-0.292903,0.135234,0.115396,0.249366
23,2969494099,0.454733,-0.573585,-0.615483,-0.292233,0.016739,0.079173,0.124328
24,2969527433,0.454578,-0.573421,-0.616091,-0.291515,0.130563,-0.107077,0.249990
25,2969560767,0.454820,-0.572759,-0.616701,-0.291148,0.140838,0.140379,0.207033
26,2969594101,0.454850,-0.572369,-0.617078,-0.291070,0.074666,0.003267,0.166312
27,2969627435,0.454403,-0.572432,-0.617439,-0.290878,0.140480,-0.179261,0.145570
28,2969660769,0.454150,-0.572338,-0.617870,-0.290544,0.040643,-0.214750,0.146405
29,2969694103,0.454020,-0.572104,-0.618194,-0.290518,0.026360,-0.159845,0.191529
30,2969727437,0.453924,-0.571685,-0.618758,-0.290291,0.041969,-0.157554,0.313202
31,2969760771,0.453965,-0.571257,-0.619167,-0.290198,0.074770,-0.069213,0.058431
32,2969794105,0.454105,-0.570738,-0.619589,-0.290099,0.017826,-0.108190,0.149574
33,2969827439,0.454309,-0.570002,-0.620141,-0.290048,-0.014234,-0.192149,0.196793
34,2969860773,0.454403,-0.569232,-0.620935,-0.289713,0.027363,-0.364006,0.135835
35,2969894107,0.454668,-0.568324,-0.621758,-0.289316,0.013992,-0.376698,0.116541
36,2969927441,0.455143,-0.567135,-0.622770,-0.288725,0.094979,-0.191481,0.216026
37,2969960775,0.455466,-0.565936,-0.624088,-0.287720,0.021864,-0.104933,0.196402
38,2969994109,0.455857,-0.564614,-0.625619,-0.286370,0.003937,0.003504,0.143003
39,2970027443,0.456624,-0.562860,-0.627111,-0.285337,0.122984,0.137520,0.158863
40,2970060777,0.457551,-0.560801,-0.628794,-0.284199,0.065000,0.174772,0.203955
41,2970094111,0.458360,-0.558801,-0.630632,-0.282760,0.009697,0.178195,0.168776
42,2970127445,0.459289,-0.556497,-0.632702,-0.281164,-0.025970,0.060822,0.104258
43,2970160779,0.460520,-0.553701,-0.635029,-0.279423,-0.062217,-0.048326,0.216038
44,2970194113,0.461864,-0.550390,-0.638047,-0.276859,-0.104862,-0.189199,0.204384
45,2970227447,0.463042,-0.546953,-0.641509,-0.273681,-0.172479,-0.149547,0.092492
46,2970260781,0.464220,-0.543327,-0.645213,-0.270179,0.049568,-0.015162,0.178440
47,2970294115,0.465370,-0.539746,-0.648690,-0.267035,0.186309,0.146585,0.222514
