sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:25:59_118 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2542585561,0.458120,-0.551475,0.200265,-0.667754,-0.194080,-0.113750,-0.268137
2,2542618895,0.452335,-0.552119,0.198851,-0.671578,-0.214083,0.144134,0.219379
3,2542652229,0.446843,-0.552666,0.197551,-0.675178,-0.252005,0.330180,0.428176
4,2542685563,0.441912,-0.552997,0.196665,-0.678403,-0.281702,0.421120,0.427239
5,2542718897,0.437721,-0.553076,0.196402,-0.681127,-0.368482,0.506613,0.528453
6,2542752231,0.435372,-0.552862,0.196626,-0.682740,-0.712343,0.753152,0.662707
7,2542785565,0.435047,-0.553501,0.198797,-0.681800,-1.483780,1.164201,1.300490
8,2542818899,0.441132,-0.553106,0.202650,-0.677060,-2.246599,2.121295,3.009779
9,2542852233,0.459377,-0.548428,0.204542,-0.668104,-2.876464,2.087145,2.695831
10,2542885567,0.483515,-0.542729,0.209405,-0.654070,-2.679082,1.631436,2.112943
11,2542918901,0.507420,-0.538642,0.219925,-0.635628,-2.094325,1.175933,1.742701
12,2542952235,0.530749,-0.534065,0.234106,-0.615041,-1.064450,0.658689,1.600163
13,2542985569,0.552382,-0.528006,0.251244,-0.594105,0.153042,-0.006128,0.941974
14,2543018903,0.568345,-0.522761,0.274128,-0.573201,1.065741,-0.334673,0.552786
15,2543052237,0.578259,-0.518575,0.302059,-0.552682,1.231718,-0.275889,0.806871
16,2543085571,0.585344,-0.513185,0.331542,-0.533005,1.554249,-0.565195,0.887065
17,2543118905,0.589218,-0.508283,0.363473,-0.512209,1.632380,-0.715915,0.570081
18,2543152239,0.590722,-0.503996,0.396492,-0.489725,0.680663,-0.884711,0.356099
19,2543185573,0.591339,-0.499797,0.428036,-0.466162,0.493604,-1.079634,0.029534
20,2543218907,0.592060,-0.495703,0.456898,-0.441574,0.070167,-0.762625,-0.226209
21,2543252241,0.589915,-0.495444,0.485250,-0.413603,-0.928018,-0.673326,0.090596
22,2543285575,0.586554,-0.495533,0.511860,-0.385228,-0.356282,-0.623181,0.752133
23,2543318909,0.583180,-0.494877,0.535774,-0.357695,-0.932900,-0.414608,0.319362
24,2543352243,0.575712,-0.498206,0.559960,-0.326791,-0.579358,-0.571598,1.262814
25,2543385577,0.568909,-0.500501,0.581861,-0.295429,-0.344548,-0.446147,1.458248
26,2543418911,0.562712,-0.501090,0.601608,-0.265201,-0.430807,-0.143928,0.939730
27,2543452245,0.555158,-0.502302,0.619971,-0.234797,-0.186095,0.096360,0.173611
28,2543485579,0.545342,-0.504650,0.637221,-0.204649,0.207826,0.622334,0.251995
29,2543518913,0.535228,-0.505923,0.652423,-0.178653,0.152889,1.618901,-0.075047
30,2543552247,0.523439,-0.508213,0.665794,-0.156366,-0.060858,2.108862,0.160431
31,2543585581,0.511007,-0.511995,0.676525,-0.138008,0.023569,2.496393,0.049081
32,2543618915,0.497576,-0.519009,0.684458,-0.120684,0.648094,2.396537,-0.592086
33,2543652249,0.484651,-0.526985,0.689916,-0.106849,0.907884,2.111197,-1.517245
34,2543685583,0.472521,-0.535004,0.693546,-0.097409,0.969363,1.913383,-1.929774
35,2543718917,0.460794,-0.544658,0.694905,-0.090135,0.372344,1.820637,-2.409775
36,2543752251,0.449059,-0.556715,0.693718,-0.084677,0.526804,1.273347,-2.655090
37,2543785585,0.440388,-0.569275,0.689243,-0.083242,0.520573,0.743599,-2.769094
38,2543818919,0.433514,-0.583411,0.681687,-0.083677,0.309062,0.241038,-3.047853
39,2543852253,0.429902,-0.597674,0.670989,-0.088002,0.649024,-0.545067,-2.684388
40,2543885587,0.430644,-0.611592,0.656806,-0.095429,-0.263061,-1.188087,-2.635993
41,2543918921,0.429549,-0.628449,0.640207,-0.103321,-0.272684,-1.751529,-2.812853
42,2543952255,0.426874,-0.646792,0.621749,-0.113434,0.352531,-2.501289,-1.947236
43,2543985589,0.425701,-0.663073,0.602711,-0.125906,0.964441,-3.354781,-0.924420
44,2544018923,0.427806,-0.673320,0.586572,-0.139844,2.006960,-3.478139,0.308674
45,2544052257,0.430237,-0.677252,0.577253,-0.151676,2.213483,-2.074095,-0.625919
46,2544085591,0.431958,-0.675193,0.576554,-0.158470,1.055468,-2.602674,0.839956
47,2544118925,0.432771,-0.668817,0.582187,-0.162640,1.644681,-2.515082,1.316126
48,2544152259,0.432679,-0.660343,0.591840,-0.162670,1.893182,-2.194547,0.928461
49,2544185593,0.433430,-0.649693,0.603686,-0.160008,0.699246,-1.380291,0.570764
50,2544218927,0.436377,-0.636824,0.615703,-0.157926,1.011610,-1.160870,-0.211936
51,2544252261,0.434332,-0.628598,0.627996,-0.147792,0.733440,-0.211633,-0.974997
52,2544285595,0.429658,-0.621521,0.640363,-0.137992,0.712243,-0.516204,-0.068676
53,2544318929,0.427569,-0.612648,0.651717,-0.130814,0.940260,-0.641499,-0.039062
54,2544352263,0.427465,-0.603814,0.661795,-0.121286,0.791872,-0.471755,0.455098
55,2544385597,0.430972,-0.593149,0.671004,-0.110416,1.447307,-1.200237,1.386472
56,2544418931,0.445190,-0.575506,0.677973,-0.104649,1.423630,-0.299929,-1.126837
57,2544452265,0.455597,-0.559105,0.685981,-0.096251,1.357305,-0.305345,-0.604616
58,2544485599,0.467622,-0.539859,0.693658,-0.093387,1.110406,0.025154,-0.683702
59,2544518933,0.479655,-0.520805,0.699832,-0.094494,0.674097,1.364886,-1.904056
60,2544552267,0.488545,-0.503347,0.705373,-0.102054,0.588513,1.489948,-1.613589
61,2544585601,0.496198,-0.485591,0.710189,-0.116711,-0.498838,1.609861,-0.058550
62,2544618935,0.501828,-0.470194,0.713466,-0.134358,-0.032316,2.617849,-0.326749
63,2544652269,0.504979,-0.457267,0.715678,-0.153976,-0.928015,2.297544,0.799761
64,2544685603,0.506026,-0.443970,0.718385,-0.175360,-0.729671,2.356743,1.260536
65,2544718937,0.505851,-0.429528,0.721255,-0.198526,-0.413349,2.411255,1.627930
66,2544752271,0.503773,-0.414454,0.725008,-0.220919,-0.085960,1.706774,1.711050
67,2544785605,0.499639,-0.396717,0.730454,-0.243749,-0.090435,1.860870,1.033682
68,2544818939,0.491583,-0.377881,0.738871,-0.263860,-0.079946,1.558113,1.458930
69,2544852273,0.481029,-0.358138,0.748788,-0.282249,0.338597,1.440357,1.069393
70,2544885607,0.470570,-0.335407,0.758394,-0.301504,0.740263,0.795369,0.595723
71,2544918941,0.459717,-0.309808,0.767748,-0.321315,0.853166,0.370657,1.010338
72,2544952275,0.448655,-0.281288,0.776061,-0.342513,1.161166,0.577938,0.463292
73,2544985609,0.436473,-0.251178,0.783992,-0.362985,1.629070,-0.200928,-0.027822
74,2545018943,0.421371,-0.219931,0.791962,-0.383240,2.329037,-0.312297,-0.722767
75,2545052277,0.401049,-0.188198,0.800078,-0.404496,2.572252,-0.784226,-1.341672
76,2545085611,0.374994,-0.155155,0.808047,-0.427044,2.263465,-1.935323,-1.108982
77,2545118945,0.343799,-0.120014,0.814380,-0.451867,2.574753,-2.102980,-1.098206
78,2545152279,0.307579,-0.084065,0.819656,-0.475913,1.901236,-2.706838,-1.453340
79,2545185613,0.267239,-0.049899,0.824092,-0.496957,0.621505,-2.894023,-1.590619
80,2545218947,0.223149,-0.018534,0.825165,-0.518618,-0.644534,-2.123535,-1.818121
81,2545252281,0.176528,0.007111,0.825457,-0.536104,-0.740014,-1.390967,-1.914218
82,2545285615,0.128821,0.025685,0.823790,-0.551466,-0.957502,-1.051751,-2.273135
83,2545318949,0.081131,0.036043,0.822443,-0.561878,-2.575520,-0.640895,-1.161601
84,2545352283,0.037003,0.038979,0.817248,-0.573776,-3.836375,-0.279833,-0.302140
85,2545385617,-0.002169,0.032439,0.815896,-0.577284,-4.059369,-0.185171,-0.122623
86,2545418951,-0.040030,0.020295,0.822382,-0.567163,-3.972103,0.799372,-0.070490
87,2545452285,-0.081311,0.004827,0.830118,-0.551607,-3.528998,0.739541,-2.860307
88,2545485619,-0.121809,-0.012990,0.837991,-0.531757,-4.769972,0.996018,2.669148
89,2545518953,-0.152193,-0.033675,0.834973,-0.527753,-4.579999,0.843318,3.700887
90,2545552287,-0.171363,-0.051153,0.829675,-0.528827,-3.973406,1.196648,3.267835
91,2545585621,-0.180107,-0.064000,0.824100,-0.533221,-2.830559,0.764502,4.343199
92,2545618955,-0.177484,-0.077164,0.816125,-0.544505,-2.074343,1.350463,3.578945
93,2545652289,-0.163089,-0.093559,0.805837,-0.561494,-1.938178,1.047080,2.150502
94,2545685623,-0.138839,-0.114531,0.793666,-0.581120,-1.516361,1.173914,2.365414
95,2545718957,-0.104573,-0.139273,0.779643,-0.601519,-1.731330,1.086006,2.487145
96,2545752291,-0.060982,-0.167760,0.763038,-0.621218,-1.836530,0.706340,1.429572
97,2545785625,-0.009884,-0.198747,0.746354,-0.635106,-2.257244,-0.075156,1.463396
98,2545818959,0.048310,-0.229770,0.727594,-0.644577,-2.326125,-1.377372,0.808163
99,2545852293,0.110024,-0.261339,0.708139,-0.646635,-1.443552,-1.616157,0.956240
100,2545885627,0.174520,-0.294694,0.689078,-0.638647,-1.488328,-1.737810,1.142072
101,2545918961,0.240125,-0.326871,0.666562,-0.625452,-0.372940,-2.747955,0.665129
102,2545952295,0.303465,-0.357671,0.644335,-0.603998,0.115956,-2.901886,0.070789
103,2545985629,0.361463,-0.385838,0.623765,-0.575665,1.371874,-2.953724,-0.149281
104,2546018963,0.413629,-0.410384,0.601922,-0.546063,2.195256,-2.595541,-0.656435
105,2546052297,0.457636,-0.432885,0.581988,-0.514266,2.508711,-2.182607,-0.793253
106,2546085631,0.494352,-0.452243,0.563605,-0.483159,3.100443,-1.403825,-0.587255
107,2546118965,0.525248,-0.467935,0.544853,-0.456385,3.183286,-0.528647,-0.643657
108,2546152299,0.549551,-0.481938,0.527211,-0.433334,2.621630,0.023415,-0.507441
109,2546185633,0.569630,-0.493556,0.509858,-0.414691,2.260986,0.849903,-0.736119
110,2546218967,0.586442,-0.503083,0.493119,-0.399784,1.452547,1.699630,-0.688108
111,2546252301,0.598639,-0.512795,0.480146,-0.384881,0.683712,2.395597,-0.209366
112,2546285635,0.608884,-0.520634,0.470610,-0.369768,0.356179,3.015049,0.084800
113,2546318969,0.619732,-0.524659,0.463109,-0.355240,-0.400884,3.081194,0.143485
114,2546352303,0.631417,-0.525221,0.457285,-0.341095,-0.923520,2.519922,0.327348
115,2546385637,0.643960,-0.522792,0.451885,-0.328335,-1.051357,2.362774,-0.013736
116,2546418971,0.655292,-0.519884,0.447405,-0.316453,-1.131413,1.681202,0.443576
117,2546452305,0.666969,-0.515413,0.442655,-0.305875,-0.919144,1.490866,0.800402
118,2546485639,0.683158,-0.504741,0.434593,-0.299435,-1.597240,1.158892,0.616354
119,2546518973,0.698713,-0.494767,0.425580,-0.293066,-1.157312,1.204409,-0.673919
120,2546552307,0.707156,-0.493607,0.419726,-0.283041,-0.553531,0.624757,0.442800
121,2546585641,0.717965,-0.488215,0.411969,-0.276503,-0.019055,0.019480,1.491025
122,2546618975,0.725379,-0.487269,0.405574,-0.268149,0.397164,0.754995,-1.671851
123,2546652309,0.722822,-0.497742,0.405353,-0.255872,0.522382,1.003808,1.075955
124,2546685643,0.723756,-0.501236,0.403190,-0.249755,0.037659,1.380740,0.812606
125,2546718977,0.721077,-0.509726,0.401323,-0.243246,0.681099,1.367442,-0.671349
126,2546752311,0.712806,-0.523652,0.402766,-0.235535,1.439419,0.826643,1.142175
127,2546785645,0.709345,-0.528915,0.402886,-0.234012,1.815379,1.352967,0.786911
128,2546818979,0.707654,-0.532172,0.401161,-0.234712,1.606220,0.348720,0.375648
129,2546852313,0.704914,-0.534665,0.401685,-0.236385,2.186346,0.306161,0.056027
130,2546885647,0.702368,-0.534120,0.404190,-0.240883,1.918287,0.485410,0.023038
131,2546918981,0.701633,-0.530568,0.405478,-0.248589,1.050726,0.036477,-0.168786
132,2546952315,0.702904,-0.524278,0.405205,-0.258588,0.791975,0.162819,-0.959059
133,2546985649,0.703035,-0.519402,0.404250,-0.269343,1.022520,0.131905,-1.659609
134,2547018983,0.698376,-0.520509,0.404640,-0.278583,1.337882,-0.722272,-0.535783
135,2547052317,0.695041,-0.519100,0.404426,-0.289644,1.230754,-0.972406,-0.188166
136,2547085651,0.695169,-0.512466,0.402799,-0.303103,0.658089,-1.276375,-1.374598
137,2547118985,0.686788,-0.516386,0.407078,-0.309766,0.213261,-2.161490,-0.854539
138,2547152319,0.680386,-0.517929,0.412028,-0.314733,0.406451,-2.971432,0.532076
139,2547185653,0.678521,-0.513512,0.415979,-0.320744,0.130615,-3.065226,-1.692042
140,2547218987,0.668874,-0.519954,0.425272,-0.318434,0.063955,-3.487013,-0.379025
141,2547252321,0.663335,-0.520635,0.434287,-0.316735,0.727435,-4.184503,-1.057878
142,2547285655,0.657279,-0.520592,0.446253,-0.312774,1.190667,-3.323554,-1.220010
143,2547318989,0.648426,-0.524464,0.461311,-0.302776,0.517561,-3.085332,-0.385952
144,2547352323,0.648717,-0.520395,0.470940,-0.294229,-0.041588,-2.799134,0.232903
145,2547385657,0.656952,-0.510490,0.474721,-0.287149,0.752383,-2.033078,-1.878179
146,2547418991,0.657856,-0.512102,0.481560,-0.270330,0.535889,-1.526489,-1.313062
147,2547452325,0.662614,-0.510452,0.484413,-0.256370,-0.558356,-1.549188,0.118217
148,2547485659,0.673954,-0.505921,0.479671,-0.244431,-0.784992,0.446964,-2.649275
149,2547518993,0.679936,-0.511122,0.472402,-0.230822,1.781690,0.654653,-1.878447
150,2547552327,0.684704,-0.516825,0.462345,-0.224298,1.060247,1.015111,-1.307500
151,2547585661,0.686902,-0.524165,0.451447,-0.222740,1.348885,0.541989,-0.040656
152,2547618995,0.690694,-0.529692,0.436911,-0.226885,1.103229,0.048341,0.299924
