sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:10:16_665 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1600271459,-0.289331,0.756986,0.271376,0.519296,-0.026926,-0.070722,0.182310
2,1600304793,-0.289202,0.757047,0.271333,0.519302,0.043829,-0.062538,0.175357
3,1600338127,-0.288937,0.757045,0.271065,0.519592,0.154852,0.009611,0.205051
4,1600371461,-0.288863,0.756833,0.270858,0.520050,0.107055,0.013936,0.187045
5,1600404795,-0.288700,0.756687,0.270631,0.520470,0.021776,-0.008970,0.186632
6,1600438129,-0.288331,0.756662,0.270193,0.520939,0.005983,-0.046272,0.146126
7,1600471463,-0.287970,0.756820,0.269961,0.521029,-0.065848,-0.005524,0.133546
8,1600504797,-0.287766,0.756964,0.269903,0.520963,-0.067071,-0.010168,0.196033
9,1600538131,-0.287807,0.757007,0.270044,0.520804,-0.005715,-0.032198,0.179013
10,1600571465,-0.287654,0.757337,0.270130,0.520364,-0.008271,-0.035045,0.173624
11,1600604799,-0.287556,0.757475,0.270063,0.520254,0.136939,-0.012164,0.226342
12,1600638133,-0.287678,0.757239,0.270089,0.520515,0.254779,0.166772,0.142509
13,1600671467,-0.287684,0.756962,0.270046,0.520938,0.114029,0.116723,0.210543
14,1600704801,-0.287800,0.756442,0.269880,0.521713,0.214747,0.039188,0.189686
15,1600738135,-0.287934,0.755710,0.269744,0.522769,0.360259,0.154271,0.158322
16,1600771469,-0.288082,0.754439,0.269485,0.524653,0.351669,0.197525,0.236629
17,1600804803,-0.288493,0.752632,0.269165,0.527182,0.238306,0.058396,0.240224
18,1600838137,-0.288944,0.751040,0.269077,0.529247,0.049395,0.071395,0.069919
19,1600871471,-0.289433,0.749302,0.269021,0.531467,0.148915,0.132929,0.133114
20,1600904805,-0.290830,0.746104,0.269427,0.534986,0.460402,0.155934,0.243940
21,1600938139,-0.293087,0.741242,0.270292,0.540052,0.715043,0.030201,0.113050
22,1600971473,-0.294901,0.736409,0.270938,0.545327,0.358944,-0.108995,0.050159
23,1601004807,-0.296293,0.731157,0.271014,0.551566,0.300603,-0.070108,0.053687
24,1601038141,-0.298205,0.724312,0.270834,0.559597,0.404136,-0.193697,0.152307
25,1601071475,-0.298950,0.718385,0.270246,0.567073,0.118466,-0.394292,-0.027188
26,1601104809,-0.300090,0.712338,0.269327,0.574489,-0.156828,0.397350,0.191467
27,1601138143,-0.301901,0.705516,0.268681,0.582209,-0.294398,0.070432,0.621828
28,1601171477,-0.304152,0.698722,0.268381,0.589325,-0.414210,-0.536798,0.083842
29,1601204811,-0.304352,0.694375,0.266627,0.595128,-0.824631,-0.057723,0.088593
30,1601238145,-0.304870,0.690358,0.265296,0.600110,-0.846977,0.163937,0.216812
31,1601271479,-0.307111,0.685490,0.266291,0.604094,-0.190415,-0.324480,-0.230526
32,1601304813,-0.308983,0.681172,0.267563,0.607452,0.340158,0.343611,0.262725
33,1601338147,-0.312119,0.676107,0.270590,0.610160,0.145011,0.336527,0.213897
34,1601371481,-0.314525,0.669757,0.272512,0.615053,0.269555,-0.569948,-0.227913
35,1601404815,-0.315414,0.664250,0.271844,0.620839,0.822843,-0.272892,-0.046554
36,1601438149,-0.315255,0.659848,0.270058,0.626368,0.519002,0.691219,0.553774
37,1601471483,-0.314239,0.655595,0.267219,0.632533,0.071963,-0.560720,-0.378814
38,1601504817,-0.313585,0.650778,0.263610,0.639309,0.596787,0.016687,-0.185904
39,1601538151,-0.313957,0.645590,0.262400,0.644860,0.544619,0.642144,0.872070
40,1601571485,-0.314048,0.640690,0.262105,0.649804,-0.282082,-0.401992,0.112338
41,1601604819,-0.312488,0.636742,0.257979,0.656057,-0.292898,-0.008633,-0.056702
42,1601638153,-0.312155,0.633841,0.254707,0.660290,-0.586604,0.654182,0.306258
43,1601671487,-0.313257,0.630603,0.253303,0.663401,-0.039417,0.403588,0.474156
44,1601704821,-0.315297,0.626732,0.253578,0.665993,-0.414241,0.239727,0.272479
45,1601738155,-0.317966,0.622817,0.255097,0.667814,-0.342371,-0.031625,-0.313195
46,1601771489,-0.319806,0.619284,0.255792,0.669952,0.171371,-0.268503,-0.212625
47,1601804823,-0.321498,0.615978,0.255538,0.672283,0.542977,0.091543,0.656673
48,1601838157,-0.322980,0.612689,0.254686,0.674896,0.325825,-0.145189,0.238630
49,1601871491,-0.323695,0.609627,0.252578,0.678111,0.157518,-0.215316,-0.402192
50,1601904825,-0.324183,0.606357,0.250032,0.681744,-0.061818,0.169889,0.052809
51,1601938159,-0.325336,0.602576,0.248769,0.685001,0.042396,0.132666,0.452078
52,1601971493,-0.326665,0.598312,0.247591,0.688524,-0.025228,-0.366786,-0.021513
53,1602004827,-0.327174,0.594597,0.244094,0.692736,0.060123,-0.213476,-0.054500
54,1602038161,-0.327775,0.591113,0.241293,0.696405,-0.036539,0.219950,0.381033
55,1602071495,-0.328522,0.587397,0.238737,0.700069,-0.265008,-0.041702,0.067027
