sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:09:42_639 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1566204111,-0.338004,0.674823,-0.036337,0.655018,-0.053664,-0.077905,0.211083
2,1566237445,-0.337619,0.674922,-0.036340,0.655115,-0.069916,-0.041796,0.183627
3,1566270779,-0.337423,0.674912,-0.036562,0.655214,-0.068393,-0.019766,0.139898
4,1566304113,-0.337118,0.674909,-0.036894,0.655356,-0.037981,-0.272544,-0.029269
5,1566337447,-0.336463,0.674943,-0.038313,0.655575,-0.002705,-0.055772,-0.005836
6,1566370781,-0.336502,0.674835,-0.039993,0.655566,0.034710,-0.126991,0.004359
7,1566404115,-0.336674,0.674739,-0.041938,0.655455,-0.099761,0.139506,0.276778
8,1566437449,-0.337456,0.674526,-0.043014,0.655203,-0.006259,-0.031506,0.136229
9,1566470783,-0.338179,0.674271,-0.044008,0.655026,-0.080186,0.036595,0.157707
10,1566504117,-0.339099,0.673834,-0.044694,0.654954,-0.139589,-0.011862,-0.045028
11,1566537451,-0.340290,0.673283,-0.044951,0.654885,-0.080947,0.011494,-0.009372
12,1566570785,-0.341488,0.672856,-0.044427,0.654736,-0.071185,-0.092001,0.015859
13,1566604119,-0.343017,0.672362,-0.043138,0.654530,-0.086277,-0.110631,-0.041574
14,1566637453,-0.344777,0.671615,-0.041632,0.654470,-0.182824,-0.213370,-0.208573
15,1566670787,-0.346428,0.670904,-0.040180,0.654418,-0.285910,-0.201652,-0.159196
16,1566704121,-0.349173,0.670281,-0.037380,0.653764,-0.394838,-0.070167,-0.145405
17,1566737455,-0.353620,0.669644,-0.032471,0.652286,-0.274104,-0.229367,-0.314089
18,1566770789,-0.357500,0.669487,-0.027487,0.650559,-0.312484,-0.271337,-0.334226
19,1566804123,-0.359679,0.669861,-0.023455,0.649129,-0.154542,-0.278887,-0.158429
20,1566837457,-0.359609,0.670935,-0.020578,0.648156,0.048834,-0.268631,-0.021916
21,1566870791,-0.358144,0.672223,-0.018509,0.647695,0.041868,-0.211038,-0.240314
22,1566904125,-0.357037,0.672918,-0.017058,0.647625,-0.096731,0.011657,-0.598535
23,1566937459,-0.356408,0.673246,-0.015457,0.647670,0.142298,-0.132100,-0.632954
24,1566970793,-0.354502,0.674080,-0.012984,0.647902,-0.084729,-0.160734,-0.452712
25,1567004127,-0.351711,0.675304,-0.009208,0.648215,-0.118132,-0.040014,-0.469579
26,1567037461,-0.348849,0.676598,-0.004954,0.648458,0.160703,0.007336,-0.284373
27,1567070795,-0.345289,0.678123,-0.000490,0.648789,0.156580,-0.029922,0.260168
28,1567104129,-0.341109,0.680107,0.004551,0.648907,-0.095494,0.241021,0.642347
29,1567137463,-0.339555,0.681432,0.010454,0.648263,0.045002,0.455992,0.362508
30,1567170797,-0.340905,0.681488,0.015064,0.647405,0.049838,0.251925,0.116007
31,1567204131,-0.342521,0.680890,0.017929,0.647108,-0.020042,0.044056,0.409684
32,1567237465,-0.343642,0.680374,0.020412,0.646983,-0.051825,0.149634,0.174178
33,1567270799,-0.345642,0.679435,0.022783,0.646825,-0.110547,0.080040,-0.276645
34,1567304133,-0.347521,0.678288,0.024179,0.646971,-0.081400,-0.147808,-0.272667
35,1567337467,-0.348234,0.677285,0.025589,0.647584,0.003945,-0.232097,0.146163
36,1567370801,-0.349093,0.676165,0.028240,0.648182,-0.063463,-0.532794,0.052364
37,1567404135,-0.351062,0.675126,0.031821,0.648035,-0.214034,-0.365252,-0.022700
38,1567437469,-0.357338,0.672775,0.039190,0.646645,-0.828560,0.113147,-0.053915
39,1567470803,-0.368935,0.668220,0.052285,0.643923,-0.642188,-0.501118,-0.338589
40,1567504137,-0.377439,0.665367,0.064439,0.640841,-0.136286,-0.828085,-0.271811
41,1567537471,-0.380027,0.665340,0.072605,0.638461,-0.077523,-0.214000,0.006441
42,1567570805,-0.380056,0.666116,0.079004,0.636873,0.028815,-0.231030,0.075831
43,1567604139,-0.376896,0.668136,0.082534,0.636187,0.113140,-0.032261,0.345129
44,1567637473,-0.373304,0.670077,0.084739,0.635974,0.034930,0.384277,0.501912
45,1567670807,-0.372205,0.670934,0.087059,0.635400,-0.367216,0.408378,0.333554
46,1567704141,-0.374288,0.671240,0.090020,0.633438,-0.103914,0.431769,0.204935
