sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_13:55:26_169 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,709686981,0.284349,-0.790587,-0.221701,-0.494967,-0.198436,-0.182388,0.140726
2,709720315,0.284270,-0.790630,-0.221807,-0.494896,-0.227411,-0.145083,0.123804
3,709753649,0.284499,-0.790573,-0.222257,-0.494655,-0.250661,-0.103248,0.156255
4,709786983,0.284713,-0.790532,-0.222791,-0.494355,-0.195398,-0.022685,0.145196
5,709820317,0.284984,-0.790497,-0.223455,-0.493955,-0.167531,-0.004814,0.148454
6,709853651,0.285246,-0.790432,-0.224072,-0.493630,-0.124113,-0.078195,0.180501
7,709886985,0.285364,-0.790344,-0.224484,-0.493515,-0.110586,-0.104689,0.164678
8,709920319,0.285365,-0.790366,-0.224733,-0.493365,-0.143992,-0.156951,0.148890
9,709953653,0.285233,-0.790453,-0.224808,-0.493268,-0.158700,-0.126264,0.139156
10,709986987,0.285240,-0.790420,-0.224904,-0.493273,-0.123707,-0.066627,0.205718
11,710020321,0.285173,-0.790386,-0.224844,-0.493395,-0.086758,-0.091672,0.183743
12,710053655,0.284820,-0.790522,-0.224407,-0.493579,-0.143362,-0.119343,0.160613
13,710086989,0.284437,-0.790645,-0.223892,-0.493836,-0.184132,-0.075292,0.153311
14,710120323,0.284182,-0.790675,-0.223524,-0.494103,-0.170640,-0.101637,0.164154
15,710153657,0.283893,-0.790758,-0.223122,-0.494317,-0.158389,-0.164165,0.146689
16,710186991,0.283496,-0.790925,-0.222564,-0.494530,-0.191060,-0.133042,0.172971
17,710220325,0.283031,-0.791094,-0.221915,-0.494817,-0.175391,-0.117265,0.165297
18,710253659,0.282672,-0.791227,-0.221317,-0.495077,-0.176991,-0.133259,0.169844
19,710286993,0.282337,-0.791320,-0.220750,-0.495373,-0.161325,-0.192267,0.144239
20,710320327,0.281850,-0.791522,-0.220043,-0.495642,-0.212334,-0.141123,0.132683
21,710353661,0.281420,-0.791708,-0.219410,-0.495869,-0.220545,-0.082547,0.186097
22,710386995,0.281146,-0.791835,-0.218988,-0.496008,-0.202810,-0.101816,0.170625
23,710420329,0.280906,-0.791944,-0.218618,-0.496134,-0.163816,-0.116457,0.151315
24,710453663,0.280679,-0.792069,-0.218298,-0.496203,-0.201665,-0.129686,0.149308
25,710486997,0.280368,-0.792244,-0.217937,-0.496259,-0.211946,-0.122358,0.154244
26,710520331,0.280051,-0.792410,-0.217625,-0.496309,-0.188762,-0.134972,0.168115
27,710553665,0.279789,-0.792534,-0.217366,-0.496373,-0.225327,-0.148601,0.121119
28,710586999,0.279552,-0.792620,-0.217148,-0.496464,-0.192846,-0.143615,0.174003
29,710620333,0.279290,-0.792703,-0.216926,-0.496577,-0.182574,-0.098315,0.169822
30,710653667,0.279017,-0.792833,-0.216673,-0.496632,-0.205706,-0.127052,0.155452
31,710687001,0.278666,-0.793015,-0.216344,-0.496682,-0.195327,-0.099556,0.152896
32,710720335,0.278336,-0.793104,-0.216065,-0.496848,-0.176349,-0.048942,0.165377
33,710753669,0.277983,-0.793187,-0.215790,-0.497031,-0.194684,-0.093690,0.167900
34,710787003,0.277661,-0.793265,-0.215527,-0.497202,-0.229477,-0.079519,0.180154
35,710820337,0.277365,-0.793215,-0.215330,-0.497531,-0.187139,-0.065112,0.172604
36,710853671,0.277103,-0.793062,-0.215186,-0.497983,-0.184147,-0.098477,0.142576
37,710887005,0.276843,-0.793005,-0.215053,-0.498277,-0.238449,-0.134353,0.143546
38,710920339,0.276437,-0.793060,-0.214807,-0.498520,-0.218179,-0.126235,0.169420
39,710953673,0.276229,-0.793023,-0.214795,-0.498700,-0.214954,-0.047447,0.150304
40,710987007,0.276170,-0.792866,-0.214922,-0.498927,-0.196890,-0.020175,0.162632
41,711020341,0.276151,-0.792752,-0.215109,-0.499038,-0.190545,-0.134050,0.156095
42,711053675,0.275786,-0.792908,-0.214905,-0.499080,-0.175667,-0.145022,0.114319
43,711087009,0.275374,-0.793164,-0.214663,-0.499004,-0.248802,-0.085105,0.150868
44,711120343,0.275243,-0.793291,-0.214791,-0.498820,-0.200712,0.013404,0.194927
45,711153677,0.275400,-0.793212,-0.215184,-0.498691,-0.174310,0.073616,0.184967
46,711187011,0.275427,-0.792985,-0.215332,-0.498972,-0.094122,0.112820,0.203664
47,711220345,0.275287,-0.792642,-0.215229,-0.499638,-0.073582,0.105738,0.150442
48,711253679,0.274839,-0.792343,-0.214825,-0.500533,-0.185299,-0.040206,0.190558
49,711287013,0.274552,-0.791920,-0.214554,-0.501473,-0.281713,-0.047164,0.169097
50,711320347,0.274450,-0.791426,-0.214475,-0.502344,-0.306924,-0.081699,0.135496
51,711353681,0.274406,-0.790991,-0.214505,-0.503039,-0.267889,-0.185104,0.143894
52,711387015,0.274270,-0.790648,-0.214431,-0.503683,-0.224788,-0.226137,0.113381
53,711420349,0.273937,-0.790469,-0.214260,-0.504218,-0.179817,-0.286005,0.146450
54,711453683,0.273552,-0.790526,-0.214050,-0.504428,-0.280369,-0.340359,0.148967
55,711487017,0.273160,-0.790741,-0.213888,-0.504371,-0.319402,-0.355171,0.153850
56,711520351,0.272811,-0.791053,-0.213865,-0.504080,-0.254358,-0.356166,0.172338
57,711553685,0.272640,-0.791266,-0.213966,-0.503796,-0.195892,-0.196041,0.174447
58,711587019,0.272524,-0.791469,-0.214087,-0.503489,-0.168135,-0.202769,0.187723
59,711620353,0.272094,-0.791809,-0.213844,-0.503289,-0.124349,-0.223874,0.242158
60,711653687,0.271392,-0.792238,-0.213166,-0.503282,-0.119674,-0.204347,0.182857
61,711687021,0.270756,-0.792567,-0.212449,-0.503409,-0.194046,-0.115807,0.146248
62,711720355,0.270304,-0.792677,-0.211985,-0.503674,-0.234873,-0.073487,0.128996
63,711753689,0.270138,-0.792601,-0.211793,-0.503964,-0.216079,-0.129742,0.194818
64,711787023,0.270001,-0.792458,-0.211494,-0.504388,-0.180322,-0.128855,0.218803
65,711820357,0.269821,-0.792246,-0.211116,-0.504973,-0.165750,-0.091149,0.177917
66,711853691,0.269623,-0.791920,-0.210774,-0.505734,-0.213064,-0.148132,0.179556
67,711887025,0.269702,-0.791414,-0.210695,-0.506516,-0.268744,-0.164196,0.205891
68,711920359,0.269826,-0.790936,-0.210647,-0.507217,-0.227100,-0.243512,0.151731
69,711953693,0.269508,-0.790770,-0.210186,-0.507835,-0.201371,-0.328251,0.097076
70,711987027,0.269140,-0.790698,-0.209632,-0.508370,-0.267278,-0.277592,0.136868
71,712020361,0.268881,-0.790600,-0.209069,-0.508891,-0.293084,-0.181954,0.178670
72,712053695,0.268759,-0.790612,-0.208705,-0.509088,-0.307471,-0.211777,0.146250
73,712087029,0.268585,-0.790766,-0.208278,-0.509115,-0.312662,-0.293786,0.124234
74,712120363,0.268396,-0.791024,-0.207764,-0.509024,-0.294296,-0.266644,0.125205
75,712153697,0.267768,-0.791635,-0.206887,-0.508761,-0.197470,-0.267837,0.093305
76,712187031,0.267093,-0.792615,-0.206104,-0.507907,-0.389931,-0.326913,0.094038
77,712220365,0.266767,-0.793760,-0.205871,-0.506382,-0.424770,-0.300453,0.126106
78,712253699,0.266806,-0.794824,-0.206367,-0.504488,-0.325476,-0.157804,0.148191
79,712287033,0.267050,-0.795827,-0.207202,-0.502432,-0.153753,-0.114737,0.193990
80,712320367,0.267247,-0.796886,-0.207929,-0.500343,-0.132143,-0.052883,0.229501
81,712353701,0.267139,-0.797771,-0.208098,-0.498919,-0.002125,0.199530,0.310166
82,712387035,0.267099,-0.797951,-0.208072,-0.498662,0.141108,0.544521,0.320292
83,712420369,0.266926,-0.797542,-0.207467,-0.499660,0.167661,0.549195,0.218740
84,712453703,0.266246,-0.796938,-0.206060,-0.501566,0.010440,0.293072,0.173950
85,712487037,0.265147,-0.796452,-0.204329,-0.503624,-0.247637,-0.086804,0.131174
86,712520371,0.264176,-0.796344,-0.202899,-0.504882,-0.589745,-0.317691,0.033027
87,712553705,0.263833,-0.796336,-0.202238,-0.505338,-0.532263,-0.351242,0.073667
88,712587039,0.264082,-0.796411,-0.202519,-0.504978,-0.330317,-0.278053,0.123127
89,712620373,0.264505,-0.796677,-0.202940,-0.504167,-0.136232,-0.120220,0.114896
90,712653707,0.264484,-0.796976,-0.202919,-0.503713,0.058563,0.058402,0.206160
91,712687041,0.264358,-0.796833,-0.202607,-0.504131,0.000711,0.341192,0.273441
92,712720375,0.264342,-0.796436,-0.202321,-0.504882,-0.150848,0.122722,0.214785
93,712753709,0.263976,-0.796323,-0.201591,-0.505543,-0.314754,-0.265733,0.114182
94,712787043,0.263577,-0.796356,-0.200947,-0.505956,-0.442117,-0.321186,0.072508
95,712820377,0.263788,-0.796338,-0.201158,-0.505789,-0.483060,-0.280933,0.087726
96,712853711,0.264397,-0.796422,-0.201960,-0.505018,-0.327482,-0.256112,0.143220
97,712887045,0.264865,-0.796707,-0.202726,-0.504016,-0.217371,-0.159589,0.168303
98,712920379,0.265175,-0.797028,-0.203364,-0.503088,-0.153573,-0.060490,0.164801
99,712953713,0.265463,-0.797292,-0.203951,-0.502279,-0.146812,-0.073009,0.213326
100,712987047,0.265652,-0.797464,-0.204317,-0.501758,-0.211143,-0.037691,0.176667
101,713020381,0.265875,-0.797422,-0.204639,-0.501575,-0.199117,0.039191,0.192820
102,713053715,0.266356,-0.797111,-0.205194,-0.501588,-0.223325,0.010942,0.151941
103,713087049,0.266755,-0.796801,-0.205687,-0.501666,-0.260499,-0.117132,0.181970
104,713120383,0.267187,-0.796497,-0.206231,-0.501696,-0.302806,-0.154699,0.142403
105,713153717,0.267627,-0.796229,-0.206888,-0.501616,-0.270992,-0.196700,0.142568
106,713187051,0.268098,-0.796002,-0.207660,-0.501405,-0.242132,-0.248052,0.203460
107,713220385,0.268544,-0.795849,-0.208413,-0.501097,-0.256590,-0.267691,0.162499
108,713253719,0.268955,-0.795737,-0.209081,-0.500776,-0.238733,-0.222707,0.160439
109,713287053,0.269252,-0.795659,-0.209508,-0.500563,-0.206064,-0.220051,0.175423
110,713320387,0.269441,-0.795637,-0.209809,-0.500369,-0.229561,-0.199766,0.192068
111,713353721,0.269590,-0.795594,-0.210003,-0.500277,-0.243683,-0.191164,0.168405
112,713387055,0.269749,-0.795507,-0.210187,-0.500253,-0.237773,-0.215518,0.206406
113,713420389,0.269943,-0.795363,-0.210315,-0.500322,-0.233504,-0.222613,0.206634
114,713453723,0.270038,-0.795257,-0.210200,-0.500488,-0.187592,-0.210201,0.144501
115,713487057,0.270061,-0.795187,-0.209990,-0.500674,-0.231796,-0.172569,0.188337
116,713520391,0.270098,-0.795067,-0.209725,-0.500956,-0.235252,-0.133727,0.197732
117,713553725,0.270108,-0.794896,-0.209428,-0.501346,-0.218730,-0.142002,0.164588
118,713587059,0.269984,-0.794730,-0.208903,-0.501895,-0.226810,-0.109549,0.174107
119,713620393,0.269971,-0.794497,-0.208340,-0.502505,-0.234212,-0.113859,0.201653
120,713653727,0.269894,-0.794281,-0.207618,-0.503185,-0.244253,-0.087167,0.163092
121,713687061,0.269769,-0.793872,-0.206765,-0.504248,-0.221904,-0.129043,0.195621
122,713720395,0.269996,-0.793102,-0.205955,-0.505667,-0.158601,-0.141980,0.234823
123,713753729,0.270023,-0.792473,-0.204979,-0.507034,-0.234533,-0.058784,0.159832
124,713787063,0.269545,-0.792151,-0.203690,-0.508310,-0.256793,-0.068428,0.103415
125,713820397,0.269136,-0.791709,-0.202410,-0.509724,-0.319007,-0.107923,0.202612
126,713853731,0.269009,-0.790908,-0.201120,-0.511542,-0.214162,-0.087507,0.193085
