sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:42:44_650 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3548105671,-0.670179,-0.286080,0.443619,0.521751,-0.473642,-0.606168,0.197842
2,3548139005,-0.670387,-0.291930,0.432580,0.527483,-1.157314,-0.661904,0.585771
3,3548172339,-0.671215,-0.299066,0.419964,0.532602,-0.896463,-0.341049,1.286858
4,3548205673,-0.673699,-0.305965,0.402893,0.538699,-0.947461,-0.286820,1.837411
5,3548239007,-0.676784,-0.314706,0.380734,0.545866,-1.380365,-0.407309,2.511912
6,3548272341,-0.680521,-0.323826,0.353502,0.554138,-0.244869,0.410740,1.827714
7,3548305675,-0.683913,-0.332544,0.323415,0.563103,-0.576024,0.667720,0.528727
8,3548339009,-0.684757,-0.342432,0.294089,0.572157,0.045748,1.157669,0.114137
9,3548372343,-0.685022,-0.349126,0.264103,0.582332,0.499174,1.174655,-0.384980
10,3548405677,-0.683791,-0.354171,0.235160,0.593040,0.350737,0.866410,-0.401968
11,3548439011,-0.681308,-0.357878,0.207560,0.603875,0.561618,0.509656,-0.206180
12,3548472345,-0.677812,-0.360946,0.181267,0.614358,1.083603,-0.121998,-0.108749
13,3548505679,-0.672880,-0.364470,0.156632,0.624391,1.200507,-0.413233,-0.925264
14,3548539013,-0.666797,-0.367858,0.134599,0.633995,1.476510,-0.604512,-1.298069
15,3548572347,-0.662003,-0.367799,0.113976,0.643032,1.511114,-0.827120,-1.897108
16,3548605681,-0.658007,-0.365184,0.096786,0.651386,0.258748,-0.566280,-2.959641
17,3548639015,-0.654660,-0.360562,0.084109,0.659049,-0.540415,-0.752559,-2.403511
18,3548672349,-0.652248,-0.355374,0.076151,0.665197,-1.127601,-1.204925,-1.688896
19,3548705683,-0.649804,-0.353758,0.073426,0.668748,-1.724422,-0.708699,-1.506907
20,3548739017,-0.647556,-0.357281,0.074205,0.668969,-2.158499,-0.147630,-0.808282
21,3548772351,-0.648465,-0.362167,0.074524,0.665416,-1.351846,0.292993,-0.326154
22,3548805685,-0.653745,-0.366217,0.073586,0.658097,-2.266454,1.392820,-0.427371
23,3548839019,-0.658375,-0.374379,0.078401,0.648260,-2.127747,2.183549,-0.793215
24,3548872353,-0.663017,-0.384977,0.089273,0.635795,-2.078495,2.719883,-1.440123
25,3548905687,-0.669585,-0.396081,0.104841,0.619507,-1.610682,3.026738,-1.813559
26,3548939021,-0.684373,-0.396917,0.115900,0.600551,0.403859,2.337318,-0.939940
27,3548972355,-0.698716,-0.397036,0.131244,0.580464,-1.045021,0.897736,-1.690251
28,3549005689,-0.706284,-0.403888,0.155009,0.560370,3.559325,-0.761544,1.510675
29,3549039023,-0.715902,-0.400227,0.174961,0.544698,2.476266,-2.057843,0.677693
30,3549072357,-0.715262,-0.401705,0.197937,0.536525,6.272645,-1.277133,1.238761
31,3549105691,-0.715239,-0.392941,0.205532,0.540177,4.844253,-2.289793,1.975563
32,3549139025,-0.709254,-0.386919,0.208299,0.551243,1.858767,-1.953797,0.547836
33,3549172359,-0.698004,-0.386901,0.213628,0.563440,0.438709,-1.055490,-0.980955
34,3549205693,-0.686924,-0.388363,0.219688,0.573630,-0.652299,0.151759,-0.487460
35,3549239027,-0.679575,-0.388171,0.225142,0.580359,-1.476175,0.630364,-0.343126
36,3549272361,-0.672345,-0.389935,0.232225,0.584790,-0.650187,0.205352,0.303923
37,3549305695,-0.665966,-0.390328,0.237038,0.589873,0.259204,-0.576931,0.965805
38,3549339029,-0.661081,-0.387574,0.238178,0.596686,-0.410226,-0.632361,0.424078
39,3549372363,-0.655633,-0.385599,0.239736,0.603315,-0.519074,-0.757921,0.001854
40,3549405697,-0.650105,-0.385293,0.241900,0.608607,-0.483588,-0.683672,-0.381043
41,3549439031,-0.645781,-0.385860,0.243377,0.612250,-0.237679,-0.181248,0.084043
