sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:44:34_816 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3658274541,0.582336,-0.109045,-0.804140,-0.048973,0.066093,-0.083616,0.143790
2,3658307875,0.582228,-0.109720,-0.804088,-0.049603,0.044645,-0.074258,0.162603
3,3658341209,0.582187,-0.110412,-0.803984,-0.050230,-0.020839,-0.008257,0.194549
4,3658374543,0.582273,-0.110922,-0.803820,-0.050739,0.078694,0.006834,0.179742
5,3658407877,0.582385,-0.111247,-0.803670,-0.051115,0.074239,0.037356,0.181406
6,3658441211,0.582464,-0.111546,-0.803549,-0.051451,0.044314,0.013680,0.182116
7,3658474545,0.582634,-0.111800,-0.803369,-0.051786,0.079011,-0.038515,0.161522
8,3658507879,0.582911,-0.111940,-0.803135,-0.052013,0.046146,-0.098558,0.165106
9,3658541213,0.583115,-0.112103,-0.802962,-0.052033,-0.092860,-0.075415,0.183319
10,3658574547,0.583139,-0.112367,-0.802907,-0.052050,-0.077021,-0.067893,0.201064
11,3658607881,0.583168,-0.112634,-0.802843,-0.052124,0.100833,-0.077767,0.203414
12,3658641215,0.583238,-0.112893,-0.802752,-0.052186,0.097086,-0.071776,0.189562
13,3658674549,0.583350,-0.113168,-0.802627,-0.052260,0.118796,-0.028923,0.203163
14,3658707883,0.583434,-0.113652,-0.802476,-0.052582,0.131396,0.068736,0.156863
15,3658741217,0.583365,-0.114118,-0.802439,-0.052908,0.115338,0.113287,0.149074
16,3658774551,0.583171,-0.114363,-0.802536,-0.053042,0.121441,0.251853,0.123800
17,3658807885,0.582782,-0.113936,-0.802910,-0.052588,0.203172,0.268630,0.131009
18,3658841219,0.582260,-0.113015,-0.803476,-0.051697,0.218812,0.214415,0.180820
19,3658874553,0.581753,-0.111860,-0.804075,-0.050588,0.233028,0.196280,0.163500
20,3658907887,0.581302,-0.110553,-0.804652,-0.049477,0.275369,0.107063,0.177083
21,3658941221,0.580947,-0.109177,-0.805157,-0.048473,0.202915,0.046728,0.156459
22,3658974555,0.580635,-0.107592,-0.805665,-0.047296,0.109705,-0.021601,0.139772
23,3659007889,0.580282,-0.106101,-0.806183,-0.046147,0.049731,-0.077736,0.245434
24,3659041223,0.579933,-0.104820,-0.806660,-0.045126,-0.083827,-0.170852,0.140218
25,3659074557,0.579324,-0.103848,-0.807269,-0.044282,-0.101490,-0.306995,0.172753
26,3659107891,0.578651,-0.103198,-0.807881,-0.043443,-0.134701,-0.271935,0.174429
27,3659141225,0.577959,-0.102641,-0.808493,-0.042585,-0.113416,-0.162967,0.170796
28,3659174559,0.577154,-0.101887,-0.809223,-0.041432,-0.141007,-0.115271,0.196249
29,3659207893,0.576400,-0.100886,-0.809961,-0.039932,-0.151783,-0.009756,0.158256
30,3659241227,0.575729,-0.099596,-0.810678,-0.038257,-0.034165,-0.149535,0.109168
31,3659274561,0.575293,-0.098565,-0.811181,-0.036786,-0.072772,-0.165495,0.094714
32,3659307895,0.574918,-0.097788,-0.811604,-0.035383,-0.205567,-0.096474,0.104672
