sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:35:55_617 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,858273780,-0.503026,0.434480,0.607658,0.434739,0.348417,-0.096688,0.875381
2,858307114,-0.509582,0.424992,0.603054,0.442817,1.161427,0.605541,-0.025149
3,858340448,-0.511583,0.420081,0.602695,0.445676,-1.198106,-2.155842,-0.801233
4,858373782,-0.511622,0.421245,0.597841,0.451038,-1.756260,-1.334022,-0.014750
5,858407116,-0.511314,0.423052,0.593088,0.455944,-1.767461,-0.618008,-0.201363
6,858440450,-0.511718,0.423289,0.590559,0.458547,-0.983181,0.215355,0.018474
7,858473784,-0.513850,0.421143,0.591318,0.457158,-0.284520,0.478172,0.131095
8,858507118,-0.515880,0.418265,0.593956,0.454085,0.399444,0.242323,0.097996
9,858540452,-0.517187,0.415929,0.597449,0.450143,0.387573,0.335817,-0.050824
10,858573786,-0.517860,0.414389,0.601017,0.446021,0.649737,-0.047488,0.134176
11,858607120,-0.518209,0.413659,0.603525,0.442896,0.673358,-0.026391,0.090993
12,858640454,-0.518212,0.413636,0.604558,0.441503,0.603473,0.114180,0.420334
13,858673788,-0.519034,0.413143,0.605197,0.440120,0.200420,0.245604,0.253987
14,858707122,-0.520017,0.412617,0.605577,0.438930,0.026546,-0.382705,0.121107
15,858740456,-0.520210,0.413179,0.604374,0.439830,-0.013332,-0.182824,0.093121
16,858773790,-0.520341,0.413955,0.603687,0.439888,-0.363372,0.030368,0.101658
17,858807124,-0.520739,0.414126,0.603759,0.439157,-0.034245,-0.024583,0.107285
18,858840458,-0.521232,0.413824,0.604156,0.438310,-0.009955,0.196296,0.075733
19,858873792,-0.521655,0.413430,0.605266,0.436645,-0.197063,-0.180535,0.167618
20,858907126,-0.521794,0.413296,0.606514,0.434870,-0.006532,-0.128308,0.133345
21,858940460,-0.522238,0.413040,0.607823,0.432746,0.148258,0.478746,0.032985
22,858973794,-0.523350,0.412125,0.609108,0.430464,0.575534,0.575190,0.283800
23,859007128,-0.525680,0.409667,0.610242,0.428359,0.930924,0.387216,0.254101
24,859040462,-0.528953,0.406464,0.610386,0.427175,0.834972,0.044724,0.389400
25,859073796,-0.532231,0.403844,0.608518,0.428252,0.455384,-0.304319,0.137130
26,859107130,-0.534866,0.402890,0.604827,0.431087,-0.234858,-0.231431,0.167212
27,859140464,-0.537888,0.401481,0.600933,0.434077,-0.533292,0.497413,0.067928
28,859173798,-0.541176,0.399185,0.598946,0.434854,-0.233531,1.090379,-0.340941
29,859207132,-0.545047,0.395055,0.598249,0.434749,0.280877,0.661001,0.151175
30,859240466,-0.547839,0.391719,0.597411,0.435412,0.059351,0.349616,0.081600
31,859273800,-0.552149,0.386502,0.596745,0.435543,1.092422,-0.186263,-0.398972
32,859307134,-0.555015,0.383829,0.593020,0.439334,1.212719,-1.001106,0.463094
33,859340468,-0.555235,0.385325,0.584231,0.449407,-0.456541,-1.566142,-0.079469
34,859373802,-0.556557,0.386496,0.574858,0.458756,-1.223069,-0.615432,0.294203
35,859407136,-0.560582,0.385110,0.567310,0.464383,-0.669811,-0.014156,0.331219
36,859440470,-0.565569,0.382118,0.560307,0.469285,-1.201145,0.646026,0.063368
37,859473804,-0.571988,0.376796,0.555779,0.471188,-0.616835,0.428602,0.246215
38,859507138,-0.578555,0.370802,0.551728,0.472684,0.105354,-0.190144,-0.039916
39,859540472,-0.584102,0.365921,0.546879,0.475294,0.026673,0.026789,-0.116579
40,859573806,-0.588695,0.362806,0.542103,0.477481,0.513432,0.556147,0.205496
41,859607140,-0.592115,0.359942,0.538219,0.479808,0.460205,-0.885367,0.192619
42,859640474,-0.593284,0.359104,0.533074,0.484711,0.663364,-0.959320,0.238517
43,859673808,-0.592872,0.359937,0.527434,0.490729,0.565408,-1.299113,0.296163
44,859707142,-0.592241,0.360780,0.519975,0.498767,-1.060507,0.264404,0.001443
45,859740476,-0.593314,0.360327,0.512910,0.505094,-0.844343,0.652638,0.460947
46,859773810,-0.595424,0.358039,0.506895,0.510284,-0.508002,0.262987,-0.170450
47,859807144,-0.597097,0.355645,0.501222,0.515579,-0.876405,0.304704,0.104526
48,859840478,-0.599070,0.353412,0.495106,0.520711,-0.122081,0.284557,0.213386
49,859873812,-0.601450,0.351538,0.488740,0.525229,-0.365650,0.839574,0.257246
50,859907146,-0.604981,0.348191,0.483110,0.528602,-0.234308,0.860056,0.074844
51,859940480,-0.609541,0.343837,0.477266,0.531515,0.387416,0.688909,0.083400
52,859973814,-0.614592,0.338246,0.472138,0.533859,0.333440,0.340936,-0.464275
53,860007148,-0.619114,0.333241,0.466950,0.536340,0.892802,-0.005270,-0.152456
54,860040482,-0.622623,0.330195,0.460451,0.539768,0.911664,-0.183852,0.026846
55,860073816,-0.625496,0.326625,0.454093,0.543990,-0.325707,-0.464864,-0.090221
56,860107150,-0.628210,0.323236,0.447108,0.548652,-0.382939,-0.263924,0.378272
57,860140484,-0.631624,0.319415,0.440002,0.552700,-0.661717,-0.157178,0.420058
58,860173818,-0.635831,0.314376,0.434215,0.555336,-0.681147,0.166702,0.070850
59,860207152,-0.640376,0.308679,0.429299,0.557128,-0.440392,-0.144604,0.328993
60,860240486,-0.645306,0.303225,0.423571,0.558817,-0.424127,0.263476,0.413586
61,860273820,-0.650282,0.298488,0.417513,0.560156,-0.093852,0.583975,-0.089799
62,860307154,-0.655482,0.293369,0.412834,0.560267,-0.147463,0.678159,-0.237286
63,860340488,-0.660782,0.288406,0.409202,0.559283,-0.825696,0.570392,0.127737
