sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:36:05_794 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,868407316,0.454522,-0.245256,-0.216496,0.828490,0.567798,-5.449405,-3.318163
2,868440650,0.459512,-0.241359,-0.226867,0.824095,-2.114560,-6.568820,-8.334489
3,868473984,0.474987,-0.230214,-0.251918,0.811130,1.299557,1.678164,-3.678426
4,868507318,0.505966,-0.195844,-0.264977,0.797143,1.201294,5.597659,-0.597008
5,868540652,0.523601,-0.154462,-0.275684,0.791194,2.462779,8.225476,1.147332
6,868573986,0.525828,-0.130330,-0.280010,0.792540,1.316040,7.165437,2.154919
7,868607320,0.517561,-0.132309,-0.286759,0.795236,-2.897284,4.622000,3.441803
8,868640654,0.502609,-0.157375,-0.300210,0.795297,-2.133645,2.786313,3.134394
9,868673988,0.490371,-0.187801,-0.304206,0.794816,0.388452,0.504395,1.179189
10,868707322,0.484150,-0.215063,-0.297975,0.794081,-0.914959,-2.108298,0.989889
11,868740656,0.479240,-0.240449,-0.295237,0.790794,-0.681987,-3.602663,-0.067502
12,868773990,0.473264,-0.263401,-0.296643,0.786543,1.208094,-5.141998,-0.723377
13,868807324,0.468016,-0.275178,-0.296942,0.785539,1.694420,-4.606501,-0.586219
14,868840658,0.469059,-0.270460,-0.294164,0.787597,0.971390,-3.052711,-1.244708
15,868873992,0.475537,-0.253607,-0.294812,0.789076,-0.275896,-1.662933,-2.413849
16,868907326,0.484744,-0.227084,-0.297624,0.790495,-0.457270,0.538789,-0.648632
17,868940660,0.496879,-0.193677,-0.294424,0.793046,-0.169833,2.122669,-0.736923
18,868973994,0.504362,-0.165816,-0.293363,0.795027,-0.595843,4.025498,0.678577
19,869007328,0.504671,-0.150817,-0.298261,0.795995,-0.968076,4.100605,1.790601
20,869040662,0.501353,-0.148218,-0.303850,0.796466,-0.089103,3.286005,1.851859
21,869073996,0.496798,-0.156655,-0.308161,0.796049,-0.519870,1.927429,0.998225
22,869107330,0.489412,-0.176618,-0.311981,0.794956,0.056598,0.018811,1.975656
23,869140664,0.482321,-0.199707,-0.310399,0.794445,0.183777,-2.254998,1.520173
24,869173998,0.477419,-0.219970,-0.304415,0.794369,-0.199764,-3.774102,0.517097
