sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:39:40_520 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3363968655,-0.654512,-0.316070,0.014317,0.686668,0.114284,0.213521,0.022365
2,3364001989,-0.655478,-0.313142,0.016216,0.687047,-0.137066,0.526318,-0.121568
3,3364035323,-0.658710,-0.306624,0.017179,0.686872,-0.974592,1.296342,-0.614737
4,3364068657,-0.666097,-0.293790,0.016474,0.685373,-1.824261,1.480637,-1.030755
5,3364101991,-0.675094,-0.279065,0.019377,0.682642,-1.619786,-0.843044,-0.169871
6,3364135325,-0.681368,-0.270323,0.028010,0.679619,0.920737,-1.798724,0.947733
7,3364168659,-0.687476,-0.261700,0.031390,0.676690,1.241050,-1.967171,1.489478
8,3364201993,-0.690917,-0.257593,0.032478,0.674706,0.590742,-1.855125,1.458591
9,3364235327,-0.691875,-0.259151,0.034103,0.673046,1.091153,-0.510909,0.314868
10,3364268661,-0.693685,-0.259674,0.032287,0.671068,1.129410,0.287224,-0.187431
11,3364301995,-0.696263,-0.259258,0.028326,0.668734,0.348275,-0.090342,0.565863
12,3364335329,-0.697164,-0.261464,0.025446,0.667050,1.317160,0.124490,0.618237
13,3364368663,-0.697717,-0.261433,0.019844,0.666674,1.784299,-0.314240,1.191920
14,3364401997,-0.697772,-0.258339,0.010355,0.668036,0.445611,-0.268309,0.386999
15,3364435331,-0.695785,-0.255880,-0.001153,0.671127,-0.438605,0.748657,-0.675720
16,3364468665,-0.693501,-0.253926,-0.014528,0.674070,-1.025304,2.127117,-0.565436
17,3364501999,-0.692181,-0.254269,-0.024835,0.674996,-2.190784,3.380300,-1.011128
18,3364535333,-0.691864,-0.256489,-0.028598,0.674333,-0.922958,3.002208,-1.432935
19,3364568667,-0.694620,-0.253651,-0.030146,0.672503,-0.848120,3.029306,-2.636048
20,3364602001,-0.702833,-0.239477,-0.035558,0.668892,-0.716760,1.878157,-3.185634
21,3364635335,-0.716142,-0.211221,-0.044597,0.663733,-1.419285,0.300738,-3.271660
22,3364668669,-0.726412,-0.184845,-0.043707,0.660494,0.682544,-3.205947,-0.710088
23,3364702003,-0.728848,-0.172521,-0.027360,0.662022,2.127003,-4.062396,1.047457
24,3364735337,-0.725625,-0.170949,-0.010829,0.666433,3.517011,-2.954601,1.458365
25,3364768671,-0.720881,-0.170397,-0.007227,0.671750,3.843574,-1.031135,0.957258
26,3364802005,-0.710577,-0.180233,0.000763,0.680148,0.251977,-0.037724,1.651792
27,3364835339,-0.694284,-0.198136,0.019493,0.691619,2.169176,0.766502,0.060081
28,3364868673,-0.681627,-0.195294,0.023242,0.704776,1.664577,-0.049658,-0.163943
29,3364902007,-0.667290,-0.189837,0.022771,0.719841,1.350302,-0.165216,-0.507471
30,3364935341,-0.651823,-0.184703,0.021216,0.735232,1.786931,-0.043322,-0.085051
31,3364968675,-0.631165,-0.181012,0.026623,0.753764,2.303602,0.668454,0.270742
32,3365002009,-0.600763,-0.182083,0.046127,0.777050,2.079474,1.309151,-0.122359
33,3365035343,-0.563270,-0.181769,0.072010,0.802811,1.812950,1.813913,-0.178320
34,3365068677,-0.524615,-0.171575,0.091692,0.828817,1.413936,1.696401,0.944057
35,3365102011,-0.481043,-0.160593,0.118808,0.853637,2.071880,-0.429970,2.214160
36,3365135345,-0.433117,-0.145146,0.139736,0.878533,2.640780,-3.513589,3.176682
37,3365168679,-0.382078,-0.122386,0.135723,0.905882,0.400216,-3.857303,2.647268
38,3365202013,-0.327915,-0.103235,0.127130,0.930407,-0.721551,-2.326330,-0.710703
39,3365235347,-0.274074,-0.085809,0.127642,0.949332,-0.381745,0.326990,-5.124628
40,3365268681,-0.230791,-0.056260,0.121067,0.963804,-0.761186,1.379356,-7.718739
41,3365302015,-0.199798,-0.006549,0.101635,0.974532,-3.419369,0.517730,-5.707405
42,3365335349,-0.180365,0.061889,0.064626,0.979523,-6.284051,0.222713,-0.744164
43,3365368683,-0.169822,0.128829,0.025238,0.976694,-9.780002,-1.678114,2.153248
44,3365402017,-0.166915,0.173565,0.001276,0.970576,-10.009899,2.391947,3.576032
45,3365435351,-0.170598,0.191791,0.007023,0.966472,-8.207870,1.899637,3.759166
46,3365468685,-0.183703,0.190420,0.025819,0.964018,-4.283806,0.013944,5.768219
47,3365502019,-0.208507,0.173041,0.051298,0.961226,-4.754910,0.859646,5.935080
48,3365535353,-0.240551,0.139439,0.088461,0.956489,-5.179075,-1.509762,1.971296
49,3365568687,-0.277457,0.096553,0.127856,0.947287,-4.617668,-1.807976,1.331368
50,3365602021,-0.316929,0.046432,0.166958,0.932486,-3.169339,-3.339543,1.320272
51,3365635355,-0.360847,-0.005750,0.194294,0.912146,-1.374474,-3.878387,-0.950652
52,3365668689,-0.407822,-0.057190,0.212967,0.886036,0.170280,-2.969927,-0.110079
53,3365702023,-0.458008,-0.103093,0.223649,0.854158,0.924049,-1.426679,-0.268460
54,3365735357,-0.509841,-0.142213,0.225334,0.817965,3.875916,-0.712681,-2.285820
55,3365768691,-0.561135,-0.174070,0.219702,0.778821,5.194119,1.570602,-2.331935
56,3365802025,-0.605028,-0.204177,0.215568,0.738774,3.733488,1.224988,-0.233912
57,3365835359,-0.640417,-0.230911,0.207282,0.702556,5.820399,0.951196,0.583842
58,3365868693,-0.671680,-0.248333,0.188657,0.672004,2.860435,2.591581,0.413188
59,3365902027,-0.697538,-0.264218,0.169935,0.644016,0.742524,3.758438,0.375783
60,3365935361,-0.717469,-0.284641,0.160370,0.615227,-1.491305,4.035534,-0.582871
61,3365968695,-0.728812,-0.316103,0.167793,0.583748,-1.398929,3.298774,-1.390178
62,3366002029,-0.742000,-0.334175,0.176016,0.553883,-0.615090,3.671933,-2.945720
63,3366035363,-0.752490,-0.347672,0.193172,0.524949,-0.991734,1.397049,-3.190251
64,3366068697,-0.751435,-0.373442,0.228229,0.493765,1.291984,0.927741,-1.477408
65,3366102031,-0.754154,-0.381942,0.258850,0.467305,3.172592,0.987790,0.982346
66,3366135365,-0.751755,-0.385028,0.289359,0.450437,1.715500,0.511547,-1.272863
67,3366168699,-0.725599,-0.420960,0.334028,0.429800,2.558871,0.971444,-2.601008
68,3366202033,-0.700735,-0.449642,0.369915,0.412261,6.812078,3.174366,4.276445
69,3366235367,-0.702621,-0.433186,0.378615,0.418724,4.929830,1.459546,5.376841
70,3366268701,-0.708584,-0.403491,0.376708,0.439544,0.668928,-2.687579,0.599208
71,3366302035,-0.697799,-0.395277,0.381174,0.459938,1.796622,-3.543687,1.854387
72,3366335369,-0.691100,-0.377925,0.370132,0.492504,5.670970,-3.907861,5.318035
73,3366368703,-0.698733,-0.340938,0.329760,0.535533,-1.963990,-4.650055,-0.969606
74,3366402037,-0.686336,-0.340945,0.306789,0.564432,-2.917115,-3.176049,-0.957335
75,3366435371,-0.674890,-0.340250,0.278675,0.592535,3.052685,-1.633879,3.861708
76,3366468705,-0.671518,-0.323568,0.233467,0.624392,1.251621,-0.000423,0.408420
77,3366502039,-0.660885,-0.313746,0.187758,0.655397,3.429029,-0.702500,1.473605
78,3366535373,-0.650965,-0.294038,0.131324,0.687419,0.800423,1.660864,0.629788
79,3366568707,-0.633956,-0.278367,0.084543,0.716567,-1.650019,4.218501,-2.720393
80,3366602041,-0.598208,-0.286075,0.078727,0.744389,-0.590887,5.637298,-4.082305
81,3366635375,-0.552926,-0.298342,0.099065,0.771658,1.733943,3.436276,-2.871763
82,3366668709,-0.514177,-0.288508,0.109730,0.800218,2.515338,1.425949,-2.445222
83,3366702043,-0.473931,-0.271724,0.123454,0.828443,1.763276,1.572581,-2.635470
84,3366735377,-0.429497,-0.255613,0.146613,0.853641,4.470813,-2.724580,-0.949391
85,3366768711,-0.390479,-0.228060,0.151263,0.878999,2.549909,-2.724847,-1.460652
86,3366802045,-0.348853,-0.195480,0.155788,0.903230,0.542918,-1.328867,-3.117261
87,3366835379,-0.307075,-0.155513,0.167185,0.923891,0.340935,-1.517863,-5.016460
88,3366868713,-0.273560,-0.096374,0.154983,0.944384,-1.879839,-2.649242,-4.753021
89,3366902047,-0.245865,-0.018975,0.118849,0.961805,-4.961290,-1.036570,-3.546551
90,3366935381,-0.223204,0.068375,0.072091,0.969697,-7.283021,-2.230180,2.808218
91,3366968715,-0.210813,0.144297,0.009492,0.966773,-9.943509,1.795533,2.090810
92,3367002049,-0.199889,0.186968,-0.027303,0.961429,-10.170143,3.492298,9.751608
93,3367035383,-0.203579,0.191838,-0.023864,0.959786,-6.008429,2.166574,9.772310
94,3367068717,-0.220926,0.175270,-0.015449,0.959290,-2.813708,1.111086,6.697464
95,3367102051,-0.243177,0.150085,-0.007720,0.958272,-2.109982,-0.095931,3.281096
96,3367135385,-0.266612,0.120472,-0.007402,0.956219,-0.833564,-2.157557,3.656843
97,3367168719,-0.293165,0.086930,-0.013813,0.952004,-1.693693,-0.001290,2.692867
98,3367202053,-0.319680,0.048479,-0.015870,0.946154,-1.179614,-1.804882,0.918948
99,3367235387,-0.345972,0.010128,-0.024621,0.937869,-0.561977,-1.277767,0.360310
100,3367268721,-0.373567,-0.026064,-0.037679,0.926473,-0.721627,-0.178639,0.271929
101,3367302055,-0.401961,-0.061113,-0.049225,0.912291,-0.555616,0.042869,-1.254126
102,3367335389,-0.430552,-0.091149,-0.064180,0.895657,0.206983,0.314807,-0.707038
103,3367368723,-0.460432,-0.116014,-0.083377,0.876125,-1.103942,0.472816,-0.055213
104,3367402057,-0.490926,-0.138106,-0.100116,0.854342,0.385658,1.125291,-1.166676
105,3367435391,-0.522819,-0.154352,-0.117355,0.830101,0.436643,2.120209,-1.721840
106,3367468725,-0.554552,-0.164144,-0.134326,0.804667,0.325951,2.256520,-0.726805
107,3367502059,-0.585598,-0.168396,-0.148969,0.778801,1.293586,2.294327,-0.699120
108,3367535393,-0.617306,-0.167240,-0.161298,0.751633,0.207213,1.067128,-0.238906
109,3367568727,-0.646636,-0.166391,-0.164792,0.725964,0.497797,0.170849,-0.909554
110,3367602061,-0.672065,-0.164846,-0.163728,0.703102,1.845512,0.129991,-2.811195
111,3367635395,-0.696554,-0.152431,-0.166596,0.681049,1.258078,0.352463,-2.686184
112,3367668729,-0.718538,-0.130178,-0.167575,0.662328,1.967595,-0.879300,-1.345977
113,3367702063,-0.732593,-0.112884,-0.157365,0.652537,1.682967,-1.427909,-1.413327
114,3367735397,-0.740070,-0.101976,-0.141886,0.649439,3.373838,0.661225,-4.471087
115,3367768731,-0.743507,-0.081398,-0.138220,0.649208,5.452965,-1.303233,-2.272156
116,3367802065,-0.737420,-0.069939,-0.138065,0.657467,4.142410,-2.554137,-0.848574
117,3367835399,-0.724972,-0.059925,-0.151388,0.669261,5.102961,-2.161932,0.791468
118,3367868733,-0.704773,-0.062498,-0.164806,0.687191,2.643197,-1.401189,0.577281
119,3367902067,-0.677458,-0.074624,-0.174146,0.710746,3.415841,-1.416329,-0.095628
120,3367935401,-0.645265,-0.089473,-0.183478,0.736185,1.072294,-1.126933,-1.501431
121,3367968735,-0.609108,-0.101119,-0.195413,0.761958,1.813659,-0.179948,-2.382389
122,3368002069,-0.571834,-0.106986,-0.208672,0.786143,0.424218,-0.862673,-2.248395
123,3368035403,-0.531918,-0.116250,-0.210023,0.812061,-0.947850,-0.971791,-2.100869
124,3368068737,-0.489496,-0.127601,-0.197731,0.839654,-0.179903,0.826151,-1.722950
125,3368102071,-0.450056,-0.130602,-0.187229,0.863332,0.721958,0.222438,-1.995128
126,3368135405,-0.412208,-0.130262,-0.171976,0.885181,-1.007473,0.666387,-0.758847
127,3368168739,-0.372586,-0.131714,-0.143058,0.907398,0.512272,0.803225,0.054095
128,3368202073,-0.334685,-0.128898,-0.118309,0.925947,-0.176114,-1.000077,-0.043281
129,3368235407,-0.295486,-0.124535,-0.097861,0.942129,-0.060328,-0.466007,-0.286521
130,3368268741,-0.254109,-0.116500,-0.079555,0.956834,-0.426343,-0.808139,0.934608
131,3368302075,-0.215613,-0.105791,-0.058901,0.968945,-1.175490,-0.810902,1.928510
132,3368335409,-0.183235,-0.093311,-0.041459,0.977754,-1.679698,0.285197,0.825371
133,3368368743,-0.154990,-0.082153,-0.018583,0.984321,-1.596726,0.105041,-0.470089
134,3368402077,-0.133595,-0.067066,-0.000654,0.988766,-1.542780,0.775015,-1.660594
135,3368435411,-0.118907,-0.043422,0.010263,0.991904,-2.188569,1.672719,-2.258764
136,3368468745,-0.110635,-0.011415,0.017920,0.993636,-3.152127,0.973014,-1.718010
137,3368502079,-0.107550,0.027000,0.022882,0.993572,-3.606932,0.026277,1.498802
138,3368535413,-0.110023,0.069017,0.015346,0.991413,-3.513852,-1.109855,3.831807
139,3368568747,-0.115534,0.106918,-0.007431,0.987507,-2.356491,1.710697,2.937355
140,3368602081,-0.125378,0.138580,-0.018210,0.982216,-3.882824,5.886905,0.590956
141,3368635415,-0.139166,0.158525,-0.011492,0.977433,-3.561486,2.510278,4.278606
142,3368668749,-0.162976,0.163105,0.001043,0.973056,-2.950488,1.628127,5.709485
143,3368702083,-0.196129,0.153014,0.018695,0.968388,-2.177856,1.847299,1.706994
144,3368735417,-0.234845,0.137982,0.039275,0.961390,-1.181449,0.744741,0.360162
145,3368768751,-0.276738,0.120826,0.055806,0.951687,-0.225677,0.622206,0.475164
146,3368802085,-0.319657,0.103765,0.070983,0.939158,0.724380,0.665577,1.238325
147,3368835419,-0.361348,0.086923,0.084514,0.924518,0.825027,0.383780,0.874862
148,3368868753,-0.399213,0.071895,0.095873,0.908996,1.281570,-0.440458,0.587868
149,3368902087,-0.432010,0.061035,0.100168,0.894211,1.037013,-0.719324,0.139984
150,3368935421,-0.459093,0.053944,0.101239,0.880953,1.159434,-0.757433,-0.060354
151,3368968755,-0.481553,0.049499,0.099359,0.869361,1.129184,-1.163985,0.102436
152,3369002089,-0.500663,0.046342,0.095389,0.859124,0.602399,-0.563197,0.127158
153,3369035423,-0.517076,0.043927,0.090905,0.849967,0.948216,-0.525284,-0.174362
154,3369068757,-0.531024,0.043748,0.085540,0.841895,0.648679,-0.422225,-0.377485
155,3369102091,-0.542917,0.046177,0.078850,0.834803,0.204422,0.580910,-0.432899
156,3369135425,-0.552788,0.050734,0.072981,0.828571,0.292866,1.246015,-0.605536
157,3369168759,-0.560612,0.057218,0.069588,0.823166,0.987118,1.377618,-1.145784
158,3369202093,-0.567965,0.068418,0.061965,0.817863,0.418062,1.630984,0.023923
159,3369235427,-0.574472,0.080846,0.053582,0.812761,0.999346,1.248358,-0.549373
160,3369268761,-0.580019,0.096322,0.043162,0.807739,0.671853,1.049273,-1.016733
161,3369302095,-0.584818,0.116451,0.028300,0.802266,0.602321,0.849216,-0.394240
162,3369335429,-0.588408,0.141352,0.010116,0.796052,0.062916,1.058134,-0.101851
163,3369368763,-0.590606,0.171683,-0.010400,0.788420,0.314628,0.739240,0.160770
164,3369402097,-0.591165,0.205264,-0.031480,0.779361,-0.712390,-0.138263,0.651288
165,3369435431,-0.592064,0.233434,-0.044767,0.770045,-1.010131,-0.650473,0.429474
166,3369468765,-0.593397,0.255261,-0.054511,0.761416,-0.033966,-1.786924,1.774353
167,3369502099,-0.594345,0.265582,-0.059304,0.756775,0.257450,-2.525221,-0.128509
168,3369535433,-0.591714,0.271270,-0.064896,0.756359,-0.294854,-2.162239,-0.924450
169,3369568767,-0.586873,0.269846,-0.064708,0.760645,1.049653,-1.254979,0.690527
170,3369602101,-0.579703,0.265460,-0.061806,0.767893,2.909787,-1.592966,0.790115
171,3369635435,-0.568248,0.259733,-0.059473,0.778524,1.408960,-1.491171,-0.214363
172,3369668769,-0.553935,0.249273,-0.053027,0.792597,1.644088,-1.181930,-0.857889
173,3369702103,-0.538952,0.232283,-0.038884,0.808745,1.258165,-1.195008,0.297535
174,3369735437,-0.519994,0.214032,-0.024941,0.826546,1.092006,-1.794646,-1.478153
175,3369768771,-0.495204,0.202189,-0.016488,0.844764,0.570828,-0.576451,0.084171
176,3369802105,-0.470819,0.186557,0.000727,0.862282,-0.483804,-1.193123,1.178337
177,3369835439,-0.445573,0.166462,0.024357,0.879298,0.706388,-1.498675,-2.205372
178,3369868773,-0.416186,0.153465,0.035195,0.895546,1.285619,-1.453573,0.898886
179,3369902107,-0.385346,0.139520,0.047153,0.910946,0.441739,-1.585383,0.625957
180,3369935441,-0.352617,0.124243,0.061713,0.925430,-0.036758,-1.340507,0.313309
181,3369968775,-0.318481,0.110882,0.070581,0.938775,-1.382459,-0.581287,0.481313
182,3370002109,-0.284128,0.099232,0.079021,0.950360,-2.125704,0.241564,-0.434410
183,3370035443,-0.251390,0.089887,0.086661,0.959801,-3.067029,0.894377,-1.344199
184,3370068777,-0.219250,0.083179,0.094216,0.967543,-3.448397,1.777543,-0.753035
185,3370102111,-0.191358,0.083451,0.102589,0.972573,-2.829729,1.950376,-2.321942
186,3370135445,-0.173630,0.095440,0.109098,0.974087,-2.539536,1.953010,-4.303629
187,3370168779,-0.169265,0.120751,0.110525,0.971883,-3.091233,3.739680,-0.301731
188,3370202113,-0.179775,0.152818,0.109453,0.965584,-3.222790,0.797481,0.036710
189,3370235447,-0.199790,0.184323,0.096876,0.957459,-5.840124,2.917445,1.196965
190,3370268781,-0.225226,0.199510,0.113411,0.946896,-5.914767,2.011034,1.286933
191,3370302115,-0.261306,0.197253,0.146681,0.933434,-4.737857,-0.930195,3.523767
192,3370335449,-0.305836,0.177543,0.193781,0.915094,-2.257233,-1.679263,2.756124
193,3370368783,-0.355013,0.149753,0.239725,0.891110,0.068125,-2.073922,0.946424
194,3370402117,-0.404982,0.124709,0.269343,0.864810,1.188191,-1.771394,-0.058763
195,3370435451,-0.455195,0.104561,0.289656,0.835445,1.593574,-0.374847,-2.069874
196,3370468785,-0.504810,0.090065,0.306801,0.801831,1.577001,0.213172,-3.116374
197,3370502119,-0.551243,0.081732,0.321130,0.765723,2.040128,-0.533604,-0.641452
