sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:03:50_283 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3227869236,0.679414,0.220527,-0.517076,0.471594,-0.757117,-3.838934,-0.123405
2,3227902570,0.687761,0.208684,-0.510693,0.471838,-0.437388,-5.041117,-0.647795
3,3227935904,0.695595,0.205061,-0.496354,0.477215,-0.147124,-4.332267,-0.841914
4,3227969238,0.703114,0.203292,-0.477327,0.486277,-0.060142,-2.723334,-1.496737
5,3228002572,0.711429,0.195153,-0.459408,0.494705,0.080543,-1.668584,-0.561269
6,3228035906,0.720725,0.180338,-0.442126,0.502556,0.515190,-0.414051,0.036571
7,3228069240,0.731362,0.155606,-0.427890,0.507750,0.859911,1.223390,-0.175127
8,3228102574,0.741953,0.115585,-0.420993,0.508836,0.923282,2.271773,-1.795395
9,3228135908,0.748720,0.058836,-0.424468,0.505754,1.653227,2.984168,-2.368309
10,3228169242,0.748296,-0.006994,-0.434729,0.501017,2.140427,2.953670,-2.934383
11,3228202576,0.740185,-0.070113,-0.445686,0.498576,2.016468,2.673657,-3.316007
12,3228235910,0.727591,-0.118331,-0.452086,0.502225,1.882927,2.727362,-3.515245
13,3228269244,0.714727,-0.146770,-0.453878,0.511490,1.542058,2.873302,-4.060038
14,3228302578,0.704113,-0.156319,-0.453831,0.523288,1.137189,2.796022,-4.408107
15,3228335912,0.697018,-0.151265,-0.455717,0.532551,0.621750,2.045687,-3.766081
16,3228369246,0.693789,-0.135431,-0.462193,0.535440,0.104321,1.512017,-2.846087
17,3228402580,0.692961,-0.111682,-0.472775,0.532746,-0.187347,0.860493,-0.967749
18,3228435914,0.692371,-0.085881,-0.484910,0.527363,-0.356200,0.287421,1.961804
19,3228469248,0.690966,-0.062950,-0.494592,0.523436,-0.922515,-1.030023,3.867867
20,3228502582,0.688726,-0.044087,-0.497120,0.525917,-1.533626,-2.833158,4.691052
21,3228535916,0.686044,-0.031628,-0.493513,0.533659,-1.771232,-3.050505,4.145392
22,3228569250,0.683259,-0.029106,-0.487669,0.542671,-1.929227,-2.797822,3.373696
23,3228602584,0.681416,-0.035457,-0.481205,0.550327,-1.442490,-2.026436,3.145028
24,3228635918,0.680930,-0.047767,-0.473282,0.556830,-0.623049,-1.086615,1.750585
25,3228669252,0.681067,-0.065117,-0.466447,0.560658,0.280292,0.191896,1.070056
26,3228702586,0.681294,-0.084268,-0.461405,0.562002,1.244439,1.321032,0.012897
27,3228735920,0.679914,-0.101983,-0.458889,0.562797,1.877046,1.108658,-0.923006
28,3228769254,0.675372,-0.115364,-0.458847,0.565709,1.706571,1.423051,-0.530612
29,3228802588,0.669580,-0.120290,-0.457565,0.572565,1.600635,1.681705,-0.473752
30,3228835922,0.664944,-0.113518,-0.451138,0.584330,1.464772,2.305716,-1.485750
31,3228869256,0.661327,-0.101770,-0.444369,0.595676,1.201765,2.604080,-2.358686
32,3228902590,0.658487,-0.088893,-0.442333,0.602360,0.821966,2.385710,-2.202209
33,3228935924,0.657366,-0.073213,-0.444902,0.603801,0.162449,2.135164,-1.352533
34,3228969258,0.658933,-0.050360,-0.448145,0.602030,-0.760757,1.650228,-1.063907
35,3229002592,0.662807,-0.019592,-0.449063,0.598873,-1.134032,1.241936,0.213591
36,3229035926,0.666155,0.014986,-0.448442,0.595748,-0.400153,-0.183418,2.915016
37,3229069260,0.668154,0.048428,-0.447560,0.592384,-2.102026,-0.729860,3.439663
38,3229102594,0.670401,0.071418,-0.447840,0.587286,-1.988093,-2.133816,5.081758
39,3229135928,0.674069,0.081738,-0.446985,0.582373,-1.598740,-3.065199,4.679530
40,3229169262,0.678547,0.080233,-0.445163,0.578765,-1.171284,-3.024504,4.374990
41,3229202596,0.683260,0.071549,-0.439271,0.578861,-1.028125,-1.717877,3.616582
42,3229235930,0.687536,0.057042,-0.432004,0.580875,-0.114938,-0.134660,2.723579
43,3229269264,0.690718,0.038939,-0.424806,0.583897,0.770110,1.652165,0.648218
44,3229302598,0.693395,0.016723,-0.421115,0.584456,1.427434,3.344927,-1.878511
45,3229335932,0.694322,-0.007806,-0.423785,0.581606,2.016574,3.550846,-2.967948
46,3229369266,0.693002,-0.026200,-0.431259,0.577132,2.043953,3.155079,-4.351137
47,3229402600,0.690597,-0.029973,-0.441042,0.572419,1.036163,2.306646,-4.000456
48,3229435934,0.689966,-0.014573,-0.449154,0.567449,0.314285,1.875593,-3.138360
49,3229469268,0.690060,0.014747,-0.457409,0.560696,-0.130495,1.166377,-1.616302
50,3229502602,0.689917,0.051761,-0.465098,0.552288,-0.659938,1.234698,0.177802
51,3229535936,0.689820,0.087631,-0.469959,0.543701,-1.398239,0.456596,1.839851
52,3229569270,0.690352,0.110975,-0.476486,0.532976,-1.702017,-0.741666,2.116856
53,3229602604,0.691364,0.124785,-0.483496,0.522187,-1.472242,-3.634184,3.319102
54,3229635938,0.693923,0.142412,-0.482109,0.515524,-1.570287,-4.662249,4.219972
55,3229669272,0.698229,0.155924,-0.476428,0.511061,-1.496358,-2.581714,3.178369
56,3229702606,0.704045,0.150400,-0.476219,0.504896,-0.789006,-1.478086,2.201991
57,3229735940,0.709820,0.131011,-0.479262,0.499303,0.382169,-0.954252,1.659822
58,3229769274,0.715314,0.108008,-0.481493,0.494801,0.609099,-0.168663,0.993864
59,3229802608,0.719836,0.084074,-0.483442,0.490974,0.885643,0.600959,-0.046916
60,3229835942,0.722896,0.062426,-0.485405,0.487760,1.232840,1.092796,-1.260660
61,3229869276,0.724418,0.048832,-0.486394,0.486065,1.302058,1.330315,-1.767567
62,3229902610,0.724727,0.047492,-0.485442,0.486687,1.241336,1.437264,-1.781365
63,3229935944,0.723560,0.058094,-0.484022,0.488684,1.091175,1.107202,-1.636075
64,3229969278,0.721041,0.075270,-0.484326,0.489761,0.847112,0.501758,-1.056421
65,3230002612,0.716935,0.095249,-0.485790,0.490860,0.188815,-0.584232,0.370762
66,3230035946,0.712427,0.114720,-0.484132,0.494881,-0.588460,-2.161283,1.643807
67,3230069280,0.708283,0.126440,-0.479950,0.501996,-0.964559,-3.201755,2.200477
68,3230102614,0.705591,0.124299,-0.476751,0.509317,-1.303406,-2.277737,2.618147
69,3230135948,0.705703,0.101068,-0.479992,0.511252,-0.500564,-1.745993,2.750805
70,3230169282,0.706431,0.062219,-0.487357,0.509481,-0.075218,-1.166704,2.462575
71,3230202616,0.705076,0.017428,-0.494280,0.508189,0.297321,-0.225711,1.799911
72,3230235950,0.701963,-0.018671,-0.495555,0.511203,0.426047,1.165963,-0.005033
73,3230269284,0.699784,-0.038747,-0.490989,0.517430,-0.207792,2.914838,-1.356296
74,3230302618,0.697259,-0.050361,-0.490973,0.519849,1.303612,2.746539,-3.349717
75,3230335952,0.694035,-0.050418,-0.498994,0.516510,1.518681,2.641479,-1.076091
76,3230369286,0.691734,-0.032001,-0.504419,0.515795,1.613160,2.689055,0.493562
77,3230402620,0.688200,-0.004423,-0.509373,0.516627,0.629347,1.516033,0.993643
78,3230435954,0.682744,0.019939,-0.516613,0.516311,-0.887667,-0.505494,3.469059
79,3230469288,0.678464,0.033393,-0.521749,0.516094,-1.193552,-2.057704,3.777884
80,3230502622,0.675336,0.029818,-0.526996,0.515082,-1.141195,-2.989125,3.035563
81,3230535956,0.672477,0.009605,-0.534532,0.511821,-1.368779,-2.859084,2.511107
82,3230569290,0.670244,-0.016000,-0.539516,0.509355,-0.302071,-1.856131,2.297041
83,3230602624,0.669457,-0.036668,-0.539493,0.509346,0.780930,1.125662,-0.243805
84,3230635958,0.669080,-0.048233,-0.538435,0.509997,0.195862,3.545024,-3.852502
85,3230669292,0.668949,-0.045282,-0.539104,0.509732,0.224414,2.942588,-4.691260
86,3230702626,0.670235,-0.020747,-0.539899,0.508789,-0.893170,3.950051,-2.508348
87,3230735960,0.670027,0.006638,-0.548798,0.499844,0.277096,4.087505,-1.030112
88,3230769294,0.668069,0.029154,-0.560431,0.488626,0.413098,1.081305,1.882256
89,3230802628,0.665341,0.046024,-0.565528,0.485165,-0.659855,-2.172507,3.312282
90,3230835962,0.662510,0.054527,-0.568763,0.484375,-1.230986,-3.105294,2.962963
91,3230869296,0.659810,0.053565,-0.572255,0.484056,-0.801656,-3.210496,2.925446
92,3230902630,0.657678,0.040367,-0.576485,0.483218,0.018011,-2.625570,3.062345
93,3230935964,0.655447,0.017740,-0.580546,0.482746,0.504314,-1.954917,2.396537
94,3230969298,0.651837,-0.007080,-0.582786,0.485202,0.567872,-1.366112,1.690678
95,3231002632,0.647881,-0.023589,-0.577701,0.495942,0.072205,-0.047914,0.589742
96,3231035966,0.645371,-0.029079,-0.566609,0.511477,0.085551,1.594109,-0.965724
97,3231069300,0.643745,-0.028524,-0.558574,0.522282,0.209297,2.873910,-2.997383
98,3231102634,0.643005,-0.021757,-0.556540,0.525678,0.341433,2.910848,-2.821824
99,3231135968,0.642870,-0.006982,-0.558390,0.524284,-0.291651,2.289812,-1.608896
100,3231169302,0.642717,0.008738,-0.565242,0.517052,-0.162259,1.636279,-0.732312
101,3231202636,0.642301,0.021351,-0.573849,0.507636,-0.430909,-0.292523,2.187816
102,3231235970,0.642847,0.030121,-0.577019,0.502885,-0.006041,-1.317505,3.200709
103,3231269304,0.642955,0.029743,-0.577619,0.502081,0.468845,-2.283356,2.759332
104,3231302638,0.642061,0.020546,-0.576897,0.504509,-0.302680,-2.635184,2.255584
105,3231335972,0.641284,0.006100,-0.573322,0.509924,-0.495439,-1.800000,1.805835
106,3231369306,0.640999,-0.011052,-0.567211,0.516986,-0.745581,-0.859663,0.758638
107,3231402640,0.640340,-0.028746,-0.560171,0.524739,-0.219385,-0.539144,-0.754220
108,3231435974,0.639281,-0.040353,-0.550655,0.535233,0.144887,-0.192853,-1.542145
109,3231469308,0.637736,-0.043828,-0.539013,0.548489,0.435226,0.651864,-2.305355
110,3231502642,0.636115,-0.041157,-0.529049,0.560156,0.917786,1.330557,-3.509923
111,3231535976,0.633745,-0.029839,-0.519957,0.571949,1.259677,1.426715,-4.006411
112,3231569310,0.631453,-0.004933,-0.508201,0.585642,1.492295,1.537067,-3.588967
113,3231602644,0.628901,0.031283,-0.494472,0.599172,0.813043,2.094733,-2.735561
114,3231635978,0.625657,0.065526,-0.487109,0.605795,0.247117,1.881557,-0.981992
115,3231669312,0.623145,0.087894,-0.487782,0.605010,0.150179,0.964693,1.169974
116,3231702646,0.622931,0.093933,-0.492223,0.600711,-0.117979,0.359651,1.457026
117,3231735980,0.623474,0.083438,-0.501155,0.594277,0.541969,-0.194324,1.053036
118,3231769314,0.622107,0.063410,-0.509834,0.590792,0.024272,-1.888822,1.544516
119,3231802648,0.619880,0.042145,-0.512612,0.592625,-0.850802,-1.990353,1.267478
120,3231835982,0.618033,0.023356,-0.509165,0.598535,-1.179871,-0.997245,-0.153093
121,3231869316,0.616672,0.005268,-0.505237,0.603678,-1.201365,-0.378891,-1.352267
122,3231902650,0.615440,-0.011269,-0.503964,0.605913,-0.945117,0.306317,-2.020552
123,3231935984,0.615005,-0.023402,-0.504170,0.605836,-0.988267,0.863863,-2.262537
124,3231969318,0.617103,-0.029545,-0.504456,0.603191,-0.878051,1.103031,-2.440165
125,3232002652,0.622626,-0.031825,-0.507421,0.594854,-0.403351,1.610781,-2.835135
126,3232035986,0.630751,-0.032959,-0.515410,0.579157,0.165401,1.816787,-2.499382
127,3232069320,0.640913,-0.033056,-0.526787,0.557348,0.249766,1.643159,-1.958807
128,3232102654,0.653002,-0.027312,-0.535969,0.534400,0.529282,1.035826,-1.313704
129,3232135988,0.666946,-0.010299,-0.538310,0.515076,0.570557,0.771997,-0.941838
130,3232169322,0.681719,0.018595,-0.534795,0.498910,0.500534,0.815740,-0.301186
131,3232202656,0.695212,0.056094,-0.529179,0.483225,0.537345,0.802719,0.452814
132,3232235990,0.705622,0.099394,-0.523532,0.467051,0.435760,0.429698,0.882134
133,3232269324,0.711639,0.139640,-0.522385,0.448540,0.367150,-0.160450,1.633417
134,3232302658,0.713604,0.169506,-0.528150,0.427899,0.499765,-1.382394,2.023138
135,3232335992,0.711421,0.192733,-0.535944,0.411706,0.712465,-2.332098,2.097956
136,3232369326,0.704042,0.217889,-0.539524,0.407145,0.967333,-2.430251,1.638372
137,3232402660,0.691117,0.249413,-0.534722,0.417404,1.141208,-2.793273,1.297828
138,3232435994,0.674522,0.283747,-0.522752,0.437311,0.385244,-2.228251,0.459641
139,3232469328,0.662519,0.302949,-0.514371,0.452456,-3.372182,-1.126264,-0.048748
140,3232502662,0.667741,0.292018,-0.521014,0.444292,-1.681953,-3.378165,0.945119
141,3232535996,0.674339,0.286543,-0.519302,0.439874,-1.191155,-2.465145,0.202494
142,3232569330,0.679923,0.285302,-0.513803,0.438540,-0.070435,-1.973287,0.026874
143,3232602664,0.684291,0.284577,-0.507953,0.439033,0.359953,-1.478942,0.407534
144,3232635998,0.687426,0.283805,-0.501535,0.442002,0.300406,-0.843420,0.640152
145,3232669332,0.689528,0.282691,-0.494187,0.447682,0.321462,-0.513395,0.580406
146,3232702666,0.690628,0.280800,-0.486024,0.456037,0.180215,-0.235921,0.322404
147,3232736000,0.691141,0.276578,-0.478349,0.465848,0.123972,0.099791,0.205421
148,3232769334,0.691603,0.269774,-0.472002,0.475526,0.168326,0.513954,0.218645
149,3232802668,0.692292,0.260943,-0.467276,0.484042,0.203573,0.992679,0.246959
150,3232836002,0.693492,0.249999,-0.464877,0.490370,0.109963,1.385034,0.035371
151,3232869336,0.694968,0.237048,-0.465793,0.493830,0.144125,1.494545,-0.211394
152,3232902670,0.695741,0.224173,-0.469321,0.495411,0.215803,1.286621,-0.530755
153,3232936004,0.694653,0.215067,-0.473536,0.496961,0.395202,0.957078,-0.725002
154,3232969338,0.690875,0.213960,-0.475784,0.500546,0.474759,0.740277,-0.620268
155,3233002672,0.684496,0.222683,-0.474359,0.506817,0.268964,0.702749,-0.407039
156,3233036006,0.676634,0.238374,-0.470215,0.514048,-0.171944,0.785423,-0.321372
157,3233069340,0.668798,0.256172,-0.465608,0.519902,-0.432385,0.758187,-0.200031
