sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:00:37_805 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3035398720,-0.128272,-0.511701,0.208391,-0.823581,-1.330274,-0.049939,-0.171699
2,3035432054,-0.127936,-0.514827,0.207255,-0.821969,-1.226601,-0.148830,0.038620
3,3035465388,-0.126765,-0.519982,0.203009,-0.819963,-1.017292,-0.052538,0.041701
4,3035498722,-0.125173,-0.526574,0.194807,-0.817988,-0.796872,-0.357528,-0.019290
5,3035532056,-0.124242,-0.533883,0.183601,-0.815982,-0.826525,-0.799792,-0.123659
6,3035565390,-0.126880,-0.540842,0.174135,-0.813063,-0.824552,-1.014923,-0.146421
7,3035598724,-0.134973,-0.546695,0.169219,-0.808873,-0.670047,-0.847619,0.029653
8,3035632058,-0.148248,-0.551112,0.168831,-0.803615,-0.494244,-0.565339,0.211625
9,3035665392,-0.165411,-0.554000,0.171868,-0.797614,-0.165518,-0.280074,0.501342
10,3035698726,-0.184452,-0.555307,0.176851,-0.791416,0.153665,0.039846,0.766838
11,3035732060,-0.202067,-0.555633,0.181250,-0.785871,0.369429,0.279339,0.586514
12,3035765394,-0.217102,-0.555278,0.185525,-0.781100,0.551708,0.335315,0.374270
13,3035798728,-0.228448,-0.554699,0.189201,-0.777385,0.765372,0.403623,0.322564
14,3035832062,-0.235655,-0.554207,0.191346,-0.775055,0.878404,0.377174,0.338469
15,3035865396,-0.239517,-0.553695,0.192159,-0.774036,0.777982,0.304721,0.302069
16,3035898730,-0.240976,-0.552708,0.192740,-0.774145,0.619506,0.175935,0.319064
17,3035932064,-0.240808,-0.550754,0.193950,-0.775286,0.472990,-0.140676,0.176221
18,3035965398,-0.239395,-0.548016,0.195642,-0.777236,0.362929,-0.139520,0.210387
19,3035998732,-0.237087,-0.544817,0.197211,-0.779792,0.123901,-0.285546,0.246924
20,3036032066,-0.235077,-0.541331,0.198825,-0.782414,-0.037447,-0.378207,0.178323
21,3036065400,-0.234110,-0.537831,0.200510,-0.784684,-0.206770,-0.444245,0.143039
22,3036098734,-0.234544,-0.534442,0.202597,-0.786333,-0.262190,-0.446215,-0.015317
23,3036132068,-0.235953,-0.531506,0.204859,-0.787315,-0.297841,-0.368756,-0.215543
24,3036165402,-0.237469,-0.529592,0.206317,-0.787767,-0.258027,-0.333744,-0.311917
25,3036198736,-0.238911,-0.528920,0.206865,-0.787639,-0.298781,-0.524807,-0.263105
26,3036232070,-0.241015,-0.529149,0.207629,-0.786642,-0.058474,-0.405062,-0.141012
27,3036265404,-0.243088,-0.530276,0.207487,-0.785282,0.314600,-0.293670,-0.077305
28,3036298738,-0.244138,-0.532274,0.205219,-0.784200,0.588065,-0.110184,-0.138947
29,3036332072,-0.243142,-0.535106,0.200099,-0.783905,0.753952,0.109016,-0.063788
30,3036365406,-0.239644,-0.538493,0.192118,-0.784660,0.681341,0.189530,-0.013972
31,3036398740,-0.234203,-0.541749,0.182588,-0.786334,0.563807,0.225538,0.000140
32,3036432074,-0.227658,-0.544286,0.172981,-0.788674,0.385457,0.233077,0.166308
33,3036465408,-0.220982,-0.545309,0.164734,-0.791625,0.141664,0.187650,0.336574
34,3036498742,-0.215179,-0.544070,0.159536,-0.795134,-0.146674,0.111266,0.427137
35,3036532076,-0.211329,-0.539675,0.159473,-0.799164,-0.336825,-0.139677,0.688367
36,3036565410,-0.210172,-0.531203,0.165838,-0.803836,-0.675773,-0.256745,0.770782
37,3036598744,-0.211987,-0.519045,0.178998,-0.808465,-0.935468,-0.203695,0.440097
38,3036632078,-0.215547,-0.505190,0.196679,-0.812184,-1.033450,-0.227408,0.037561
39,3036665412,-0.219188,-0.491783,0.215481,-0.814664,-0.794099,-0.206301,-0.135629
40,3036698746,-0.221086,-0.481048,0.230528,-0.816440,-0.627978,-0.171712,-0.287162
41,3036732080,-0.220613,-0.474373,0.239007,-0.818034,-0.636249,-0.293864,-0.510031
42,3036765414,-0.218560,-0.472048,0.241518,-0.819191,-0.816949,-0.436243,-0.785378
43,3036798748,-0.216258,-0.473634,0.240222,-0.819268,-0.949514,-0.507828,-0.835922
44,3036832082,-0.214589,-0.478405,0.236716,-0.817954,-0.970118,-0.498674,-0.676939
45,3036865416,-0.213867,-0.485692,0.231410,-0.815363,-0.865382,-0.433496,-0.402942
46,3036898750,-0.214060,-0.494990,0.224480,-0.811650,-0.723791,-0.308375,-0.106244
47,3036932084,-0.214681,-0.505724,0.216195,-0.807105,-0.541505,-0.274734,0.242614
48,3036965418,-0.215412,-0.516923,0.207333,-0.802125,-0.310363,-0.298919,0.437532
49,3036998752,-0.215917,-0.527519,0.198914,-0.797208,-0.081233,-0.288324,0.510694
50,3037032086,-0.215843,-0.536688,0.191755,-0.792850,0.158275,-0.270757,0.486033
51,3037065420,-0.214822,-0.544112,0.185922,-0.789450,0.352279,-0.223339,0.571464
52,3037098754,-0.212704,-0.549695,0.181108,-0.787271,0.550661,-0.196826,0.609945
53,3037132088,-0.210154,-0.553105,0.177785,-0.786324,0.495398,-0.335788,0.585105
54,3037165422,-0.208627,-0.553789,0.177700,-0.786269,0.326448,-0.438029,0.505613
55,3037198756,-0.209321,-0.551626,0.182010,-0.786619,0.218222,-0.421123,0.254608
56,3037232090,-0.211711,-0.547448,0.189353,-0.787165,0.326363,-0.220293,0.115781
57,3037265424,-0.214468,-0.542441,0.197079,-0.787988,0.400694,-0.130047,-0.099617
58,3037298758,-0.216761,-0.537712,0.203287,-0.789024,0.407425,-0.017542,-0.162101
59,3037332092,-0.218180,-0.533896,0.206905,-0.790282,0.324642,0.066650,-0.107917
60,3037365426,-0.218871,-0.531210,0.207903,-0.791638,0.178794,0.065977,-0.118034
61,3037398760,-0.219227,-0.529625,0.207194,-0.792787,0.137980,0.137865,-0.103838
62,3037432094,-0.219423,-0.528992,0.205430,-0.793614,0.032441,0.215440,0.070697
