sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_16:57:39_790 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2857361826,-0.560712,0.410578,0.682410,0.226597,0.706935,-0.024311,-0.298849
2,2857395160,-0.561749,0.410073,0.682949,0.223294,0.417685,0.034076,-0.120764
3,2857428494,-0.561649,0.411614,0.682870,0.220939,0.413655,0.320288,0.129705
4,2857461828,-0.561366,0.413796,0.682251,0.219490,0.116592,0.201371,0.036928
5,2857495162,-0.560385,0.417963,0.680562,0.219346,0.086185,-0.051053,-0.166653
6,2857528496,-0.558218,0.423908,0.678571,0.219630,-0.110934,-0.471333,-0.122732
7,2857561830,-0.555871,0.429212,0.677195,0.219530,-0.160578,-0.631634,-0.042972
8,2857595164,-0.553430,0.433495,0.676947,0.218038,-0.520006,-0.674231,0.046717
9,2857628498,-0.551112,0.436796,0.677713,0.214922,-0.692188,-0.141561,0.301781
10,2857661832,-0.548751,0.440188,0.678262,0.212293,-0.686086,0.125309,0.507752
11,2857695166,-0.546586,0.443657,0.678321,0.210461,-0.389605,0.357897,0.201122
12,2857728500,-0.543598,0.448107,0.677876,0.210209,-0.288639,-0.026624,-0.014285
13,2857761834,-0.540172,0.453119,0.677361,0.209955,-0.518484,-0.313284,-0.003615
14,2857795168,-0.536505,0.457833,0.677100,0.209970,-0.281827,-0.094859,-0.122413
15,2857828502,-0.532321,0.462067,0.677495,0.210071,-0.471951,0.149861,-0.307469
16,2857861836,-0.526505,0.467242,0.678527,0.209953,-0.484189,-0.189508,0.007112
17,2857895170,-0.519280,0.474118,0.678983,0.211053,0.135344,0.155712,0.054444
18,2857928504,-0.511194,0.482148,0.679111,0.212188,-0.503197,0.316210,-0.204616
19,2857961838,-0.503246,0.490421,0.678553,0.214003,-1.820815,1.180430,0.003745
20,2857995172,-0.495894,0.498351,0.676862,0.218162,-2.223071,2.658223,-0.007639
21,2858028506,-0.488617,0.505612,0.674213,0.225939,-1.874325,3.667330,0.386613
22,2858061840,-0.483553,0.509839,0.671417,0.235459,-1.459125,3.405045,0.507173
23,2858095174,-0.480339,0.510111,0.670034,0.245187,-0.667011,2.013998,0.109249
24,2858128508,-0.476218,0.509467,0.669637,0.255436,-0.462773,1.209966,0.215370
25,2858161842,-0.472863,0.507379,0.669809,0.265188,-0.891337,1.175662,1.420811
26,2858195176,-0.472553,0.503203,0.669083,0.275335,-0.743177,1.172576,2.664874
27,2858228510,-0.475986,0.496300,0.666395,0.288171,-0.354378,1.899718,2.072360
28,2858261844,-0.483764,0.484772,0.664572,0.298853,0.130060,1.283554,-0.199152
29,2858295178,-0.486959,0.477434,0.663944,0.306768,1.304320,0.397268,-0.729756
30,2858328512,-0.489506,0.472146,0.663044,0.312785,0.279216,-1.869814,-0.165657
31,2858361846,-0.494411,0.466589,0.661788,0.316055,-1.764578,-2.747082,-0.185117
32,2858395180,-0.503587,0.457817,0.662147,0.313635,-2.648994,-3.320822,-0.363737
33,2858428514,-0.517618,0.444208,0.664607,0.305042,-1.511447,-2.300589,-0.292549
34,2858461848,-0.532043,0.429194,0.667472,0.295306,-0.802602,-1.436482,-0.024040
35,2858495182,-0.546758,0.413904,0.669698,0.285035,-0.227182,-0.829256,0.495118
36,2858528516,-0.563067,0.397400,0.670314,0.275153,0.539355,0.250884,0.815027
37,2858561850,-0.578872,0.381932,0.669077,0.267156,1.589048,1.677500,0.804699
38,2858595184,-0.593859,0.367536,0.666741,0.260203,1.723865,2.059672,0.599419
39,2858628518,-0.606900,0.355390,0.663102,0.256257,1.118788,1.113861,0.372705
40,2858661852,-0.618710,0.343857,0.659614,0.252725,0.876958,0.059700,0.285842
41,2858695186,-0.628623,0.334093,0.656449,0.249583,1.132682,-0.769666,-0.859733
42,2858728520,-0.635781,0.327426,0.654189,0.246197,0.491440,-1.621790,-1.441319
43,2858761854,-0.640969,0.322297,0.653365,0.241660,0.325741,-0.485045,-1.885188
44,2858795188,-0.641902,0.322801,0.653836,0.237197,0.241254,-0.230365,-2.166189
45,2858828522,-0.640197,0.327768,0.655467,0.230392,0.681683,0.028187,-2.891744
46,2858861856,-0.635706,0.334270,0.659609,0.221492,0.511720,0.851126,-1.641790
47,2858895190,-0.630384,0.338009,0.666051,0.211527,1.242160,-0.462788,1.634878
48,2858928524,-0.624713,0.335248,0.675341,0.203120,3.388833,0.157062,11.387827
49,2858961858,-0.625449,0.325398,0.681338,0.196748,3.557152,5.400703,-2.143156
50,2858995192,-0.618507,0.334709,0.682600,0.198691,0.825069,0.620814,-3.596007
51,2859028526,-0.607447,0.360143,0.676751,0.208123,-0.357506,-2.344160,0.008549
52,2859061860,-0.597843,0.384909,0.669847,0.213857,-1.099810,-2.339369,-0.175949
53,2859095194,-0.589248,0.398056,0.669914,0.213436,-1.885512,-2.073109,0.655409
54,2859128528,-0.585110,0.402157,0.672583,0.208683,-0.676757,-0.418441,0.267841
55,2859161862,-0.580365,0.408500,0.673828,0.205576,-0.816325,-0.211381,0.001021
56,2859195196,-0.576268,0.415826,0.673425,0.203725,-0.689510,-0.525305,0.192402
57,2859228530,-0.573279,0.421983,0.672606,0.202197,-0.704046,-0.062421,0.151272
58,2859261864,-0.570687,0.427125,0.671831,0.201308,0.253975,-0.557684,-0.148746
59,2859295198,-0.567225,0.432215,0.671624,0.200919,0.291970,-0.323405,-0.076455
60,2859328532,-0.563105,0.436694,0.672326,0.200475,0.430923,0.161759,-0.048414
61,2859361866,-0.557625,0.442007,0.673413,0.200498,-0.165565,0.111329,-0.057889
62,2859395200,-0.551113,0.448340,0.674321,0.201390,-0.200927,0.182169,-0.135114
63,2859428534,-0.544258,0.455185,0.674795,0.203081,-0.422299,0.831110,-0.035754
64,2859461868,-0.537544,0.461239,0.675397,0.205292,-0.484629,1.214470,0.100755
65,2859495202,-0.530859,0.464872,0.677459,0.207688,-0.841710,0.735562,0.462056
66,2859528536,-0.524022,0.467596,0.680422,0.209243,-1.028846,0.548036,0.104136
67,2859561870,-0.517026,0.470963,0.682892,0.211040,-1.337708,1.330215,0.029640
68,2859595204,-0.508217,0.476505,0.684038,0.216221,-0.168494,0.982139,-0.496974
69,2859628538,-0.497395,0.483911,0.684628,0.222967,-0.481482,1.710673,0.168999
70,2859661872,-0.485160,0.491917,0.684713,0.231963,-0.040014,3.154078,0.150031
71,2859695206,-0.473646,0.495966,0.685590,0.244221,0.631960,4.696873,0.531110
72,2859728540,-0.465034,0.492182,0.687533,0.262297,0.209728,7.024760,3.103188
73,2859761874,-0.473013,0.473127,0.689962,0.276341,-4.874087,1.538091,2.290652
74,2859795208,-0.480884,0.464198,0.685203,0.289428,-2.147008,-2.830415,0.869378
75,2859828542,-0.485956,0.460207,0.677505,0.305032,2.015684,-1.641689,0.487309
76,2859861876,-0.490346,0.454760,0.671140,0.319886,0.633475,-0.704529,0.641103
77,2859895210,-0.499478,0.448563,0.664405,0.328452,-0.426029,-0.905618,-0.369523
78,2859928544,-0.512264,0.441645,0.657993,0.331032,-1.130638,-1.981409,0.263891
79,2859961878,-0.528758,0.430153,0.652797,0.330514,-0.896283,-2.279831,0.343454
80,2859995212,-0.546106,0.415251,0.649083,0.328675,-0.061788,-1.676475,-0.696398
81,2860028546,-0.562175,0.403092,0.641780,0.331051,0.391625,0.231910,-0.356053
82,2860061880,-0.576350,0.396899,0.630137,0.336482,0.611744,-0.188308,-0.237090
83,2860095214,-0.587107,0.393482,0.621269,0.338383,1.542036,-0.403872,-1.942798
84,2860128548,-0.596367,0.388480,0.618486,0.333027,0.121281,-1.778074,-1.064370
85,2860161882,-0.607275,0.381349,0.617816,0.322637,-0.374543,-1.837047,0.212770
86,2860195216,-0.617615,0.372761,0.617782,0.312966,0.771921,-0.568257,-1.658816
87,2860228550,-0.623816,0.364850,0.620060,0.305394,0.912288,1.467579,-0.921517
88,2860261884,-0.619878,0.360783,0.631998,0.293542,2.623293,-0.632021,-3.920532
89,2860295218,-0.617919,0.354148,0.648352,0.269065,1.486361,-2.283316,-0.985898
90,2860328552,-0.614070,0.351416,0.658349,0.256911,2.791694,2.801418,9.699509
91,2860361886,-0.607324,0.350147,0.665337,0.256675,0.436568,5.955536,2.372213
92,2860395220,-0.602466,0.344155,0.676027,0.248155,-0.486755,2.634542,-1.842084
93,2860428554,-0.602713,0.337149,0.686048,0.228928,-3.336958,-4.132915,-2.935968
94,2860461888,-0.595736,0.358610,0.678234,0.237693,0.726389,-4.184432,-1.636776
95,2860495222,-0.591765,0.362061,0.682742,0.229326,-1.564946,-4.587071,0.810077
