sep=,
DeviceTag:,D_leg_new
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:09:59_964 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1583537791,-0.305667,0.749168,0.306450,0.501455,-0.060470,0.035873,0.108789
2,1583571125,-0.304521,0.750071,0.305240,0.501540,0.388126,0.242280,0.106977
3,1583604459,-0.305867,0.749453,0.304966,0.501811,0.018580,0.002796,0.363050
4,1583637793,-0.307279,0.748581,0.303918,0.502885,0.131794,0.076485,0.198056
5,1583671127,-0.308915,0.746966,0.302389,0.505201,0.302734,0.173726,0.159452
6,1583704461,-0.310589,0.744498,0.300540,0.508907,0.257068,0.020457,0.231466
7,1583737795,-0.312608,0.740533,0.298588,0.514574,0.820172,0.244476,0.070843
8,1583771129,-0.314285,0.735948,0.297146,0.520925,0.649312,0.235137,0.118108
9,1583804463,-0.314999,0.731822,0.294919,0.527530,0.354902,-0.021657,0.088144
10,1583837797,-0.316331,0.727077,0.293130,0.534249,0.619280,0.108027,-0.075367
11,1583871131,-0.317431,0.721034,0.290859,0.542957,0.505444,0.075197,0.151269
12,1583904465,-0.317844,0.715343,0.289001,0.551173,-0.386469,-0.210703,0.299877
13,1583937799,-0.318379,0.710399,0.287844,0.557824,-0.401005,-0.025328,0.063695
14,1583971133,-0.318247,0.705761,0.286084,0.564650,-0.254929,-0.066714,0.031566
15,1584004467,-0.318571,0.701029,0.285455,0.570649,-0.455616,-0.693536,0.174342
16,1584037801,-0.319120,0.697035,0.285543,0.575173,-0.681688,-0.052015,0.298788
17,1584071135,-0.321076,0.692440,0.285846,0.579467,-0.477068,0.167214,0.402681
18,1584104469,-0.323927,0.687780,0.286405,0.583143,-0.353479,-0.969597,-0.019289
19,1584137803,-0.325203,0.684373,0.286275,0.586496,0.194669,0.479600,0.316544
20,1584171137,-0.327714,0.679843,0.287630,0.589694,0.205189,0.335255,0.224418
21,1584204471,-0.329074,0.674946,0.285839,0.595405,0.502720,-0.903302,-0.213798
22,1584237805,-0.329299,0.671065,0.283005,0.600995,0.146924,0.699918,0.362108
