sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_13:55:26_171 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,709720315,-0.247344,0.670942,-0.095916,0.692430,0.153289,0.736865,0.195198
2,709753649,-0.249411,0.670628,-0.094462,0.692193,0.114669,0.753072,0.259927
3,709786983,-0.251780,0.670028,-0.093790,0.692008,0.110342,0.662709,0.322319
4,709820317,-0.254385,0.669118,-0.093966,0.691911,0.060480,0.562342,0.332462
5,709853651,-0.257029,0.668012,-0.094887,0.691877,0.000586,0.443617,0.307515
6,709886985,-0.259684,0.666746,-0.096474,0.691887,-0.035704,0.316844,0.231069
7,709920319,-0.262285,0.665402,-0.098676,0.691891,-0.057178,0.192592,0.187618
8,709953653,-0.264805,0.664062,-0.101255,0.691844,-0.073919,0.063022,0.131151
9,709986987,-0.267177,0.662835,-0.103839,0.691727,-0.056114,-0.071566,0.102203
10,710020321,-0.269157,0.661850,-0.106264,0.691534,-0.043201,-0.187018,0.106576
11,710053655,-0.270562,0.661167,-0.108388,0.691309,-0.025118,-0.280321,0.071610
12,710086989,-0.271257,0.660769,-0.110250,0.691123,-0.032347,-0.329231,0.054790
13,710120323,-0.271226,0.660630,-0.111923,0.690999,-0.007160,-0.341831,-0.013681
14,710153657,-0.270421,0.660780,-0.113493,0.690915,0.001928,-0.289061,-0.002247
15,710186991,-0.269182,0.661217,-0.114639,0.690792,0.054674,-0.233396,0.029479
16,710220325,-0.267818,0.661842,-0.115302,0.690613,0.100540,-0.178200,0.087603
17,710253659,-0.266499,0.662546,-0.115608,0.690397,0.130391,-0.108602,0.087150
18,710286993,-0.265214,0.663235,-0.115705,0.690214,0.185080,-0.050948,0.115818
19,710320327,-0.263987,0.663842,-0.115744,0.690094,0.195060,-0.020765,0.177448
20,710353661,-0.262896,0.664321,-0.115783,0.690044,0.208413,0.051764,0.182384
21,710386995,-0.262184,0.664479,-0.115870,0.690148,0.196188,0.069348,0.184504
22,710420329,-0.261542,0.664407,-0.116156,0.690412,0.174530,0.097114,0.129451
23,710453663,-0.260878,0.664210,-0.116647,0.690770,0.158144,0.114691,0.125258
24,710486997,-0.260291,0.663894,-0.117206,0.691201,0.158404,0.090471,0.148880
