sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_14:44:34_826 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3658241207,-0.747310,0.022361,0.588025,0.308641,0.226775,-0.073291,0.112998
2,3658274541,-0.748033,0.021710,0.589790,0.303525,0.299712,0.185070,0.190570
3,3658307875,-0.748441,0.020029,0.591671,0.298939,0.122474,0.418239,0.474184
4,3658341209,-0.748653,0.015297,0.593450,0.295138,0.323209,1.006315,0.910635
5,3658374543,-0.749079,0.007988,0.593615,0.294010,0.161737,1.341127,1.146959
6,3658407877,-0.750035,-0.007648,0.593001,0.292819,-0.857095,1.462629,1.519239
7,3658441211,-0.751583,-0.032689,0.590782,0.291608,-0.344036,2.533131,2.140341
8,3658474545,-0.754162,-0.058994,0.582733,0.296961,-0.416896,2.722694,2.614147
9,3658507879,-0.756316,-0.091802,0.571224,0.305396,-0.972986,1.855449,2.658608
10,3658541213,-0.756502,-0.130815,0.557050,0.316690,-0.259403,1.927512,3.360415
11,3658574547,-0.755125,-0.169110,0.537999,0.334290,-0.143817,0.873676,3.273355
12,3658607881,-0.752237,-0.206088,0.514013,0.357018,-0.198557,0.054736,2.903308
13,3658641215,-0.747647,-0.241342,0.486145,0.382683,0.367675,-0.461047,2.694624
14,3658674549,-0.741429,-0.273636,0.455778,0.409484,0.067787,-1.554345,0.713770
15,3658707883,-0.734394,-0.299304,0.424505,0.436902,0.295410,-1.537510,-1.422172
16,3658741217,-0.729340,-0.313861,0.393142,0.463678,0.556622,-1.622677,-2.708531
17,3658774551,-0.726965,-0.319601,0.364378,0.486426,0.004354,-1.864864,-4.094246
18,3658807885,-0.724146,-0.324567,0.343772,0.502090,0.139538,-2.217876,-3.874053
19,3658841219,-0.720413,-0.330252,0.332513,0.511251,0.917175,-2.014435,-3.875882
20,3658874553,-0.718807,-0.331085,0.326191,0.517014,1.666925,-1.784218,-3.843601
21,3658907887,-0.718757,-0.328617,0.324423,0.519763,1.122579,-1.872315,-3.662529
22,3658941221,-0.717396,-0.329159,0.330135,0.517699,0.829828,-1.459072,-3.212424
23,3658974555,-0.717280,-0.328213,0.339378,0.512457,1.050322,-0.947484,-2.569840
24,3659007889,-0.719347,-0.322908,0.349523,0.506071,0.728877,-0.507350,-2.568919
25,3659041223,-0.720663,-0.318717,0.363604,0.496852,0.028726,-0.426919,-1.764057
26,3659074557,-0.720219,-0.317751,0.381828,0.484283,-0.002942,-0.175762,-0.276807
27,3659107891,-0.720211,-0.314770,0.399463,0.471858,0.252204,0.225915,0.262893
28,3659141225,-0.720502,-0.309183,0.415058,0.461534,-0.195224,0.026044,1.078974
29,3659174559,-0.719200,-0.306482,0.429866,0.451708,-0.560026,0.149406,1.825706
30,3659207893,-0.720567,-0.299866,0.438472,0.445657,-0.572945,0.455416,2.098730
31,3659241227,-0.722108,-0.294561,0.443849,0.441356,-1.317923,0.108694,1.304774
32,3659274561,-0.721172,-0.295996,0.449174,0.436514,-0.738439,0.455030,1.627734
33,3659307895,-0.720194,-0.299133,0.451412,0.433673,-0.869389,0.476126,1.605742
34,3659341229,-0.718314,-0.306212,0.451836,0.431402,-1.455328,0.617910,1.481366
