sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:35:55_627 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,858307114,0.445725,-0.285298,-0.246794,0.811809,-0.601395,-5.168185,-1.854722
2,858340448,0.454291,-0.285028,-0.242940,0.808310,-1.025299,-3.276831,-3.262337
3,858373782,0.464103,-0.280174,-0.251851,0.801678,-0.523049,-1.214764,-3.568362
4,858407116,0.477435,-0.266236,-0.263330,0.794882,1.079268,1.619799,-2.950063
5,858440450,0.492610,-0.250271,-0.274481,0.786998,0.420677,3.878141,-0.988160
6,858473784,0.501948,-0.238978,-0.291360,0.778494,1.405540,5.569005,2.290178
7,858507118,0.504312,-0.226364,-0.297382,0.778459,1.077332,4.979136,0.992248
8,858540452,0.496197,-0.226744,-0.303897,0.781043,0.254332,2.495488,2.146064
9,858573786,0.485988,-0.232332,-0.309505,0.783614,0.025200,0.940362,1.709949
10,858607120,0.477854,-0.240300,-0.310493,0.785820,0.249660,-1.454406,0.760345
11,858640454,0.472256,-0.249802,-0.310627,0.786187,-0.923699,-1.939247,1.031727
12,858673788,0.469874,-0.257320,-0.310192,0.785361,-0.145972,-2.532393,1.567184
13,858707122,0.470587,-0.257212,-0.305532,0.786795,-0.078834,-2.604573,-0.389997
14,858740456,0.473001,-0.249764,-0.299674,0.789994,-0.012435,-2.216860,-1.576470
15,858773790,0.475882,-0.236474,-0.298682,0.792724,0.465837,-2.880183,-3.948542
16,858807124,0.479937,-0.208312,-0.296214,0.799081,-0.891100,-0.986450,-2.556973
17,858840458,0.484729,-0.179322,-0.305354,0.799780,-2.451524,3.546151,1.184394
18,858873792,0.488140,-0.160882,-0.321187,0.795413,1.061838,5.752383,6.199156
19,858907126,0.485877,-0.157008,-0.325918,0.795648,0.164022,3.792621,4.844598
20,858940460,0.478691,-0.174929,-0.330137,0.794525,-0.028094,0.094948,2.972314
21,858973794,0.473377,-0.203721,-0.330068,0.790868,-0.358957,-2.747298,1.501567
22,859007128,0.472283,-0.229116,-0.322986,0.787490,-0.553883,-5.153437,0.095016
23,859040462,0.473354,-0.240763,-0.313442,0.787229,-0.583365,-4.435762,-1.671515
24,859073796,0.476403,-0.236136,-0.306525,0.789512,0.132446,-3.090432,-4.594621
25,859107130,0.478069,-0.222273,-0.312512,0.790182,0.909441,0.100538,-3.913394
26,859140464,0.482945,-0.201654,-0.323093,0.788490,1.218737,3.137872,-2.099447
27,859173798,0.488986,-0.179989,-0.329776,0.787243,1.233196,5.077017,-0.274289
28,859207132,0.489216,-0.164859,-0.335091,0.788168,0.663964,6.016773,1.335673
29,859240466,0.480474,-0.163402,-0.346497,0.788917,-0.379684,3.578644,0.499804
30,859273800,0.468393,-0.171063,-0.356034,0.790311,-0.336804,0.340538,1.370896
31,859307134,0.459718,-0.184981,-0.358214,0.791284,0.096417,-2.724319,-0.975452
32,859340468,0.452409,-0.203763,-0.359816,0.790155,0.918525,-4.258680,-0.530332
33,859373802,0.450548,-0.218615,-0.359329,0.787466,-0.708108,-4.259689,-1.013986
34,859407136,0.452219,-0.227851,-0.362340,0.782495,-0.355380,-3.540688,-2.018511
35,859440470,0.457829,-0.229760,-0.367955,0.776028,0.552257,-1.564606,-2.605607
36,859473804,0.467717,-0.221326,-0.372423,0.770430,1.182143,0.893261,-1.443994
37,859507138,0.479352,-0.201944,-0.373549,0.768055,0.316617,3.169632,0.863388
38,859540472,0.485451,-0.180361,-0.379002,0.766923,0.426603,4.673368,1.906200
39,859573806,0.484364,-0.162384,-0.382732,0.769770,-0.073613,5.308290,3.133945
40,859607140,0.478252,-0.155281,-0.386080,0.773377,-1.266039,3.473175,1.285751
41,859640474,0.472120,-0.161235,-0.389217,0.774353,-1.333848,1.226059,1.742809
42,859673808,0.466809,-0.175345,-0.392268,0.772966,-0.378571,-1.548463,1.800760
43,859707142,0.463533,-0.189770,-0.391545,0.771896,-0.267431,-2.797843,0.776289
44,859740476,0.460556,-0.204228,-0.390364,0.770585,-0.342279,-3.749779,-0.451848
45,859773810,0.456844,-0.213941,-0.390580,0.770049,-0.553805,-3.464152,-1.654566
