sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_20:45:13_204 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,452047622,0.360908,-0.556542,-0.503637,-0.553510,-0.028540,0.177799,0.115004
2,452080956,0.360074,-0.557234,-0.502538,-0.554355,-0.026288,0.245212,0.084857
3,452114290,0.359383,-0.557666,-0.501466,-0.555339,0.067730,0.188854,0.155535
4,452147624,0.358812,-0.557787,-0.500603,-0.556365,0.145406,0.155797,0.141042
5,452180958,0.358268,-0.557766,-0.499762,-0.557491,0.075547,0.134431,0.107228
6,452214292,0.357838,-0.557491,-0.498996,-0.558728,0.043616,0.096152,0.089617
7,452247626,0.357055,-0.557154,-0.498064,-0.560395,-0.053465,0.368189,0.150926
8,452280960,0.356544,-0.556788,-0.497546,-0.561542,-0.300892,0.143328,0.085424
9,452314294,0.355519,-0.556524,-0.496639,-0.563253,-0.225691,0.256728,0.135759
10,452347628,0.354878,-0.555812,-0.496063,-0.564866,-0.307028,0.382269,0.122331
11,452380962,0.354925,-0.554740,-0.495944,-0.565993,-0.366716,0.394378,0.113668
12,452414296,0.355110,-0.553389,-0.496149,-0.567020,-0.363104,0.285923,0.104331
13,452447630,0.355411,-0.552017,-0.496988,-0.567434,-0.439025,0.105468,0.078060
14,452480964,0.355987,-0.550623,-0.498310,-0.567268,-0.425530,-0.082208,0.110093
15,452514298,0.356633,-0.549068,-0.499877,-0.566991,-0.238157,-0.191611,0.088794
16,452547632,0.357049,-0.547688,-0.501437,-0.566686,-0.035590,-0.167136,0.105538
17,452580966,0.356953,-0.546691,-0.502619,-0.566661,0.010497,-0.077247,0.127004
18,452614300,0.356507,-0.545939,-0.503284,-0.567077,0.103655,-0.000519,0.153225
19,452647634,0.355834,-0.545295,-0.503172,-0.568218,0.163473,0.007462,0.167182
20,452680968,0.354641,-0.544938,-0.502241,-0.570127,0.127498,0.057496,0.201427
21,452714302,0.353397,-0.544715,-0.500977,-0.572220,0.023040,0.089552,0.101133
22,452747636,0.352176,-0.544438,-0.499388,-0.574621,0.105499,0.126320,0.132969
23,452780970,0.350931,-0.544079,-0.497630,-0.577242,0.153205,0.142937,0.213974
24,452814304,0.350063,-0.543354,-0.495779,-0.580037,0.125448,0.234492,0.110497
25,452847638,0.349847,-0.541563,-0.493393,-0.583864,0.065590,0.083381,0.358550
26,452880972,0.349232,-0.539228,-0.490002,-0.589225,0.457530,0.180474,0.137912
27,452914306,0.348090,-0.537208,-0.485703,-0.595273,0.211247,0.265734,0.220574
28,452947640,0.346689,-0.535897,-0.481897,-0.600345,0.117371,0.121354,0.194958
29,452980974,0.345445,-0.534844,-0.478324,-0.604841,0.008477,0.186005,-0.039311
30,453014308,0.344194,-0.534323,-0.475096,-0.608548,-0.032115,0.158202,-0.143749
31,453047642,0.343498,-0.533568,-0.472361,-0.611725,-0.118576,0.056128,0.066228
32,453080976,0.343347,-0.532335,-0.469735,-0.614898,-0.055741,0.063533,0.041931
