sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:03:35_082 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3212668932,0.720023,0.080812,-0.428231,0.540053,0.228387,-0.490152,-1.329852
2,3212702266,0.724750,0.057725,-0.417157,0.545334,0.260372,-0.131340,-2.138591
3,3212735600,0.729396,0.037398,-0.405164,0.549936,0.426969,0.563893,-2.902134
4,3212768934,0.734991,0.013654,-0.397341,0.549295,-0.036219,2.054359,-3.138517
5,3212802268,0.740666,-0.013685,-0.394917,0.543388,0.709180,1.704129,-3.555157
6,3212835602,0.745756,-0.033954,-0.391847,0.537732,1.064515,1.595830,-4.274188
7,3212868936,0.749688,-0.044819,-0.389206,0.533367,1.275186,2.406672,-4.059284
8,3212902270,0.752320,-0.049420,-0.390142,0.528549,1.104722,2.408787,-4.830706
9,3212935604,0.752946,-0.047778,-0.395929,0.523482,1.266981,2.139300,-4.109914
10,3212968938,0.751610,-0.041849,-0.407234,0.517199,1.133054,2.196372,-2.405884
11,3213002272,0.749295,-0.029493,-0.420695,0.510594,0.976760,1.729643,-1.225831
12,3213035606,0.745823,-0.011420,-0.432780,0.506283,0.563604,0.735068,-0.257595
13,3213068940,0.740481,0.009511,-0.442290,0.505945,0.482589,0.023147,0.855485
14,3213102274,0.732983,0.028904,-0.451443,0.508039,-0.491344,-0.907890,2.249731
15,3213135608,0.724744,0.044915,-0.457231,0.513490,-1.496022,-2.660632,3.769351
16,3213168942,0.717252,0.054216,-0.457277,0.522983,-1.535941,-3.017933,3.142471
17,3213202276,0.711329,0.051688,-0.455431,0.532846,-1.976139,-3.110038,3.255509
18,3213235610,0.707740,0.038356,-0.452869,0.540875,-1.702601,-2.514134,2.104378
19,3213268944,0.705858,0.019218,-0.449052,0.547495,-0.706479,-1.178885,1.633531
20,3213302278,0.704564,-0.002095,-0.443301,0.554141,-0.285633,-0.932336,-0.367926
21,3213335612,0.703506,-0.025782,-0.437579,0.559413,0.910674,1.410666,-0.480550
22,3213368946,0.703961,-0.047337,-0.432400,0.561454,2.070085,3.209929,-3.216570
23,3213402280,0.703592,-0.067851,-0.434059,0.558525,2.685045,2.947272,-4.273295
24,3213435614,0.701264,-0.080991,-0.440634,0.554540,1.768558,3.164024,-4.499761
25,3213468948,0.698516,-0.075233,-0.450350,0.551002,2.317265,4.608741,-3.094092
26,3213502282,0.694185,-0.052929,-0.467397,0.544839,1.788221,4.097499,-0.060258
27,3213535616,0.687441,-0.027018,-0.490333,0.535043,0.538205,3.557616,2.771125
28,3213568950,0.680647,0.000311,-0.508851,0.527061,1.247417,1.368600,5.526678
29,3213602284,0.672943,0.030786,-0.516613,0.528502,-1.626931,-0.981310,7.237175
30,3213635618,0.665803,0.055293,-0.518353,0.533818,-3.182964,-4.306571,6.403147
31,3213668952,0.660901,0.070188,-0.515434,0.540938,-4.261865,-5.274711,5.250928
32,3213702286,0.660459,0.072052,-0.507966,0.548248,-3.407312,-4.760531,4.569053
33,3213735620,0.663713,0.063976,-0.497965,0.554460,-2.240368,-3.067010,3.288739
34,3213768954,0.669455,0.049991,-0.487614,0.558182,-1.480492,-1.247928,1.743370
35,3213802288,0.677207,0.033529,-0.476638,0.559541,-0.073874,0.359300,0.339107
36,3213835622,0.686109,0.015613,-0.466807,0.557769,1.476483,2.325775,-0.838347
37,3213868956,0.694669,-0.002455,-0.461670,0.551628,2.292102,3.155646,-2.299270
38,3213902290,0.701137,-0.016891,-0.461748,0.543060,2.434347,3.744377,-2.677907
39,3213935624,0.705540,-0.024744,-0.465872,0.533449,2.706358,4.095686,-3.364438
40,3213968958,0.707595,-0.022708,-0.474223,0.523364,2.683589,3.267786,-3.166497
41,3214002292,0.707842,-0.011581,-0.487053,0.511477,2.693796,2.676601,-1.762793
42,3214035626,0.705974,0.007024,-0.503227,0.498315,1.328474,1.812017,-0.512881
43,3214068960,0.703102,0.025711,-0.520890,0.483387,0.702097,0.664426,0.775073
44,3214102294,0.698296,0.040779,-0.539370,0.468833,0.664335,0.349199,0.759249
45,3214135628,0.691171,0.051807,-0.557008,0.457542,-0.659027,-1.513152,2.120646
46,3214168962,0.682904,0.060828,-0.569684,0.453218,-1.344725,-2.344732,2.350542
47,3214202296,0.674297,0.067590,-0.577382,0.455399,-1.286540,-1.609060,2.096732
48,3214235630,0.665321,0.071636,-0.582631,0.461259,-1.303624,-0.259531,1.269370
49,3214268964,0.656830,0.076923,-0.586311,0.467868,-3.214972,-3.547655,1.951454
50,3214302298,0.652502,0.090556,-0.582490,0.476182,-2.083744,-5.222829,3.127179
51,3214335632,0.652076,0.098154,-0.576160,0.482913,-2.126988,-2.772182,1.115446
52,3214368966,0.654024,0.080499,-0.577653,0.481760,-1.618348,-2.112092,1.653921
53,3214402300,0.655886,0.050226,-0.581445,0.478766,-0.906961,-1.235341,1.581677
54,3214435634,0.656971,0.021793,-0.582449,0.478195,-0.637347,0.190273,0.707982
55,3214468968,0.657523,-0.000744,-0.579695,0.481269,-0.408632,1.631528,-0.547703
56,3214502302,0.660637,-0.009596,-0.570325,0.488056,0.526480,2.415412,-1.442312
57,3214535636,0.667111,-0.000907,-0.554568,0.497413,1.101382,2.644404,-2.112765
58,3214568970,0.673822,0.017119,-0.542018,0.501888,1.223649,2.687361,-2.385051
59,3214602304,0.677846,0.029263,-0.542827,0.494986,1.384212,2.011478,-1.641111
60,3214635638,0.678340,0.030294,-0.556706,0.478559,1.316288,-0.182710,0.270957
61,3214668972,0.676368,0.027882,-0.569643,0.466111,0.562419,-3.539866,3.182070
62,3214702306,0.672514,0.027234,-0.570759,0.470341,-1.417070,-5.556129,4.377255
63,3214735640,0.668508,0.021707,-0.563315,0.485083,-2.257772,-3.168504,3.490598
