sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:03:50_274 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3227869236,-0.182144,0.730125,0.272729,0.599470,-0.222388,0.120765,0.157027
2,3227902570,-0.180499,0.729252,0.269558,0.602457,0.570626,0.236660,0.589929
3,3227935904,-0.182202,0.723510,0.267382,0.609794,2.417123,0.612178,1.551607
4,3227969238,-0.192036,0.708390,0.270099,0.623184,3.227933,1.701938,0.666273
5,3228002572,-0.204298,0.689122,0.274161,0.638916,1.291023,0.650133,0.161123
6,3228035906,-0.214357,0.668931,0.269416,0.658788,1.428862,1.009243,-0.066535
7,3228069240,-0.224695,0.649757,0.263083,0.676846,0.425450,1.329139,-0.519968
8,3228102574,-0.225531,0.641660,0.249338,0.689379,-4.785264,-3.302866,-0.970586
9,3228135908,-0.228867,0.631951,0.241619,0.699916,-3.249980,0.981260,-1.838217
10,3228169242,-0.241064,0.616192,0.246518,0.708117,1.256260,1.394030,0.161714
11,3228202576,-0.252423,0.600571,0.246716,0.717449,3.541557,-0.371007,1.019871
12,3228235910,-0.258212,0.584511,0.238957,0.731148,1.236202,-0.978917,-0.623442
13,3228269244,-0.258879,0.567754,0.228764,0.747200,1.625484,-0.060498,-1.342532
14,3228302578,-0.262739,0.549019,0.221195,0.761986,-1.277965,1.454212,-1.048737
15,3228335912,-0.269531,0.531626,0.216304,0.773269,-0.972620,1.223817,-0.690734
16,3228369246,-0.280133,0.513588,0.217310,0.781366,-0.395004,0.249696,0.151031
17,3228402580,-0.289385,0.494761,0.217931,0.789923,-0.474645,-0.004754,-1.406098
18,3228435914,-0.298449,0.477308,0.217399,0.797401,-0.452712,-0.509644,0.314524
19,3228469248,-0.307243,0.461332,0.217417,0.803436,0.706877,-1.750480,0.095975
20,3228502582,-0.313530,0.447562,0.213866,0.809724,0.724524,-0.118263,0.240761
21,3228535916,-0.319604,0.432034,0.211458,0.816389,-0.700380,0.167705,0.662595
22,3228569250,-0.325694,0.416889,0.210919,0.821976,-0.040575,0.224171,0.333674
23,3228602584,-0.331012,0.402077,0.206817,0.828249,-0.623617,0.027510,1.071596
24,3228635918,-0.337584,0.385478,0.203618,0.834259,-1.253069,0.695341,0.003914
25,3228669252,-0.344882,0.369337,0.201725,0.839022,-0.378968,-0.365780,-0.638960
26,3228702586,-0.350507,0.355213,0.197322,0.843823,-0.316022,-0.639206,-0.944646
27,3228735920,-0.356307,0.341131,0.193007,0.848191,-1.448933,-0.154813,1.007828
28,3228769254,-0.362102,0.326921,0.190893,0.851803,0.937476,-1.313537,1.367906
29,3228802588,-0.365114,0.312439,0.187105,0.856779,0.711213,-0.957707,-0.059371
30,3228835922,-0.367545,0.298067,0.184456,0.861422,0.025917,0.144694,-0.770949
31,3228869256,-0.369534,0.283405,0.182360,0.865953,-0.033194,-0.086721,1.117229
32,3228902590,-0.370487,0.268347,0.179499,0.870927,0.070494,0.292242,0.895667
33,3228935924,-0.371838,0.253385,0.176104,0.875514,-1.040588,1.052659,-0.394956
34,3228969258,-0.374748,0.239357,0.170740,0.879275,0.196022,0.248055,-0.976453
35,3229002592,-0.377884,0.227168,0.164254,0.882397,-0.125009,0.695761,0.124509
36,3229035926,-0.380629,0.214819,0.158551,0.885348,0.460749,-0.116804,0.832791
37,3229069260,-0.382237,0.204897,0.151230,0.888283,0.679514,-0.246975,-0.226747
38,3229102594,-0.383521,0.195999,0.144758,0.890812,-0.249316,0.043332,-0.481706
39,3229135928,-0.384199,0.188052,0.141072,0.892822,-0.466298,-0.185239,0.396219
40,3229169262,-0.384479,0.180819,0.137473,0.894755,0.704144,-1.088259,1.376842
41,3229202596,-0.383804,0.173781,0.133351,0.897060,0.085952,-0.382454,0.601613
42,3229235930,-0.382397,0.167948,0.131582,0.899031,-1.394367,0.371592,0.670833
43,3229269264,-0.381632,0.161654,0.134010,0.900151,-0.900223,0.348918,0.651594
44,3229302598,-0.382480,0.157690,0.136738,0.900083,-1.124243,0.208434,0.588650
45,3229335932,-0.384819,0.156006,0.134859,0.899663,0.088970,-0.376498,0.720902
46,3229369266,-0.387718,0.156048,0.131313,0.898936,0.392868,-0.629167,-0.156224
47,3229402600,-0.389668,0.157001,0.129162,0.898238,0.172803,-0.589719,-0.035791
48,3229435934,-0.390193,0.157285,0.127492,0.898199,0.326658,-0.849367,0.863270
49,3229469268,-0.389771,0.156839,0.125813,0.898697,-0.096792,-0.292981,0.679365
50,3229502602,-0.388907,0.155406,0.124740,0.899469,-0.400960,0.109234,0.118893
51,3229535936,-0.387933,0.154351,0.123844,0.900195,-0.023122,-0.035076,-0.528061
52,3229569270,-0.386972,0.153838,0.123215,0.900783,-0.397388,0.134896,-0.094820
53,3229602604,-0.386432,0.152958,0.122780,0.901224,-0.278991,-0.291563,0.792440
54,3229635938,-0.385502,0.151087,0.122531,0.901971,-0.277581,-0.128899,0.804249
55,3229669272,-0.383113,0.148616,0.123366,0.903285,-0.440280,0.305978,0.270570
56,3229702606,-0.380563,0.146537,0.124284,0.904575,-0.145554,0.064269,0.061558
57,3229735940,-0.378156,0.144908,0.125240,0.905715,0.120227,0.133686,0.087423
58,3229769274,-0.375330,0.143278,0.127116,0.906888,0.101128,0.129197,0.259768
59,3229802608,-0.372057,0.141801,0.128568,0.908263,0.184739,-0.078093,0.111071
60,3229835942,-0.368610,0.140628,0.129312,0.909744,-0.161841,0.066348,-0.016367
61,3229869276,-0.365602,0.139628,0.129638,0.911064,-0.286133,0.134650,0.128450
62,3229902610,-0.363261,0.138639,0.129623,0.912153,-0.276769,0.258645,0.061197
63,3229935944,-0.361350,0.137929,0.129554,0.913029,0.017071,0.218251,-0.152503
64,3229969278,-0.359689,0.137270,0.129951,0.913728,0.116598,0.241086,0.229804
65,3230002612,-0.357982,0.136404,0.130664,0.914426,0.166945,0.250620,0.264503
66,3230035946,-0.356281,0.135856,0.131326,0.915077,0.096915,0.352028,-0.144496
67,3230069280,-0.354658,0.135725,0.131720,0.915670,-0.159264,0.500605,-0.125658
68,3230102614,-0.353444,0.135778,0.131229,0.916202,-0.419156,0.419291,0.202909
69,3230135948,-0.352851,0.136218,0.129136,0.916662,-0.335396,0.242396,0.352128
