sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:00:37_796 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3039232130,0.464842,-0.474868,-0.586985,-0.462465,0.276033,0.040259,-0.121711
2,3039265464,0.472335,-0.466959,-0.590979,-0.457816,0.549367,0.550208,-0.217256
3,3039298798,0.480146,-0.458339,-0.595527,-0.452477,0.369226,0.746320,-0.309821
4,3039332132,0.487307,-0.450675,-0.599536,-0.447195,0.603722,0.569663,-0.705741
5,3039365466,0.493297,-0.444509,-0.602829,-0.442346,-0.241502,0.482241,-0.671719
6,3039398800,0.498879,-0.439562,-0.605847,-0.436872,0.028155,0.422589,-0.807901
7,3039432134,0.503661,-0.436187,-0.609137,-0.430140,-0.054064,-1.680697,-0.813888
8,3039465468,0.506343,-0.434623,-0.613723,-0.421979,0.332582,0.295343,0.633677
9,3039498802,0.510695,-0.429832,-0.620466,-0.411655,1.302344,0.424635,1.591400
10,3039532136,0.513417,-0.424836,-0.627645,-0.402469,1.178152,0.248050,1.502267
11,3039565470,0.515130,-0.419212,-0.635794,-0.393283,0.663772,-0.771964,0.566275
12,3039598804,0.517111,-0.412439,-0.645392,-0.382049,-0.457447,-1.519972,-0.344222
13,3039632138,0.520644,-0.405616,-0.655111,-0.367746,0.572229,-0.960542,-0.517632
14,3039665472,0.522338,-0.402375,-0.662612,-0.355254,0.575863,-0.190336,0.367385
15,3039698806,0.523498,-0.400312,-0.668314,-0.345049,-0.153720,-0.283376,0.467718
16,3039732140,0.525019,-0.397573,-0.673375,-0.335944,0.348298,-0.520520,0.106425
17,3039765474,0.525573,-0.396798,-0.676813,-0.329015,0.233750,-0.645228,0.284046
18,3039798808,0.525911,-0.400044,-0.676403,-0.325368,1.062129,0.350747,0.074236
19,3039832142,0.523509,-0.409626,-0.671093,-0.328302,1.636312,-0.289806,-0.216609
20,3039865476,0.518223,-0.422672,-0.664035,-0.334445,0.379879,-1.522513,-0.081940
21,3039898810,0.514236,-0.433086,-0.658438,-0.338319,0.159987,-1.541922,-0.092352
22,3039932144,0.512205,-0.441275,-0.653516,-0.340355,0.221036,-1.004013,-0.656080
23,3039965478,0.508920,-0.451403,-0.647353,-0.343762,-0.939281,-0.371069,-0.078538
24,3039998812,0.505483,-0.463372,-0.638845,-0.348788,0.106908,-0.112717,0.916954
25,3040032146,0.499503,-0.477819,-0.628167,-0.357203,0.441579,0.883402,0.064601
26,3040065480,0.493286,-0.492776,-0.616571,-0.365627,-1.447579,0.834707,0.327487
27,3040098814,0.488542,-0.505427,-0.605760,-0.372730,-1.565825,0.292150,0.878412
28,3040132148,0.484638,-0.514093,-0.598556,-0.377581,-0.784236,0.725756,0.239112
29,3040165482,0.482909,-0.518590,-0.594410,-0.380188,-0.437375,0.516220,-0.035376
30,3040198816,0.480494,-0.523219,-0.590537,-0.382930,-0.284969,0.197307,0.295712
31,3040232150,0.477662,-0.528198,-0.586605,-0.385672,-0.305062,0.319248,0.128016
32,3040265484,0.475953,-0.531454,-0.583966,-0.387311,-0.270464,0.285774,0.411857
33,3040298818,0.474921,-0.533133,-0.582371,-0.388670,0.265801,-0.371337,0.144353
34,3040332152,0.473668,-0.534796,-0.580824,-0.390228,-0.082247,-0.404837,-0.346315
35,3040365486,0.472632,-0.536531,-0.579583,-0.390946,-0.257665,-0.063791,0.098343
36,3040398820,0.471594,-0.538342,-0.578180,-0.391788,0.091746,0.016065,0.575261
37,3040432154,0.471127,-0.539448,-0.576451,-0.393373,0.458333,-0.258170,0.048137
38,3040465488,0.470151,-0.541248,-0.573946,-0.395723,0.056820,0.128390,-0.021339
39,3040498822,0.468303,-0.543974,-0.571281,-0.398027,-0.289847,0.299666,0.226279
40,3040532156,0.467301,-0.545760,-0.569033,-0.399975,-0.225301,0.014438,0.567478
41,3040565490,0.466987,-0.546670,-0.567005,-0.401973,0.070187,-0.132613,0.016038
42,3040598824,0.467437,-0.546860,-0.565038,-0.403958,0.311455,0.020792,-0.038133
43,3040632158,0.467415,-0.547697,-0.562693,-0.406116,-0.250883,-0.158618,-0.279103
44,3040665492,0.468681,-0.547866,-0.560611,-0.407307,-0.223415,-0.186455,0.510928
45,3040698826,0.470600,-0.546801,-0.559358,-0.408247,0.681892,-0.424336,0.192508
46,3040732160,0.471584,-0.546000,-0.557939,-0.410121,0.670815,0.057640,-0.575566
47,3040765494,0.471004,-0.547260,-0.555515,-0.412393,-0.076747,0.274673,0.488127
48,3040798828,0.470678,-0.549269,-0.552283,-0.414429,0.010153,-0.151875,0.642973
49,3040832162,0.470545,-0.550604,-0.549436,-0.416586,0.221765,0.289569,-0.225417
50,3040865496,0.470337,-0.551645,-0.548017,-0.417315,-0.976484,0.386534,-0.453221
51,3040898830,0.470877,-0.552174,-0.548058,-0.415949,-0.555841,0.313838,0.827666
52,3040932164,0.472279,-0.551814,-0.548413,-0.414368,0.651672,0.287869,0.215981
53,3040965498,0.473441,-0.551234,-0.548842,-0.413242,0.905508,0.080083,-0.472881
54,3040998832,0.473587,-0.551098,-0.549887,-0.411866,-0.382752,0.063905,-0.122043
55,3041032166,0.474228,-0.550193,-0.552194,-0.409243,-0.191538,0.476856,0.611032
56,3041065500,0.474592,-0.549245,-0.554697,-0.406702,0.213541,0.383620,0.005050
57,3041098834,0.474506,-0.548835,-0.556479,-0.404917,-0.299132,0.637875,0.190724
58,3041132168,0.474042,-0.549040,-0.558034,-0.403039,-0.747947,0.273055,0.442393
59,3041165502,0.474177,-0.548154,-0.560295,-0.400943,-0.370508,0.308766,0.079662
60,3041198836,0.474097,-0.546448,-0.563789,-0.398460,-0.329579,0.229358,-0.026904
61,3041232170,0.474804,-0.543540,-0.568359,-0.395090,-0.521375,0.511559,0.637645
62,3041265504,0.475317,-0.540506,-0.572979,-0.391949,-0.168550,-0.041585,0.298502
63,3041298838,0.475979,-0.537378,-0.577343,-0.389032,-0.308911,-0.161405,-0.260477
64,3041332172,0.476461,-0.534258,-0.582120,-0.385605,-0.357611,-0.073880,-0.001209
65,3041365506,0.477240,-0.530611,-0.587436,-0.381596,-0.159708,0.070079,0.185786
66,3041398840,0.477683,-0.526729,-0.593078,-0.377672,-0.133099,0.149669,-0.004023
67,3041432174,0.477956,-0.522628,-0.599198,-0.373339,-0.361444,-0.281964,-0.082514
68,3041465508,0.478297,-0.518129,-0.605858,-0.368393,-0.345272,-0.214526,0.374320
69,3041498842,0.479219,-0.512123,-0.613075,-0.363622,-0.501584,0.571534,0.326571
70,3041532176,0.480752,-0.504243,-0.621997,-0.357406,-0.670836,0.368084,0.191001
71,3041565510,0.482725,-0.494644,-0.632045,-0.350465,-0.691958,0.271915,0.213613
72,3041598844,0.485155,-0.483670,-0.643084,-0.342248,-0.908649,-0.065633,0.244954
73,3041632178,0.488374,-0.470853,-0.654837,-0.333135,-0.943349,-0.071025,0.266002
74,3041665512,0.492712,-0.455797,-0.667264,-0.322869,-0.392541,-0.423205,-0.004991
75,3041698846,0.496959,-0.440595,-0.679233,-0.312333,0.083239,-0.763325,-0.077092
76,3041732180,0.499485,-0.428330,-0.689016,-0.303821,0.877175,-0.632455,-0.123717
77,3041765514,0.500018,-0.419963,-0.695862,-0.298984,0.706678,-0.306558,-0.202161
78,3041798848,0.499826,-0.413866,-0.700904,-0.296015,0.497722,-0.318375,0.119911
79,3041832182,0.498654,-0.409942,-0.704402,-0.295147,0.697230,-0.285520,0.237443
80,3041865516,0.497761,-0.406696,-0.707084,-0.294733,0.080981,-0.272806,0.188858
81,3041898850,0.497978,-0.403177,-0.708948,-0.294724,0.510126,0.227215,0.396665
82,3041932184,0.498410,-0.400797,-0.709175,-0.296687,0.825989,0.521473,0.293312
83,3041965518,0.498289,-0.400533,-0.707571,-0.301044,0.498694,0.041582,0.314883
84,3041998852,0.498132,-0.402058,-0.703723,-0.308206,0.455917,0.057961,0.170171
85,3042032186,0.497933,-0.404460,-0.698688,-0.316721,0.752743,0.104381,0.199605
86,3042065520,0.497445,-0.407025,-0.693536,-0.325406,1.156187,-0.278343,-0.124245
87,3042098854,0.496710,-0.409390,-0.688865,-0.333386,0.755609,-0.758647,-0.215414
88,3042132188,0.495955,-0.411543,-0.684913,-0.339936,0.192970,-0.645556,0.055470
89,3042165522,0.495418,-0.412806,-0.682110,-0.344791,-0.124927,-0.122218,0.035449
90,3042198856,0.494986,-0.413007,-0.680774,-0.347798,-0.122276,0.506359,0.036007
91,3042232190,0.494604,-0.412497,-0.680481,-0.349516,0.028183,0.733239,0.193212
92,3042265524,0.493929,-0.412220,-0.680180,-0.351378,0.070510,0.389970,0.200858
93,3042298858,0.493506,-0.411894,-0.679917,-0.352860,-0.023220,0.214974,0.231793
94,3042332192,0.493599,-0.411128,-0.679722,-0.353999,0.133585,0.235065,0.054541
95,3042365526,0.493717,-0.410311,-0.679589,-0.355035,0.319127,0.103751,0.080188
96,3042398860,0.493967,-0.409710,-0.679366,-0.355807,0.190242,-0.069363,0.098955
97,3042432194,0.494527,-0.409339,-0.678853,-0.356434,0.166650,-0.046539,0.259174
98,3042465528,0.495440,-0.408713,-0.677940,-0.357621,0.425114,0.288094,0.374978
99,3042498862,0.496500,-0.407866,-0.676932,-0.359024,0.613870,0.287297,0.441610
100,3042532196,0.497856,-0.407104,-0.675525,-0.360657,0.747797,0.017547,0.170837
101,3042565530,0.498817,-0.407558,-0.672935,-0.363648,0.839939,0.031966,0.072601
102,3042598864,0.499272,-0.409120,-0.669892,-0.366871,0.603377,-0.484454,-0.010655
103,3042632198,0.499245,-0.411442,-0.667117,-0.369361,0.373470,-0.498873,-0.079656
104,3042665532,0.498660,-0.413850,-0.665355,-0.370637,0.113145,-0.517771,-0.181855
105,3042698866,0.497776,-0.415689,-0.665108,-0.370211,-0.337997,-0.669310,-0.150944
106,3042732200,0.496359,-0.417450,-0.665691,-0.369082,-0.528820,-0.052283,-0.075759
107,3042765534,0.494939,-0.418840,-0.666943,-0.367149,-0.214043,0.499270,0.154806
108,3042798868,0.493986,-0.419563,-0.668326,-0.365085,-0.548513,0.956237,0.310344
109,3042832202,0.493457,-0.420117,-0.669315,-0.363347,-0.771003,0.963541,0.476885
110,3042865536,0.493522,-0.420576,-0.669446,-0.362486,-0.741848,0.773823,0.358482
111,3042898870,0.494213,-0.420441,-0.669196,-0.362162,-0.497441,0.459342,0.364016
112,3042932204,0.495660,-0.419252,-0.669138,-0.361671,-0.082717,0.194630,0.169840
113,3042965538,0.497197,-0.417663,-0.669325,-0.361054,0.385625,-0.013983,0.091411
114,3042998872,0.498370,-0.416412,-0.669440,-0.360667,0.599833,-0.265105,0.076020
115,3043032206,0.499280,-0.415773,-0.669374,-0.360268,0.736166,-0.339285,0.032346
116,3043065540,0.499703,-0.415919,-0.669077,-0.360064,0.635012,-0.380447,0.031224
117,3043098874,0.499998,-0.416355,-0.668953,-0.359380,0.300215,-0.403426,0.030005
118,3043132208,0.500179,-0.417081,-0.668665,-0.358823,0.144015,-0.178564,0.045325
119,3043165542,0.499933,-0.418200,-0.668376,-0.358403,-0.024502,-0.121122,-0.043579
120,3043198876,0.499046,-0.419815,-0.668084,-0.358294,-0.321501,-0.333198,0.049584
121,3043232210,0.497992,-0.421552,-0.667600,-0.358623,-0.414976,-0.137761,-0.010798
122,3043265544,0.496938,-0.423129,-0.667229,-0.358918,-0.263323,0.057555,0.207341
123,3043298878,0.496061,-0.424677,-0.666577,-0.359513,0.060703,0.327613,0.280624
124,3043332212,0.495132,-0.426539,-0.665510,-0.360565,0.308945,0.538033,0.107914
125,3043365546,0.493944,-0.428339,-0.664806,-0.361358,-0.191429,0.164467,-0.027093
126,3043398880,0.492960,-0.429371,-0.665141,-0.360860,-0.674465,0.065256,0.490747
127,3043432214,0.493450,-0.428623,-0.665986,-0.359519,-0.282862,0.482066,0.339979
128,3043465548,0.494138,-0.427280,-0.666947,-0.358390,-0.112391,0.453029,0.019915
129,3043498882,0.493993,-0.426416,-0.668218,-0.357250,-0.258786,-0.007251,0.084749
130,3043532216,0.494377,-0.424993,-0.669517,-0.355981,-0.261490,-0.151128,0.079671
131,3043565550,0.495043,-0.423209,-0.670794,-0.354773,-0.015702,-0.119261,0.100142
132,3043598884,0.495472,-0.421672,-0.672011,-0.353701,0.230524,-0.266682,0.081579
133,3043632218,0.495602,-0.420533,-0.672965,-0.353059,0.140406,-0.411450,0.039137
134,3043665552,0.495637,-0.419557,-0.673839,-0.352503,0.126899,-0.297898,0.076820
135,3043698886,0.495590,-0.418779,-0.674632,-0.351979,0.214150,-0.056317,0.076161
136,3043732220,0.495419,-0.418273,-0.675238,-0.351659,0.187711,0.092182,0.119708
137,3043765554,0.495165,-0.417995,-0.675645,-0.351565,0.081010,0.267841,0.194185
138,3043798888,0.494724,-0.418010,-0.675903,-0.351673,-0.086477,0.247923,0.198853
139,3043832222,0.494318,-0.418152,-0.675981,-0.351924,-0.123351,0.287579,0.194145
140,3043865556,0.493780,-0.418383,-0.676057,-0.352259,-0.059657,0.216246,0.163343
141,3043898890,0.493316,-0.418505,-0.676182,-0.352525,-0.119780,0.153765,0.193272
142,3043932224,0.493103,-0.418534,-0.676167,-0.352817,0.122897,0.184586,0.204071
143,3043965558,0.492711,-0.418756,-0.676024,-0.353374,0.257214,0.150333,0.132306
144,3043998892,0.492220,-0.419013,-0.676023,-0.353755,0.056250,-0.060345,0.115604
145,3044032226,0.491929,-0.419162,-0.675997,-0.354035,-0.073115,-0.187857,0.161428
146,3044065560,0.491931,-0.419124,-0.675858,-0.354341,0.199345,-0.031080,0.139012
147,3044098894,0.491870,-0.419197,-0.675557,-0.354911,0.310058,0.000032,0.117312
148,3044132228,0.491752,-0.419575,-0.675056,-0.355581,0.154390,-0.170104,0.062700
149,3044165562,0.491598,-0.420228,-0.674328,-0.356404,0.053226,-0.195126,0.082126
150,3044198896,0.491484,-0.420771,-0.673657,-0.357189,0.147969,-0.067800,0.114369
151,3044232230,0.491332,-0.421254,-0.673186,-0.357716,0.037646,0.013685,0.121033
152,3044265564,0.491248,-0.421802,-0.672595,-0.358298,-0.035910,0.085828,0.164620
153,3044298898,0.491270,-0.422346,-0.671886,-0.358955,0.117182,0.136296,0.180580
154,3044332232,0.491356,-0.422799,-0.671168,-0.359647,0.102946,0.079734,0.120872
155,3044365566,0.491479,-0.423220,-0.670454,-0.360314,0.059754,-0.002942,0.086597
156,3044398900,0.491505,-0.423813,-0.669709,-0.360967,0.030629,-0.055243,0.107113
157,3044432234,0.491508,-0.424462,-0.669020,-0.361477,0.091984,-0.026147,0.113592
158,3044465568,0.491527,-0.424983,-0.668356,-0.362068,0.048737,-0.063060,0.161208
159,3044498902,0.491889,-0.425067,-0.667698,-0.362691,0.001432,-0.021884,0.258626
160,3044532236,0.492538,-0.424875,-0.666995,-0.363327,0.115473,-0.024738,0.025452
161,3044565570,0.492942,-0.424922,-0.666292,-0.364014,0.152902,-0.202360,-0.150728
162,3044598904,0.492870,-0.425262,-0.665930,-0.364378,0.105322,-0.338795,-0.020805
163,3044632238,0.492724,-0.425450,-0.666139,-0.363974,-0.085708,-0.101698,0.070688
164,3044665572,0.492521,-0.425475,-0.666748,-0.363104,-0.039963,0.298996,0.140086
165,3044698906,0.492144,-0.425691,-0.667252,-0.362436,-0.111767,0.625871,0.319279
166,3044732240,0.492074,-0.425932,-0.667310,-0.362139,-0.216244,0.719657,0.314138
167,3044765574,0.492048,-0.426367,-0.667053,-0.362137,-0.339054,0.345659,0.235811
168,3044798908,0.492136,-0.426752,-0.666543,-0.362502,-0.153352,0.093494,0.166503
169,3044832242,0.492431,-0.426728,-0.666325,-0.362531,-0.072728,0.003499,0.093350
170,3044865576,0.492480,-0.426765,-0.666332,-0.362407,-0.006220,-0.142205,0.034272
171,3044898910,0.492368,-0.426998,-0.666336,-0.362277,0.059240,-0.069709,0.037109
172,3044932244,0.492332,-0.427177,-0.666373,-0.362048,0.168149,0.049964,0.156918
173,3044965578,0.492139,-0.427597,-0.666297,-0.361955,0.137519,0.007448,0.103206
174,3044998912,0.491892,-0.428240,-0.666005,-0.362066,0.125095,-0.007915,0.134861
175,3045032246,0.491679,-0.428923,-0.665602,-0.362289,0.054739,0.020223,0.195110
176,3045065580,0.491575,-0.429488,-0.665173,-0.362548,0.058567,-0.001616,0.179905
177,3045098914,0.491572,-0.429999,-0.664616,-0.362968,0.083048,-0.007856,0.127304
178,3045132248,0.491544,-0.430590,-0.663970,-0.363487,0.023290,-0.030449,0.138448
179,3045165582,0.491552,-0.431196,-0.663237,-0.364095,0.051454,-0.038923,0.138256
180,3045198916,0.491631,-0.431749,-0.662418,-0.364824,0.037149,-0.043223,0.102094
181,3045232250,0.491877,-0.432105,-0.661687,-0.365395,0.124532,-0.086365,0.081647
182,3045265584,0.491960,-0.432604,-0.660960,-0.366009,0.283311,-0.215515,0.059645
183,3045298918,0.491800,-0.433190,-0.660180,-0.366940,0.103260,-0.273629,0.024171
184,3045332252,0.492031,-0.432982,-0.659967,-0.367258,-0.009797,-0.150838,0.064754
185,3045365586,0.492416,-0.432223,-0.660555,-0.366576,0.037365,-0.090423,0.085221
