sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:22:32_343 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,596281495,-0.681434,-0.423794,-0.371999,0.466544,-0.053410,-0.315223,0.064092
2,596314829,-0.683860,-0.422090,-0.366829,0.468628,-0.250713,0.187195,0.177518
3,596348163,-0.685837,-0.422451,-0.358865,0.471571,0.120896,0.552760,0.009261
4,596381497,-0.687687,-0.423903,-0.349965,0.474254,0.263518,0.894883,-0.095327
5,596414831,-0.689855,-0.425415,-0.341757,0.475737,0.222124,0.976766,-0.080402
6,596448165,-0.693367,-0.426056,-0.335107,0.474786,0.139643,0.504710,-0.035627
7,596481499,-0.697532,-0.426066,-0.329681,0.472471,-0.096093,0.057462,0.010995
8,596514833,-0.701460,-0.425691,-0.324577,0.470522,-0.336534,-0.482699,0.241076
9,596548167,-0.704901,-0.425272,-0.318140,0.470155,-0.311548,-0.651086,0.284620
10,596581501,-0.707602,-0.426197,-0.308401,0.471747,-0.186431,-1.389514,0.955756
11,596614835,-0.711307,-0.426243,-0.295506,0.474379,0.191880,-1.601420,1.177877
12,596648169,-0.716152,-0.425013,-0.279029,0.478155,0.332225,-1.827674,1.294707
13,596681503,-0.721606,-0.423443,-0.257711,0.483287,0.366623,-1.920386,1.287208
14,596714837,-0.726172,-0.423259,-0.231081,0.490030,0.437948,-1.237740,0.457800
15,596748171,-0.727582,-0.427817,-0.198471,0.498203,0.680817,-0.493256,-0.645842
16,596781505,-0.725587,-0.437723,-0.162431,0.505507,1.234508,-0.283316,-1.236022
17,596814839,-0.724356,-0.446522,-0.131387,0.508591,1.249313,-0.369612,-1.567062
18,596848173,-0.727609,-0.449694,-0.109579,0.506313,1.073502,-0.772079,-1.616120
19,596881507,-0.736062,-0.446231,-0.096752,0.499730,0.323848,-1.596891,-1.326395
20,596914841,-0.749253,-0.435553,-0.089537,0.490813,0.062026,-2.320497,-0.692670
21,596948175,-0.766267,-0.416607,-0.085678,0.481594,-0.775321,-2.787283,-0.570596
22,596981509,-0.780579,-0.397561,-0.078271,0.475936,-1.154534,-2.541260,-0.433016
23,597014843,-0.789772,-0.382743,-0.064795,0.474943,-1.080894,-1.930605,-0.055470
24,597048177,-0.796567,-0.368114,-0.047388,0.477208,-0.451459,-1.172235,0.198970
25,597081511,-0.803430,-0.349057,-0.029483,0.481447,-0.687457,-0.709465,0.161557
26,597114845,-0.809321,-0.327964,-0.010760,0.487159,-0.854157,0.461090,-0.083876
27,597148179,-0.811436,-0.311529,0.012820,0.494326,-0.754672,1.758438,-0.653262
28,597181513,-0.809693,-0.301263,0.041093,0.501946,-0.300423,3.275463,-1.841193
29,597214847,-0.805693,-0.296823,0.069216,0.507902,0.677552,3.955625,-2.681726
30,597248181,-0.803099,-0.293015,0.086777,0.511512,0.464918,3.753330,-3.355731
31,597281515,-0.804236,-0.289833,0.090222,0.510942,0.323938,3.968448,-3.555112
32,597314849,-0.809963,-0.285800,0.078739,0.506043,-1.577833,4.342619,-3.491314
33,597348183,-0.813624,-0.289229,0.066311,0.499967,-0.676904,4.841534,-1.549266
34,597381517,-0.814227,-0.298849,0.054648,0.494711,-1.269779,4.324420,-0.504504
35,597414851,-0.812644,-0.312278,0.045470,0.489924,-0.986064,3.421285,-0.085748
36,597448185,-0.809638,-0.326074,0.036293,0.486668,-0.255234,1.909723,-0.410745
37,597481519,-0.804194,-0.343211,0.026447,0.484541,-0.772248,-0.146271,0.355594
38,597514853,-0.797899,-0.361993,0.016251,0.481720,-0.500884,-1.777865,1.230355
39,597548187,-0.794212,-0.375377,0.004948,0.477803,-0.245181,-4.159279,2.243896
40,597581521,-0.794942,-0.378614,-0.007843,0.473981,-0.228197,-6.188818,2.950715
41,597614855,-0.798153,-0.374619,-0.016691,0.471524,-0.440049,-7.574327,3.255074
42,597648189,-0.802361,-0.365632,-0.017861,0.471394,0.251587,-7.174007,3.624720
43,597681523,-0.807471,-0.351409,-0.012031,0.473664,0.268741,-5.623991,3.029323
44,597714857,-0.812372,-0.333985,0.000378,0.478023,0.645031,-3.540668,2.103666
45,597748191,-0.816164,-0.314612,0.015062,0.484426,0.676996,-1.195353,0.746576
46,597781525,-0.817948,-0.296335,0.029713,0.492204,0.868087,0.613050,-0.772362
47,597814859,-0.818047,-0.281496,0.043263,0.499687,1.014462,2.178058,-2.074121
48,597848193,-0.817818,-0.268471,0.052618,0.506289,0.726587,3.656984,-2.887228
49,597881527,-0.816858,-0.258655,0.056609,0.512480,0.991769,5.221705,-2.595181
50,597914861,-0.816106,-0.255820,0.056442,0.515114,-0.117564,5.535328,-2.902467
51,597948195,-0.815307,-0.262764,0.056540,0.512868,0.574200,6.002939,-2.258206
52,597981529,-0.816460,-0.271659,0.049978,0.507047,0.109644,5.501171,-2.530150
53,598014863,-0.818592,-0.281915,0.035970,0.499137,-0.150872,4.008288,-2.683969
54,598048197,-0.819526,-0.295472,0.015377,0.490751,-0.592575,2.500198,-2.225878
55,598081531,-0.817935,-0.313844,-0.010145,0.482061,-0.964460,1.211227,-0.926956
56,598114865,-0.813394,-0.337288,-0.036874,0.472512,-0.894851,-0.349091,0.731332
57,598148199,-0.808911,-0.359159,-0.064768,0.460950,-0.267234,-1.950057,2.541078
58,598181533,-0.807573,-0.372581,-0.094190,0.447369,-0.099706,-4.005062,3.350504
59,598214867,-0.811098,-0.375012,-0.122718,0.431772,-0.068418,-6.345492,3.934730
60,598248201,-0.818613,-0.367023,-0.146389,0.416819,0.053369,-7.646554,3.365925
61,598281535,-0.825325,-0.355248,-0.160502,0.408506,-0.158202,-7.886758,2.860197
62,598314869,-0.827692,-0.346738,-0.161572,0.410601,0.491986,-6.493327,2.505905
63,598348203,-0.827002,-0.340743,-0.151707,0.420651,1.240775,-4.407035,2.373676
64,598381537,-0.825879,-0.332956,-0.136252,0.434167,1.010518,-2.250352,1.919056
65,598414871,-0.824036,-0.325456,-0.116248,0.448920,0.866607,-0.318400,1.050950
66,598448205,-0.821621,-0.318773,-0.094206,0.463086,0.435073,1.645556,-0.406363
67,598481539,-0.819590,-0.309692,-0.075093,0.476156,0.183467,3.369483,-2.122034
68,598514873,-0.817047,-0.299890,-0.063408,0.488344,-0.036387,3.823165,-2.820437
69,598548207,-0.812267,-0.297077,-0.055973,0.498834,-0.033168,4.435754,-3.329925
70,598581541,-0.806704,-0.297658,-0.053806,0.507676,0.155840,4.894123,-3.747600
71,598614875,-0.800176,-0.301383,-0.057143,0.515385,-0.284621,5.455370,-3.928517
72,598648209,-0.790600,-0.312903,-0.064026,0.522441,-0.696854,5.616012,-3.928278
73,598681543,-0.775585,-0.335574,-0.072057,0.529780,0.354272,4.789931,-3.308665
74,598714877,-0.757462,-0.362534,-0.089288,0.535582,0.251210,4.551760,-2.171758
75,598748211,-0.739763,-0.384979,-0.119740,0.538706,0.336819,4.177324,-0.143226
76,598781545,-0.721959,-0.404221,-0.156465,0.539351,-0.001186,1.877939,2.356653
77,598814879,-0.703653,-0.424479,-0.188421,0.537762,-0.231682,-1.624266,4.613887
78,598848213,-0.690565,-0.439006,-0.212681,0.534004,0.251199,-3.897228,4.658640
79,598881547,-0.682194,-0.449264,-0.228073,0.529865,-0.593281,-6.118364,4.018007
80,598914881,-0.677791,-0.456156,-0.235336,0.526440,-0.607118,-7.105407,3.336577
81,598948215,-0.678491,-0.455646,-0.239213,0.524227,-1.184486,-7.149222,3.292416
82,598981549,-0.680760,-0.450443,-0.237783,0.526429,-1.513316,-6.547007,3.170068
83,599014883,-0.681467,-0.445109,-0.226563,0.534930,-0.776530,-5.370225,2.908576
84,599048217,-0.682455,-0.438706,-0.207664,0.546505,-0.141851,-3.543556,2.661901
85,599081551,-0.685385,-0.430195,-0.184547,0.557783,0.307310,-1.200151,2.449867
86,599114885,-0.691148,-0.418838,-0.161100,0.566513,0.455466,0.704273,1.318328
87,599148219,-0.698810,-0.406746,-0.138676,0.571832,0.002255,2.001436,0.017758
88,599181553,-0.707753,-0.394977,-0.120044,0.573296,0.239534,2.861883,-1.105405
89,599214887,-0.716052,-0.384552,-0.106256,0.572800,-0.187336,3.372333,-2.418567
90,599248221,-0.720838,-0.378461,-0.095700,0.572715,0.228737,3.772163,-3.617160
91,599281555,-0.722323,-0.375186,-0.090934,0.573775,0.616699,3.505937,-4.073375
92,599314889,-0.720029,-0.375806,-0.090852,0.576259,0.563640,3.754000,-3.700769
93,599348223,-0.713702,-0.381277,-0.093207,0.580147,0.696701,4.875597,-3.762966
94,599381557,-0.703667,-0.391639,-0.099205,0.584491,0.789396,4.817986,-3.648118
95,599414891,-0.689691,-0.408596,-0.109437,0.587707,0.634859,4.312413,-2.612614
96,599448225,-0.675211,-0.428853,-0.126535,0.586656,0.663581,3.423669,-0.186725
97,599481559,-0.661194,-0.450758,-0.145740,0.581722,0.144236,2.191850,1.716438
98,599514893,-0.650175,-0.469490,-0.165401,0.574016,-0.034783,-0.114006,2.779398
99,599548227,-0.644230,-0.482340,-0.186073,0.563642,0.012490,-3.828246,3.586056
100,599581561,-0.647070,-0.485097,-0.211362,0.548915,-0.950709,-6.085773,4.449450
101,599614895,-0.658642,-0.476849,-0.235075,0.532491,-0.996605,-8.204458,5.568899
102,599648229,-0.670253,-0.466723,-0.242059,0.523773,-3.066908,-8.159031,5.590204
103,599681563,-0.675031,-0.463816,-0.225884,0.527433,-2.227150,-6.473062,5.033549
104,599714897,-0.680006,-0.459055,-0.201677,0.534966,-0.943367,-3.870497,4.746117
105,599748231,-0.688888,-0.448364,-0.176239,0.541612,-0.367433,-1.995890,3.710319
106,599781565,-0.700615,-0.434054,-0.149335,0.546292,-0.021372,0.062144,2.356422
107,599814899,-0.714714,-0.415101,-0.124820,0.548904,0.502143,1.697466,0.524475
108,599848233,-0.727893,-0.395379,-0.103969,0.550488,0.606633,2.532993,-1.421056
109,599881567,-0.738690,-0.378579,-0.085677,0.551066,0.690235,3.046881,-2.818014
110,599914901,-0.748367,-0.363538,-0.071524,0.550157,0.814417,3.554918,-3.618121
111,599948235,-0.757294,-0.349329,-0.061465,0.548359,0.712287,4.228772,-4.413641
112,599981569,-0.764995,-0.336245,-0.055949,0.546436,0.861665,5.425258,-5.164547
113,600014903,-0.767988,-0.335227,-0.053575,0.543091,-0.093928,4.873920,-5.618795
114,600048237,-0.765071,-0.347196,-0.053632,0.539671,0.911720,5.136906,-4.846988
115,600081571,-0.760674,-0.363054,-0.061386,0.534601,1.244513,4.481903,-2.864780
116,600114905,-0.755466,-0.380173,-0.077014,0.528024,0.631926,3.572615,0.118984
117,600148239,-0.750360,-0.397005,-0.097310,0.519497,0.269859,1.977694,2.387031
118,600181573,-0.745906,-0.413109,-0.115623,0.509508,-0.254720,-0.236377,3.860045
119,600214907,-0.739814,-0.432035,-0.125759,0.500206,-0.016738,-2.762918,4.430260
120,600248241,-0.737632,-0.444897,-0.134536,0.489761,-0.672133,-4.498959,4.761384
121,600281575,-0.739043,-0.451205,-0.138721,0.480611,-1.195547,-6.378136,3.750721
122,600314909,-0.741037,-0.454289,-0.135584,0.475503,-1.376187,-7.174568,3.454395
123,600348243,-0.744803,-0.451699,-0.126410,0.474614,-1.296855,-6.933101,3.119977
124,600381577,-0.749357,-0.444475,-0.110613,0.478196,-0.832700,-5.998507,2.935554
125,600414911,-0.754599,-0.432708,-0.092009,0.484643,-0.722756,-4.036034,2.648456
126,600448245,-0.760907,-0.417392,-0.071047,0.491688,-0.094546,-1.790768,2.434779
127,600481579,-0.767024,-0.400868,-0.046884,0.498780,0.009236,0.025044,1.497656
128,600514913,-0.771837,-0.385864,-0.020246,0.504943,0.288748,1.448152,0.184862
129,600548247,-0.776060,-0.372315,0.004761,0.509009,0.427442,2.179276,-1.286131
130,600581581,-0.780145,-0.360605,0.024982,0.510602,0.651187,2.742649,-2.454607
131,600614915,-0.784756,-0.349042,0.038534,0.510728,0.859108,3.328225,-3.514576
132,600648249,-0.791459,-0.335578,0.040249,0.509276,0.130488,3.176020,-3.814094
133,600681583,-0.796005,-0.330148,0.036657,0.505999,0.633745,3.980434,-3.823500
134,600714917,-0.799274,-0.327810,0.027895,0.502916,0.540017,4.022268,-3.194180
135,600748251,-0.801143,-0.327953,0.016321,0.500350,0.218712,3.314274,-2.189151
136,600781585,-0.801000,-0.333452,0.005807,0.497167,0.191068,2.766383,-1.392359
137,600814919,-0.799270,-0.343338,-0.002661,0.493234,0.344078,2.033677,-0.868950
138,600848253,-0.797398,-0.354620,-0.010578,0.488150,0.294912,1.041213,0.061233
139,600881587,-0.796473,-0.364849,-0.019516,0.481805,0.290108,-0.256442,0.975362
140,600914921,-0.797017,-0.372062,-0.029499,0.474830,-0.045864,-1.675705,1.912746
141,600948255,-0.797447,-0.378206,-0.035711,0.468790,-0.037016,-3.406363,2.865108
142,600981589,-0.800183,-0.378623,-0.039307,0.463474,-0.268369,-4.409635,3.613192
143,601014923,-0.805740,-0.372391,-0.038210,0.458964,-0.429955,-4.893031,3.353717
144,601048257,-0.812362,-0.362329,-0.030595,0.455907,-0.487643,-5.035311,2.952188
145,601081591,-0.819930,-0.347868,-0.018950,0.454252,-0.482686,-4.136673,2.705975
146,601114925,-0.827354,-0.330561,-0.004144,0.454092,-0.721165,-2.773405,2.164479
147,601148259,-0.832999,-0.313722,0.016428,0.455436,-0.215835,-1.443883,1.560877
148,601181593,-0.838210,-0.295799,0.039301,0.456469,-0.082732,-0.160056,0.428723
149,601214927,-0.843460,-0.276671,0.061569,0.456332,0.022624,0.806366,-0.943500
150,601248261,-0.847616,-0.259374,0.082264,0.455528,0.207023,1.530975,-2.161077
151,601281595,-0.850921,-0.243518,0.099044,0.454778,0.392677,2.033717,-3.159293
152,601314929,-0.854121,-0.227843,0.110045,0.454374,0.630720,2.355288,-3.866939
153,601348263,-0.858258,-0.211374,0.112986,0.453815,0.384814,2.231308,-4.535982
154,601381597,-0.862170,-0.199046,0.112315,0.452138,0.514431,2.184659,-4.940311
155,601414931,-0.865916,-0.190490,0.108241,0.449652,0.380113,1.844347,-5.014956
156,601448265,-0.869797,-0.185656,0.100797,0.445899,0.389357,1.793931,-4.500747
