sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:18:00_652 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,324609395,0.354642,0.464224,0.108001,-0.804402,-0.414056,0.229738,0.045239
2,324642729,0.354372,0.465108,0.104265,-0.804503,-0.073337,0.424398,-0.153091
3,324676063,0.353273,0.465942,0.097275,-0.805379,0.083235,0.144308,0.168432
4,324709397,0.349732,0.467737,0.086843,-0.807074,-0.120341,0.325713,0.302397
5,324742731,0.342300,0.470238,0.071863,-0.810274,-0.203943,0.281368,-0.034039
6,324776065,0.332915,0.472480,0.057921,-0.813988,0.730364,-0.637079,-0.338705
7,324809399,0.328024,0.472620,0.052711,-0.816243,-0.309233,-0.427008,0.105418
8,324842733,0.325546,0.471337,0.049513,-0.818175,-0.493043,0.049191,-0.167992
9,324876067,0.326216,0.469885,0.050174,-0.818703,0.795137,-0.131897,-0.290984
10,324909401,0.328283,0.467239,0.052798,-0.819226,-0.828188,0.591287,0.259604
11,324942735,0.329913,0.465485,0.053276,-0.819539,-0.032699,-0.075837,0.004190
12,324976069,0.331487,0.464220,0.053954,-0.819577,-0.408249,0.336163,0.096792
13,325009403,0.332470,0.463442,0.053314,-0.819660,-0.000449,-0.361234,0.039259
14,325042737,0.334137,0.462903,0.053174,-0.819296,-0.363676,0.230349,-0.005915
15,325076071,0.335064,0.462916,0.052034,-0.818983,-0.270325,0.205717,0.029304
16,325109405,0.335790,0.463232,0.050126,-0.818626,-0.202828,0.052634,0.022207
17,325142739,0.337685,0.463219,0.049269,-0.817906,0.020776,0.178476,-0.205809
18,325176073,0.339705,0.462703,0.048951,-0.817380,-0.354861,0.144518,-0.114902
19,325209407,0.340983,0.461543,0.048410,-0.817537,-0.083120,0.068914,-0.059220
20,325242741,0.341435,0.460123,0.048725,-0.818129,-0.201348,0.059228,-0.255331
21,325276075,0.340138,0.458803,0.048744,-0.819409,-0.521248,-0.155341,-0.249001
22,325309409,0.338898,0.457706,0.051194,-0.820386,-0.277496,-0.372067,-0.195459
23,325342743,0.337274,0.456829,0.055396,-0.821271,-0.774312,-0.183838,-0.005195
24,325376077,0.333390,0.455956,0.059554,-0.823049,-1.233791,-0.074186,-0.010291
25,325409411,0.326265,0.455686,0.062556,-0.825826,-1.081222,-0.085493,-0.035379
26,325442745,0.316535,0.456153,0.065044,-0.829156,-0.188285,-0.111851,0.047357
27,325476079,0.304483,0.458059,0.067777,-0.832394,-1.599024,0.270251,0.268584
28,325509413,0.291636,0.461736,0.069789,-0.834793,-0.777177,0.363933,-0.155014
29,325542747,0.282677,0.466049,0.073960,-0.835118,-0.510455,0.044915,0.020319
30,325576081,0.276894,0.470184,0.079627,-0.834217,-1.029285,-0.034252,0.001214
31,325609415,0.273187,0.473638,0.086249,-0.832825,-0.717757,0.625120,-0.079289
32,325642749,0.269000,0.477515,0.092442,-0.831308,0.352771,0.014414,-0.345678
33,325676083,0.266275,0.481138,0.102461,-0.828919,0.342172,-0.111740,-0.067514
34,325709417,0.262154,0.484241,0.113000,-0.827054,-0.425158,0.235706,0.362631
35,325742751,0.255441,0.487416,0.119264,-0.826409,0.429097,0.440634,0.111182
36,325776085,0.247859,0.489717,0.123506,-0.826735,0.654839,-0.202872,-0.251625
