SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
596281495,-0.150615,-0.06063,0.132051,-0.05341,-0.315223,0.064092,0
596314829,-0.081493,0.095454,0.069499,-0.250713,0.187195,0.177518,0
596348163,0.133925,0.004854,0.070601,0.120896,0.55276,0.009261,0
596381497,0.280879,0.040231,0.049653,0.263518,0.894883,-0.095327,0
596414831,0.236062,0.096406,-0.014205,0.222124,0.976766,-0.080402,0
596448165,0.216542,0.130644,0.014228,0.139643,0.50471,-0.035627,0
596481499,0.205515,0.021828,0.073386,-0.096093,0.057462,0.010995,0
596514833,0.552777,-0.139729,0.263189,-0.336534,-0.482699,0.241076,0
596548167,-0.156041,0.22227,0.258356,-0.311548,-0.651086,0.28462,0
596581501,-0.313886,-0.274493,0.002543,-0.186431,-1.389514,0.955756,0
596614835,-0.06814,0.355555,0.189281,0.19188,-1.60142,1.177877,0
596648169,-0.655315,-0.215597,-0.045692,0.332225,-1.827674,1.294707,0
596681503,0.160017,-0.039155,0.097662,0.366623,-1.920386,1.287208,0
596714837,-0.734662,-0.398515,0.35876,0.437948,-1.23774,0.4578,0
596748171,-1.391655,-0.193229,0.536796,0.680817,-0.493256,-0.645842,0
596781505,-1.344776,-0.020641,0.161291,1.234508,-0.283316,-1.236022,0
596814839,0.393322,0.630289,-0.21886,1.249313,-0.369612,-1.567062,0
596848173,0.971,-0.23956,0.128513,1.073502,-0.772079,-1.61612,0
596881507,-0.035119,-0.930776,0.222947,0.323848,-1.596891,-1.326395,0
596914841,-0.364729,-0.116564,0.032808,0.062026,-2.320497,-0.69267,0
596948175,0.254025,0.958994,-0.19538,-0.775321,-2.787283,-0.570596,0
596981509,1.113689,0.810464,0.047896,-1.154534,-2.54126,-0.433016,0
597014843,0.264082,-0.387908,0.437058,-1.080894,-1.930605,-0.05547,0
597048177,1.144543,0.694225,0.21692,-0.451459,-1.172235,0.19897,0
597081511,1.021597,0.264645,-0.419875,-0.687457,-0.709465,0.161557,0
597114845,0.225156,-0.843418,0.186909,-0.854157,0.46109,-0.083876,0
597148179,0.304063,0.967884,-0.107455,-0.754672,1.758438,-0.653262,0
597181513,-0.23465,0.655043,0.114682,-0.300423,3.275463,-1.841193,0
597214847,0.385201,-1.765288,0.417231,0.677552,3.955625,-2.681726,0
597248181,-0.024625,-0.929316,-0.052869,0.464918,3.75333,-3.355731,0
597281515,-0.937696,-0.476806,-0.427085,0.323938,3.968448,-3.555112,0
597314849,-1.303051,0.052542,-0.754948,-1.577833,4.342619,-3.491314,0
597348183,-1.788111,1.167787,-0.253707,-0.676904,4.841534,-1.549266,0
597381517,-1.518755,1.089232,0.378551,-1.269779,4.32442,-0.504504,0
597414851,0.19595,0.094766,-0.176999,-0.986064,3.421285,-0.085748,0
597448185,1.061775,-0.294448,-0.735772,-0.255234,1.909723,-0.410745,0
597481519,0.625697,-0.285451,0.524719,-0.772248,-0.146271,0.355594,0
597514853,0.496445,-0.288251,-0.298562,-0.500884,-1.777865,1.230355,0
597548187,-0.162436,-0.223196,-0.278609,-0.245181,-4.159279,2.243896,0
597581521,-0.354346,0.165,0.18715,-0.228197,-6.188818,2.950715,0
597614855,0.490594,-0.117265,-0.023456,-0.440049,-7.574327,3.255074,0
597648189,0.338308,-0.198524,0.058787,0.251587,-7.174007,3.62472,0
597681523,0.507612,0.231666,-0.444334,0.268741,-5.623991,3.029323,0
597714857,0.727578,-0.121901,0.266064,0.645031,-3.540668,2.103666,0
597748191,1.37498,-1.209865,1.009185,0.676996,-1.195353,0.746576,0
597781525,1.167221,-1.056131,0.274399,0.868087,0.61305,-0.772362,0
597814859,0.106422,-0.243426,-0.195372,1.014462,2.178058,-2.074121,0
597848193,0.046847,0.411582,0.292824,0.726587,3.656984,-2.887228,0
597881527,-0.213318,0.290167,-0.223319,0.991769,5.221705,-2.595181,0
597914861,-0.160171,0.083866,-0.180224,-0.117564,5.535328,-2.902467,0
597948195,0.190204,-0.042599,0.235099,0.5742,6.002939,-2.258206,0
597981529,-0.45768,0.176216,-0.014075,0.109644,5.501171,-2.53015,0
598014863,-0.627484,0.212415,-0.721109,-0.150872,4.008288,-2.683969,0
598048197,-0.209272,0.082371,0.154079,-0.592575,2.500198,-2.225878,0
598081531,-0.131932,0.068921,-0.261912,-0.96446,1.211227,-0.926956,0
598114865,-0.18729,-0.206394,-0.478501,-0.894851,-0.349091,0.731332,0
598148199,0.349272,-0.250562,0.369473,-0.267234,-1.950057,2.541078,0
598181533,0.015062,0.170806,-0.279938,-0.099706,-4.005062,3.350504,0
598214867,0.089144,0.07359,0.397392,-0.068418,-6.345492,3.93473,0
598248201,-0.075624,0.553521,0.089175,0.053369,-7.646554,3.365925,0
598281535,0.286038,-0.111559,-0.057827,-0.158202,-7.886758,2.860197,0
598314869,0.451691,-0.710081,0.29959,0.491986,-6.493327,2.505905,0
598348203,1.364832,-1.055191,0.626645,1.240775,-4.407035,2.373676,0
598381537,0.931061,-1.547724,0.175223,1.010518,-2.250352,1.919056,0
598414871,0.209355,-0.840708,-0.133946,0.866607,-0.3184,1.05095,0
598448205,0.384911,-0.023937,0.520013,0.435073,1.645556,-0.406363,0
598481539,0.185067,0.354347,0.300189,0.183467,3.369483,-2.122034,0
598514873,-0.203461,0.420607,-0.616561,-0.036387,3.823165,-2.820437,0
598548207,-0.308064,0.412303,0.321802,-0.033168,4.435754,-3.329925,0
