SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
2277183556,0.555461,0.112342,0.32472,0.028115,-0.846751,0.479028,0
2277216890,0.72093,0.160868,0.330265,0.078164,-0.912791,0.569902,0
2277250224,0.868956,0.355318,0.260764,0.082296,-1.006617,0.528929,0
2277283558,0.969255,0.402163,0.449336,-0.045903,-1.187382,0.414113,0
2277316892,0.601779,-0.0372,0.133867,-0.12739,-1.081643,0.148019,0
2277350226,0.398306,0.002755,0.217613,-0.046122,-0.920595,-0.193138,0
2277383560,-0.317974,0.334756,-0.05516,-0.092736,-0.754262,-0.598735,0
2277416894,0.322304,-0.342461,0.264579,-0.004946,-0.947215,-1.145033,0
2277450228,0.007457,0.655954,-0.03975,-0.104729,-1.036433,-1.195865,0
2277483562,-0.453444,1.291965,-0.149014,-0.269534,-0.912673,-1.26017,0
2277516896,0.114985,2.526741,0.140404,-0.378847,-0.72632,-1.454205,0
2277550230,0.289925,1.674646,-0.299799,-0.150844,-0.468895,-0.89389,0
2277583564,-1.02736,0.014965,-0.810804,-0.076181,-0.023478,-0.579404,0
2277616898,-1.349236,-2.834097,-0.065862,-0.220885,-0.208187,-0.283412,0
2277650232,-0.957344,-2.911507,0.330329,-0.494536,-0.327614,-0.007463,0
2277683566,-0.920606,-0.563857,0.066541,-0.548158,-1.044485,-0.69172,0
2277716900,-1.362188,-0.192608,0.366347,-0.399163,-0.780388,2.180775,0
2277750234,-0.407479,0.404227,0.719672,0.390866,1.022867,1.017067,0
2277783568,-0.077557,1.582746,-0.301237,-0.142968,1.486466,0.608743,0
2277816902,-0.247775,0.366202,-0.00485,0.02442,1.208503,0.547107,0
2277850236,-0.261708,-0.141153,0.482339,-0.103369,1.098062,0.213293,0
2277883570,0.511328,0.329913,0.089415,-0.105206,0.438158,-0.96058,0
2277916904,0.910517,0.226392,-0.204453,-0.954848,-0.841054,2.117788,0
2277950238,0.793494,-0.069139,-0.10461,1.756841,-0.080009,0.419352,0
2277983572,0.161709,0.155116,-0.513824,0.944701,-0.642493,-0.17994,0
2278016906,0.202082,-0.122228,-0.03907,0.374371,-0.6726,1.243821,0
2278050240,0.321982,0.400545,0.167067,0.820185,-0.225673,0.769295,0
2278083574,-0.224718,0.721992,-0.029609,0.676155,0.011755,1.229527,0
2278116908,-0.182759,-0.695511,0.470102,1.031246,1.128703,-0.945329,0
2278150242,0.051016,-0.193516,0.417523,0.571648,1.292259,-1.451008,0
2278183576,-0.25665,-0.737866,0.272688,-0.053618,1.500133,-1.323924,0
2278216910,-0.190944,-1.671788,0.405557,-0.070187,2.515059,-2.523523,0
2278250244,0.184286,-0.835995,-0.016361,-0.125327,2.893885,-2.779555,0
2278283578,-0.137726,-0.157957,0.108879,-0.314023,3.32587,-2.108887,0
2278316912,-0.516327,1.509969,0.188297,-0.911878,2.832266,-1.740068,0
2278350246,-0.589599,1.854124,0.148822,1.544648,1.715089,-1.431395,0
2278383580,-0.239396,1.937099,-0.091815,1.044396,0.930777,-1.724171,0
2278416914,-0.346495,1.483621,-0.39184,-0.084608,-0.181884,-2.071185,0
2278450248,-0.345862,-0.927266,0.043589,-0.035516,-1.271449,-1.551534,0
2278483582,0.321848,-0.893024,0.151658,-0.79055,-1.833624,0.348302,0
2278516916,0.403484,-0.677306,-0.311316,-0.688867,-1.0384,1.76363,0
2278550250,0.145112,-0.600066,0.076451,0.141201,-1.902769,3.000983,0
2278583584,0.050053,-0.603271,-0.041417,-0.921586,-2.039145,3.098619,0
2278616918,0.350821,-0.310867,0.130347,-0.892362,-1.589762,3.025125,0
2278650252,0.18595,-0.174062,0.438452,-0.212426,-0.880689,1.44687,0
2278683586,-0.109041,0.472527,0.248137,-0.079679,-0.256161,-0.252058,0
2278716920,-0.336429,0.660456,-0.024014,-0.192345,0.926518,-0.585093,0
2278750254,0.107742,-0.278914,0.64698,0.364846,1.305689,-0.614524,0
2278783588,0.103137,-0.196116,0.068285,-0.322079,2.026694,-1.439035,0
2278816922,-0.488327,0.223988,0.002909,-0.46018,2.398514,-1.867114,0
2278850256,0.445349,-1.009843,0.692577,-0.285014,1.817485,-1.794243,0
2278883590,0.206379,0.077027,-0.455375,0.783443,1.111808,-0.872727,0
2278916924,0.205177,-0.025313,0.224568,-0.070161,0.44789,-0.510118,0
2278950258,-0.260705,0.184365,0.297586,0.294582,-0.078396,-0.853909,0
2278983592,-0.18588,-0.478514,0.068718,0.738904,-0.588297,-0.24137,0
2279016926,0.751379,-0.212431,-0.346258,0.799707,-0.291708,0.800099,0
2279050260,0.954933,-0.721591,-0.000771,1.771313,0.96936,1.743293,0
2279083594,0.874588,-1.053177,-0.303035,3.026549,-0.150227,1.458911,0
2279116928,0.513311,0.08021,-0.579245,1.96576,-1.262963,0.499194,0
2279150262,-0.735156,0.690579,0.613108,-0.455694,-2.696653,0.370341,0
2279183596,-1.299652,0.306155,0.375977,-2.190839,-3.311841,0.602708,0
2279216930,-0.132826,0.830075,0.267871,-1.973206,-2.361284,-0.22919,0
2279250264,-0.293192,1.671727,-0.131401,-2.935343,-0.590896,-0.476223,0
2279283598,0.254436,1.536156,-0.060246,-5.485203,0.311321,0.040062,0
2279316932,0.589529,1.026131,0.193453,-4.437411,0.517783,0.844911,0
2279350266,0.19998,0.536179,-0.105305,-2.369497,0.124897,0.553239,0
2279383600,0.234232,0.326932,-0.147935,-1.311069,0.275631,1.517444,0
2279416934,0.455845,-0.54706,0.185348,-3.61226,0.721521,1.59954,0
2279450268,0.686891,-0.247302,-0.194465,-3.283674,1.299423,1.71715,0
2279483602,1.34122,-0.439134,-0.283896,-1.337032,1.722508,1.297642,0
2279516936,1.144964,-0.654012,-0.420681,-0.164985,2.105541,0.682191,0
2279550270,1.104605,0.187019,-0.468934,0.266114,1.517303,0.592678,0
2279583604,0.174057,-0.372159,0.029177,0.19312,1.866219,0.307383,0
2279616938,-0.639947,0.176881,0.469222,0.054158,2.258941,-0.719474,0
2279650272,-0.081069,-0.480916,0.27763,1.443748,1.459665,-1.313912,0
2279683606,0.012867,0.685341,0.158029,2.736544,1.110709,-2.420299,0
2279716940,-0.844376,0.415444,0.452138,2.350976,0.886027,-1.468951,0
2279750274,-1.319459,0.073549,1.452476,3.556354,-0.668949,-2.228093,0
2279783608,-0.909348,1.015133,0.527478,3.136528,-2.384742,-3.24125,0
2279816942,0.083098,0.892494,-0.584254,3.416698,-2.418305,3.077053,0
2279850276,-0.727864,0.182229,0.391766,1.218454,-0.11224,-3.805352,0
2279883610,-0.580278,-0.59273,1.432402,3.345362,3.387327,0.411167,0
2279916944,-0.076757,-0.299465,0.526682,4.667204,-2.723737,0.674908,0
2279950278,-0.116911,0.636532,-0.378048,4.708192,-7.029546,-0.301609,0
2279983612,-0.222788,1.50606,-0.19805,4.380421,-4.4553,-1.941627,0
2280016946,-0.006045,0.72481,0.187674,2.121587,-0.981467,-0.928815,0
2280050280,0.114849,1.236754,1.0529,2.803381,-0.029883,0.884733,0
2280083614,-1.098534,-0.315295,0.825364,3.09069,-1.905588,1.047312,0
2280116948,-0.545337,0.487387,0.343607,2.606076,-3.073638,0.961946,0
2280150282,-0.605289,0.452471,0.972493,1.358877,-0.365007,1.652405,0
2280183616,-0.419511,0.457899,0.778019,1.021029,-0.064123,3.000794,0
2280216950,0.122415,-0.119622,-0.001435,-1.281801,2.723492,2.764373,0
2280250284,0.366042,-0.080131,0.381149,0.158177,2.741707,0.998042,0
2280283618,0.559275,-0.391965,0.451277,0.828884,3.256122,0.208486,0
2280316952,0.239737,-0.459361,1.142454,1.021505,2.049911,2.203718,0
2280350286,-0.047594,0.710327,0.691447,1.258954,0.615302,1.423131,0
2280383620,-0.223172,-0.042646,0.705526,1.232963,-0.419334,1.806704,0
2280416954,-0.540886,0.050011,1.226535,-0.189084,-0.159021,1.43325,0
2280450288,-0.520808,0.331256,0.852132,-2.254419,0.677375,1.618063,0
2280483622,0.477092,0.002541,0.200663,-2.779903,1.244946,2.585413,0
2280516956,0.890013,0.134116,0.349264,-2.65589,1.300485,6.842747,0
2280550290,1.082551,0.620545,0.18509,-1.286117,3.472621,1.307311,0
2280583624,0.681069,0.491199,0.19937,-6.056223,1.258389,0.021641,0
2280616958,0.922029,-0.732329,-0.921682,-1.831309,-1.042186,0.783192,0
2280650292,-0.073965,-1.51379,-0.417013,-1.697889,-1.215898,-1.936979,0
2280683626,0.827946,-0.661748,-0.094028,-1.275819,-2.043545,-1.578898,0
