SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
1951108004,0.355898,-0.58826,0.218148,1.880314,-1.321272,0.764436,0
1951141338,-0.366488,0.245044,0.232778,1.771997,-1.148812,1.289353,0
1951174672,-0.157233,0.478789,0.310191,0.875243,-1.116341,1.253972,0
1951208006,0.861607,0.253645,0.296215,-0.051638,-1.87105,1.206992,0
1951241340,1.240149,-0.800166,0.080039,-0.498952,-1.527746,1.586915,0
1951274674,0.828636,-1.63348,0.427444,-0.842443,-1.305028,1.499947,0
1951308008,0.611835,-1.009283,0.202728,-1.67388,-1.276009,1.353901,0
1951341342,0.396426,-0.356312,0.274844,-1.743534,-0.592265,0.321128,0
1951374676,0.113295,0.191396,0.300858,-1.76729,-0.37196,0.092572,0
1951408010,-0.349436,0.583877,0.059184,-1.919786,-0.523106,-0.781231,0
1951441344,-1.914278,1.662064,0.338203,-1.993167,-0.094634,-1.41826,0
1951474678,-2.988521,3.619198,0.876306,-1.675916,0.319102,-1.654122,0
1951508012,-3.168354,2.482803,1.527179,-2.071771,1.071623,-2.321504,0
1951541346,-2.175364,1.898882,3.962229,0.051151,1.651284,-2.977726,0
1951574680,-0.428356,-3.054169,1.089914,0.240841,1.712034,-2.589149,0
1951608014,3.767742,-4.031408,-4.248632,-0.669354,1.473733,-2.817449,0
1951641348,4.695678,-4.473956,-2.410816,-0.70541,1.447063,-2.860811,0
1951674682,2.721121,-1.418875,-3.24467,-0.875172,1.149282,-2.348349,0
1951708016,-0.97922,4.006192,-2.086392,-0.593424,0.143706,-2.305246,0
1951741350,-5.35617,5.300548,1.840865,-0.209926,0.426922,-1.630398,0
1951774684,1.479605,-4.093487,-1.177723,-0.617871,0.629749,-1.263096,0
1951808018,-1.930177,2.531396,-0.065319,-1.30145,0.500822,-1.893041,0
1951841352,1.825769,-0.288255,0.892221,-0.60849,0.135192,-1.387399,0
1951874686,-0.877936,-1.025245,-1.002015,-0.054058,0.578225,-0.921758,0
1951908020,-0.392816,-0.471896,0.198156,-0.023891,0.197873,-1.120108,0
1951941354,0.593329,-0.463732,0.146165,0.080955,-0.198029,0.087835,0
1951974688,0.927985,-0.081526,-0.244114,0.399215,0.052506,-0.095344,0
1952008022,0.451683,0.162645,-0.174874,0.662337,-0.290798,1.133425,0
1952041356,-0.471607,-0.52066,-0.18497,0.468369,0.929877,1.329374,0
1952074690,0.476947,-0.245076,0.138329,0.170303,-0.714492,0.9109,0
1952108024,-0.216066,0.524644,-0.26443,-0.6931,-1.151537,1.591742,0
1952141358,-0.571774,0.028167,-0.835913,-0.791246,-0.360667,-0.464272,0
1952174692,0.092214,0.521648,-0.108319,-0.850168,-1.309238,-1.363131,0
1952208026,1.369441,0.203415,0.037012,-0.785007,0.189174,-1.574033,0
1952241360,1.53391,0.781217,-0.08591,-1.055408,0.977352,-2.387584,0
1952274694,2.2356,0.813292,0.097622,-1.082142,0.287125,-2.281172,0
1952308028,1.693713,-0.206516,-0.436341,-1.781407,0.24972,-0.834848,0
1952341362,-1.139127,-0.641565,0.083961,-0.250745,1.901022,-1.393641,0
1952374696,-3.694337,-1.380482,0.256372,0.346675,0.411154,2.572621,0
1952408030,-3.400762,-1.076101,-0.10988,1.641519,1.35231,1.394684,0
1952441364,-0.832521,-1.083918,0.1984,1.805567,0.69873,0.716853,0
1952474698,1.493847,-0.327341,0.560866,-0.258061,0.092833,0.733838,0
1952508032,0.847923,0.765896,-0.385777,-1.254756,-4.054829,-0.720769,0
1952541366,-0.160935,-0.045838,0.055382,-1.464865,-0.290303,0.288208,0
1952574700,0.012131,0.205526,0.326962,-0.964902,0.236717,-0.155159,0
1952608034,0.904798,0.088062,0.587391,-1.060351,0.271358,-1.081993,0
