SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
2547819938,-0.067534,0.386188,0.149065,0.045287,-0.246646,-0.005507,0
2547853272,-0.062777,-0.025211,0.321842,-0.165516,-0.28526,0.064039,0
2547886606,0.109375,-0.142719,-0.039942,-0.267744,-0.222414,0.083449,0
2547919940,-0.349939,-0.045076,-0.003676,-0.384216,-0.146301,0.167038,0
2547953274,-0.00757,0.148256,0.227727,-0.316748,0.443131,0.77948,0
2547986608,0.230045,1.111157,0.616162,-0.789518,1.428271,1.025436,0
2548019942,0.406735,1.397499,0.482271,-1.034672,1.549137,1.215108,0
2548053276,0.847394,2.561713,1.271419,-2.751127,3.759835,0.922184,0
2548086610,2.037538,3.903652,1.957058,-2.936704,6.243848,0.420749,0
2548119944,3.095847,2.009809,1.359287,-2.241515,6.360784,-0.775856,0
2548153278,0.20802,-3.822073,0.021669,-1.826934,4.853297,-1.342158,0
2548186612,-3.472074,-1.882309,0.115232,-0.815766,3.047294,-0.814592,0
2548219946,-2.011589,-2.468358,-3.155744,-0.154578,1.314211,-1.18396,0
2548253280,-1.019199,-3.36321,-4.483586,0.391828,0.325491,-1.11266,0
2548286614,-0.340076,-4.690291,-8.075151,0.359393,-0.876123,-1.555566,0
2548319948,-0.612137,1.400112,-2.917482,0.415176,-2.250314,-2.062108,0
2548353282,0.08118,0.019665,5.952577,0.865662,-3.138188,-2.650478,0
2548386616,5.098199,3.947946,3.822176,0.864365,-3.421451,-4.203695,0
2548419950,1.087275,0.754026,-0.135563,0.535826,-4.383026,-4.743291,0
2548453284,-4.121175,-1.242136,-2.840534,1.108809,-5.169873,-5.822317,0
2548486618,-1.58542,-0.277293,-2.289071,1.255652,-5.105587,-6.609057,0
2548519952,-1.555376,0.778259,0.516899,1.319254,-5.634473,-6.390428,0
2548553286,-0.811346,0.736706,3.756057,0.707479,-5.333616,-3.998048,0
2548586620,0.613623,-1.470695,1.936588,0.331994,-3.746573,-2.941424,0
2548619954,2.634358,-0.649374,-3.956963,-0.316217,-2.017261,1.21499,0
2548653288,1.669083,-0.261901,0.03373,0.017126,0.950984,5.304119,0
2548686622,0.848099,-1.243774,1.439781,-0.452646,4.432561,7.0695,0
2548719956,-0.1115,0.164239,0.621209,-1.350361,5.399078,8.570848,0
2548753290,-0.508791,-1.402408,2.804621,-0.710662,5.612085,6.047129,0
2548786624,-1.883487,-2.061862,-0.215688,-0.865164,3.400117,4.081609,0
2548819958,-0.320717,-0.412071,-1.195283,-0.722177,0.525841,1.822884,0
2548853292,-0.149715,0.142402,0.441214,0.625879,-1.684432,-0.55146,0
2548886626,0.744489,0.217799,1.078079,1.464084,-3.311276,-2.786702,0
2548919960,0.657282,0.331626,0.255447,2.360901,-4.756589,-4.042668,0
2548953294,0.215455,0.339193,-0.008699,3.042337,-4.73935,-3.790895,0
2548986628,-0.252602,0.219599,0.422936,2.849354,-4.700275,-1.99503,0
2549019962,0.361941,0.268236,0.617139,1.021295,-3.143535,-1.104261,0
2549053296,-0.313999,0.313257,-1.500701,0.834052,-1.009318,1.064491,0
2549086630,-0.328677,-0.422891,-0.326973,0.383739,0.485039,2.66625,0
2549119964,-0.033329,-0.005133,0.282476,-0.213789,2.575649,4.480797,0
2549153298,0.119141,0.016931,1.412548,-1.107108,3.668307,5.97732,0
2549186632,-0.018958,0.277072,0.445639,-0.99967,3.875911,5.857032,0
2549219966,-0.992132,-0.137056,-0.173313,-0.689471,3.452178,4.800419,0
2549253300,-1.449636,-0.364181,-0.144295,0.997378,1.95054,2.645115,0
2549286634,-0.861509,-0.392455,0.281354,1.183382,-2.849713,-0.224181,0
2549319968,-0.076186,-0.225365,0.383303,0.739874,-4.779894,-3.996118,0
2549353302,0.932085,-0.626425,1.089466,1.227745,-2.902474,-4.891873,0
2549386636,1.365396,-0.01629,-0.191676,-0.78961,0.820339,-0.271726,0
2549419970,1.607124,0.016297,0.926776,-1.430144,2.191938,2.094796,0
2549453304,0.627739,-0.420139,0.938434,-2.022314,1.108187,3.89735,0
2549486638,-0.640829,0.031809,0.13502,-2.602577,4.025316,6.084938,0
2549519972,-0.381542,0.149099,0.874475,-0.237441,3.62416,4.858266,0
2549553306,-0.56438,-0.158748,0.959557,-0.238789,1.623864,5.237528,0
2549586640,-0.606309,-0.149926,0.100498,-0.51874,-0.280014,3.901507,0
2549619974,-1.059752,-0.628147,0.115425,0.563558,-1.786868,0.043096,0
2549653308,-0.64971,-0.808992,0.772363,1.249655,-3.722077,-2.666864,0
2549686642,-0.558379,-0.995658,1.086431,0.093314,-4.198874,-5.599628,0
2549719976,-0.036171,-0.821486,0.88634,1.786253,-4.157579,-4.82746,0
2549753310,0.550658,-0.444975,0.326965,1.408682,-2.918812,-2.87396,0
2549786644,0.990386,0.233958,-0.53483,0.773865,-0.268368,0.682941,0
2549819978,0.86378,0.564025,-0.953218,0.572194,1.372763,3.06979,0
2549853312,0.433406,0.677376,0.146574,-0.517739,3.557222,4.356318,0
2549886646,-0.076461,0.455761,0.754268,-0.435629,3.792453,4.302166,0
2549919980,0.003949,0.475371,-0.133868,-1.347657,2.737743,3.915129,0
2549953314,-0.532689,0.319629,-0.892142,-1.266777,1.129791,2.885921,0
2549986648,0.119849,0.333754,-0.710157,-0.40143,-1.064378,0.844751,0
