SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
3926116534,-0.149625,-0.229615,0.071433,0.701279,-1.316141,-0.994994,0
3926149868,0.004896,-0.207448,0.083069,0.499854,-1.409303,-1.094087,0
3926183202,-0.013365,-0.117214,0.065715,0.960628,-1.55325,-1.409491,0
3926216536,0.283869,-0.047416,0.012424,0.77755,-0.296553,-0.850891,0
3926249870,0.412376,-0.049163,-0.253136,0.628509,0.475898,-0.666406,0
3926283204,0.524942,-0.150668,0.239482,-0.794757,-0.267956,-0.20483,0
3926316538,0.29898,-0.402412,0.299338,-0.707574,1.71155,0.500184,0
3926349872,0.131932,-0.585391,0.173081,-0.903604,2.312302,0.416106,0
3926383206,-0.177241,-0.299368,0.027033,-1.357503,2.606116,1.390941,0
3926416540,-0.256635,-0.071869,0.074132,-1.460944,3.645391,1.166628,0
3926449874,-0.079254,0.031556,-0.015362,-1.313569,2.707822,1.35272,0
3926483208,-0.09945,0.04513,0.055154,-1.320679,2.492437,1.367836,0
3926516542,0.183281,0.056783,0.276093,-0.819245,1.768087,1.265926,0
3926549876,0.467936,0.394307,-0.053817,-1.005396,1.063197,1.904074,0
3926583210,0.448243,0.413187,-0.380273,-0.924479,1.089887,1.482907,0
3926616544,0.509676,-0.341873,-0.440664,-1.120217,0.359329,-0.10347,0
3926649878,-0.036293,-0.634881,0.109398,-0.472251,0.483223,-0.113112,0
3926683212,-0.874704,-0.676482,-0.914268,-0.568897,-0.404271,-0.739865,0
3926716546,-0.197755,-0.322419,0.096735,-0.182459,-0.792177,-1.991255,0
3926749880,-0.365218,0.462206,-0.121817,0.844608,-2.40327,-1.457993,0
3926783214,0.178924,1.208769,0.089528,1.586615,-2.676255,-1.376997,0
3926816548,0.116283,1.374248,0.460186,2.047563,-3.206894,-0.884803,0
3926849882,-0.05203,0.269881,-0.286957,2.575063,-2.974472,-0.561747,0
3926883216,-0.051309,0.18871,0.339862,1.905685,-2.970642,-2.375739,0
3926916550,-0.284594,0.186707,0.115417,1.896584,-2.552291,-1.814751,0
3926949884,-0.363526,0.235863,0.259959,1.933917,-1.240718,-0.723212,0
3926983218,0.104186,0.128616,0.196022,1.604598,-1.668885,-0.439466,0
3927016552,-0.18045,-0.223686,-0.045724,0.785281,0.273452,0.119278,0
3927049886,-0.046007,-0.335091,0.096649,0.496103,-0.724502,-0.909705,0
3927083220,-0.061405,-0.619241,0.041484,0.110254,0.216863,0.028705,0
3927116554,-0.391939,-0.18221,-0.032078,-0.367361,1.35809,-0.260745,0
3927149888,0.175894,-0.354596,0.105448,-1.02066,1.230426,-0.32661,0
3927183222,0.289755,0.133381,-0.181299,-1.755794,4.267176,1.251582,0
3927216556,0.358448,0.165988,0.220399,-2.182769,4.637514,0.762073,0
3927249890,-0.151399,0.123723,0.514683,-3.030759,3.57714,1.205464,0
3927283224,-0.204412,0.090085,0.466604,-2.097253,4.678894,3.045219,0
3927316558,-0.269586,0.237579,0.117664,-1.725153,2.32282,1.667933,0
3927349892,-0.273714,0.194971,0.256598,-1.194832,1.368257,1.688228,0
3927383226,-0.236399,0.112466,0.185052,-0.479268,-0.212523,1.360945,0
3927416560,-0.196656,-0.209723,-0.269246,-0.137531,-1.240723,0.19244,0
