SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
1600271459,-0.026926,-0.070722,0.18231,0.025546,-0.076947,0.157298,0
1600304793,0.043829,-0.062538,0.175357,0.029999,-0.099236,0.190748,0
1600338127,0.154852,0.009611,0.205051,0.020711,-0.114182,0.155685,0
1600371461,0.107055,0.013936,0.187045,-0.030889,-0.068287,0.097713,0
1600404795,0.021776,-0.00897,0.186632,-0.032039,-0.098309,0.120231,0
1600438129,0.005983,-0.046272,0.146126,-0.01809,-0.06824,0.17639,0
1600471463,-0.065848,-0.005524,0.133546,-0.06124,-0.031528,0.190634,0
1600504797,-0.067071,-0.010168,0.196033,-0.040412,-0.026544,0.13428,0
1600538131,-0.005715,-0.032198,0.179013,-0.043973,-0.026982,0.1108,0
1600571465,-0.008271,-0.035045,0.173624,-0.004295,-0.007332,0.187333,0
1600604799,0.136939,-0.012164,0.226342,0.01228,0.037118,0.148321,0
1600638133,0.254779,0.166772,0.142509,0.012322,0.035732,0.042253,0
1600671467,0.114029,0.116723,0.210543,0.037314,0.043342,0.03372,0
1600704801,0.214747,0.039188,0.189686,0.117765,0.02744,0.109244,0
1600738135,0.360259,0.154271,0.158322,0.104711,0.02462,0.129737,0
1600771469,0.351669,0.197525,0.236629,0.073759,0.003263,0.03326,0
1600804803,0.238306,0.058396,0.240224,0.040943,-0.050631,0.035438,0
1600838137,0.049395,0.071395,0.069919,0.054262,-0.072535,0.040183,0
1600871471,0.148915,0.132929,0.133114,0.020254,-0.110005,0.006783,0
1600904805,0.460402,0.155934,0.24394,-0.050201,-0.135502,-0.050711,0
1600938139,0.715043,0.030201,0.11305,-0.078809,-0.140533,-0.072031,0
1600971473,0.358944,-0.108995,0.050159,-0.030602,-0.201246,-0.118997,0
1601004807,0.300603,-0.070108,0.053687,-0.052971,-0.202677,-0.118055,0
1601038141,0.404136,-0.193697,0.152307,-0.03214,-0.187825,-0.133628,0
1601071475,0.118466,-0.394292,-0.027188,-0.085114,-0.089705,-0.151605,0
1601104809,-0.156828,0.39735,0.191467,-0.072287,-0.100093,0.001359,0
1601138143,-0.294398,0.070432,0.621828,0.013852,-0.062973,0.271597,0
1601171477,-0.41421,-0.536798,0.083842,0.052968,0.050332,0.358807,0
1601204811,-0.824631,-0.057723,0.088593,0.023904,0.113004,0.172201,0
1601238145,-0.846977,0.163937,0.216812,-0.065198,0.084159,0.041727,0
1601271479,-0.190415,-0.32448,-0.230526,-0.051274,0.084693,-0.034686,0
1601304813,0.340158,0.343611,0.262725,-0.090872,0.101191,0.011932,0
1601338147,0.145011,0.336527,0.213897,-0.060404,0.100349,-0.014613,0
1601371481,0.269555,-0.569948,-0.227913,-0.068223,0.076498,-0.131413,0
1601404815,0.822843,-0.272892,-0.046554,-0.059488,0.101253,-0.116932,0
