SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
858307114,1.161427,0.605541,-0.025149,-0.601395,-5.168185,-1.854722,0
858340448,-1.198106,-2.155842,-0.801233,-1.025299,-3.276831,-3.262337,0
858373782,-1.75626,-1.334022,-0.01475,-0.523049,-1.214764,-3.568362,0
858407116,-1.767461,-0.618008,-0.201363,1.079268,1.619799,-2.950063,0
858440450,-0.983181,0.215355,0.018474,0.420677,3.878141,-0.98816,0
858473784,-0.28452,0.478172,0.131095,1.40554,5.569005,2.290178,0
858507118,0.399444,0.242323,0.097996,1.077332,4.979136,0.992248,0
858540452,0.387573,0.335817,-0.050824,0.254332,2.495488,2.146064,0
858573786,0.649737,-0.047488,0.134176,0.0252,0.940362,1.709949,0
858607120,0.673358,-0.026391,0.090993,0.24966,-1.454406,0.760345,0
858640454,0.603473,0.11418,0.420334,-0.923699,-1.939247,1.031727,0
858673788,0.20042,0.245604,0.253987,-0.145972,-2.532393,1.567184,0
858707122,0.026546,-0.382705,0.121107,-0.078834,-2.604573,-0.389997,0
858740456,-0.013332,-0.182824,0.093121,-0.012435,-2.21686,-1.57647,0
858773790,-0.363372,0.030368,0.101658,0.465837,-2.880183,-3.948542,0
858807124,-0.034245,-0.024583,0.107285,-0.8911,-0.98645,-2.556973,0
858840458,-0.009955,0.196296,0.075733,-2.451524,3.546151,1.184394,0
858873792,-0.197063,-0.180535,0.167618,1.061838,5.752383,6.199156,0
858907126,-0.006532,-0.128308,0.133345,0.164022,3.792621,4.844598,0
858940460,0.148258,0.478746,0.032985,-0.028094,0.094948,2.972314,0
858973794,0.575534,0.57519,0.2838,-0.358957,-2.747298,1.501567,0
859007128,0.930924,0.387216,0.254101,-0.553883,-5.153437,0.095016,0
859040462,0.834972,0.044724,0.3894,-0.583365,-4.435762,-1.671515,0
859073796,0.455384,-0.304319,0.13713,0.132446,-3.090432,-4.594621,0
859107130,-0.234858,-0.231431,0.167212,0.909441,0.100538,-3.913394,0
859140464,-0.533292,0.497413,0.067928,1.218737,3.137872,-2.099447,0
859173798,-0.233531,1.090379,-0.340941,1.233196,5.077017,-0.274289,0
859207132,0.280877,0.661001,0.151175,0.663964,6.016773,1.335673,0
859240466,0.059351,0.349616,0.0816,-0.379684,3.578644,0.499804,0
859273800,1.092422,-0.186263,-0.398972,-0.336804,0.340538,1.370896,0
859307134,1.212719,-1.001106,0.463094,0.096417,-2.724319,-0.975452,0
859340468,-0.456541,-1.566142,-0.079469,0.918525,-4.25868,-0.530332,0
859373802,-1.223069,-0.615432,0.294203,-0.708108,-4.259689,-1.013986,0
859407136,-0.669811,-0.014156,0.331219,-0.35538,-3.540688,-2.018511,0
859440470,-1.201145,0.646026,0.063368,0.552257,-1.564606,-2.605607,0
859473804,-0.616835,0.428602,0.246215,1.182143,0.893261,-1.443994,0
859507138,0.105354,-0.190144,-0.039916,0.316617,3.169632,0.863388,0
859540472,0.026673,0.026789,-0.116579,0.426603,4.673368,1.9062,0
859573806,0.513432,0.556147,0.205496,-0.073613,5.30829,3.133945,0
859607140,0.460205,-0.885367,0.192619,-1.266039,3.473175,1.285751,0
859640474,0.663364,-0.95932,0.238517,-1.333848,1.226059,1.742809,0
859673808,0.565408,-1.299113,0.296163,-0.378571,-1.548463,1.80076,0
859707142,-1.060507,0.264404,0.001443,-0.267431,-2.797843,0.776289,0
859740476,-0.844343,0.652638,0.460947,-0.342279,-3.749779,-0.451848,0
859773810,-0.508002,0.262987,-0.17045,-0.553805,-3.464152,-1.654566,0
859807144,-0.876405,0.304704,0.104526,0.848752,-2.407878,-3.293128,0
859840478,-0.122081,0.284557,0.213386,-0.113232,-1.621442,-5.107363,0
859873812,-0.36565,0.839574,0.257246,0.037783,0.580546,-3.167914,0
859907146,-0.234308,0.860056,0.074844,0.533793,2.019647,-0.479643,0
859940480,0.387416,0.688909,0.0834,0.246432,3.119463,0.078053,0
859973814,0.33344,0.340936,-0.464275,0.39447,3.936885,2.466251,0
860007148,0.892802,-0.00527,-0.152456,-0.727439,4.007971,3.221424,0
860040482,0.911664,-0.183852,0.026846,-0.518998,2.585085,3.01067,0
860073816,-0.325707,-0.464864,-0.090221,-0.746751,-0.341533,1.504612,0
860107150,-0.382939,-0.263924,0.378272,-0.067455,-2.773718,0.524668,0
860140484,-0.661717,-0.157178,0.420058,0.989844,-5.406806,-0.719084,0
860173818,-0.681147,0.166702,0.07085,-0.501265,-6.137242,-4.380347,0
860207152,-0.440392,-0.144604,0.328993,-0.411478,-4.412644,-4.43341,0
860240486,-0.424127,0.263476,0.413586,-0.41433,-1.973423,-4.966987,0
860273820,-0.093852,0.583975,-0.089799,0.250028,1.746281,-3.557839,0
860307154,-0.147463,0.678159,-0.237286,1.823823,3.756317,0.571828,0
860340488,-0.825696,0.570392,0.127737,0.933955,5.674933,3.468864,0
860373822,-0.234162,0.545659,0.126915,0.314206,6.003499,5.920923,0
860407156,0.147474,-0.099905,0.087721,0.478692,3.957443,5.907411,0
860440490,0.426791,-0.679274,0.161211,-1.308627,1.526716,2.971258,0
860473824,0.829707,-1.466718,0.347175,-0.691511,-1.355494,4.734262,0
860507158,0.621976,-1.871254,0.721522,-1.976243,-4.146061,-0.10905,0
860540492,0.469089,-1.961869,0.977703,-1.306051,-5.104656,-1.880091,0
860573826,0.560295,-1.568089,0.577653,-0.469259,-4.768015,-3.299712,0
860607160,0.623435,-1.056854,0.273222,0.197854,-2.258584,-5.104002,0
860640494,-0.011107,0.059499,0.087884,-1.235745,0.212945,-6.082128,0
860673828,-0.162968,0.508468,-0.179508,-1.382521,1.391924,-1.48936,0
860707162,-0.689377,1.312987,-0.210443,1.483577,2.985348,0.382444,0
860740496,-0.231914,1.223867,-0.239823,2.812186,4.174089,4.427648,0
860773830,-0.250139,1.090142,-0.315124,1.270822,2.390181,4.958194,0
860807164,0.262698,0.67605,-0.125209,-0.518013,1.871886,2.679533,0
860840498,-0.160727,1.169367,-0.220866,0.393099,-0.461396,4.290363,0
860873832,-0.79127,0.683112,-0.157653,-1.212419,-2.531747,1.43628,0
860907166,-0.467171,0.51473,0.098128,-0.965521,-2.839795,-1.016583,0
860940500,-0.731642,0.59956,0.137285,-0.250365,-2.405885,-4.100869,0
860973834,-0.973712,0.296409,0.172504,0.207113,-2.261077,-3.404606,0
861007168,0.053491,-0.03953,0.390325,-0.208406,-0.278362,-5.238127,0
861040502,0.48386,-0.337449,-0.336509,0.390836,1.274212,-1.794466,0
861073836,0.158213,-0.720695,0.173156,2.751438,2.966125,0.202551,0
861107170,-0.299066,-0.653102,0.692831,1.440672,2.724833,1.375381,0
861140504,-0.190093,-0.554668,0.590213,0.540832,2.351721,3.870032,0
861173838,-0.477052,-0.166194,0.299988,0.513451,1.416832,4.185284,0
861207172,-0.225739,-0.394374,0.46305,-1.734968,-0.522106,3.854513,0
861240506,0.404476,-0.683024,0.546354,-1.212928,-2.351806,2.205633,0
861273840,0.768972,-0.885351,0.251488,-0.080181,-3.376426,0.440516,0
861307174,0.722829,-1.093698,0.200449,-0.033279,-2.350446,-1.912064,0
861340508,0.256564,-0.397167,-0.0429,0.725397,-1.445161,-3.597363,0
861373842,-0.644864,0.622795,0.336509,-0.488736,-0.507429,-2.10496,0
861407176,-0.067858,1.124775,-0.292064,-0.455507,0.539172,-2.622877,0
861440510,-0.986884,0.949555,0.118234,0.261068,1.782609,-1.325203,0
861473844,-0.256803,0.387699,0.153168,0.980696,2.111055,0.910131,0
861507178,-0.847411,0.717569,0.21254,-0.159476,2.523318,2.74073,0
861540512,1.199444,-0.234468,-0.148828,-0.174067,3.375033,2.291188,0
861573846,1.504493,-0.579075,-0.011803,1.313701,0.34607,5.122076,0
861607180,-0.881285,0.27452,0.324088,0.227549,-1.24505,3.369987,0
861640514,0.557447,0.703149,-0.008348,0.82439,-1.933731,0.508131,0
861673848,0.033891,0.426249,-0.063512,0.249518,-1.526063,-0.824895,0
861707182,-0.489885,-0.736028,0.519991,-0.642781,-0.139875,-2.666901,0
861740516,-0.488888,-0.120152,0.239379,-0.720261,-0.35819,-3.023681,0
861773850,-0.584465,0.392899,0.408259,0.199189,1.933536,-2.890349,0
861807184,0.113327,0.206779,0.503548,0.098138,2.033548,-0.709459,0
861840518,0.128498,-0.139058,0.191214,-1.029958,2.123246,1.633964,0
861873852,-0.1403,-0.044972,0.437294,-0.702668,2.084915,4.174512,0
861907186,0.264761,-0.094819,0.460724,-0.149023,-0.705202,8.246176,0
861940520,-0.334522,0.145229,0.659719,-0.09293,-1.469842,6.655512,0
861973854,-0.052153,-1.065857,0.99577,-1.005789,-4.728014,8.772308,0
862007188,0.131459,-1.108164,0.754791,-0.716637,-4.966301,4.931471,0
862040522,0.411477,-0.625083,0.159921,0.551371,-2.019964,1.81146,0
862073856,-0.298498,-0.318225,0.39235,1.320597,0.075129,-3.559157,0
862107190,0.130774,0.017998,0.312486,0.518115,0.59522,-5.66081,0
862140524,-0.369759,0.377042,-0.021987,1.626665,2.139171,-5.588633,0
862173858,-0.408524,0.794903,0.119,0.886082,3.443577,-4.210435,0
862207192,0.452799,0.652795,0.034587,-0.001694,3.927297,-0.776314,0
862240526,0.478542,0.916754,-0.461109,0.901221,2.964743,3.708614,0
862273860,0.175811,0.822752,-0.107264,0.322383,0.516325,5.160148,0
862307194,0.663184,0.422969,-0.406236,-0.672297,-0.521414,4.828211,0
862340528,0.26375,0.362087,-0.101834,-1.124073,-1.038628,3.772269,0
862373862,-0.15144,0.511634,-0.059896,-1.564002,-1.150551,3.262753,0
862407196,0.758314,0.004302,-0.567366,-1.306251,-1.644547,-0.583469,0
862440530,-0.068499,-0.696809,0.090964,-0.116305,-3.715948,0.134706,0
862473864,-0.614339,-0.422139,0.316528,-0.422755,-1.58397,-2.64834,0
862507198,-0.491994,0.094217,0.300701,0.518501,-1.481319,-3.882436,0
862540532,-0.656532,-0.296422,0.393127,0.407492,-0.527218,-3.856395,0
862573866,-0.708305,-0.0756,0.376122,1.460305,1.180558,-4.696584,0
862607200,-0.37839,-0.16919,0.080722,1.610517,2.305603,-2.861826,0
862640534,0.120143,0.103482,0.36283,1.960785,2.401037,1.533093,0
862673868,-0.228865,-0.465378,0.218613,1.897747,2.826239,4.645508,0
862707202,-0.235791,0.46863,0.066739,-1.977745,3.371975,3.210891,0
862740536,-0.436723,0.225013,0.081403,-1.043335,0.272707,4.879492,0
862773870,-0.332166,0.241726,0.311716,-0.254533,-0.578616,4.442292,0
862807204,0.190425,-0.028845,0.123728,-2.096131,-1.288787,1.659351,0
862840538,0.326789,-0.457622,0.110118,-1.871811,-2.254881,0.989048,0
862873872,-0.275124,0.208252,0.259898,-2.575451,-1.755845,-2.136843,0
862907206,0.43966,0.54065,-0.292488,-0.322354,-0.954439,-4.951053,0
862940540,0.818797,-0.132243,-0.454986,1.702459,0.856511,-5.140185,0
862973874,0.702809,-0.474449,-0.042979,3.164361,-0.531052,-2.962259,0
863007208,-0.139263,-0.491798,0.392091,1.497279,-0.782319,-1.530055,0
863040542,-0.201128,-0.141146,0.256398,1.336122,0.754923,-1.117071,0
863073876,-0.297677,0.264972,-0.049636,0.360671,0.921907,1.936666,0
863107210,-0.322745,0.427971,-0.052965,0.046654,1.847765,2.680425,0
863140544,-0.332047,0.282701,0.158244,-0.775383,1.692776,2.816282,0
863173878,-0.003708,0.036191,0.0193,-2.024597,0.415809,4.766483,0
863207212,0.08995,-0.062111,0.2799,-1.475635,-0.347348,2.641244,0
