SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2627119870,0.075781,0.08921,-0.108141,0.041411,0.543713,0.146344,0.111723,-0.263306,0.172816,0
2627153204,0.195838,-0.283908,0.250588,0.13457,0.504194,0.205434,-0.231461,-0.616033,0.760653,0
2627186538,-0.018804,0.024399,0.181168,0.37172,0.309027,0.490958,-1.453152,-1.374368,2.24803,0
2627219872,-0.172134,-1.734587,0.126382,0.410323,0.229719,0.689965,-3.359861,-1.47673,4.568687,0
2627253206,-0.203741,-1.606784,0.564633,0.600232,-0.102528,1.074426,-4.701887,-0.606719,7.24205,0
2627286540,0.164416,-0.689164,1.520789,0.762691,-0.375072,1.412678,-5.61588,-4.116881,11.068624,0
2627319874,1.185296,0.967476,1.532364,0.907652,-0.808926,1.30544,-4.649413,-0.816716,9.66362,0
2627353208,2.038403,1.68413,0.695035,1.277908,-1.267556,1.650367,-2.461205,0.435764,8.94376,0
2627386542,2.112955,1.753061,2.107833,1.441511,-1.081246,2.439912,1.164176,-1.065745,3.579652,0
2627419876,2.347836,2.325042,1.1428,0.991447,-0.431495,2.514635,-0.253557,1.358691,-2.583918,0
2627453210,1.731946,1.706607,0.753456,1.048755,0.061538,2.795626,-0.022071,0.203666,-4.357748,0
2627486544,1.096607,1.911331,0.798492,0.956222,0.063003,3.579296,-0.23937,-0.868247,-5.077198,0
2627519878,0.059902,1.570732,0.293945,0.760144,0.446561,2.685339,0.182012,-2.129077,-5.065826,0
2627553212,-0.448659,1.702815,-0.524938,0.728721,1.443596,2.532116,-1.177278,-2.315478,-5.753894,0
2627586546,-1.164989,1.042286,-0.592455,0.613414,1.518944,2.496865,-1.403659,-1.374545,-5.111005,0
2627619880,-1.927759,-0.138817,-0.926541,0.632594,1.549082,2.785587,-0.237512,-0.344538,-5.008726,0
2627653214,-2.199593,-0.289279,-0.762774,1.086028,1.819346,2.074688,0.960919,1.265725,-5.815893,0
2627686548,-1.690793,-1.194203,-1.169869,1.224306,0.768902,2.746728,4.429871,2.048373,-5.282671,0
2627719882,-0.370027,-2.171056,-2.726211,1.001682,-0.189371,2.18124,7.876573,2.239727,-2.59456,0
2627753216,-0.015822,-3.226252,-2.88497,0.49122,-0.640337,1.090408,10.193353,1.462718,-2.265846,0
2627786550,-0.0354,-3.68259,-3.101648,0.064027,-1.063786,0.222153,11.423354,0.02033,-1.686176,0
2627819884,-0.717898,-1.827682,-2.191379,1.313715,-1.477713,-1.344039,9.303817,1.894392,-1.078878,0
2627853218,-0.828535,-1.698226,-2.089636,1.845913,-1.897296,-1.805402,5.980871,1.208534,-1.472337,0
2627886552,-0.780634,-0.066098,-0.510014,2.253135,-2.257032,-2.338281,3.459623,1.723723,-1.700449,0
2627919886,-0.353656,0.330466,-0.417108,3.128569,-1.340763,-3.397901,-0.489716,1.270734,-1.536325,0
2627953220,0.068143,0.079358,0.271548,1.588433,-0.366651,-4.528698,-3.295114,0.104716,-0.480901,0
2627986554,0.303714,1.02271,1.130894,-0.858801,0.661787,-4.924903,-5.931961,-0.049704,0.19969,0
2628019888,1.718604,1.654849,1.186341,-2.734066,1.080708,-6.145212,-7.299631,-1.916067,1.651041,0
2628053222,1.455039,1.849618,2.266377,-4.206141,0.6559,-6.807779,-9.658391,-2.139147,2.625737,0
2628086556,1.295937,0.999754,2.130008,-6.959186,-0.208192,-6.173357,-9.332311,-2.889982,2.217229,0
2628119890,0.996442,1.107053,1.505517,-8.534031,-0.713251,-4.849057,-7.826419,-2.037801,0.526702,0
2628153224,0.91577,1.509587,0.506617,-6.163176,-1.823401,-5.190239,-5.843808,-1.637996,-1.255482,0
2628186558,0.613675,1.793826,0.012401,-4.282826,-1.765643,-4.809988,-4.047656,-0.316655,-1.887855,0
2628219892,0.490763,1.040167,-0.414656,-2.978796,-1.67207,-3.226501,-1.73168,-0.091936,-3.17893,0
2628253226,0.34896,0.843293,-1.101381,-1.449433,-0.655313,-1.640172,0.88562,0.985851,-4.122941,0
2628286560,0.235099,0.389965,-2.018495,0.836858,0.011454,-0.67065,5.749279,1.288139,-3.081439,0
2628319894,0.395459,-1.636451,-3.507428,2.714243,0.514122,0.836095,10.052618,-0.368324,-1.345772,0
2628353228,-0.465651,-2.826448,-3.449005,4.449665,1.042232,1.69303,12.9969,-4.455172,-0.882525,0
2628386562,-1.053322,-2.192216,-3.00497,5.071911,1.219797,2.50371,11.204956,-2.273109,0.529807,0
2628419896,-1.066125,-0.566256,-1.776716,6.522955,1.860059,2.97976,8.965898,0.1221,1.280716,0
2628453230,-0.984994,-0.387169,-1.003278,6.844874,2.144629,2.477024,5.481486,-1.583947,-0.469286,0
2628486564,0.581125,0.643077,0.274722,6.728001,2.3743,-0.350234,1.0919,1.251192,-1.456038,0
2628519898,1.022681,0.9372,-0.080721,4.710193,2.56645,-2.676618,-3.475006,1.624671,-0.772106,0
2628553232,1.252884,0.477208,0.399294,0.506673,3.567735,-2.727002,-7.868228,1.22048,-1.250566,0
2628586566,0.954504,1.451268,1.660057,-3.594975,2.238621,-1.995518,-12.027985,1.148013,-1.001764,0
2628619900,1.1511,0.414895,1.634452,-7.322905,-0.305707,-0.80994,-11.970945,0.697307,-1.192325,0
2628653234,1.017827,0.658654,1.821544,-8.157191,-1.946637,0.925961,-9.616126,0.97466,-1.730684,0
2628686568,1.018202,1.2432,1.628983,-8.734796,-4.815392,2.447285,-7.205256,1.466208,-2.661976,0
2628719902,1.171889,1.747561,0.990038,-6.015073,-4.569863,1.584999,-3.180449,1.700803,-2.860665,0
2628753236,0.833121,2.383597,0.729203,-4.259908,-4.475797,1.125355,1.891364,2.230382,-0.787078,0
2628786570,-0.121475,0.08834,-0.884775,-2.618332,-3.113347,1.177827,7.044869,0.475765,2.479655,0
2628819904,-0.953352,-1.907901,-1.315586,-0.531711,-0.850803,1.623632,9.141513,-1.094999,4.140237,0
2628853238,-1.868873,-3.216124,-1.263898,2.111687,0.768879,1.044944,10.071206,-4.271875,5.672827,0
2628886572,-2.629694,-2.797513,-1.002378,4.403194,1.297595,1.094786,8.002096,-3.981823,6.523829,0
2628919906,-2.204189,-1.95267,-0.161881,6.079396,1.781426,0.802213,8.094821,-4.542925,3.355147,0
2628953240,-1.924007,-0.150772,-0.732649,6.6948,1.85331,-0.244117,6.512001,-3.013577,4.208673,0
2628986574,-0.37799,-0.061866,-0.156463,6.363421,1.787273,-1.955885,2.591237,-0.276176,3.214703,0
2629019908,-0.342431,0.358574,0.868734,4.811604,2.423693,-3.004052,-0.647623,-0.65601,0.357614,0
2629053242,1.209108,2.080997,1.015337,2.251196,2.429523,-4.53065,-3.049911,-0.108089,-3.265584,0
2629086576,1.197373,2.247887,0.212956,-0.647838,1.967686,-2.05962,-4.860559,0.29536,-4.134848,0
2629119910,1.295008,0.33295,0.171004,-3.311628,0.876905,-0.582106,-6.368452,1.178188,-5.39338,0
2629153244,0.915369,1.025494,0.519827,-5.462909,-0.093728,2.259582,-7.131195,1.6761,-4.183849,0
2629186578,0.601021,1.451232,1.332584,-6.833657,-2.307185,6.036687,-8.040559,2.533676,-4.356669,0
2629219912,1.014802,0.722962,1.75416,-6.062051,-4.062887,7.179691,-5.955852,2.547734,-3.168313,0
2629253246,1.184947,0.15415,0.609951,-3.71976,-4.206758,5.481915,-3.270068,2.133305,-2.227802,0
2629286580,1.671487,1.927726,0.064407,-1.731102,-2.689113,2.949481,-1.320086,2.049121,-0.91058,0
2629319914,0.744749,1.060436,-0.552618,-0.374293,-1.576669,2.427485,1.00292,1.191579,1.320198,0
2629353248,-0.203882,0.598788,-0.432833,0.652559,-0.552662,1.597841,4.085469,-0.538674,2.508697,0
2629386582,-0.592342,-0.279811,1.066976,1.384785,-0.737828,0.697054,4.636158,-0.782068,4.063294,0
2629419916,-1.155925,-1.992958,0.430282,2.396893,0.263697,0.16886,4.201267,-2.905246,5.86969,0
2629453250,-1.564618,-2.364293,0.178419,3.059147,0.696616,-1.261857,3.903859,-3.453967,3.277627,0
2629486584,-1.266916,-2.194803,-0.733383,3.439049,1.114961,-1.876856,3.863689,-5.162327,2.324245,0
2629519918,-1.23169,-1.186252,-1.293676,3.431246,1.407061,-2.668134,2.861583,-3.169604,2.040471,0
