SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
637968658,-0.021692,0.235514,0.410068,-0.401231,-0.45735,0.58048,-0.023151,1.153268,-0.595763,0
638001992,0.071213,-0.14469,0.662129,-0.70711,-0.738209,0.677447,0.080004,0.50038,0.138798,0
638035326,-0.399836,-0.325911,0.358524,-0.846206,-1.52006,0.792609,-0.032568,0.076336,0.48071,0
638068660,-0.439634,-0.253012,-0.102864,-1.074951,-1.682586,0.68278,-0.372603,-0.432841,0.384983,0
638101994,-0.235077,-0.501015,0.315377,-1.052783,-1.712046,0.844058,-0.554464,-0.692638,0.463825,0
638135328,-0.355373,-0.411664,0.171743,-0.834651,-2.041196,0.901443,-0.435313,-1.111943,0.637221,0
638168662,-0.166849,-0.381085,0.290414,-0.645893,-1.761547,0.842858,-0.35145,-1.286508,0.675629,0
638201996,-0.280593,-0.44574,0.009782,-0.532519,-1.902478,0.915382,-0.354659,-1.345615,0.857668,0
638235330,-0.275571,-0.489874,0.163611,-0.579118,-1.611222,0.845762,-0.245838,-1.340734,0.797483,0
638268664,-0.265976,-0.429962,0.172894,-0.773207,-1.33782,1.069818,-0.115982,-1.35764,0.851521,0
638301998,-0.323543,-0.223851,0.480221,-0.9329,-0.883552,1.378687,-0.061065,-1.526721,0.856045,0
638335332,-0.577608,0.302187,0.075821,-0.977983,-0.283534,1.135795,-0.209102,-2.126724,1.381436,0
638368666,-1.004852,0.992563,0.13703,-1.112662,0.542701,0.74723,-0.432227,-2.394215,1.286926,0
638402000,-0.871674,0.956018,0.097761,-1.192546,1.434507,0.76231,-0.462115,-2.091451,1.26907,0
638435334,-1.082322,0.806385,-0.385173,-1.112812,1.805999,0.516505,-0.82777,-1.799758,1.001379,0
638468668,-1.275331,0.762577,-0.853612,-1.13592,2.041475,-0.064886,-0.616793,-1.298256,0.100136,0
638502002,-1.457073,0.380233,-1.06573,-0.981499,1.8017,-0.27105,-0.633006,-0.386021,-0.396538,0
638535336,-1.611737,-0.077842,-1.042466,-1.050099,1.515225,-0.609453,-0.264959,0.39716,-1.160253,0
638568670,-2.177867,-0.023133,-1.629208,-0.839991,0.992651,-1.081324,-0.055472,0.902671,-2.600045,0
638602004,-2.471388,-0.134777,-1.787381,-1.073972,1.007693,-1.193043,0.082548,1.219944,-3.75981,0
638635338,-1.083604,-1.14937,-2.3927,-0.869794,0.382956,-1.133284,0.558587,0.833954,-4.09747,0
638668672,0.761411,-2.338169,-2.506474,-0.947282,-0.858555,-1.74115,0.983867,0.567055,-4.06482,0
638702006,2.84271,-2.753881,-0.47474,-0.505913,-0.568966,-1.966587,1.299649,1.712041,-3.631669,0
638735340,2.760969,-0.07096,-0.154022,0.939322,-0.209238,-2.923131,1.398785,3.273431,-3.91939,0
638768674,2.435253,1.812573,-1.54582,1.03678,-0.932768,-3.296871,1.91171,3.459981,-3.370107,0
638802008,2.365967,0.875313,-1.377935,1.303824,-1.504228,-3.400268,1.591149,3.45697,-2.407294,0
638835342,1.150023,-0.840284,-0.920481,1.734465,-1.925707,-4.143796,1.69943,2.994308,-1.122389,0
638868676,0.688601,-1.240264,-0.179296,1.798424,-1.791686,-5.176411,1.193835,0.995923,-0.602903,0
638902010,-0.022772,-0.966154,0.064209,2.116961,-0.403193,-5.895132,-0.114945,-1.237686,1.149856,0
638935344,-1.184282,-0.613819,-1.197337,3.427447,1.014561,-5.760681,-0.692005,-3.333691,1.647382,0
638968678,-0.373135,-1.162067,0.718294,4.076367,2.868799,-5.450517,-1.41985,-4.105562,2.782093,0
